"","V1"
"1",1.33401599999999
"2",3.97100866666668
"3",3.45927600000003
"4",0.937083666666674
"5",2.38536600000001
"6",2.40899999999998
"7",2.10198266666664
"8",2.72651699999999
"9",2.48808333333332
"10",2.43315033333331
"11",6.78649333333328
"12",1.66348266666666
"13",3.25162666666668
"14",1.67485066666667
"15",2.747276
"16",3.00554033333334
"17",2.63264599999998
"18",4.31109366666671
"19",4.21989866666667
"20",3.83268766666669
"21",1.07721133333334
"22",3.73808966666666
"23",3.88964833333333
"24",2.310107
"25",2.23081366666668
"26",3.80221066666668
