"","V1"
"1",3.07631233333338
"2",3.86674366666662
"3",3.9413970000001
"4",2.89542500000006
"5",3.78523033333329
"6",3.51819599999998
"7",3.70592000000004
"8",3.02925533333336
"9",2.11572066666658
"10",4.07616666666665
"11",4.38796733333332
"12",3.61284766666671
"13",3.10448833333335
"14",3.19006566666672
"15",2.67956100000003
"16",3.57696200000001
"17",3.26259400000004
"18",3.43680600000001
"19",3.41527700000002
"20",3.64099933333332
"21",2.72232533333334
"22",3.05079400000002
"23",3.97378899999999
"24",3.68120566666669
"25",3.40279566666669
"26",3.25382900000001
