"","Means"
"Mean Reaction Time",0.896666666666667
"Mean Trial Time",0
"Mean Initial Direction Error",0
"Mean Pre-Movement Speed",0.05
"Mean Max Speed",0.996666666666667
"Mean Initial Movement Ratio",0
"Mean Speed Ratio",0
"Mean Path Length Ratio",0
"Mean Number of Speed Peaks",0
"Mean Max Perpendicular Distance",0
"Mean Percent of Movement in the Target Direction",0.01
"Mean Mean Arrest Period Ratio",0.993333333333333
"Max Reaction Time",0.04
"Max Trial Time",0
"Max Initial Direction Error",0
"Max Pre-Movement Speed",0
"Max Max Speed",0
"Max Initial Movement Ratio",0
"Max Path Length Ratio",1
"Max Number of Speed Peaks",0.0366666666666667
"Max Max Perpendicular Distance",0
"Max Percent of Movement in the Target Direction",0
"Max Mean Arrest Period Ratio",0.6
"Var Reaction Time",0
"Var Trial Time",0
"Var Initial Direction Error",0
"Var Pre-Movement Speed",0
"Var Max Speed",0
"Var Initial Movement Ratio",0.01
"Var Speed Ratio",0
"Var Path Length Ratio",0
"Var Number of Speed Peaks",1
"Var Max Perpendicular Distance",0
"Var Percent of Movement in the Target Direction",0
"Var Mean Arrest Period Ratio",0.953333333333333
"Age",0.98
"Height",0.996666666666667
"Mass",0
"Months Post-Stroke",0
"Sex",0.783333333333333
"Left Hand Dominant?",0.0233333333333333
"Left Side Affected?",1
"Dominant Side Affected?",0.973333333333333
"Hemorrhagic Stroke?",0.976666666666667
"Cortical Stroke?",0
"Subcortical Stroke?",0.0333333333333333
"Brainstem Stroke?",0.886666666666667
"Error-Augmentation Treatment?",0.8
"Initial Fugl-Meyer Score",0.0266666666666667
"Initial Wolf Motor Function Score",1
"Initial Box-and-Blocks Score",0.04
