"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Mean Reaction Time",1.86490323891166,1.72913948145285,1.83809434818779,1.8132886900322,1.76239084888197,1.75041999667579,1.78692707580311,1.74774115367953,1.87016369811183,1.76738412438132,1.74155562993654,1.85994930316979,1.74516560680327,1.83768868730954,1.76578701493194,1.69337099494663,1.72167655902034,1.81385151933001,1.67249133855728,1.79172355468135,1.70247944882098,1.80577887067655,1.81277065336308,1.79043782374036,1.87133105233065,1.81301852192178,1.78730201901483,1.79270350165552,1.65233586805851,1.72980291419949,1.76833536733518,1.7836866836336,1.78743479293988,1.74679905944084,1.69070397512824,1.76954843247964,1.79676252009073,1.83193555903592,1.80887797646547,1.77612396996629,1.73998671512087,1.74293125796039,1.80655624274289,1.76341634945964,1.77424837124451,1.78736989109541,1.78887332176112,1.85048687213302,1.83585911463635,1.850632705893,1.80895548799912,1.73921089142476,1.62407911786556,1.65301181551155,1.71221707420025,1.79077233509316,1.68413493932921,1.69499512637182,1.73497588129553,1.72385448442233,1.78929540048993,1.89067540695783,1.69071528530012,1.74717937388039,1.94921077020372,1.75514913492897,1.87764346121781,1.76733972863387,1.73209514161704,1.84503565362304,1.75168665778879,1.78945816732673,1.7147346691931,1.72989451309423,1.6837057609685,1.83088615313747,1.78556648779428,1.79141885329452,1.78429755746304,1.87085364421767,1.71688181429377,1.77833006932502,1.82365465345792,1.7134559547462,1.70283893100053,1.72874416403128,1.73095110650391,1.71122494470552,1.72338036446017,1.76238580490872,1.74629311233987,1.7230778500106,1.82368072898479,1.77038200571996,1.71683181652291,1.78171889874784,1.78309375485775,1.83856415713909,1.81766655644267,1.74126276906384
"Mean Trial Time",2.0837553357825,2.22066799274656,2.08370727816725,2.02756046052434,2.036847063088,2.1245287068192,2.17161750722639,2.09364066849353,2.11440664749328,2.01957427391645,2.03155242789177,2.08846178973137,2.09393276318429,2.17171550708814,2.12900839478699,2.04540715144066,2.15193775283476,2.05869936646225,1.98665465756242,2.06788483333176,2.05694882427079,2.09910297602687,2.08640421071503,2.125603943098,2.03859077217516,2.15956528936531,2.1241797361898,2.11521301789866,2.07164406754978,2.10013986069487,2.05930628872033,2.04458695358003,2.09450758016046,2.22267445355643,2.10827559725794,2.10892627382706,2.08600144976698,2.14403897687293,2.14621218841641,2.14606087637391,1.96196963832937,2.01938324316008,2.07352350358438,2.09672030505613,2.15418214008105,2.11396906702014,2.1792531902129,2.08145312477276,2.10503281544463,2.0808985032335,2.1078077471876,2.0418207223843,2.11658078752844,2.21629289286432,2.12945269167768,2.12521074047687,2.17009333614143,2.15075917788497,2.16448168462126,1.98730474887676,2.17199150489815,2.10845563947812,2.03200986247501,2.16346013314767,2.11728342351953,2.14707555478523,2.15039985292945,2.17234390065012,2.12860469039508,2.02719523947677,2.143469379363,2.10302690744996,2.04999505083916,2.02736892097783,2.05107754732129,2.16808181493059,2.17245039066526,2.06888780175736,2.10842433015663,2.15903066846282,2.14153195896201,2.07902833455524,2.13571436804132,2.21072513510296,2.10651787821651,2.14468448846514,2.02619396676,1.99043253293804,2.15384088981302,2.08146483826871,2.03572534783279,2.11469950576034,2.05313705917989,2.10981770768754,2.07337652114935,2.05845752208141,2.09185497856083,2.04403805381588,2.12339702952639,2.00725098759222
"Mean Initial Direction Error",5.3485565243487,5.22201213932064,5.46369413690306,5.37999805798198,5.24379613889537,5.06788170850307,5.25566723975966,5.34611788583111,5.33774102449488,5.37499066987945,5.36799607691874,5.324119408432,5.34558465213493,5.470474437465,5.38061704359944,5.47469661577232,5.42329373277277,5.38463106361383,5.30576528271702,5.45306732932515,5.40633016047776,5.35091589315637,5.55415357166634,5.28766847623187,5.478534018098,5.38663441375096,5.34466215796138,5.44105447806457,5.24078312566334,5.50705783920656,5.62792232846884,5.35777600920824,5.18944528523364,5.51943589771642,5.35211959023729,5.26304660629085,5.28406966278808,5.36163003120621,5.32891872183411,5.34688079967735,5.42428310930189,5.42434631744785,5.27851009809187,5.40512048595927,5.3399183024627,5.13833412582925,5.42626589888802,5.06910928460746,5.22710508093599,5.4528060539512,5.32701686217767,5.35427786288225,5.63031613788071,5.40472815707135,5.47063067567439,5.60801251956451,5.45746394501058,5.40935488114462,5.36293846350849,5.36143071864036,5.40045261822416,5.44546242443387,5.38072239201047,5.36884455863074,5.3184074745425,5.32477053994498,5.39210281416587,5.34933891600551,5.21222155415657,5.43808586202404,5.44890483163963,5.36929940556803,5.26311942230818,5.31249013775404,5.19953211232074,5.35604115482034,5.22187493660291,5.29643498693411,5.31461859213487,5.28945143193228,5.41700643484444,5.33806378830062,5.36041303444919,5.43515992809664,5.4291179594064,5.30558209549681,5.26343788794246,5.35263256222713,5.30242144686462,5.35619860308193,5.34349746948992,5.38949196566654,5.47848723549819,5.36819389303078,5.40628340366369,5.24783459411474,5.34245173294627,5.5091191592452,5.30973034044467,5.24153254595592
"Mean Pre-Movement Speed",12.2099708904768,12.3540320049049,12.4305626995594,12.3644566308998,12.8921089897477,12.5771703414256,12.6323898246338,12.2439963685666,12.2466765963686,12.0170994361929,12.7455257209324,12.4854356437738,12.5876207008846,12.3999640130604,12.520982946578,12.5503961940494,12.395391122138,12.5819174058605,12.6078272468551,12.1181895398579,12.6489097241337,12.6786035177968,12.103349552177,11.8135413070176,12.7242664275181,12.3488884682419,11.9912278316575,12.5631743286576,12.516059871602,12.6013674022694,12.3463736226352,12.3158555752468,12.3703059833988,12.2883372940546,12.5947545184931,12.5235990129686,12.4897196998752,12.5008680519678,12.6415496324751,12.3667388528629,12.447974975783,12.7408333983237,12.2944839473361,12.5962069687979,12.3699693565938,12.410244001188,12.7773325962363,12.5207737670104,12.3977759281421,12.9536845377663,12.497320970145,12.5768392556388,12.8249529317528,12.8789151527776,12.698385738562,12.1879712833324,12.4952707459119,12.4808014117998,12.7201996400238,12.0776059596405,12.4439418805308,12.5542069887707,12.8992542040603,12.743968067023,12.1980302511288,12.6709488580974,12.7008080164101,12.6116115325136,12.6659092544552,12.4148293972857,12.2685296715479,12.3683775528197,13.0189393375219,12.5272808021123,12.1490334021817,12.4082263232242,12.3380637108874,12.8206290581672,12.7055163586199,12.3142764040691,12.3732109623455,12.0626865409252,12.7017054018025,12.5547325009216,12.3425088155916,12.7822569922341,12.4673800154848,12.7734159065654,12.7295289404198,12.4023659676959,12.6469616823814,12.1971621118036,12.6969637297985,12.5813481582642,12.5430384258605,12.6028463613437,12.5709119471208,12.5874756058769,12.7273977183239,13.0292970409745
"Mean Max Speed",47.2210882910974,46.2688779910362,46.5421139391895,46.1599111241571,47.2015602905614,47.6860877031412,46.8004280348981,46.4969688024075,46.5916684149273,47.1594226329868,46.8459097652061,46.6377443410612,46.7678960296542,46.6068408278454,46.2679102093345,46.8321262972832,47.0098933496651,47.4420311045522,46.5886491706624,46.2807589801075,47.1882184103199,46.5150921678652,46.3771533364715,46.5073714546147,45.8975100745841,46.582747120452,46.7377867346261,46.4242290209868,47.0761167246582,47.0157297338212,46.4331776639394,46.1841401451627,47.4751592828145,45.9548924381456,46.527700867079,45.9924576440805,46.9736151570925,46.7347867156004,46.5858083626092,47.4486810041185,46.5989806419827,46.8532968979539,47.5276977163141,46.7370249304717,47.2165936764975,46.6645285969726,46.4996739300143,46.7392433578506,46.5200264094913,46.3824518539694,46.3680787032183,47.1199089265327,46.7060421485996,46.6877309503796,46.2127190843811,46.7346387544449,47.1519405749435,47.7886941155277,46.532839493907,46.6635762728138,47.2946421403302,47.0666204673104,46.7781860526653,46.2286030545658,46.584930930186,46.8038712291783,46.89312854094,46.3143456718273,46.9317533607223,46.5891839922653,46.4264596028752,46.8619121997047,46.9090294178346,46.6930126942381,46.441639013811,46.9254506343609,46.9788786575457,46.9590809449125,46.7503305275226,46.6155889846673,46.980925362133,46.4363197723696,47.270190441572,47.4005528755952,47.1229318935604,46.3095869692254,47.3532100554959,46.7377364912241,47.011890630306,46.167294880412,46.7525726689289,46.5435642587843,46.604147169659,46.3484612094119,46.7808112225533,46.206184307106,46.2711605368875,46.5207258374605,47.1240283687639,46.6263943928706
"Mean Initial Movement Ratio",2.80322470911659,2.86203257591901,2.81011923236329,2.78928618801651,2.92804378607855,3.00454194986154,2.92144200397093,2.79826932327625,2.86732158059427,2.8366051878151,2.75707277540763,2.8488837826296,2.94884529371812,2.99787783605193,2.98991570929781,2.94553985846284,2.94797906047711,2.76924676121258,2.76169869504629,2.748182515452,2.86140343742065,2.81480957561361,2.87464610275001,2.99725872958075,2.88310059075417,2.8190257378786,2.85113295280317,2.87994159586404,2.96990797739823,2.85166515739852,2.76660432975178,2.82032184199217,2.88271619531201,2.77472350828712,2.87518108972167,2.85868920648517,2.89957034434591,2.83817367472349,2.85689898897459,2.9117591869374,2.7703792620829,2.9817249403802,2.82197630553035,2.92194661094499,2.79813633540417,2.95890065705539,2.94112935286438,3.00197391089339,3.00162492211592,2.81863149974013,2.88191604909671,2.87430842458062,2.82569467968034,2.82745361850079,2.87528264194238,2.97107017707514,2.83065657289795,2.75373053900524,2.86374737427345,2.80645815045739,2.88621741270324,2.80017151520937,2.92700991862708,2.95039185330828,3.02400152629477,2.81747461429544,2.84902021024348,2.79865799162767,2.85225233936156,2.91508972026541,2.84623204457987,2.90171524197503,2.79577404644855,2.79948476660664,2.87041587544273,2.96744125087042,2.90907319595944,2.73858552952651,2.83038797878033,2.94405694723646,2.94314074158747,2.79662033627255,2.74773073900354,2.77684001099427,2.81218067412319,3.03878352181374,2.81867084921646,2.90026762558284,2.90420699493677,3.006340358036,2.81080633477301,2.87101675512314,3.01254372936012,2.89641293196637,2.89447865131156,2.87538987554378,2.83911271670185,2.89999240956816,2.94440970094102,2.9469195364599
"Mean Speed Ratio",9.71914615613141,9.76153798423076,9.25435285721229,9.68904139836662,9.60812721472092,9.63832127652352,9.519625944103,9.59927772157251,9.82652096131567,9.35940096645476,9.73304220353989,9.69638256030615,9.62300580835168,9.69943813598858,9.72583365726044,9.78146039476741,9.71755197314758,9.43002762293639,9.35157025779588,9.63841255525109,9.63303690131826,9.64105427711642,9.48000146249552,9.6804813083412,9.47232750313802,9.43449988706192,9.6988702630985,9.56255725905483,9.48287535496422,9.71242237067892,9.56180366043914,9.68110771498819,9.76287167299849,9.79256288055663,9.59966289266074,9.47506158432534,9.32087558564543,9.72665262947055,9.51129877678132,9.31354662127224,9.56283680754635,9.32786617113138,9.48311358443933,9.63539298076998,9.54091082265593,9.42555280421779,9.51708604363471,9.47503595996852,9.46446747718549,9.73863963247019,9.59646277536448,9.65388766113242,9.55054530363987,9.99700694709339,9.69477728186253,9.56802126868528,9.69463918821879,9.76618546407659,9.5819762926286,9.63452583307951,9.3444802482879,9.64894028292237,9.5370668181542,9.72894849764276,9.4527180385604,9.59514961465533,9.65702182762523,9.60135451368061,9.41055183603006,9.58357169770974,9.46518064832679,9.72618298919988,9.79834564836533,9.85492940583945,9.70221335746768,9.62544541271636,9.60582882165834,9.61846623879084,9.68282787001917,9.33508214727023,9.77342705135051,9.63372942084193,9.22690824968537,9.55954520368954,9.60874102853694,9.69523320575855,9.89108228149358,9.83042216557496,9.50769237171712,9.7177907257528,9.48197087146429,9.34355509433969,9.45309887359485,9.63665489008542,9.54609758264073,9.54506825590521,9.69746113264689,9.55354978337207,9.5183750756548,9.51745826649394
"Mean Path Length Ratio",29.7873690511442,30.1536638109628,29.6735645154619,30.1641338936465,30.2484576562645,29.9942849368764,29.6254416830986,30.6149217569751,29.7350698927198,30.8377886737016,29.3225528656538,29.3177238462756,29.5618168024029,30.4192767563166,29.5623814866244,29.2028252335296,29.8306115963899,29.7881332545555,28.6555615246404,29.1690606928763,29.9348707228274,30.4202799088691,29.1270707372826,29.8653181566746,30.7404555132501,30.0816409849947,30.5145503000435,29.4855132345597,29.6437540131314,29.6156998978435,29.5235583759258,29.6690440546762,28.9549625683181,29.1977178234986,29.4478116563867,29.5869065116913,29.8303572754515,30.2176951809313,29.5376222314376,29.7398201243359,29.3267129738851,29.6483941839081,30.044255993637,29.9870848709305,29.4664725270863,29.4557482679787,29.29417934675,29.5358351015907,29.0308642259648,29.9709227548554,29.8763363557966,29.8136036281518,29.991972879624,29.564609651075,29.9232813071577,29.5979200431364,30.2237854773841,29.5206344627804,29.2377129526945,29.1102839404009,30.0938135499937,29.5917597176328,29.3285377243714,30.4493110478979,29.5812082621691,29.7283802808396,29.2551154300263,30.1567365473904,30.0894310104767,29.834408795851,30.8271121709788,28.7892534581657,30.0054333483371,29.7734649626881,29.8375596311703,30.1432477464822,30.4579458865934,30.1538710355173,29.8906965638786,30.3857071122584,29.2083705183065,29.8035939709982,30.114758567183,29.5149325057951,29.2073103566207,29.7745792793976,30.5949052531201,29.990443510834,30.6976760109609,30.7094910592343,29.4433453092924,28.3563379883207,29.1570791920883,29.8469445634182,29.662900918623,29.5905276588307,30.7669732143819,29.6455522740962,30.1029907459946,28.7795429249244
"Mean Number of Speed Peaks",4.0457226214414,4.1654702438775,4.05259125290458,4.07128999119557,4.00809109792322,4.16672581977767,4.07044291181311,4.10442613728215,4.2551570991685,4.06875069647874,4.02988793276059,4.29674785081234,3.92378668404641,3.86642145369432,4.16325833899798,3.94678378637352,4.14752227872235,3.95589033053399,4.25961472128584,3.9857379906511,4.35941426235171,4.07428776712385,4.08291108796227,4.290486527564,4.274422412939,3.93604130234712,3.98622314490615,4.07534834977817,4.08499557934727,4.25203485711061,4.11757107026096,4.0249300543829,3.90496005193712,4.1263302943317,4.01758651989177,4.20836376497414,3.94533073254731,3.95644072842734,4.17086740290931,4.26552345592355,4.16507587126386,3.76474619990613,3.87144712599192,4.09317724961357,4.13159244191167,4.12461079405675,3.9547225690785,4.00999695909367,3.99505434502464,3.83273377357653,4.18453972072172,4.13573829509487,3.90618056507489,4.04993620795123,3.99783449464144,4.2111434540102,4.15603469926525,4.09633536526702,4.01811567867074,3.8470770567114,3.9495123226199,4.13202683590986,4.07118208435503,3.97285405479134,4.05524465592398,3.90515388016242,4.01885133860675,4.02801299864786,4.15106167196983,4.19069409746636,3.95729464725969,3.90682085784328,4.02173321257862,4.12027875933117,4.10213970205842,4.12662277806314,3.93118662580021,4.02129617559701,4.18260444034658,4.06108718599354,4.06217999873013,4.23874421048621,3.89760725100604,3.99630508929983,4.04093161478668,4.1532573782601,3.89137170134268,4.07520502765709,3.95639222894375,4.03065194561776,4.04920005499874,4.25411188150938,3.84612811522891,3.94960430671711,3.86797101915504,4.11964293097205,4.14429676969725,4.16174875669677,3.95936549020811,4.0055187979757
"Mean Max Perpendicular Distance",2.80711737327821,2.76447943563898,2.63731141143111,2.67062074275753,2.78746270554361,2.74519655976526,2.78815769152286,2.69635750957792,2.66690737387802,2.60886529269182,2.74876233405353,2.62032067932522,2.75572083507169,2.69753201084527,2.70042228922931,2.6937170259441,2.64880513278315,2.73523218014361,2.72114651521601,2.68528275054333,2.78517934198199,2.6369708775874,2.66440272198662,2.78681673662599,2.66523602010289,2.68175600745491,2.64663118503611,2.74693379193576,2.84825852011053,2.70145418291342,2.76027100055519,2.6058280006906,2.63615615610655,2.82007446585909,2.74189723283386,2.72668347772709,2.68139872583827,2.82757099779479,2.76744708017705,2.73223208077861,2.6110612589482,2.66485676191013,2.74230094125865,2.74579678779435,2.69488152457441,2.71467667989156,2.72425579585047,2.72569647847618,2.66897956543948,2.66531345502104,2.86870228757523,2.70025604234344,2.72474429718501,2.7813698057404,2.75152054279347,2.62214604878803,2.65781906598794,2.66358098370072,2.77581291768544,2.72570297150375,2.74516394530575,2.7439191205343,2.66862332443891,2.72570746733656,2.76614590981658,2.71516868028869,2.74614778885846,2.70388235488801,2.71527211993792,2.76560058170173,2.71378636474806,2.70559120863215,2.81324633523185,2.7842165212834,2.75343195753345,2.66817436594297,2.73201265984798,2.84147948913018,2.77917360532517,2.75386432909798,2.59739386042331,2.79542864987361,2.72886526235418,2.82637279844857,2.8199072152384,2.65829030992724,2.61613062704345,2.74863277294634,2.65296165101831,2.74092098615587,2.72033353377132,2.64266690399806,2.75210907738502,2.8610898636172,2.79133747199494,2.69752325998337,2.66196894328209,2.69163540345102,2.83090083908943,2.77473816207649
