"","V1"
"1",-4.46224297332768
"2",-0.989368029575634
"3",-1.46621571110226
"4",-3.95971870446166
"5",-4.54132646859858
"6",1.40245886885387
"7",-1.30686652145776
"8",6.84515613471153
"9",-0.690945677980858
"10",0.448578793586396
"11",0.779974516925992
"12",1.33773207390341
"13",-1.30904448113668
"14",-3.47331242724459
"15",-20.660544783148
"16",-0.580028854534499
"17",1.05211207724578
"18",-0.599156678016127
"19",-4.31916898874829
"20",3.16614863809475
"21",0.546872701199655
"22",-0.680567995791613
"23",0.782271405098096
"24",-0.0185955952372028
"25",-14.0348901671245
"26",-0.369311152133427
