"","V1"
"1",-1.45707641333325
"2",-0.67397616000003
"3",-0.238839543333356
"4",-0.845592520000024
"5",-4.58427501000066
"6",-0.331077419999964
"7",-1.86067479666658
"8",-1.2536909866666
"9",-0.132895630000007
"10",-0.0282996333333326
"11",-0.487676750000069
"12",-0.524277056666679
"13",-0.743723833333293
"14",-0.281435216666542
"15",-3.17662616666672
"16",-1.60082782666661
"17",-2.04544051666681
"18",0.522871550000002
"19",-6.15502632666749
"20",-0.723326300000112
"21",0.982112049999985
"22",0.922153223333313
"23",-0.891772763333315
"24",-1.05254619999989
"25",-6.74468046666801
"26",-3.54894823333381
