"","V1"
"1",-1.7368306466666
"2",-0.659890730000023
"3",-0.917015309999997
"4",-1.62956347333334
"5",-4.10679421666722
"6",-0.887875393333391
"7",-1.82790019666674
"8",-2.45691370666637
"9",-0.388356533333341
"10",-0.737696483333332
"11",-0.880558160000008
"12",-0.569052786666654
"13",-1.19053440333329
"14",-2.81863853666697
"15",-2.34929506666637
"16",-0.897435046666707
"17",-1.48874538666672
"18",-0.5000994433333
"19",-5.58723454000068
"20",0.0949744033333315
"21",-0.711725626666636
"22",-0.0577665800000041
"23",-1.69625053333335
"24",-1.14673229333335
"25",-7.16640749333503
"26",-0.869784330000069
