"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Initial Wolf Motor Function Score",184.207532013323,183.862360645154,183.884850827222,186.395918030784,182.706296602175,183.315658768687,183.060699658291,181.857185263565,182.325902815311,184.035558795419,184.146074053583,182.501690352251,181.446354900619,182.01154000426,187.648827738935,183.744106951176,183.273103071521,181.144600731211,184.2871204286,183.987801809571,183.050769260531,182.759756546251,183.522357804428,184.988557140899,187.374546115555,187.302787913396,182.394589843019,186.320281294682,180.864730722061,182.584932388991,182.229907071384,184.670395675585,187.114036212373,187.652159645734,186.805965939155,183.981848253248,183.282317489611,185.451722777753,179.993060090573,187.658903596117,183.719681918942,181.981047774891,182.876183503273,183.068946955817,184.036579110028,188.687216205517,185.005908538317,186.903066806606,186.959727835665,181.855590652009,180.25686460369,186.296336253839,183.309976097963,182.645920136665,183.120821651598,185.585770185403,183.312571438421,186.28615441839,184.475961467192,185.652245769454,184.130824807051,184.113495660297,180.937492656511,183.49809636494,188.160372193894,182.784666468819,184.189166659607,183.306631049029,188.084706121764,185.847858039928,181.056302264747,184.269774294466,182.989474534219,185.745533816222,183.587457004989,185.56756704013,186.10930661214,184.515185285847,183.957551900755,183.047372719994,183.266138347883,184.328461017664,184.957770454973,185.808800859312,187.878976606569,184.904015259063,183.431136797636,183.693665856325,181.88267445366,182.705208565158,183.225608339326,184.481156522039,184.396358580218,186.942693994943,184.683405194367,186.772426358548,187.164477233746,183.499600089979,182.413100570491,185.262084567279
"Initial Box-and-Blocks Score",135.684564227568,135.933573429697,135.922459818528,135.781166716105,135.832367551731,138.431376352242,137.196851348524,137.751652188695,137.847783035655,136.550613530031,138.285156303947,136.121825978713,135.387694989418,136.593958935726,137.095131268796,134.886925504262,139.921111754594,137.294837107641,134.025649613049,138.65111029015,137.507181734658,139.161568111978,138.369626331881,133.234912922875,138.461089347708,135.149663792303,135.566952393719,135.807937528373,136.197006641521,135.898907363721,136.296581063032,136.142263623523,133.792667817134,135.148996793849,140.115807152646,134.734775198589,136.742754136444,138.322434451086,137.484522572253,135.768051582473,135.167005770286,137.867208419825,138.62386584039,137.089285565051,138.055486726285,134.70356651007,135.486080883373,136.27982759748,136.03978536502,136.479910014201,138.630129516303,135.831193840557,136.720684012299,136.441800045393,137.597462381858,133.885846989805,138.846368901244,135.40897838275,137.355929259125,135.831714925107,135.346320223283,135.004087625786,134.538895832074,139.776196679497,137.744969466469,137.747223864615,138.089901894205,134.935715024652,136.937435152692,135.056164073279,136.872446057392,137.596524867303,140.362948545938,136.333356593955,140.941679061998,135.338237246968,136.13964543238,136.259428557313,135.174888181839,138.416741049573,136.970342607459,136.857249983476,135.579656753445,136.089083935952,134.890914515449,137.163215100425,137.224685726035,138.124673676771,139.699708236394,135.946729328189,135.02276663428,134.187830301181,140.262719370042,137.043793125136,134.731674433308,138.295339422242,133.048821239302,138.327088996035,137.939651264913,138.881668563152
"Max Percent of Movement in the Target Direction",105.903110315297,106.69427928973,105.041557638127,105.164391817115,107.135410513208,107.319299036417,106.305264763758,102.293303623461,106.758993618912,105.476877639817,106.466436620601,105.213642882604,106.795478755723,105.286979550881,102.23167004627,106.584045328378,105.482905695379,106.80094309143,104.901529525919,106.816531560484,108.395438895409,103.828238282544,107.427344985349,107.748663436188,104.632354676449,106.830773055473,108.17555466631,105.501579059919,107.54540355331,106.934705019056,108.360799267804,104.266812738525,108.111816636107,106.525946176629,104.36788309148,104.544969043094,108.792067687823,106.455596812975,104.173484233711,107.547339084574,106.496358926207,105.745930189005,105.096215382616,104.165721407359,105.563676199374,106.734854800347,105.367570568555,103.815690797948,107.78581416665,108.161487957481,108.551017884026,105.0242731575,107.316173661086,104.75427585473,104.053553719703,107.537543630524,106.847778612122,107.748212386339,106.661704935317,106.229376387803,106.749232594567,107.432133608244,105.203819638218,107.211568482934,106.324082478904,104.750937398772,106.53734243611,106.632160478012,105.247469881362,105.10966533626,106.053717969421,107.807069574774,107.544495822385,104.628565548475,105.228898844678,106.258603034126,104.634400911428,103.839722411029,109.751387438651,106.671117198933,105.764376241933,105.163244727854,105.946569052679,105.998485986717,103.757235488166,105.604479993993,106.823400591287,104.908673034974,104.802478071439,103.069572297214,108.123074766581,106.202851536917,103.977861234923,106.455440342129,105.740372684191,105.649584756094,106.753174239743,106.701483561084,106.366247849532,104.186680747557
"Mean Percent of Movement in the Target Direction",108.382180855088,106.396255953383,108.399447470749,105.536815519869,105.90172643888,104.169123483624,105.157784310256,106.230360973431,105.66008481883,107.460810249965,103.71133070636,106.606407772779,106.712799309374,103.6514085144,105.165688692809,107.740833716116,105.996441504227,105.145007767876,107.773770664798,106.177641623186,103.265329221363,104.905469748741,104.753572400299,107.180872865858,106.92293448496,103.132778265178,105.962951415835,105.127309848886,106.44949014141,105.187387364462,106.257721484417,107.90497855683,107.160236152744,107.190553011518,105.126926419026,107.602669879078,106.190755273156,106.818773441307,106.060650277928,104.167576060193,104.646182125189,104.680121176559,105.759055314142,107.406676042228,103.182211426131,103.752100073055,107.877833639428,106.029313100703,106.757015120197,105.858017560095,106.817904424606,103.960079619207,108.139432783326,107.583950559803,105.141071942012,104.999807177482,106.352374630036,106.452132165683,107.200569486525,106.771054197469,106.224818915588,104.508036426234,108.287612731709,103.540328682854,104.65815005696,106.440431783686,106.790970812557,105.62562928892,105.249205822974,106.529154013253,107.162050583458,107.469188352146,105.872710974444,107.888399012954,105.140141088326,104.996884277881,107.29136931887,106.732417038374,110.782607992102,104.908622248717,108.642089643697,106.699498999983,104.887008542173,105.830976389755,103.157026444323,106.173055621528,103.153461761986,107.995618542339,106.641115440349,106.249701330426,105.483283802803,105.942356537065,105.409128545024,103.908206604794,106.003553031117,104.747700150516,107.282482539206,105.33938018108,108.041249539042,105.782179105434
"Initial Fugl-Meyer Score",62.4592153515867,62.3340908717367,60.5103972172975,62.0967021435716,63.8500748301066,61.5444317915247,62.6709590250501,62.6090523426179,62.5981139248813,60.7444050490611,60.5386123002675,64.4398552988347,61.6667170217605,62.5793666434048,61.9983088548757,61.0149140526694,61.8080016194589,60.0884245775774,60.6771463083734,62.2631285881533,62.5686064947429,61.068761463552,62.9752577859363,63.5894387291235,62.8701594124863,62.4005973351719,62.8736626105572,61.8872569058276,62.3665833339959,61.5112862424956,62.1818466975761,62.1342009396701,61.1762804604768,60.8158061308497,62.7238377402952,61.994714252016,61.8482443417992,60.8022882734307,62.1523392730655,61.1068114744431,62.2884136194733,60.9337153008133,61.2283679971107,62.2458190029781,60.8968001610906,60.8064866593893,61.4155175623551,62.3047765616809,60.7057181206874,61.4369923632054,61.9883579299284,62.9842542629699,61.2539362860414,62.0741969265217,62.231023562469,62.6659928512031,62.2753846631997,60.7446186541645,61.5266541427504,63.1222499743205,63.4125587130368,61.8066627256168,62.6459669851014,60.0033037144238,61.0249937485544,62.2235807109951,60.3547465958877,61.3628029392276,62.5942226039956,61.9995918418759,62.2575702162117,60.4809632639992,61.6477131878343,62.1269012267412,61.1693142907723,62.3989184515791,61.557487683974,61.4959605695149,63.013224383975,61.262068954096,62.9992433755075,62.0711714333177,62.7809174875839,62.42005213397,60.444772969098,62.8572428834003,63.1273000980419,60.4510364712214,61.9529966302181,61.4904319028156,61.2531213927011,61.6526384474761,61.5729381241744,61.4439769775441,60.5202907358091,61.2821681579094,64.2088377931506,61.2586508851961,60.9433774195234,62.5834907033692
"Height",51.1426612956706,51.4043379465592,52.5389107554192,51.9682499102811,51.4708917631395,51.658249617166,52.4269780048601,51.6133277856119,52.2411355315325,51.803816764788,51.8983025954595,51.2613963166385,51.5440105279702,50.8791336861536,52.2450625171064,51.7252704264099,51.5367529977943,50.6271271453463,52.1645406915018,52.2820541126418,50.9626612061774,51.2166731000799,52.0674728657316,51.4468811640912,51.3079752463901,51.2019739455381,50.7664840348917,51.357295290954,51.3560869837757,51.6826121904509,51.3120231782225,51.3447035637349,50.3393705164765,52.0509501386228,50.5119311842775,50.9983591677888,51.2392729320629,51.7704814992729,50.7834541540947,52.0601882850971,51.9599747526768,50.4936917229946,50.6891892879292,51.6199352290868,52.0267893927444,51.330736877203,50.8425402052589,50.8365469004058,51.0846102780255,51.4542597959815,51.0719686643689,50.5221393385593,51.3138383762642,52.232939562067,51.3448271470979,51.161735889943,51.9727128908554,51.5882497344198,51.4909734196344,51.1559993267596,51.7406195954068,51.9026055262874,51.8028232116122,51.0882529676187,51.1988560738768,51.3368348458968,51.4903973418317,51.3483730958093,51.1429718784897,50.7629974388662,51.5406338783322,51.0046810914114,51.8068568222875,50.6441580453171,52.1656345567439,50.9515009677421,51.4971644469343,51.5078992829756,50.7910812583404,51.5539085658985,51.1322347740324,50.842198670336,52.246155218952,52.5211362875922,50.87871246149,51.5910506503702,51.3616174485207,51.8148075404277,51.5139705168042,51.1388658188625,50.8777353615321,51.5650286477805,51.0312169852639,50.9161964245531,50.6131877794127,51.7222728857056,51.573046638182,50.6852146990259,51.1152987145356,51.5308368960863
"Max Max Perpendicular Distance",27.991107392549,27.4996258795506,28.1035813044899,27.0826009788165,27.5215952180357,27.7892432057717,28.0547981768372,27.952740537768,27.5386017222411,27.9412614117856,28.2444782521375,26.1374834449563,27.4805599298584,28.5069398398695,28.7461063541117,28.4243270732275,27.4326871081576,27.7850076475007,26.6865510803178,27.4372482978314,27.7436954404537,28.4357855123082,27.3668509148225,26.9661046774997,27.0212361237577,27.8565923230266,27.5817279615456,28.4755419987264,27.8032917957222,28.4417441924413,28.0137189669016,27.4294496531101,27.4283816861122,28.0659798884514,27.7477822845339,27.3730073930386,28.8849750676458,28.1336223601915,28.6374594411916,26.7875883295176,26.7131085574033,27.9486163310443,28.8624773334925,27.6078233768519,27.9899271749907,27.2810263062606,27.6325077786179,28.8995373748154,27.4590380036421,27.9264015414434,27.1045091779574,28.1010814235185,27.1821512657113,27.9892347957056,26.6834248932464,27.862776445703,27.4331517888688,27.8422707881998,28.9770067825368,27.6507647205877,27.950298381241,27.5692640499893,28.0354499654421,27.7665142568884,27.7255675021136,28.0355682527087,27.0358486500132,27.4934093446941,27.2978490846406,26.5647568128701,26.8199596903394,27.6547685537526,28.4846763064168,27.8425949159536,27.0828547198929,26.9280128628177,27.7218819487872,27.7757144941118,27.0321377016504,27.9757231709373,28.5118691066832,28.4752280657769,27.3620285073963,27.146421550329,29.3223587150064,29.1593295540543,28.6744883777389,27.7051704526154,27.2906240023936,27.5708515865556,27.4924115022084,26.8999810948736,27.9901189601609,28.7256642848251,27.7799328199122,28.313763400896,27.3876443092031,27.3916440220475,26.7858475546697,26.647619857058
"Mean Max Perpendicular Distance",25.7086439947596,26.8836431197979,26.7111609474215,27.2934269679485,25.9258772109169,26.9434128548308,27.0319714638946,27.8357480251456,26.364938321574,26.8283030551525,26.5209229774266,26.3647052164724,27.0989156128486,27.0855131167383,26.0624357411363,25.8175245986682,27.1319683046333,27.2452136452865,26.3628631575692,26.4909549118572,26.3170953781478,26.6210822423214,25.6455278426075,27.0196424135676,27.0904666143329,26.3585658725022,26.7340814776074,26.6614633396406,26.0375937519109,25.6674031163392,25.9949540170284,25.135349272791,26.1608685395572,26.6481066132516,25.7484102077639,27.6949621602618,27.6899605546694,26.6233451127722,26.425781382244,26.0014372141399,25.8839579261684,27.2047665343442,27.5152163476968,25.6979183464214,27.3698932260639,26.4636709816394,26.2333483840764,26.0619702218441,26.9405790309325,25.1202671942731,26.0809886501978,26.6739490318967,26.941652732917,26.4431888191252,26.3232146221189,25.7310586468584,27.3521703815248,26.9231354136558,25.8391461156286,26.3299400255824,26.8680623086118,26.171432101648,26.7312781382464,27.1526793697072,25.642868205643,27.2855811474306,26.0146797028259,26.9894024149307,25.4401416828076,26.9404028035577,26.306412023152,26.1970355722923,25.4434379082389,26.1000030406788,25.6583863140826,26.4902134388099,26.2668353285069,27.5308487219539,26.4905414249941,26.3559747624817,27.3686641635453,26.753395833158,25.9406815402657,26.8911968051315,25.8714742822352,27.0435947360466,26.1987657001355,26.5888378114386,26.0404499916814,27.0110383974347,27.4160947536307,26.6487896017184,26.8358147585721,27.2170400715093,26.0379287139883,25.8538128512451,26.0770594830763,26.600203338737,26.3441778362183,25.8709990530713
"Var Max Perpendicular Distance",25.3094088218225,24.3109584111364,24.6835519196543,24.3224189425785,25.0145620492186,24.5777195901979,24.4756907675874,24.9994287323367,24.3225907532386,24.4235695959871,24.143872020537,24.9684568738731,24.7766259273818,24.7368936341314,24.917307974786,24.8101213149885,24.732342780287,24.9669446747107,24.7943861836571,24.8184810288812,24.8664253609519,24.9086809554467,24.825637042131,24.6061075304077,24.8833590679474,25.0536409057149,24.7115111373683,24.3640697111257,24.9938987395297,23.8428658021561,24.8256715367037,24.1423468492686,24.4465396098327,24.2820117736334,24.9429038472439,25.0705265595781,24.8218471131856,25.0079307424496,24.8495386426939,24.3619537575913,24.7134887889998,25.3734265484215,24.5503367460002,24.6418492616366,24.8689960052051,24.5469531433918,24.1434714172512,25.0166119336852,24.3766020074514,24.6050526637044,25.1184714846243,24.8282238483519,24.4476887993858,25.2284336105161,24.9558547959503,25.2330161741522,25.3392121538042,24.2483183173339,24.4135247695031,25.0582288170663,24.4716883128205,24.5385563354876,24.4693834693444,25.3600531396152,24.7950345143832,24.5455737074577,25.5406901406706,25.4630737844942,25.0540195467455,24.9355813024583,24.6680203461935,24.861346705193,24.7532569101908,25.1336233069326,24.5407569792618,25.2838982713385,24.5174538686406,24.8588126884242,25.1855180601844,24.9926668307855,24.3470022206952,25.2738542142103,25.5216540631966,24.6636349159817,24.4108642134357,24.7998975953896,24.8755438322073,24.7842656325453,24.3922219783203,24.6844575965983,25.2336695378369,24.2451165993867,24.7661836551468,25.1653417961519,25.1632305025611,24.76819782601,25.155965920376,25.3272804902174,25.4444549831519,24.1816691711718
"Mean Path Length Ratio",18.5801698105344,18.8960079215021,19.3021776411613,18.7484220443545,19.0504787354624,18.8387950417637,18.8016893493513,19.1360820346965,18.8634281463579,19.0647045073869,18.4961531695851,18.7936889024236,19.192707032676,18.8706421266328,19.0259731272977,18.7335015963122,18.9970563542778,19.2454776174785,19.3085415797366,18.7760465913572,18.4989176501493,19.0948924548456,19.2269151441094,18.936919731173,19.1495735105953,19.0793682603787,18.9924057286326,19.1917453505734,18.9514867605053,19.7836196536743,19.1619687957896,19.0814358275724,18.845930922043,19.2644028866702,19.4258886107188,19.4500900192864,18.4781998380311,19.3198760563294,18.7003190373129,18.2634517198612,19.2143728150849,19.1842308463329,18.7508810082629,18.7709883205642,18.6592410106142,18.960962687642,18.4848656807186,19.2531446343204,18.9576320513134,18.6353931760627,18.5904309178387,19.2998792331347,19.1614455091279,19.4378799823418,19.1350714190636,19.3283103200105,18.9358399892827,19.1523282571409,18.8565776679069,18.9280362712127,18.6121660781486,18.8529752753105,18.8046299361078,18.953666387513,18.8499868112664,19.0855762543159,18.8789748131621,19.1338843491642,18.7909442404701,19.2008697077577,19.5438167104168,19.1558090526872,19.0560639935326,19.1161316266991,18.8189070848387,18.7768442713651,19.0173125506779,19.0900368364487,19.4507533243613,19.3256856662463,19.2050954571846,19.1424539778196,18.8175694339637,18.9122710891013,19.3672039916888,19.1486382707711,18.7778916190589,19.006877268061,19.0375231767473,19.0336823720918,18.7052393076215,18.2263799266142,18.190219763906,18.6670965991189,18.8571567420725,19.1360095229378,18.7492717744362,19.0711697005651,18.752192764414,19.1419034702727
