"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Age",-0.0389330505572303,-0.123206068759608,-0.218381586099076,-0.182478552310553,-0.0216507215856431,-0.138588499883589,-0.19780589104887,-0.0176481610927386,-0.0429161821201094,-0.157109521323696,-0.0236108862005744,-0.146170183487821,-0.187801036466118,-0.108627258325299,-0.144869944539076,-0.118986252356121,-0.0348192932625488,-0.137886977231137,-0.196195529491211,-0.128560021508215,-0.132790975312389,-0.143978234856657,-0.0395099686511469,-0.112904176704921,-0.207189237096487,-0.123482030182378,-0.160897922107476,-0.020328804035928,-0.171881244335139,-0.143173064796103,-0.221938234638678,-0.173749147138526,-0.0169760075385898,-0.111071776141502,-0.173749147138526,-0.126304347672819,-0.158635952000178,-0.16014747083336,-0.122646454217632,-0.154765285297878,-0.154765285297878,-0.201315911018953,-0.143173064796103,-0.123344367500789,-0.0169760075385898,-0.156342213779943,-0.125293829673016,-0.0229605076467085,-0.192350270723849,-0.218783265908121,-0.142888962853106,-0.184277304943389,-0.0102756827394468,-0.0330152102840407,-0.018994642634912,-0.119443210066198,-0.137178956941896,-0.115421418710477,-0.200729125146857,-0.171154705053271,-0.020328804035928,-0.135380082738105,-0.0122745859069703,-0.12221991931937,-0.124957640092203,-0.177558470842696,-0.218162237240082,-0.134648843113285,-0.120754778844365,-0.202534172709788,-0.0354151312306946,-0.222973172778829,-0.0371862533256487,-0.138238547022199,-0.12149578775216,-0.018994642634912,-0.150733772701225,-0.137178956941896,-0.188954121257106,-0.121641952368516,-0.154765285297878,-0.154154794282277,-0.120120795694746,-0.183680482550406,-0.018994642634912,-0.0287073790040606,-0.0551732912681011,-0.0229605076467085,-0.018994642634912,-0.018994642634912,-0.235005375190658,-0.121201429378172,-0.154765285297878,-0.147347874407909,-0.0229605076467085,-0.172478697091273,-0.152090042812555,-0.130889788957901,-0.14873063850655,-0.165890596507899
"Dominant Side Affected?",NA,-1.7911621558687,-3.35491502164086,-2.95474041965378,NA,-2.20236401255284,-3.12457796612472,NA,NA,-2.63897888114132,NA,-2.40931088860032,-3.0137172365402,-1.31683734736084,-2.37608550494986,-1.60333651270891,NA,-2.18544995796235,-3.10673404288723,-1.96052521708274,-2.06258285688421,-2.35325856784601,NA,-1.43512427197704,-3.23786916006433,-1.80536941481484,-2.69904074228137,NA,-2.8365841277891,-2.32763347432223,-3.42185445848074,-2.85797659099357,NA,-1.38444548690961,-2.85797659099357,-1.91241286115757,-2.66317028771924,-2.68713923501179,-1.76235164812423,-2.60047785957037,-2.60047785957037,-3.16756841331038,-2.32763347432223,-1.79828215839719,NA,-2.62686355396188,-1.87555219144458,NA,-3.06412590811973,-3.37179870132368,-2.31429479157141,-2.97467184670079,NA,NA,NA,-1.61597461271619,-2.16837924216787,-1.50474374771234,-3.16006613784383,-2.8291435275171,NA,-2.12500750445136,NA,-1.74039244930449,-1.86304215722275,-2.9002224819605,-3.35364258384952,-2.10737695910874,-1.66496273389876,-3.18280001165517,NA,-3.43280032389863,NA,-2.19392647774057,-1.70311214909588,NA,-2.51223215453802,-2.16837924216787,-3.02649421596998,-1.71063710868217,-2.60047785957037,-2.58693747630695,-1.63471462902023,-2.9680586405445,NA,NA,-0.0577665266517976,NA,NA,NA,-3.3637603883945,-1.68795776393156,-2.60047785957037,-2.43771125376169,NA,-2.84361445368455,-2.54191927495576,-2.01674432071488,-2.46819740892056,-2.76898739917506
"Height",NA,0.177141371116883,0.17374110964563,0.194506795035182,NA,0.201677979275757,0.187425388141032,NA,NA,0.203692287030689,NA,0.206170502674827,0.192047746100687,0.101162024836902,0.206244889949308,0.153288449513792,NA,0.2009628953392,0.188169393713767,0.191458224013205,0.195768381519865,0.206325595580408,NA,0.122683464380282,0.182035534185185,0.178770622777668,0.20307290657525,NA,0.199389865369714,0.206208894817119,0.162497759222517,0.198539975187329,NA,0.113462830633149,0.198539975187329,0.188584885115809,0.203442685542735,0.203195583606679,0.173837456704631,0.204102725353467,0.204102725353467,0.185688138321805,0.206208894817119,0.177957874566867,NA,0.203817962812289,0.185262496529652,NA,0.189945947518046,0.171087266137455,0.206000569644087,0.193675750617599,NA,NA,NA,0.155587859242573,0.20024118815865,0.135350218063672,0.185974618662562,0.199738951593433,NA,0.198407539533731,NA,0.17131923265577,0.184135595031463,0.19677992909326,0.173971080385422,0.197662164159671,0.162669137721899,0.185092697714915,NA,0.160310910130077,NA,0.20132126140092,0.167044024379442,NA,0.205107825441695,0.20024118815865,0.191515007656795,0.167906967256089,0.204102725353467,0.204230040188126,0.158997467948165,0.19395148943178,NA,NA,NA,NA,NA,NA,0.133234426751982,0.165306158728523,0.204102725353467,0.205924759454126,NA,0.199127266322139,0.204769690723148,0.193830443039978,0.205581337094406,0.201975656171379
"Var Speed Ratio",NA,5.18114563742366,21.8813876899768,16.7817369781211,NA,8.7820450438179,19.0249351260426,NA,NA,12.949937249971,NA,10.9184725508439,17.5606971618793,0.94512396489283,10.5164893472054,3.37164422166485,NA,8.60081955700299,18.7892542863812,6.18705434803796,7.28436110002555,10.2421074798666,NA,1.94696150373434,19.9470742691022,5.32168700112537,13.5355439007863,NA,15.2232280345504,10.0039842884162,22.6021640544511,15.5039834522385,NA,1.51773477839533,15.5039834522385,5.72335528297172,13.1858176215967,13.4195066258103,4.89614569037559,12.5899458646874,12.5899458646874,19.3589689944824,10.0039842884162,5.2515782851784,NA,12.8310449314778,5.60022042978048,NA,18.226490097993,22.0203135905116,9.92198643035939,17.0449893693847,NA,NA,NA,3.47868329676142,8.4179155251175,2.53660743841738,19.3112897104985,15.1236615600848,NA,7.9532094287981,NA,4.67892041422462,5.56024547338486,16.0616695220179,21.8273540907773,7.76430710822002,3.93275063245571,19.4501221580321,NA,22.7597449285843,NA,8.69164115244522,4.31013539731071,NA,11.830599588355,8.4179155251175,17.7294542900213,4.38457397031556,12.5899458646874,12.4690261140946,3.63740288367096,16.9576427719462,NA,NA,NA,NA,NA,NA,24.3850123636993,4.16022484871045,12.5899458646874,11.1863200350149,NA,15.3154265170715,12.0860526119869,6.79322430617997,11.4473304381449,14.32447445841
"Max Max Speed",-2.92504497332512,-5.06089678448222,NA,NA,-0.676076780076647,-2.55077225058967,NA,-0.155203202241833,-3.44337419904267,-0.39306179709537,-0.93115512511678,-1.11548134969233,NA,-5.61711393247122,-1.33277866634966,-5.42584726887921,-2.38971727960438,-2.67509381392659,NA,-4.32846915776443,-3.57819070338082,-1.48245606982841,-3.00011994993625,-5.53814565558142,NA,-5.02908984854618,-0.159317929988081,-0.50405421712843,NA,-1.64941466304445,NA,NA,-0.0652387673601378,-5.57197878079478,NA,-4.6071148151814,-0.298785992174254,-0.205587717504161,-5.12539719075957,-0.535825721475168,-0.535825721475168,NA,-1.64941466304445,-5.0449566608351,-0.0652387673601378,-0.440933300503204,-4.75785446874634,-0.846520659263244,NA,NA,-1.73764495619077,NA,NA,-2.15495000701536,-0.330438347890816,-5.417410081219,-2.80056686732695,-5.49166773712489,NA,NA,-0.50405421712843,-3.11935750435054,NA,-5.17455901942152,-4.8085653987056,NA,NA,-3.24894541290021,-5.34342881081164,NA,-2.46725431994731,NA,-2.69773235704867,-2.61278975874886,-5.25802143288417,-0.330438347890816,-0.781107028574405,-2.80056686732695,NA,-5.24117469923069,-0.535825721475168,-0.570339554268493,-5.40489925805561,NA,-0.330438347890816,-1.59436725532238,-4.78254404175025,-0.846520659263244,-0.330438347890816,-0.330438347890816,NA,-5.29194877600674,-0.535825721475168,-0.985967122943069,-0.846520659263244,NA,-0.698591265125595,-3.91511278985046,-0.900322890957763,NA
"Brainstem Stroke?",NA,-1.16374729094998,NA,-0.56180689354204,NA,-1.3285343778584,-0.259423635052581,NA,NA,-1.08445766163289,NA,-1.3150403272087,-0.456803009326013,-0.583717061035355,-1.33471947826452,-0.955911980861659,NA,-1.322379265126,-0.291193427804252,-1.24034537294557,-1.27766728585198,-1.34863741645034,NA,-0.737385196056052,-0.0816187989890552,-1.17884360685553,-1.00234398033338,NA,-0.770524443080002,-1.36040415487987,NA,-0.734026933860796,NA,-0.671547704619906,-0.734026933860796,-1.23027731755159,-1.05136347332339,-1.01860681344112,-1.13313388917003,-1.13550628652569,-1.13550628652569,-0.190008805690383,-1.36040415487987,-1.1713128465456,NA,-1.10111241430659,-1.21428439723008,NA,-0.367054077566219,NA,-1.362270220857,-0.526320453813705,NA,NA,NA,-0.972330306594842,-1.31616714256391,-0.827828793537991,-0.201362107735398,-0.785212680649896,NA,-1.30038394087107,NA,-1.10980053516611,-1.20880939232868,-0.658872032297592,NA,-1.29396809341492,-1.0296503836438,-0.166511669568803,NA,NA,NA,-1.32546391490848,-1.07018732116343,NA,-1.22037866586995,-1.31616714256391,-0.434054537307066,-1.0781831750816,-1.13550628652569,-1.14804678986426,-0.996675713874997,-0.538094780917124,NA,NA,NA,NA,NA,NA,NA,-1.05408460992504,-1.13550628652569,-1.29145106313396,NA,-0.759055164720263,-1.19182609539945,-1.26098639318952,-1.26223525380209,-0.891801764015414
"Max Number of Speed Peaks",NA,-0.0133110864978882,NA,-0.0137139170816854,NA,-0.0267509518904603,-0.00895094997121177,NA,NA,-0.0224471092613599,NA,-0.0276537783619446,-0.0120599563118742,NA,-0.0288255135001037,NA,NA,-0.0260794752328062,-0.00945136946777815,-0.0171263285510656,-0.0212017334747587,-0.0296493404971145,NA,NA,NA,-0.014541352482925,-0.0208178110782094,NA,-0.0169868542515197,-0.0304221008217725,NA,-0.0164265441218574,NA,NA,-0.0164265441218574,-0.0158559842886101,-0.021788878566986,-0.0211399161267457,-0.0108162641099774,-0.0234345911978732,-0.0234345911978732,-0.00472702315549509,-0.0304221008217725,-0.0139276373017685,NA,-0.0227833399046462,-0.0155894480489041,NA,-0.0106462827761466,NA,-0.0305133267059024,-0.0131549551003461,NA,NA,NA,NA,-0.0254017792301055,NA,-0.00553655262091828,-0.01723273858344,NA,-0.0236799502432882,NA,-0.00891472522277842,-0.0154997739522848,-0.0152428309872742,NA,-0.0229800293818566,-0.00238293678333552,-0.00302342235245479,NA,NA,NA,-0.0264159874001741,-0.00568646807381926,NA,-0.0252387789440765,-0.0254017792301055,-0.0117016354690422,-0.00633808580346917,-0.0234345911978732,-0.0236730126471156,NA,-0.013340417526479,NA,NA,NA,NA,NA,NA,NA,-0.00437418645644205,-0.0234345911978732,-0.0267371898870834,NA,-0.0168199615930036,-0.0246318130141234,-0.0193819729365612,-0.0261008083998761,-0.0188369802739558
"Initial Box-and-Blocks Score",NA,NA,0.0552301232692858,0.047034181185671,NA,0.020640249270067,0.0527118804989008,NA,NA,0.0370198182921206,NA,0.0311011039817629,0.049005786638561,NA,0.0296624845420693,NA,NA,0.0196324069549777,0.0521153549789742,0.00622617501873278,0.0123112372769789,0.0286800170151465,NA,NA,0.0540314087086997,NA,0.0388909920637348,NA,0.043088651804534,0.0276218899380734,0.0705746336662068,0.0438002669974375,NA,NA,0.0438002669974375,0.00368248526712369,0.0377741479731842,0.0385204567685907,NA,0.0358837224846669,0.0358837224846669,0.0534245795233642,0.0276218899380734,NA,NA,0.0366379578312797,0.00234238075239853,NA,0.0506909574736161,0.0593439327315438,0.0270573567620249,0.0477004923282981,NA,NA,NA,NA,0.0186152298118812,NA,0.0533269229382199,0.0428380374844505,NA,0.0160308777089725,NA,NA,0.00189324631933976,0.0452116375719737,0.0551405985053235,0.0149803425141541,NA,0.0536101667888673,NA,0.0733228090764313,NA,0.0201374895932937,NA,NA,0.0337828190415799,0.0186152298118812,0.0494329233279536,NA,0.0358837224846669,0.0355633949720383,NA,0.0474794116730964,NA,NA,NA,NA,NA,NA,0.090417532758459,NA,0.0358837224846669,0.0320085851830794,NA,0.043323880634028,0.0344895901978963,0.00957989809667763,0.0327365297141789,0.0409371619237163
"Var Trial Time",NA,NA,-0.782338822007578,-0.458936541793656,NA,-0.0863323164194245,-0.585744137712904,NA,NA,-0.251857545570592,NA,-0.160048972669191,-0.502971023683036,NA,-0.143503943329353,NA,NA,-0.0812989878097627,-0.572421141387581,-0.0143080142481778,-0.0447358744681748,-0.1321211142051,NA,NA,-0.670477610995093,NA,-0.281513092421011,NA,-0.371112536129925,-0.122105495185014,-0.947349847493062,-0.386711967031641,NA,NA,-0.386711967031641,-0.000254243443077206,-0.263809436999701,-0.275639527423435,NA,-0.233693284705733,-0.233693284705733,-0.618648620262721,-0.122105495185014,NA,NA,-0.24582348068566,NA,NA,-0.540608181009927,-0.825467166241239,-0.118886742522928,-0.47381815307117,NA,NA,NA,NA,-0.0762190395492178,NA,-0.613082856338206,-0.365232634192373,NA,-0.063312364385597,NA,NA,NA,-0.418231257700812,-0.778358170369265,-0.0580658205836854,NA,-0.630048135773953,NA,-0.976497201478952,NA,-0.0838214527386681,NA,NA,-0.200231947796761,-0.0762190395492178,-0.512510834392037,NA,-0.233693284705733,-0.228573971703433,NA,-0.468880465313556,NA,NA,NA,NA,NA,NA,-1.27623471275294,NA,-0.233693284705733,-0.172026745653302,NA,-0.376137208986531,-0.211488828927945,-0.0310951198473201,-0.183552940212464,-0.321604305724053
"Months Post-Stroke",NA,NA,-0.00725390607795878,-0.00535588230867359,NA,-0.00222440973539795,-0.00604039593834977,NA,NA,-0.00418912903157898,NA,-0.00356608054344094,-0.00559358260423241,NA,-0.00342031550284635,NA,NA,-0.00207896590008282,-0.00596847774995827,-0.000143009082624881,-0.00102243257037578,-0.00332154041443609,NA,NA,-0.00638161602513872,NA,-0.00439105192783053,NA,-0.00487758983314351,-0.0032114821503679,-0.00946714007883719,-0.00496596406350187,NA,NA,-0.00496596406350187,NA,-0.00427048295657993,-0.00435104738505247,NA,-0.00406825584560056,-0.00406825584560056,-0.00617715208545233,-0.0032114821503679,NA,NA,-0.00414792170509161,NA,NA,-0.0057967498276603,-0.00789865215344735,-0.00314163354543325,-0.00543621397711418,NA,NA,NA,NA,-0.00193217493618709,NA,-0.00615456803094578,-0.00484982491955112,NA,-0.00155922167155024,NA,NA,NA,-0.00513615317206223,-0.00721137738007239,-0.00140761673734546,NA,-0.00622094285927002,NA,-0.00981788658975701,NA,-0.00215185543346311,NA,NA,-0.00384484061565948,-0.00193217493618709,-0.0056450789708932,NA,-0.00406825584560056,-0.00403170765741623,NA,-0.00540956009613273,NA,NA,NA,NA,NA,NA,-0.012067473613977,NA,-0.00406825584560056,-0.00365391460157356,NA,-0.00490786219238724,-0.00391999917071683,-0.000628267224021568,-0.00373108154964534,-0.00461781609421136
