"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Age",-0.125293829673016,-0.127753369349906,-0.0162175276482001,-0.141666529615126,-0.195109516006303,-0.138238547022199,-0.026182625647105,-0.149364593740949,-0.124619915568804,-0.127753369349906,-0.0209912862453471,-0.212636783895875,-0.152817685359062,-0.0196632608795762,-0.172478697091273,-0.147347874407909,-0.20771980271251,-0.204399308805747,-0.129727939128853,-0.216749149033369,-0.112126096715742,-0.0216507215856431,-0.0112774379450731,-0.139283584529301,-0.205636497403227,-0.129727939128853,-0.181265489563608,-0.131655525597433,-0.121053229414226,-0.140993516261911,-0.0216507215856431,-0.164543421501408,-0.130116973556628,-0.181265489563608,-0.171881244335139,-0.0169760075385898,-0.190096623969766,-0.13203575488421,-0.135380082738105,-0.176299842366944,-0.149364593740949,-0.020328804035928,-0.118292867749189,-0.0354151312306946,-0.127753369349906,-0.176299842366944,-0.0371862533256487,-0.171154705053271,-0.127276914522799,-0.151468184376816,-0.170516572427814,-0.140654675589534,-0.14528005139759,-0.195109516006303,-0.158635952000178,-0.129727939128853,-0.154154794282277,-0.196195529491211,-0.20311426781298,-0.0183229353262605,-0.223118315874058,-0.00825826534902105,-0.147347874407909,-0.173108770645568,-0.018994642634912,-0.194562742992545,-0.121348947794116,-0.122076425153808,-0.020328804035928,-0.192907219276429,-0.271611537587234,-0.140654675589534,-0.118756188781616,-0.172478697091273,-0.121641952368516,-0.13203575488421,-0.120454354253883,-0.119443210066198,-0.178183449098987,-0.201315911018953,-0.173108770645568,-0.133165982488773,-0.130116973556628,-0.14873063850655,-0.125628476720473,-0.166502375004487,-0.213276704928026,-0.150106075596294,-0.180654751315497,-0.191790748834287,-0.119215257828851,-0.167853480561943,-0.165890596507899,-0.128560021508215,-0.139628731084246,-0.183080902586502,-0.139283584529301,-0.183680482550406,-0.135380082738105,-0.134648843113285
"Dominant Side Affected?",-1.87555219144458,-1.94163106022759,NA,-2.27657681627114,-3.09470026005913,-2.19392647774057,NA,-2.48226275640182,-1.85047473069957,-1.94163106022759,NA,-3.29687703953068,-2.55766774332886,NA,-2.84361445368455,-2.43771125376169,-3.24371713871957,-3.206250335095,-1.98873123467088,-3.34337492971333,-1.41360487860637,NA,NA,-2.219122843649,-3.22028140092213,-1.98873123467088,-2.94129884284836,-2.03520660828993,-1.6803280172659,-2.26035013484237,NA,-2.75275972180368,-1.99811130268244,-2.94129884284836,-2.8365841277891,NA,-3.03915393863063,-2.04437412261498,-2.12500750445136,-2.88627576991473,-2.48226275640182,NA,-1.58415954334681,NA,-1.94163106022759,-2.88627576991473,NA,-2.8291435275171,-1.93195773933358,-2.52812685977551,-2.82184788223296,-2.25218052034735,-2.38653916874902,-3.09470026005913,-2.66317028771924,-1.98873123467088,-2.58693747630695,-3.10673404288723,-3.19036550749427,NA,-3.43433552636467,NA,-2.43771125376169,-2.8508035777664,NA,-3.08864163574621,-1.69555242103391,-1.73300497192835,NA,-3.07029728446203,-2.95328294377889,-2.25218052034735,-1.59697363404747,-2.84361445368455,-1.71063710868217,-2.04437412261498,-1.64947040009382,-1.61597461271619,-2.9071476899332,-3.16756841331038,-2.8508035777664,-2.07162446349719,-1.99811130268244,-2.46819740892056,-1.88800477130665,-2.77678415202787,-3.30420945589948,-2.49831070308125,-2.93453143932681,-3.05792601741844,-1.60967012740181,-2.79237560808634,-2.76898739917506,-1.96052521708274,-2.22744449605989,-2.96141487858917,-2.219122843649,-2.9680586405445,-2.12500750445136,-2.10737695910874
"Height",0.185262496529652,0.190590373895278,NA,0.204815511056911,0.188671144442349,0.20132126140092,NA,0.20544917494081,0.183003509862734,0.190590373895278,NA,0.177697387820579,0.204563164546331,NA,0.199127266322139,0.205924759454126,0.181612175055631,0.184132438555769,0.192646148285213,0.174191060833919,0.118768168374914,NA,NA,0.202386500751091,0.18322691750911,0.192646148285213,0.195067243984872,0.194610982188493,0.164431199058574,0.204129487538938,NA,0.202365166687423,0.193042691028714,0.195067243984872,0.199389865369714,NA,0.190987158254876,0.194998561765242,0.198407539533731,0.197361428332025,0.20544917494081,NA,0.14979934039974,NA,0.190590373895278,0.197361428332025,NA,0.199738951593433,0.189916969407211,0.204899377139255,0.200033853760537,0.203784096665212,0.206244069776047,0.188671144442349,0.203442685542735,0.192646148285213,0.204230040188126,0.188169393713767,0.184784643520895,NA,0.160004220376124,NA,0.205924759454126,0.198836142088408,NA,0.188923759867327,0.166177094343404,0.170472055882987,NA,0.189688630877025,0.208963260736908,0.203784096665212,0.152130770346138,0.199127266322139,0.167906967256089,0.194998561765242,0.160891301804282,0.155587859242573,0.196491182087906,0.185688138321805,0.198836142088408,0.196150638039978,0.193042691028714,0.205581337094406,0.186384219809444,0.201824691594044,0.177156815550132,0.205238733504628,0.195349412083958,0.190204453070368,0.154440804316715,0.20126228927091,0.201975656171379,0.191458224013205,0.202738319407747,0.19422850227546,0.202386500751091,0.19395148943178,0.198407539533731,0.197662164159671
"Var Speed Ratio",5.60022042978048,5.98704432025318,NA,9.5771974663071,18.6303132282136,8.69164115244522,NA,11.5727807040024,5.52008284383811,5.98704432025318,NA,20.7498353835654,12.2171209387648,NA,15.3154265170715,11.1863200350149,20.0223879142354,19.592441964511,6.49305097800856,21.5855070092793,1.76470183165487,NA,NA,8.96160738988942,19.7261974582796,6.49305097800856,16.6042019112716,6.99103852110125,4.08474968085399,9.40333683309313,NA,14.101105407762,6.59357580475377,16.6042019112716,15.2232280345504,NA,17.8966627019177,7.08926377785521,7.9532094287981,15.8774655849731,11.5727807040024,NA,3.20922383707458,NA,5.98704432025318,15.8774655849731,NA,15.1236615600848,5.90003351938122,11.9628823622315,15.0281234393656,9.31580357156624,10.6487711291156,18.6303132282136,13.1858176215967,6.49305097800856,12.4690261140946,18.7892542863812,19.498089628651,NA,22.7818443450584,NA,11.1863200350149,15.4096760634439,NA,18.5502914949738,4.23535288667623,4.60584184581849,NA,18.3080010493046,21.1336573220471,9.31580357156624,3.31775347491659,15.3154265170715,4.38457397031556,7.08926377785521,3.77923687582736,3.47868329676142,16.1531368148667,19.3589689944824,15.4096760634439,7.38123731335906,6.59357580475377,11.4473304381449,5.6400109429115,14.4316225533881,20.8813685134016,11.7062880457513,16.5148186901477,18.144602531742,3.42528711564067,14.6389162692073,14.32447445841,6.18705434803796,9.05076966030767,16.8698925964249,8.96160738988942,16.9576427719462,7.9532094287981,7.76430710822002
"Brainstem Stroke?",-1.21428439723008,-1.2338905930772,NA,-1.3555408044151,-0.312618692942367,-1.32546391490848,NA,-1.24920557164256,-1.20330890267963,-1.2338905930772,NA,NA,-1.17619302371259,NA,-0.759055164720263,-1.29145106313396,-0.0723387708003461,-0.13072625190506,-1.25079094828858,NA,-0.709429062639129,NA,NA,-1.33463300395118,-0.108425321901403,-1.25079094828858,-0.585738632275781,-1.26770492573734,-1.0459774098644,-1.34963583036334,NA,-0.921927180371082,-1.25420548684135,-0.585738632275781,-0.770524443080002,NA,-0.411514832340309,-1.27104103235469,-1.30038394087107,-0.683702716144329,-1.24920557164256,NA,-0.930998921985672,NA,-1.2338905930772,-0.683702716144329,NA,-0.785212680649896,-1.23259079069268,-1.20460010326453,-0.797766232822781,-1.34666286501502,-1.32899648557,-0.312618692942367,-1.05136347332339,-1.25079094828858,-1.14804678986426,-0.291193427804252,-0.155118946148518,NA,NA,NA,-1.29145106313396,-0.746661475733793,NA,-0.323405627868053,-1.06215452302628,-1.10195076677389,NA,-0.356066395946104,NA,-1.34666286501502,-0.947645879596124,-0.759055164720263,-1.0781831750816,-1.27104103235469,-1.01316312323168,-0.972330306594842,-0.646542236337293,-0.190008805690383,-0.746661475733793,-1.28095757368493,-1.25420548684135,-1.26223525380209,-1.21973418425345,-0.878445823158249,NA,-1.23327300574803,-0.597787496379787,-0.378092526905042,-0.964140064912003,-0.850276650495101,-0.891801764015414,-1.24034537294557,-1.33766129669051,-0.549923510372727,-1.33463300395118,-0.538094780917124,-1.30038394087107,-1.29396809341492
"Initial Box-and-Blocks Score",0.00234238075239853,0.00512243285333729,NA,0.0250622997907477,0.051713063483843,0.0201374895932937,NA,0.0330693331424364,0.00144205259103161,0.00512243285333729,NA,0.054463723887787,0.0348665751219457,NA,0.043323880634028,0.0320085851830794,0.0540686550025616,0.0538689398280752,0.00791067996492326,0.0551016837108651,NA,NA,NA,0.0216388424246403,0.0538975353132721,0.00791067996492326,0.0465848268885371,0.0106799937598833,NA,0.0240954153521353,NA,0.0405122581960331,0.00846962416718141,0.0465848268885371,0.043088651804534,NA,0.0498561401027491,0.0112262500653948,0.0160308777089725,0.044745404323368,0.0330693331424364,NA,NA,NA,0.00512243285333729,0.044745404323368,NA,0.0428380374844505,0.00464587061465538,0.0341633013533665,0.0425968100589717,0.0236086199984844,0.0301233073855331,0.051713063483843,0.0377741479731842,0.00791067996492326,0.0355633949720383,0.0521153549789742,0.0537066283228159,NA,0.0737082155916799,NA,0.0320085851830794,0.043561927247683,NA,0.0515105225980634,NA,NA,NA,0.0508972676797436,0.110266451414639,0.0236086199984844,NA,0.043323880634028,NA,0.0112262500653948,NA,NA,0.0454431479957639,0.0534245795233642,0.043561927247683,0.0128499912281995,0.00846962416718141,0.0327365297141789,0.00278945270190736,0.0411437983469964,0.0545706788580205,0.0334534825589323,0.0463585913891984,0.0504836940274082,NA,0.0416105350681239,0.0409371619237163,0.00622617501873278,0.0221346971226537,0.0472573095321178,0.0216388424246403,0.0474794116730964,0.0160308777089725,0.0149803425141541
"Max Number of Speed Peaks",-0.0155894480489041,-0.0164041133405074,NA,-0.029697150575659,-0.00978884791713486,-0.0264159874001741,NA,-0.0258519570971944,-0.0154096575503926,-0.0164041133405074,NA,NA,-0.0242710724522218,NA,-0.0168199615930036,-0.0267371898870834,NA,-0.000467283182443604,-0.0182697004478809,NA,NA,NA,NA,-0.0274162662791796,NA,-0.0182697004478809,-0.0140908760608225,-0.020114914661036,-0.00371349466687536,-0.029052962172913,NA,-0.0192494384079554,-0.0186422219764836,-0.0140908760608225,-0.0169868542515197,NA,-0.0113466030047018,-0.0204788588901151,-0.0236799502432882,-0.0156339467823216,-0.0258519570971944,NA,NA,NA,-0.0164041133405074,-0.0156339467823216,NA,-0.01723273858344,-0.0162251308756097,-0.0248746729540004,-0.0174296665192802,-0.0287286339400765,-0.0284890311421828,-0.00978884791713486,-0.021788878566986,-0.0182697004478809,-0.0236730126471156,-0.00945136946777815,-0.00221712024753136,NA,NA,NA,-0.0267371898870834,-0.0166255319762654,NA,-0.00995875750978472,-0.00503183959556445,-0.00827501265291856,NA,-0.0104732111370665,-0.0744032155658843,-0.0287286339400765,NA,-0.0168199615930036,-0.00633808580346917,-0.0204788588901151,-0.00103979472788376,NA,-0.0150486193548828,-0.00472702315549509,-0.0166255319762654,-0.0215606792119236,-0.0186422219764836,-0.0261008083998761,-0.015678704151238,-0.0186735892290495,NA,-0.025483984164461,-0.0142806628353402,-0.0108201540791225,NA,-0.0182567015377815,-0.0188369802739558,-0.0171263285510656,-0.0277466303156159,-0.0135267368671601,-0.0274162662791796,-0.013340417526479,-0.0236799502432882,-0.0229800293818566
"Var Trial Time",NA,-0.00867459621517672,NA,-0.108416756679446,-0.563436231384065,-0.0838214527386681,NA,-0.188868660228704,NA,-0.00867459621517672,NA,-0.718107683796175,-0.217475508717792,NA,-0.376137208986531,-0.172026745653302,-0.675006002414347,-0.646853855046838,-0.0227585008147908,-0.76322820291439,NA,NA,NA,-0.0913194532156017,-0.657246006685548,-0.0227585008147908,-0.448900515758423,-0.03658917868031,NA,-0.103587978373314,NA,-0.310515449157207,-0.0255501794603613,-0.448900515758423,-0.371112536129925,NA,-0.521963096444648,-0.0393172716704256,-0.063312364385597,-0.407818266435886,-0.188868660228704,NA,NA,NA,-0.00867459621517672,-0.407818266435886,NA,-0.365232634192373,-0.00592286552731311,-0.206274220505398,-0.359900972847012,-0.101156843121404,-0.148778190424264,-0.563436231384065,-0.263809436999701,-0.0227585008147908,-0.228573971703433,-0.572421141387581,-0.635509847476692,NA,-0.980584885183879,NA,-0.172026745653302,-0.381399721235996,NA,-0.558912616908524,NA,NA,NA,-0.545215980720578,-1.54027564885525,-0.101156843121404,NA,-0.376137208986531,NA,-0.0393172716704256,NA,NA,-0.423401886059646,-0.618648620262721,-0.381399721235996,-0.0474264994162752,-0.0255501794603613,-0.183552940212464,NA,-0.326705599848198,-0.725171240468582,-0.194968618212475,-0.443847698027187,-0.535979091323131,NA,-0.337885345339182,-0.321604305724053,-0.0143080142481778,-0.0937958323082232,-0.463919963358077,-0.0913194532156017,-0.468880465313556,-0.063312364385597,-0.0580658205836854
"Months Post-Stroke",NA,NA,NA,-0.00286256510757841,-0.00591997676455417,-0.00215185543346311,NA,-0.00376899450148696,NA,NA,NA,-0.00664802121866389,-0.00395758248683209,NA,-0.00490786219238724,-0.00365391460157356,-0.00640511003466006,-0.00626901757658807,-0.000387369796384825,-0.00704211770681859,NA,NA,NA,-0.00236851880498758,-0.00630958177016679,-0.000387369796384825,-0.00530170734730251,-0.000787024399326466,NA,-0.00272303198919983,NA,-0.00456593821246408,-0.000468039547137183,-0.00530170734730251,-0.00487758983314351,NA,-0.00569610274560771,-0.000865855792977434,-0.00155922167155024,-0.00507994322251995,-0.00376899450148696,NA,NA,NA,NA,-0.00507994322251995,NA,-0.00484982491955112,NA,-0.00388277105243073,-0.00482017833618457,-0.00265278153217047,-0.00346878890210372,-0.00591997676455417,-0.00427048295657993,-0.000387369796384825,-0.00403170765741623,-0.00596847774995827,-0.00624044895856448,NA,-0.00986707593807693,NA,-0.00365391460157356,-0.00493710360712732,NA,-0.00589555807148253,NA,NA,NA,-0.00582162295676497,-0.0150807642266556,-0.00265278153217047,NA,-0.00490786219238724,NA,-0.000865855792977434,NA,NA,-0.00516406448729178,-0.00617715208545233,-0.00493710360712732,-0.00110018128145849,-0.000468039547137183,-0.00373108154964534,NA,-0.0046452851367186,-0.00670998979028329,-0.00380727003659677,-0.00527443198903774,-0.00577176177421895,NA,-0.00470133541356031,-0.00461781609421136,-0.000143009082624881,-0.0024400766349758,-0.00538278306299072,-0.00236851880498758,-0.00540956009613273,-0.00155922167155024,-0.00140761673734546
"Max Max Speed",-4.75785446874634,-4.46083013432959,NA,-2.00529383034974,NA,-2.61278975874886,-1.26581836559081,-0.864419913096523,-4.8595077757945,-4.46083013432959,-0.590263744792579,NA,-0.651666877768598,-0.417446365119483,NA,-0.985967122943069,NA,NA,-4.12101504441719,NA,-5.55251198913612,-0.676076780076647,NA,-2.42759160987297,NA,-4.12101504441719,NA,-3.77941141060967,-5.30903009872941,-2.12456306837908,-0.676076780076647,NA,-4.05206919284644,NA,NA,-0.0652387673601378,NA,-3.71202841208898,-3.11935750435054,NA,-0.864419913096523,-0.50405421712843,-5.43864980163088,-2.46725431994731,-4.46083013432959,NA,-2.69773235704867,NA,-4.50917886247628,-0.733747279776176,NA,-2.18461131053457,-1.26478722827173,NA,-0.298785992174254,-4.12101504441719,-0.570339554268493,NA,NA,-0.243028246262581,NA,NA,-0.985967122943069,NA,-0.330438347890816,NA,-5.27494600547831,-5.19109796057286,-0.50405421712843,NA,NA,-2.18461131053457,-5.43009512269385,NA,-5.24117469923069,-3.71202841208898,-5.37802165086667,-5.417410081219,NA,NA,NA,-3.51173315098205,-4.05206919284644,-0.900322890957763,-4.70737619842288,NA,NA,-0.816593030136122,NA,NA,-5.42161895167166,NA,NA,-4.32846915776443,-2.3664258597134,NA,-2.42759160987297,NA,-3.11935750435054,-3.24894541290021
