"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Age",-0.144836731384056,-0.134156920315721,-0.172149911129622,-0.178469904182927,-0.165367572985979,-0.172149911129622,-0.141276503829006,-0.184598268216904,-0.137798148506081,-0.20190550371056,-0.130433159722653,-0.172149911129622,-0.150907432165111,-0.158130265011364,-0.190455372248847,-0.150907432165111,-0.141276503829006,-0.144836731384056,-0.134156920315721,-0.184598268216904,-0.0103669423355461,-0.172149911129622,-0.137798148506081,-0.141276503829006,-0.150907432165111,-0.141276503829006,-0.165367572985979,-0.134156920315721,-0.144836731384056,-0.150907432165111,-0.150907432165111,-0.126050214518835,-0.150907432165111,-0.150907432165111,-0.137798148506081,-0.178469904182927,-0.178469904182927,-0.172149911129622,-0.158130265011364,-0.137798148506081,-0.141276503829006,-0.0191126580560919,-0.232028438605561,NA,-0.118102765837562,-0.144836731384056,-0.165367572985979,-0.0191126580560919,-0.172149911129622,-0.126050214518835,-0.150907432165111,-0.178469904182927,-0.144836731384056,-0.150907432165111,-0.144836731384056,-0.165367572985979,-0.158130265011364,-0.158130265011364,-0.137798148506081,-0.190455372248847,-0.158130265011364,-0.172149911129622,-0.158130265011364,-0.137798148506081,-0.190455372248847,-0.141276503829006,-0.150907432165111,-0.0191126580560919,-0.184598268216904,-0.158130265011364,-0.144836731384056,-0.172149911129622,-0.158130265011364,-0.158130265011364,-0.130433159722653,-0.165367572985979,-0.137798148506081,-0.120348909021269,-0.150907432165111,-0.0103669423355461,-0.144836731384056,-0.150907432165111,-0.165367572985979,-0.150907432165111,-0.172149911129622,-0.178469904182927,-0.150907432165111,-0.137798148506081,-0.150907432165111,-0.0103669423355461,-0.158130265011364,-0.158130265011364,-0.150907432165111,-0.144836731384056,-0.184598268216904,-0.141276503829006,-0.184598268216904,-0.165367572985979,-0.158130265011364,-0.158130265011364
"Dominant Side Affected?",-2.37193933307573,-2.09485324263808,-2.84137015974846,-2.91068218270456,-2.76267808748721,-2.84137015974846,-2.26656094844935,-2.97866579174716,-2.18266722377806,-3.17399986182596,-2.00497308728204,-2.84137015974846,-2.5154819184668,-2.65340537012111,-3.04355444464269,-2.5154819184668,-2.26656094844935,-2.37193933307573,-2.09485324263808,-2.97866579174716,NA,-2.84137015974846,-2.18266722377806,-2.26656094844935,-2.5154819184668,-2.26656094844935,-2.76267808748721,-2.09485324263808,-2.37193933307573,-2.5154819184668,-2.5154819184668,-1.90424796016498,-2.5154819184668,-2.5154819184668,-2.18266722377806,-2.91068218270456,-2.91068218270456,-2.84137015974846,-2.65340537012111,-2.18266722377806,-2.26656094844935,NA,-3.38699083664702,NA,-1.57874219266821,-2.37193933307573,-2.76267808748721,NA,-2.84137015974846,-1.90424796016498,-2.5154819184668,-2.91068218270456,-2.37193933307573,-2.5154819184668,-2.37193933307573,-2.76267808748721,-2.65340537012111,-2.65340537012111,-2.18266722377806,-3.04355444464269,-2.65340537012111,-2.84137015974846,-2.65340537012111,-2.18266722377806,-3.04355444464269,-2.26656094844935,-2.5154819184668,NA,-2.97866579174716,-2.65340537012111,-2.37193933307573,-2.84137015974846,-2.65340537012111,-2.65340537012111,-2.00497308728204,-2.76267808748721,-2.18266722377806,-1.64338587355089,-2.5154819184668,NA,-2.37193933307573,-2.5154819184668,-2.76267808748721,-2.5154819184668,-2.84137015974846,-2.91068218270456,-2.5154819184668,-2.18266722377806,-2.5154819184668,NA,-2.65340537012111,-2.65340537012111,-2.5154819184668,-2.37193933307573,-2.97866579174716,-2.26656094844935,-2.97866579174716,-2.76267808748721,-2.65340537012111,-2.65340537012111
"Height",0.206254209176706,0.197090937122439,0.199151501190908,0.196384903830708,0.202131487592788,0.199151501190908,0.204353093625998,0.193553310521894,0.200804454613438,0.185344807362663,0.193374323093854,0.199151501190908,0.204991212261965,0.203488100188111,0.190846465707503,0.204991212261965,0.204353093625998,0.206254209176706,0.197090937122439,0.193553310521894,NA,0.199151501190908,0.200804454613438,0.204353093625998,0.204991212261965,0.204353093625998,0.202131487592788,0.197090937122439,0.206254209176706,0.204991212261965,0.204991212261965,0.18790947023083,0.204991212261965,0.204991212261965,0.200804454613438,0.196384903830708,0.196384903830708,0.199151501190908,0.203488100188111,0.200804454613438,0.204353093625998,NA,0.1360568512958,NA,0.148743625214471,0.206254209176706,0.202131487592788,NA,0.199151501190908,0.18790947023083,0.204991212261965,0.196384903830708,0.206254209176706,0.204991212261965,0.206254209176706,0.202131487592788,0.203488100188111,0.203488100188111,0.200804454613438,0.190846465707503,0.203488100188111,0.199151501190908,0.203488100188111,0.200804454613438,0.190846465707503,0.204353093625998,0.204991212261965,NA,0.193553310521894,0.203488100188111,0.206254209176706,0.199151501190908,0.203488100188111,0.203488100188111,0.193374323093854,0.202131487592788,0.200804454613438,0.160172564977442,0.204991212261965,NA,0.206254209176706,0.204991212261965,0.202131487592788,0.204991212261965,0.199151501190908,0.196384903830708,0.204991212261965,0.200804454613438,0.204991212261965,NA,0.203488100188111,0.203488100188111,0.204991212261965,0.206254209176706,0.193553310521894,0.204353093625998,0.193553310521894,0.202131487592788,0.203488100188111,0.203488100188111
"Var Speed Ratio",10.5110811796264,7.63988412887935,15.2639950512762,16.1863649520657,14.2411546583671,15.2639950512762,9.47997150563314,17.0842736474535,8.58153184844869,19.3881073602538,6.63219957025036,15.2639950512762,11.8376158401,13.0829787206205,17.9416533566942,11.8376158401,9.47997150563314,10.5110811796264,7.63988412887935,17.0842736474535,NA,15.2639950512762,8.58153184844869,9.47997150563314,11.8376158401,9.47997150563314,14.2411546583671,7.63988412887935,10.5110811796264,11.8376158401,11.8376158401,5.70491939354949,11.8376158401,11.8376158401,8.58153184844869,16.1863649520657,16.1863649520657,15.2639950512762,13.0829787206205,8.58153184844869,9.47997150563314,NA,24.0495301168738,NA,3.15651367735326,10.5110811796264,14.2411546583671,NA,15.2639950512762,5.70491939354949,11.8376158401,16.1863649520657,10.5110811796264,11.8376158401,10.5110811796264,14.2411546583671,13.0829787206205,13.0829787206205,8.58153184844869,17.9416533566942,13.0829787206205,15.2639950512762,13.0829787206205,8.58153184844869,17.9416533566942,9.47997150563314,11.8376158401,NA,17.0842736474535,13.0829787206205,10.5110811796264,15.2639950512762,13.0829787206205,13.0829787206205,6.63219957025036,14.2411546583671,8.58153184844869,3.7132502292746,11.8376158401,NA,10.5110811796264,11.8376158401,14.2411546583671,11.8376158401,15.2639950512762,16.1863649520657,11.8376158401,8.58153184844869,11.8376158401,NA,13.0829787206205,13.0829787206205,11.8376158401,10.5110811796264,17.0842736474535,9.47997150563314,17.0842736474535,14.2411546583671,13.0829787206205,13.0829787206205
"Brainstem Stroke?",-1.33680351653296,-1.28916503748817,-0.762256598940866,-0.641582640581139,-0.90548167020872,-0.762256598940866,-1.35172061325211,-0.520670809897489,-1.32118122870138,-0.177530340605568,-1.25485392296571,-0.762256598940866,-1.21451796992148,-1.06293352829259,-0.405079461488904,-1.21451796992148,-1.35172061325211,-1.33680351653296,-1.28916503748817,-0.520670809897489,NA,-0.762256598940866,-1.32118122870138,-1.35172061325211,-1.21451796992148,-1.35172061325211,-0.90548167020872,-1.28916503748817,-1.33680351653296,-1.21451796992148,-1.21451796992148,-1.22814355532653,-1.21451796992148,-1.21451796992148,-1.32118122870138,-0.641582640581139,-0.641582640581139,-0.762256598940866,-1.06293352829259,-1.32118122870138,-1.35172061325211,NA,NA,NA,-0.923116135507667,-1.33680351653296,-0.90548167020872,NA,-0.762256598940866,-1.22814355532653,-1.21451796992148,-0.641582640581139,-1.33680351653296,-1.21451796992148,-1.33680351653296,-0.90548167020872,-1.06293352829259,-1.06293352829259,-1.32118122870138,-0.405079461488904,-1.06293352829259,-0.762256598940866,-1.06293352829259,-1.32118122870138,-0.405079461488904,-1.35172061325211,-1.21451796992148,NA,-0.520670809897489,-1.06293352829259,-1.33680351653296,-0.762256598940866,-1.06293352829259,-1.06293352829259,-1.25485392296571,-0.90548167020872,-1.32118122870138,-1.00617461409276,-1.21451796992148,NA,-1.33680351653296,-1.21451796992148,-0.90548167020872,-1.21451796992148,-0.762256598940866,-0.641582640581139,-1.21451796992148,-1.32118122870138,-1.21451796992148,NA,-1.06293352829259,-1.06293352829259,-1.21451796992148,-1.33680351653296,-0.520670809897489,-1.35172061325211,-0.520670809897489,-0.90548167020872,-1.06293352829259,-1.06293352829259
"Initial Box-and-Blocks Score",0.0295559201797949,0.0142551889803287,0.0431042225320871,0.0455291001276459,0.0407402742011293,0.0431042225320871,0.0244862677668453,0.0478018493660796,0.0194883043396871,0.0534697736862575,0.00884747247820968,0.0431042225320871,0.0338640896272481,0.0373603695041368,0.0499721576328124,0.0338640896272481,0.0244862677668453,0.0295559201797949,0.0142551889803287,0.0478018493660796,NA,0.0431042225320871,0.0194883043396871,0.0244862677668453,0.0338640896272481,0.0244862677668453,0.0407402742011293,0.0142551889803287,0.0295559201797949,0.0338640896272481,0.0338640896272481,0.00337416358274769,0.0338640896272481,0.0338640896272481,0.0194883043396871,0.0455291001276459,0.0455291001276459,0.0431042225320871,0.0373603695041368,0.0194883043396871,0.0244862677668453,NA,0.0870550047438285,NA,NA,0.0295559201797949,0.0407402742011293,NA,0.0431042225320871,0.00337416358274769,0.0338640896272481,0.0455291001276459,0.0295559201797949,0.0338640896272481,0.0295559201797949,0.0407402742011293,0.0373603695041368,0.0373603695041368,0.0194883043396871,0.0499721576328124,0.0373603695041368,0.0431042225320871,0.0373603695041368,0.0194883043396871,0.0499721576328124,0.0244862677668453,0.0338640896272481,NA,0.0478018493660796,0.0373603695041368,0.0295559201797949,0.0431042225320871,0.0373603695041368,0.0373603695041368,0.00884747247820968,0.0407402742011293,0.0194883043396871,NA,0.0338640896272481,NA,0.0295559201797949,0.0338640896272481,0.0407402742011293,0.0338640896272481,0.0431042225320871,0.0455291001276459,0.0338640896272481,0.0194883043396871,0.0338640896272481,NA,0.0373603695041368,0.0373603695041368,0.0338640896272481,0.0295559201797949,0.0478018493660796,0.0244862677668453,0.0478018493660796,0.0407402742011293,0.0373603695041368,0.0373603695041368
"Max Number of Speed Peaks",-0.0289801483819916,-0.0225083824496149,-0.0169203705729085,-0.0150191112432404,-0.0192542818700714,-0.0169203705729085,-0.0293296611053572,-0.0131123443418065,-0.0260003320376482,-0.00376074971622144,-0.0186929306275939,-0.0169203705729085,-0.0248494737394531,-0.022171663888992,-0.0112886454494938,-0.0248494737394531,-0.0293296611053572,-0.0289801483819916,-0.0225083824496149,-0.0131123443418065,NA,-0.0169203705729085,-0.0260003320376482,-0.0293296611053572,-0.0248494737394531,-0.0293296611053572,-0.0192542818700714,-0.0225083824496149,-0.0289801483819916,-0.0248494737394531,-0.0248494737394531,-0.0158856811049057,-0.0248494737394531,-0.0248494737394531,-0.0260003320376482,-0.0150191112432404,-0.0150191112432404,-0.0169203705729085,-0.022171663888992,-0.0260003320376482,-0.0293296611053572,NA,NA,NA,NA,-0.0289801483819916,-0.0192542818700714,NA,-0.0169203705729085,-0.0158856811049057,-0.0248494737394531,-0.0150191112432404,-0.0289801483819916,-0.0248494737394531,-0.0289801483819916,-0.0192542818700714,-0.022171663888992,-0.022171663888992,-0.0260003320376482,-0.0112886454494938,-0.022171663888992,-0.0169203705729085,-0.022171663888992,-0.0260003320376482,-0.0112886454494938,-0.0293296611053572,-0.0248494737394531,NA,-0.0131123443418065,-0.022171663888992,-0.0289801483819916,-0.0169203705729085,-0.022171663888992,-0.022171663888992,-0.0186929306275939,-0.0192542818700714,-0.0260003320376482,-0.000469309258297122,-0.0248494737394531,NA,-0.0289801483819916,-0.0248494737394531,-0.0192542818700714,-0.0248494737394531,-0.0169203705729085,-0.0150191112432404,-0.0248494737394531,-0.0260003320376482,-0.0248494737394531,NA,-0.022171663888992,-0.022171663888992,-0.0248494737394531,-0.0289801483819916,-0.0131123443418065,-0.0293296611053572,-0.0131123443418065,-0.0192542818700714,-0.022171663888992,-0.022171663888992
"Months Post-Stroke",-0.00341203285915146,-0.00130368622872636,-0.0048745669488797,-0.00517358628858523,-0.00460034819551479,-0.0048745669488797,-0.00278041011963631,-0.0054477943594013,-0.00205917879994136,-0.00618985811181662,-0.000509853467401813,-0.0048745669488797,-0.00383857461085914,-0.00422060871215283,-0.0057094118296064,-0.00383857461085914,-0.00278041011963631,-0.00341203285915146,-0.00130368622872636,-0.0054477943594013,NA,-0.0048745669488797,-0.00205917879994136,-0.00278041011963631,-0.00383857461085914,-0.00278041011963631,-0.00460034819551479,-0.00130368622872636,-0.00341203285915146,-0.00383857461085914,-0.00383857461085914,NA,-0.00383857461085914,-0.00383857461085914,-0.00205917879994136,-0.00517358628858523,-0.00517358628858523,-0.0048745669488797,-0.00422060871215283,-0.00205917879994136,-0.00278041011963631,NA,-0.0115410465006305,NA,NA,-0.00341203285915146,-0.00460034819551479,NA,-0.0048745669488797,NA,-0.00383857461085914,-0.00517358628858523,-0.00341203285915146,-0.00383857461085914,-0.00341203285915146,-0.00460034819551479,-0.00422060871215283,-0.00422060871215283,-0.00205917879994136,-0.0057094118296064,-0.00422060871215283,-0.0048745669488797,-0.00422060871215283,-0.00205917879994136,-0.0057094118296064,-0.00278041011963631,-0.00383857461085914,NA,-0.0054477943594013,-0.00422060871215283,-0.00341203285915146,-0.0048745669488797,-0.00422060871215283,-0.00422060871215283,-0.000509853467401813,-0.00460034819551479,-0.00205917879994136,NA,-0.00383857461085914,NA,-0.00341203285915146,-0.00383857461085914,-0.00460034819551479,-0.00383857461085914,-0.0048745669488797,-0.00517358628858523,-0.00383857461085914,-0.00205917879994136,-0.00383857461085914,NA,-0.00422060871215283,-0.00422060871215283,-0.00383857461085914,-0.00341203285915146,-0.0054477943594013,-0.00278041011963631,-0.0054477943594013,-0.00460034819551479,-0.00422060871215283,-0.00422060871215283
"Var Trial Time",-0.142930483430065,-0.0546993199924706,-0.373342036065444,-0.425266882978203,-0.31670092375418,-0.373342036065444,-0.105787278721545,-0.476003502518056,-0.0808378907635962,-0.624214650580104,-0.0271388582158051,-0.373342036065444,-0.201768251159627,-0.258742185030014,-0.52447918884754,-0.201768251159627,-0.105787278721545,-0.142930483430065,-0.0546993199924706,-0.476003502518056,NA,-0.373342036065444,-0.0808378907635962,-0.105787278721545,-0.201768251159627,-0.105787278721545,-0.31670092375418,-0.0546993199924706,-0.142930483430065,-0.201768251159627,-0.201768251159627,NA,-0.201768251159627,-0.201768251159627,-0.0808378907635962,-0.425266882978203,-0.425266882978203,-0.373342036065444,-0.258742185030014,-0.0808378907635962,-0.105787278721545,NA,-1.20539334377919,NA,NA,-0.142930483430065,-0.31670092375418,NA,-0.373342036065444,NA,-0.201768251159627,-0.425266882978203,-0.142930483430065,-0.201768251159627,-0.142930483430065,-0.31670092375418,-0.258742185030014,-0.258742185030014,-0.0808378907635962,-0.52447918884754,-0.258742185030014,-0.373342036065444,-0.258742185030014,-0.0808378907635962,-0.52447918884754,-0.105787278721545,-0.201768251159627,NA,-0.476003502518056,-0.258742185030014,-0.142930483430065,-0.373342036065444,-0.258742185030014,-0.258742185030014,-0.0271388582158051,-0.31670092375418,-0.0808378907635962,NA,-0.201768251159627,NA,-0.142930483430065,-0.201768251159627,-0.31670092375418,-0.201768251159627,-0.373342036065444,-0.425266882978203,-0.201768251159627,-0.0808378907635962,-0.201768251159627,NA,-0.258742185030014,-0.258742185030014,-0.201768251159627,-0.142930483430065,-0.476003502518056,-0.105787278721545,-0.476003502518056,-0.31670092375418,-0.258742185030014,-0.258742185030014
"Mean Pre-Movement Speed",-1.77553155159557,NA,-6.37182033059238,-6.27609669966278,-6.11707819368119,-6.37182033059238,NA,-6.28597183944639,NA,-5.82752034061266,NA,-6.37182033059238,-3.91876944759138,-4.96931492191898,-6.29450549405918,-3.91876944759138,NA,-1.77553155159557,NA,-6.28597183944639,NA,-6.37182033059238,NA,NA,-3.91876944759138,NA,-6.11707819368119,NA,-1.77553155159557,-3.91876944759138,-3.91876944759138,NA,-3.91876944759138,-3.91876944759138,NA,-6.27609669966278,-6.27609669966278,-6.37182033059238,-4.96931492191898,NA,NA,NA,-13.5235629550217,NA,NA,-1.77553155159557,-6.11707819368119,NA,-6.37182033059238,NA,-3.91876944759138,-6.27609669966278,-1.77553155159557,-3.91876944759138,-1.77553155159557,-6.11707819368119,-4.96931492191898,-4.96931492191898,NA,-6.29450549405918,-4.96931492191898,-6.37182033059238,-4.96931492191898,NA,-6.29450549405918,NA,-3.91876944759138,NA,-6.28597183944639,-4.96931492191898,-1.77553155159557,-6.37182033059238,-4.96931492191898,-4.96931492191898,NA,-6.11707819368119,NA,NA,-3.91876944759138,NA,-1.77553155159557,-3.91876944759138,-6.11707819368119,-3.91876944759138,-6.37182033059238,-6.27609669966278,-3.91876944759138,NA,-3.91876944759138,NA,-4.96931492191898,-4.96931492191898,-3.91876944759138,-1.77553155159557,-6.28597183944639,NA,-6.28597183944639,-6.11707819368119,-4.96931492191898,-4.96931492191898
