"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Mean Max Speed",44.1283735671399,44.1180826998221,44.4805924508319,44.7082709843386,43.9906282427115,44.4246832420086,44.9420935242749,44.2487571927918,44.7409678141891,44.0641017408142,44.9551697351106,43.8042380116313,44.4694379886819,44.4382504542725,44.6321911282612,44.1869338242299,44.3205531585273,44.9309974531717,45.235459309791,44.2993650611169,44.6680928621076,44.357594531348,44.5559114761044,44.1181871004958,43.9641541940983,43.6003153337979,44.3662353416479,44.4026033036425,44.2486781079685,44.2744260372589,44.3433873367753,43.9368370098096,44.5844078080895,44.0406728280794,44.4047873682989,44.4218931695776,44.4895712066659,44.6544383107114,44.4625876727477,43.6976633262283,44.4357804186329,44.8314491630112,44.8801412010686,44.3908171595136,44.4825375185246,44.3644810202982,43.6809900550564,44.196935721101,43.8610944033554,44.2993878068977,44.5535115409762,44.4603355588276,44.0251953894399,43.9345506563685,44.6628294440561,45.4208760212402,44.018273160518,44.247564280139,44.0152594632224,44.4088907969613,44.0083670827294,44.0346079475705,44.0704749462273,44.6349318823089,44.0039286435318,44.955287289193,44.2518907317445,44.2608568854759,44.6925797062678,44.7468927173306,44.3708260774682,43.5514795937851,44.869476194015,43.5905902867411,43.6435938148548,44.4585285637121,45.9166372738066,45.0925112045217,44.0807914628072,44.5493707401912,44.0809782799315,44.0355499306096,44.2739398587802,44.5913448912126,44.2462700007425,43.9717224677933,43.9066255598193,43.879427593973,43.8757690931461,43.6405835112123,44.0846667119738,43.8752559297121,43.3170645280013,44.0892688698103,43.1781277694171,43.7032225305233,44.6819903866226,44.1136621074981,44.6778119686161,44.4221687186726
"Months Post-Stroke",35.8933784631153,34.7340543836717,35.452580700206,36.2274455334378,36.3057189879692,34.9421730052912,35.0770459672636,35.5915769004566,35.548112144508,35.4265759879421,35.048875847901,34.7825856137968,35.6337935234403,36.4705975227292,35.8498931574721,35.8478790910669,35.8476362410193,35.0745996780059,35.408170423559,35.7704671484715,35.447990772662,35.6743194245032,34.7887802236549,34.8714188021712,35.5377728389873,35.9046219509872,36.1787313919122,35.9241100746589,35.5158984972306,35.0149603328395,35.8461547359437,34.8260760678311,36.1796522757407,35.7281260444093,36.4118491920754,35.8928039851181,36.2720016981289,34.5937735569378,35.4098788552949,36.3950227574601,35.8290198940201,35.6790121572572,36.1113394549025,35.6578740657937,36.5066133512147,35.497456147077,35.6671478811085,35.3463596843037,35.0250289002975,35.6286483623318,36.4611044633751,35.8366630596524,36.2228848575719,35.3028749012442,35.9085707247332,36.3365539957904,36.4476113996078,35.6967029808121,35.4766965570606,36.093779559228,36.0657522989988,35.7383589668176,36.203017761395,36.0196526040231,35.2960129616754,35.2553308706982,35.2708405458258,35.5740459902526,36.0542238634786,36.497836292197,35.5448034672315,35.3891871710914,35.8947067971356,35.9343598491493,35.4466385545394,36.2424646020979,35.3969943818011,35.4041144672758,35.3525355201111,35.4814495067692,35.2322871203387,35.6605997572204,35.7240069755747,35.3731857776595,36.5909244619709,36.8914707719076,36.5444438414831,36.203239442107,36.7110343071889,35.4408984047996,35.848977314188,34.7725094137159,35.5500355009601,35.3903436246536,34.6894301189079,35.6159307832518,34.3914817948369,34.6606053676015,34.575039033743,36.1127160109664
"Age",26.5366841353626,27.8883948894203,26.8834848170951,26.2475822063166,27.7085759088999,28.0089829708213,26.8650995389511,27.1231107706127,26.8826854604876,26.832503653038,27.6421484418891,26.9790897086877,27.070394536769,27.194510021443,27.0862909576831,26.490898531812,27.4707180558689,27.2930797386518,26.4760877960414,27.2827164063221,26.659411558398,27.6000729412968,27.3432117871346,27.4180584021605,27.030311213696,26.8452890115515,26.9782119072572,26.7602837990706,26.7192356800473,26.7830087157116,26.3033198151906,26.4722093419857,26.4691395894791,27.1960495461438,27.23223290642,26.0417134397521,26.6788569283612,27.1415812208579,26.9307112968514,27.6166777468583,26.4748374321376,27.5003520844352,26.7464953142526,27.4722510290355,27.54624820591,27.0667022354669,26.8550699642678,27.1615985355807,26.6828043423391,26.7836494652678,27.2286315849641,26.9469509995197,27.3342756436284,27.5960245246763,26.9051987009889,26.959765988942,26.6364683494376,28.083734531132,26.588647794582,26.9894959452281,27.2190809632894,27.2816671213142,26.0646836236032,25.9182691246865,26.5626772948219,27.6368390050933,27.7042240067169,27.695945851106,26.8628794400663,27.3004876086641,27.2774104304724,26.7465169817421,27.0890626540972,28.2214518201349,27.6952541749038,27.0389475614106,27.4367346196223,27.0619808509359,26.5426258923702,26.4550368173637,25.9634245917374,27.6370561068035,27.5761927771104,27.1982456431181,26.7139329162204,27.5545206175195,27.5005954990313,26.2524177537981,26.4628090672762,27.9473772666422,26.5319927662475,27.514774376542,26.8602229293294,26.8678637042689,26.9646059255525,27.4582190745732,27.4541135967175,27.2815773554849,26.2926743533935,27.3816388756388
"Mean Path Length Ratio",24.020979468805,24.0490388954296,24.3558181305171,23.9696854304664,24.2864507782212,23.9500128772742,23.6371627006965,23.9512936492981,24.5021821859432,23.6714411471696,23.5121433251393,24.2372079065382,23.3550742168292,23.832909212682,24.7991388362007,23.3874727693082,24.6841523067915,23.7982262466718,24.016179131871,24.0480535639533,24.2416864857543,24.1035124142794,23.9870264196988,24.0276968518208,24.1081805005922,23.512918941328,23.3278436097236,24.1067843037443,24.8963868872955,23.3909766480773,23.8912350257424,23.6139569871094,24.7730599627541,24.0873116284556,24.3279373218509,24.2265912108628,23.6594259294102,23.8872155434065,23.7572946598909,23.8619620702112,24.2281646658726,23.5322830179835,23.6419095171563,24.5498824900167,23.2253626162405,23.5066106607689,23.8329980004729,23.9906063458628,24.127919435702,23.6704613897615,24.652904017082,23.8008161227646,23.8809196874689,24.2923599591927,23.8947973978947,24.743058233483,23.3711838332595,25.2836995368583,24.1208793212589,23.3767052160124,23.9732580067228,24.6653434770987,23.8990380093013,24.1528538259237,23.9731721278342,23.1766845635672,24.0291085798475,23.3772817407211,23.273206165019,24.4205631253794,22.3136053755821,24.4155208642363,23.2698943921375,24.6382929972445,22.7258953929424,23.3940405926223,23.6748502754251,23.6910342529381,23.6967644303,23.610052734402,25.0125071442232,23.4326813713627,24.0722459235605,23.6146929827935,24.4435154363653,24.3749364149882,23.738093873523,23.4142117001719,24.7239496110295,24.4882803647401,24.3953285133628,24.7470245278025,24.7489719461498,23.599065519397,24.0500142186566,23.5634859135699,23.1546140370646,23.4977645743687,24.4562776351122,23.2263513198395
"Max Max Speed",23.8978714901702,23.4008941449944,23.662744126499,23.4861706370108,23.7890027299785,23.7205026260358,24.0377520476737,23.7035358223765,23.605893326155,22.953000857147,23.500466516792,23.2246736514872,23.1447600091199,23.367780178289,23.7811891695285,24.872252472647,23.399674062311,24.1573238047788,24.0336093552062,23.9889606335845,23.5806696206594,24.5834416623555,23.4181740921258,24.0251661540366,23.707750383548,23.6862587227333,24.0121378578496,24.0665972561868,23.8882216111133,23.8854088467524,23.71804400343,24.4442865586576,23.8420046873072,23.9318659304019,24.0394606339396,23.5640327858058,23.0486576320027,24.6438796641874,23.4890044510628,22.9807469569324,22.8484402675859,23.7845596648348,23.3361739797294,23.5999719768422,23.7033516349233,24.0072026405097,23.1412897050599,24.3109924209957,23.7707253552864,24.1109008112098,23.855014579901,24.4484277180137,24.4243971937912,23.7376103270385,23.5337402876793,23.4740386785245,23.4645382947941,23.5274893244704,23.7593247580436,23.8020096616089,23.6872126599245,24.3390886627928,23.756641968665,23.9693109947989,23.5141892804069,22.9166897204494,23.9283733630362,22.5604002290343,23.8323182958502,24.2051810907006,22.9203855125104,23.5936598881182,23.7453533103762,23.8055777210242,23.9863888338295,23.5798314721391,24.3537921345981,23.8749438078904,23.6096235855024,23.9178696303367,24.2704117928828,24.024446854251,23.2267927147034,23.6547768365927,23.8777348891358,23.7316322975122,24.2456742541677,23.847933106894,23.5957431196367,24.2138471147077,23.8214646916777,23.5082930607993,23.8873297364983,24.0931039878882,23.7697536141095,23.8879103618674,23.8828188677102,23.27588936824,24.3275146294867,24.1973730339972
"Mean Hand Path Length",23.8679293198145,24.3447930432399,24.1929931954641,24.4926365534356,23.9761683125819,23.8678755730067,23.3937050016145,23.6997895320393,23.9199712865775,22.9694440336124,23.9164184499364,23.2980396420758,23.8304912361395,23.7704318527318,24.4667923206832,23.5071502915655,23.5927478380332,24.7604349631547,23.872426756061,23.4874571041041,24.1360339668418,24.2320594934882,23.3401881055068,23.9460689114831,24.3331052102044,23.26058070912,23.8802456083266,24.0291030576597,23.8824201498672,23.7015796777492,23.144082761181,23.9117117915831,24.1947477368111,22.7619863461257,23.9061097285934,24.0158870055256,24.3235020886009,24.1019114116409,24.4226338742804,24.7706861388759,23.8326310554706,23.4568909742623,24.4276449101073,23.8786335783634,24.3664556480364,23.1338705017026,23.8178285262796,23.6908958028799,23.4474191817866,23.9633794132626,24.2980574702662,24.0819276546547,23.9433996706039,24.8282445668407,23.8145814765422,23.364005771172,24.0351280234379,23.7804180775025,23.572171828796,24.277820539964,24.3572593944498,24.0573747434314,23.930903352804,23.0804224378539,24.1781058456013,24.7950317676982,23.8451486988009,24.9306320958012,24.3505482240754,24.1897697239272,24.6454223470921,24.004964169576,23.0278056474503,22.8910914094693,24.5195869499821,23.7562669270816,24.3948168485848,24.2123494636123,23.8917451050899,23.6091744852637,23.7925670416436,23.5700258445492,24.369991914345,24.405002965887,23.8471900234629,23.7991120503167,23.9148534953423,24.4810831911603,24.0560352088745,24.0458429878724,24.889585002954,23.9758320045745,24.1201806567333,24.3410637240045,24.8780801528111,23.8714395786899,23.2211996325359,23.7695143457258,23.9293874663383,24.2595116246225
"Var Speed Ratio",21.8124106593957,21.8946566005107,21.9010179328047,21.78581100201,21.1230893761397,22.4716168473856,22.3334719144363,22.2111170978319,21.3582948345756,22.2155996036289,21.8608161435235,21.9648006744646,22.4484087484909,22.4766700338885,22.2208795829833,20.9269111132842,21.5590186112203,21.3173475296297,20.6798858674195,21.5446201995801,21.7233663017583,21.8519190028568,21.1591979520417,21.6825202539545,22.0338466809981,21.3108027259583,22.2672073196845,21.4764431635119,22.1933193594585,21.8118913728319,21.4077213485327,21.2773421461137,21.4805411604554,21.9244331157536,21.5001989133062,21.0163571090938,21.665364152865,21.7966765247099,21.6810059112634,21.7629483474829,21.7961619298608,21.4539839431848,21.7681852269065,21.5672158751357,21.6691956647975,21.2968434786502,20.8163982765132,21.7733566174379,22.0016035142127,21.2896317014232,21.2935291336219,22.2519248648013,21.7086513205526,21.7514147791011,21.4274566477189,22.4513648848504,22.1216649229408,22.1234713467733,21.3447477767007,21.2872626693731,21.331078894967,21.1227385568479,22.246340526393,21.1329737163533,21.6231746104158,21.5095774569675,21.8047768907337,21.7287278311272,21.6894404689644,21.7416999452147,21.8791721145852,21.390686666202,21.5837854924166,21.5974513417022,21.3893192391673,21.4665928143663,21.2857120411069,21.3092413362655,22.1706170577327,21.6958414630838,21.6600286905297,21.5516565993422,21.9536827275155,21.9074770394208,21.5064990861994,21.7670717512509,22.3140619369478,21.8223450067477,21.2682158960798,21.2114450929485,21.271337904923,21.1813819591231,22.8043757577567,21.902558809612,21.6420805209215,22.2001468026159,21.7342410753507,21.7930588263737,21.9743751151036,21.7552274270369
"Var Mean Arrest Period Ratio",20.4626640853837,19.5955639427282,19.7525592972654,20.1369308668011,20.2301313732968,19.9659580318008,19.5309743122744,19.8550373739918,19.8180847266985,20.096912136206,19.8684735803513,19.7707773217846,19.9505658507735,19.9246145049114,20.1830226486246,19.9810307472968,19.7478474805281,19.8750664032369,19.759860651691,20.0515021323881,19.2820528579321,19.7963547107096,20.4400330891484,20.1034728087032,19.8432722768379,19.9557821151488,19.7513106483571,20.112621265345,20.3338436877472,19.7894373964467,20.132079249173,20.2070135655367,20.1188402477586,20.0781172678086,20.2706851379254,19.9707780811375,20.2775321253116,19.9114675327532,20.0703825182973,19.6887843531457,19.676255630502,20.0563624420406,20.4008023474703,19.8153444233455,19.2114003040428,19.5702397435863,20.2076358544275,19.2731500302468,19.4796992399489,19.8659771869215,19.5854379500668,19.8586111546135,19.7891275830423,19.8289470483444,20.4701875937638,19.8465970273444,19.9264732068204,19.4004965796174,19.8674436956095,19.5599943679064,20.1912254860869,19.7749935462094,20.0448528030775,19.8810635479129,19.7324927015629,20.5217868858156,19.709251416989,19.7869753130465,19.6452669832532,19.771248508252,20.0921068832613,20.0688285282408,20.3594318517688,20.2046306545888,19.9823734865438,19.8973179058586,19.9746298564781,19.6190689086412,20.3200794422438,20.1831682315604,19.9904403752209,19.7676478953234,19.8514149706074,20.1750682794953,19.8930044524874,19.5201900237905,19.4393957201287,20.5474488319506,20.0952729431943,19.9074263714422,19.5703612118623,20.258532925807,20.1186548268796,19.2867478604362,20.528150481809,20.1346951322992,19.9463332421339,20.1455568017768,19.7265924617828,19.8495862167086
"Mean Percent of Movement in the Target Direction",18.3526332913304,18.1302124012536,17.849311124859,18.2391986679497,18.0567798548418,17.6270418568094,18.08365735988,18.0262787754611,18.4527426988429,18.9320887304555,18.1155655657974,18.1542581955381,18.3226189083316,18.1406145048058,17.5677370754416,17.6764121200933,17.6485209437852,18.187904478468,18.8333002637915,18.1327704097191,18.0852116900564,17.985281277757,18.2391247525339,17.4725508020139,17.3249721909975,18.1767531673699,17.8254579286905,18.3583654966187,18.2870659210033,17.5102443724317,18.8120092197914,17.940420948035,17.3550109416635,18.2119206397471,18.8287248176613,17.9558271138045,18.1925650752966,18.5230763848625,17.9830460231962,18.1039881110492,18.276827018233,17.9349214227929,17.8281626507264,18.3570516682053,17.555191367913,18.1013304401598,17.6775459467413,18.1334116910472,17.8670225175734,17.3072776912623,18.1167043697019,18.5483657704406,18.1301026116794,17.4291920352662,17.4600627141021,18.2194857541126,17.7315103934278,17.9050243508355,17.3900826380194,17.6496458303867,18.317471555592,17.6129190087716,17.505517400388,18.0933178676347,17.5000726237455,17.9885678970575,17.6888622376671,17.8081607698801,17.8069869586324,18.0190981004929,18.6411217712241,18.2596812883927,18.1429341124135,17.6943004377271,17.402821830312,17.696292789638,17.8531998331197,17.9179172047247,18.3517645772615,17.9918579376803,18.2332735018953,18.2652879289791,17.8600020862428,17.6913468305061,18.0589060106209,17.8644458386773,18.3405674739458,18.0215487166534,17.3343526432244,18.060624981144,18.4735155114901,17.7430378404803,18.3944599555834,17.37594032147,19.1180335084289,17.4718710760939,18.4001842496918,17.8573161970969,17.6167468500433,17.9426001354747
"Var Max Speed",18.3483070105114,18.4426604601008,17.7806849382594,18.0334699628829,17.4746566808981,17.6497300962648,18.2788492981465,17.9386250566829,18.2953974682739,18.4106833746745,17.5944693414078,18.1615791265618,17.99438733268,18.1187697854431,17.2198186912418,17.2967517992875,18.6296013626294,17.5600637121265,17.8729379713123,17.2583307721763,18.0771518820343,17.8262266494544,17.2751668051397,17.7173946655638,17.8549967844884,17.4582663308676,18.7543757586062,17.8274597603095,17.8020482526224,18.1571084935349,17.834155184296,17.3301095276404,18.4423330358397,17.9304849721181,18.0870959173225,18.2412717974824,17.2879511302357,17.0955589384097,18.2630052398597,17.8171055304666,17.152750898916,17.8276720745062,17.4274550002761,17.7650429384627,17.6889849369443,18.2292863656261,17.9127368331679,18.4174968888547,18.1428173405954,18.2834519450622,16.8124520694449,17.6498474852309,18.0125750982851,17.6283276934443,18.5783956491763,17.6627727343872,17.5734830286188,17.6491508150737,18.1064888923048,16.7484093667351,18.5470429801214,18.1391317074831,18.5227637486489,17.6244939005133,17.778618486061,18.0644481059332,17.3622713447497,18.1890464517049,17.8326644838697,17.7474151348583,17.21464179345,17.3080578795069,17.7310795757503,17.781031039453,17.5941372315012,17.9622038822499,18.4547661573027,17.8956269972603,18.8271825156057,17.7156155135362,17.3823953565938,17.5754978034988,18.3990217383849,17.3499494756031,17.5600130231086,17.7501091540998,17.7040586363353,17.9297897353008,17.8431454458734,18.7191246051801,18.2130535698592,17.004712594876,18.123571368207,17.8437795252327,17.6932857239344,18.1747293106438,17.5625135346831,17.5749525735836,17.19349137128,17.9143506280325
