"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Mean Max Speed",44.2302455792626,44.2883454380115,44.1436521608061,43.9829586109821,44.3957226843829,44.7787432430307,44.04950701054,44.4361003828568,44.3190757459985,44.2343218901399,44.1163830323362,44.2278373259516,45.1037727487198,44.066120545217,43.7626498085028,44.3552203355778,44.4350950572033,44.1706784698561,44.4185858546243,44.6766386137849,44.5088591232525,44.2739860156313,44.1596126392666,44.2669289036564,43.9651389819323,44.6047948593312,44.3434989057074,44.8209984333381,44.1952050950719,44.5193871647716,44.4509345346396,44.3909154451909,44.6596216858002,44.2132102189985,44.1336069980926,44.5321042280022,44.3874427437815,43.8997262268181,44.6625239455843,44.1787583576477,43.9840094341711,44.3130183697665,43.9849670147045,44.9303138748234,44.3996904131073,44.1527959287945,44.5757541129601,44.5351276473506,44.6239927755527,44.3027752808305,44.4188175786745,43.7391588885705,44.5744445006695,44.5662304602339,44.5477804584087,44.2896713276751,44.3054455657883,44.0785791573915,44.3370155669783,44.2290069407568,44.3367291717378,44.0871202320382,43.8692285939105,44.1748786973651,44.1992939501301,44.5987359669837,44.3676325765516,44.2596321350234,44.5640965626473,44.6328262552136,44.1633403377357,43.9504749514623,44.8607221154924,44.2624676877101,44.7527873264473,44.7369511952456,44.2989019556784,44.5774610329107,43.9029639714374,44.6086101278856,44.0428594643982,43.804700095651,44.3679321638718,44.7789568957012,44.9667643624596,44.1864472757491,44.40981921583,44.2203410896212,44.1994257955568,43.894685407184,43.9537784684957,44.1130201049339,44.6123256182132,44.0081187774564,44.5185511836184,44.0970866432008,44.5341543600584,44.3195273762856,44.4266070472501,44.4340700810692
"Months Post-Stroke",35.5513140414761,35.6189853963702,35.6244872361398,36.0469324596666,34.9770498741736,35.5614561680545,35.3197176905774,35.9461272356923,35.9873312047758,35.7534337088855,35.0473409147513,36.0300747607228,35.5292025585077,35.3374403872761,35.8688885785265,36.4109629857053,35.4369243395499,35.6631915769144,36.0928508427611,35.6554028061611,35.4325630584249,35.3553715526174,35.7837510422611,36.0909084896736,35.4559864972765,36.0845629243994,35.7126013534227,35.4768805137359,35.7085787233057,35.6545254238946,35.6924922771139,35.0667729969072,35.9498306012992,36.0299316486993,35.6298516755837,35.3680429915024,35.4918623725773,36.1409455296742,35.4324666940745,35.8209208736026,35.4600006949813,34.9658556890885,36.1809535599415,36.0478631393279,35.7660468140789,36.5714422015301,35.9728018472548,35.8595794586133,35.9739006300688,35.4426718705724,35.3166441037942,35.8941535774038,35.3079144320677,36.333247975012,36.1721172740284,35.0608191271864,35.912041566376,35.8579824282922,35.3576807933822,35.7095061582722,36.0830242330882,35.5132437234357,35.70161009724,34.8679062914886,35.8316384655505,35.2098837485649,35.9016578646712,35.2122635628595,35.9146231203533,35.8776540319551,36.4092221720208,35.3476220641208,35.1410435052804,35.6093644546204,35.2461812848406,35.7695820504866,35.2569365627508,35.8730135288369,35.441355008304,35.454806703517,36.0668567929556,35.9723461854082,35.3896808069618,35.8782634443516,35.7094225704,35.8245656703156,35.4561551496688,35.4773702082659,35.7238949097207,36.1908385067968,35.6553155663373,35.7229608679993,35.3595520826882,34.9296823480965,35.4171736928134,36.2985000032689,35.3426589026609,36.1030610521661,35.8174364714125,35.6366761974135
"Age",27.3073583161941,26.953432372747,27.2540360406653,27.522244451107,26.7428035141772,26.9957275411326,26.986550390176,26.9452017793425,26.9032269353163,27.0973928270787,26.8712748825954,27.1431908031303,27.0624993715808,26.899491595217,27.1523236503431,27.2072371818903,27.135787193045,27.2909753703543,26.9130556596189,27.0420308366912,27.0323485598192,27.232693784856,27.21172491449,26.5272090277585,27.0145340001235,26.9638050073978,27.3216709597258,27.0621077445072,26.7900763187389,27.074079091268,26.7576115030522,27.2656599216364,26.9906953781599,27.2523355863118,27.3452391759095,27.3064830640436,26.9077517310411,26.6095101377537,26.8969930074162,27.577824466048,27.2098793877222,26.9134410213113,26.7861182902224,26.7403769448035,27.3058634305783,27.3838489676968,27.4718353858107,26.5303710806202,27.32552856169,26.6719201451219,27.7023404745798,27.1058121708905,27.9350803097025,27.0406116759719,26.7806164306416,27.2090621953401,27.0597084812288,26.7859672150447,26.6906857679752,26.9982840802923,27.048684601618,26.9049500533457,27.1212056096809,27.2069454257713,27.2632684273684,26.5885360640507,27.403800763203,27.0914530056524,26.9429886805729,26.7370446643435,27.2796082496246,26.812364057504,27.3881001290471,26.9326416022184,26.8749537017502,27.2309574059896,26.9909269510107,27.0421320501908,27.0520194328831,26.9166578577595,26.7001368959151,27.3243207443577,27.2269549979967,26.6034748759524,26.4637841672567,26.6847613802258,26.8293706645332,27.5839814934317,26.5680596082691,26.718811083557,27.2877549183836,26.798905877096,27.266081413007,26.8854290206321,27.2103379240278,26.6102788383577,27.0616368890125,27.3721153603784,27.3969088943817,26.5618151610368
"Mean Hand Path Length",24.2266943582217,23.8022534857942,23.8879472649795,23.9265693104654,24.5305667831551,23.3914509851773,23.7392457133417,24.1057460023858,23.5723399147831,23.9542952183353,24.3286801533986,23.6602204945041,23.9053023304593,23.838488815608,23.6561244943986,23.9840534187308,24.1139687195127,23.6879945017411,24.0917498187899,24.1620091059202,24.1252427014484,23.8520427636732,23.8319495438471,23.8779423608722,24.1768490191573,23.5020820902837,24.3370023337903,24.6499205667904,23.8814290516984,24.1476089032483,24.0691217622242,23.8024201967509,23.984438421216,23.9862284710542,22.9903181403511,24.0094192429021,24.2831321826438,23.9433073962801,24.022703442637,23.9492684574729,23.6031828331112,24.8974136151599,23.8382145379358,23.7840285110009,23.83089396578,24.0807413658397,23.6991584891992,23.4988936615147,24.4724367043452,23.6649934543991,23.7477374301343,23.9194255772132,23.5012317836253,23.5185447182814,24.3057142931616,23.4867355344,23.70848634651,23.7800702343032,24.6811224808473,23.486747799502,24.2185678722789,24.4683212330769,24.1258325952301,24.2256547927971,23.9453449501131,23.3123205312076,23.6575907393905,23.9300116083064,23.3073765742226,23.9968857669458,23.794562619721,24.1354130908566,24.0275937934143,24.0014547807075,23.8361772445198,24.2634819934908,23.3441289190622,24.3419085780457,23.7373443778982,23.3739470645959,24.1576996251846,24.1327547973998,23.656795378531,23.7381351264437,23.9036065156794,24.1200949544251,23.9377429724399,24.2398537445034,24.0041920198066,24.018663421821,23.925001333775,23.4857817524201,23.5728500394862,23.9982578910831,24.4796653690781,24.2050928090685,24.1773826035517,23.6526603777395,23.717915527597,24.1085376063734
"Mean Path Length Ratio",23.9813326581705,23.8129314687999,24.0680742201145,23.8429461221373,23.5273619728861,23.8447407537473,24.0203969355425,24.5095462454009,23.946176538789,24.3598721924288,23.494473631941,23.8732266611584,23.5895815546609,24.3175148517001,23.9210646974433,23.7281503799104,24.3235229812283,23.9019894270043,24.0527371081884,23.9889589559763,24.0578636758997,24.181095712804,23.9612079410342,23.9166435986481,23.7796839533878,24.1940385085289,24.0475919571758,23.4639421737122,23.8002547483655,23.6645895571813,23.875749181292,24.0400391281195,23.683502756789,23.472613643744,23.6164114706634,23.5388864163836,24.0938006630223,23.8074819207001,23.7431426200763,23.9954575078544,24.3633000187641,23.9784212637507,23.5998873088354,24.026510409417,23.3069637590374,23.9544331078861,23.7884785827011,23.9172559897203,23.9020184293034,23.8665938410817,23.8204641455897,23.7016177823851,24.5239740703427,23.8870554008438,23.7541826627991,23.7160799768591,24.0555736917466,24.2879200682384,24.0997923862799,24.0571150362967,23.8331938949317,24.196087531842,24.4211477071856,24.2547133799629,24.1677032093985,24.1955988471009,23.8165439955319,23.9252725678104,23.9710800075521,24.3317267161961,24.3823438137695,23.8662991665084,23.7637506793308,23.5592263041445,23.7924840754425,23.1824641396059,24.0619367661394,24.0871576294753,24.3894830702804,23.4549863786328,23.8575062873185,23.6474764072781,23.3525909042568,23.8718891020097,23.3599226178901,24.3881334720554,23.7205956490358,24.1998437440159,24.0102407303186,23.7523616212301,24.0487579852345,24.4347694162724,24.0546786880498,24.0139594131641,23.7458086482701,23.8069673878096,24.3491889706612,23.7342924732448,23.7825681843566,24.1680894460627
"Max Max Speed",23.6849633494392,23.8018314897422,24.2646008709505,24.0275338367908,23.8527157017994,23.9940395692966,24.0723701852835,23.9117366661508,23.9874794038375,23.7678819009199,23.9804332842507,23.3949606085807,23.5187630332095,23.564897192858,24.1551925058955,23.7072983702168,23.2731021179032,23.934352828045,23.6943596174216,23.8796939679079,24.3909445592393,23.9752723872037,23.9404710413202,23.3465513727856,23.72504254062,23.1226508238253,23.7615218228246,23.5689713828042,23.398301472595,23.6031121055385,23.7713962179642,24.3479758222385,23.5633242462604,23.7518398373395,24.159535665064,23.9098509974277,23.932938679569,23.576387779989,24.1573555739759,23.7949953826,23.9763386024594,23.8868313271662,23.9104445347259,23.4480226637088,23.6894463183181,23.7359303312576,23.234295150024,24.1639730312737,24.2855680360213,23.7388309214863,23.7775264370649,23.7383560128816,23.6353267235801,23.4211323880851,24.0961757973789,24.5439294885688,23.9941978527311,23.7451728118943,24.2742006207693,23.6023093131045,23.6381174553451,23.5915197700718,23.5792765434667,24.4921933298354,23.5645424803049,23.6905956696279,23.9171606280205,23.7847982985306,24.0368485758853,24.2669683141193,24.2367003999447,24.3670901187248,23.7312359709128,24.1205993545896,23.8262064274844,23.6043030642389,23.5303358855807,24.073216102026,23.3412795813676,23.9302405079718,23.8864730433015,23.7954590796054,24.2137471207239,23.8741782638014,23.4742812765167,23.2858362118789,23.8036943150017,23.8096542850674,24.0012366023257,23.7224486941279,23.7683503471942,24.1900222723212,23.6234809835496,24.0494612143692,24.3597824374588,23.6346452031872,23.9751832056134,23.6853602615136,23.7005311531286,23.3813289716507
"Var Speed Ratio",21.5336382135268,21.4881391318676,21.8389154581388,21.8579967371891,21.8758922472865,22.1708929280352,21.4733704313637,21.2384696910962,21.5876924519782,21.3786203099957,21.5704817375258,21.7134447748961,21.4851930173239,21.7434102190847,21.7243109862246,21.6368174932416,22.0779642522048,21.4452997886487,21.871095484668,21.7874342437314,21.7087694795484,21.6719029303357,21.3708809574051,21.6418154191781,21.4023433341111,21.9593350806017,21.6229179903353,21.4932443644824,21.4782001198615,21.6693685848075,21.5673770797453,21.7906161593606,21.2799243379227,21.4174009254687,21.4051999641278,21.4138813981692,21.5313537684194,21.5020326687455,21.4252491808985,21.7859967837507,21.9197646822598,21.3762639566358,21.6011766442297,21.7261012552033,21.6069537495668,21.5824533688698,21.4768719045744,21.4239780649979,21.8788784940811,21.7625432065375,21.8407708338611,22.2562899668354,21.2393174346821,21.2951300355767,21.3191068491291,21.4477069885768,21.8851415146965,21.6444972223857,21.967792110318,21.4268292861189,22.047260910667,21.8169069029603,21.801566113632,21.3634713698849,21.5801745246,21.2281179575865,21.0000069281582,21.2855073193817,21.7913044762796,21.4576226805127,21.5858248298081,21.7352456767725,21.6891251721459,21.5614182497932,21.6049642736552,21.3639447525902,21.6129648265219,21.7890525391583,21.9926470081891,22.1754330081426,21.390326390435,21.6819903967746,21.4284072570934,21.5204625519678,21.9650615116964,21.4757436744579,21.7601876411386,21.7943000467624,21.8046650219015,21.1272638257555,21.9638116144044,21.7741093827325,21.9103549627187,21.2745457254314,21.405987757911,21.5755712849322,21.8128327964485,21.4079922167521,21.9322297083012,21.9567445138823
"Var Mean Arrest Period Ratio",19.9878977793201,20.0496376029446,19.6913544862618,19.6209540846326,19.7244042537795,20.0211704087234,19.8170629107325,19.5519748862523,19.7705381317564,19.9621254870584,19.7097061230221,19.955604172822,19.6907090016522,20.0085805279928,20.0409893386813,19.955416829802,19.9096295840121,19.7701468236324,19.987646163579,19.8462304988745,19.8614125974391,19.8357212979373,20.0691812261277,19.7051289211063,20.1199884675973,19.8039934775056,19.8767562233598,19.6922069167065,20.2451943772289,19.8049143866562,19.8506114145868,20.2075327350654,20.0682989449961,20.270034583192,19.8226550290752,20.1612521165796,20.0033417558664,19.9370027137471,19.9525314232532,19.7497620172425,19.9025688347039,20.136886059552,20.0168800991923,20.077870391548,19.8966540344859,19.9500097942288,19.9030798022926,19.7011315952883,19.8782439239416,19.8104980181705,19.9131099287466,19.9644820913769,20.0801142208688,19.9819400340138,19.8613793387346,20.2271029502407,19.8481766696491,19.7468917010987,19.9136040495804,20.2190565249628,19.5732277580107,19.9233902565685,19.9415194802998,20.0670399814366,20.0741819645183,20.0673777456109,19.9582641101436,20.1226318468784,20.1239216768823,20.1410633087902,19.9757101918154,19.996864671338,20.0514928159033,19.7370303879045,19.8982878091828,20.1543999921886,19.7159754580332,20.2038221691257,19.8976288328649,19.9878575689351,20.0089786164714,19.8416796916567,19.7661597911801,19.5955631504866,20.0875045117575,19.8925982108333,20.0039205370216,19.7732023823841,20.1067226982456,19.992750197324,19.898760308484,19.8535307165983,20.1140658543785,20.0926115552363,19.6716072443412,19.92839324265,19.9334853211907,20.1694187518971,20.1837091505163,19.9049098364515
"Mean Percent of Movement in the Target Direction",17.9445576493278,17.8059452418268,18.1909125574182,17.6452419254596,17.7149993697167,18.2401747242201,17.9989941285167,18.4463253434421,18.2858885369472,17.8055151087188,18.3465309783974,18.001198607702,17.968041317668,17.4370647609954,18.1531484505673,17.9129492109142,17.7648737821631,17.8915774404449,18.3120801213403,17.9460971698807,18.0598551376242,17.8782268169672,18.1029636649316,18.4436817965714,18.1951712898208,18.3420273085202,17.9055287648132,17.6826193861428,18.0776440698304,17.9472653138195,18.334771869294,17.8473444751291,17.7422360678318,18.3331128723541,18.0463562203654,17.8031915496635,18.0060857300163,18.5710369421705,18.1818645199076,17.830295070577,18.4570218933936,18.3127922594269,18.0502748794592,17.9048317655625,18.5075498867831,18.0967660868519,17.7524469683302,18.2435177063038,17.9572633493693,18.2139975394715,18.0099133435074,18.2196738481221,17.9240130226519,18.0563951294626,17.5271758863278,18.1167546558979,18.1885138720846,17.6356148005379,18.1214485415993,17.835461598529,17.6085161255932,17.4659729368807,17.6202005577882,17.9017905881572,18.3844609237685,17.9403941031539,17.7697673300659,18.384041802534,18.483800353072,18.0953474247814,17.979704628083,18.3597128964839,18.1740695282121,18.2526500908696,18.0394910535838,17.9151447474106,17.602781879093,18.2650190327849,18.0572084115914,18.1547281982946,17.8059961644486,17.9235723434223,18.0417227102076,18.1362229397135,17.3876204740426,17.9333938717444,17.9122242991404,17.6954547373298,18.2997309384654,18.0834577946157,18.0086900318855,17.8421665810225,18.2727130983271,18.0926316593907,18.353401833141,18.1708478323644,18.3737933904792,18.1746139572068,17.8998102205379,17.5615121064953
"Var Max Speed",18.2043921881941,18.1323030287557,17.680795685665,17.8822154437431,17.6843709079994,17.6185459631963,18.0793945184483,18.3241541247962,17.7884361732055,17.6296348830837,18.2715235945098,18.3903241237152,18.0833120253173,18.0752556685926,17.8444803370763,17.5786618363362,18.2594019646548,18.2417690454894,17.8650502551558,17.6486983830763,17.1520290659876,17.9179292823503,17.6045574340995,17.8062408722187,17.6871746291737,17.9757383284065,17.9030382529286,17.4200240858972,17.8650171703453,17.9354041268585,18.1396121760139,18.0954713428451,17.8038032218457,17.7702138537086,18.2906035277954,17.9886069358667,17.6611704735103,18.5787838447194,18.1206637255424,17.5809420828865,17.7728862257674,17.4235119571961,18.0252237740121,17.2463453008333,18.066159947183,18.3075997873066,18.0645658340533,17.7599701613065,18.06635948223,18.1417175623066,17.8867563173613,17.5885200566918,17.651874249904,17.4559218362742,17.75314491287,17.9329464842766,17.3066602069684,17.5022189226931,18.1485431296019,17.7092445299211,17.7974937028533,17.5615314468293,17.9554922692465,17.5172952414453,17.7848000103342,17.9787980976585,18.0053915578955,17.898594165087,17.2352329817336,18.0787360442261,17.2903593009881,17.9096902618061,17.8814137059509,17.8540720651012,18.1337517231167,18.3647089810077,17.9009202902603,18.0529164321966,18.0049819811897,17.6658270324458,17.4334961412452,18.2598549307808,17.6682429305064,18.2160316026508,17.5762447535283,17.8407255797324,17.6449166737314,17.8691310726503,17.9970051976978,17.7944094475527,17.6391961707663,17.8348009722447,17.6744186710286,18.3355511342317,17.5253436338458,17.8247503687985,17.3985565418163,18.1511073104539,17.573782321936,18.0175291710044
