"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Mean Max Speed",44.3326755709591,44.1699185546259,44.2293690325941,44.051297245695,43.8167017823489,44.4440462663773,44.7997753790084,44.4330848132247,43.9077252903879,43.5878119414733,44.2196588471092,44.5356004571768,43.9157230608342,44.7631585911467,44.5264111341134,44.63566993192,43.9520318945065,43.6788312046554,44.6231722699694,44.3284540164728,44.9959595917482,44.0516796374134,44.3255344413411,43.7249702237207,43.9611558422736,44.3381208514779,44.2427205012671,44.179939504605,44.4353777527124,44.5134862649672,44.9223996895944,44.6128551591263,44.428339169879,45.3530789967918,43.2029208026386,43.5018482880499,43.7247688588854,45.2082248942438,43.8342888828061,44.0459677439844,44.1184870257782,44.4793727969763,44.4046649230016,44.3558268598392,45.0218260638418,44.2780322951037,44.1962926197193,43.1257735007879,44.2734947179337,43.9585359370113,44.3873327384877,44.4783789870294,44.4975155906551,43.7475549565172,43.6308409734566,44.8163482327217,44.4132881122069,44.6821520435389,43.7291110048939,43.6050679481153,44.1553259325254,44.6289644046692,43.7123583855815,44.4533758576646,45.0558853561834,44.4337385969578,43.7663377504637,44.603258605672,44.5888535360438,44.0794121911681,44.89767670925,43.6352079011324,44.6657703408789,44.4065535167083,44.2665969666079,44.3938133568677,44.6774390502857,44.2322164093886,44.058738355282,44.7163336218459,45.2306123177033,44.1996656267176,44.7804696928248,44.2878837331284,44.3745881783809,44.3372522641703,44.2466489059435,43.8742298960774,44.4768143484217,43.673021033938,44.3766635906397,45.2429947942611,44.2382714776315,45.1669451197216,44.5086193786353,44.5328221951083,44.6023811921074,44.3304366258623,44.0997734754796,43.9779178993429
"Months Post-Stroke",35.6957745226366,36.1252984836255,36.0757021884596,35.4991962515932,35.4938209552002,35.6363978482426,35.1117808636605,35.8618855491439,35.3679436102023,35.1243550390124,35.3006520311769,35.9818268271216,35.2187171230931,36.187009597589,35.3296656490299,34.9122752525423,35.5488280128058,36.048516255482,36.2673102885847,36.1012755596471,35.0601929522696,35.0215470189909,34.3320343315891,35.0583396260267,35.1192720425344,36.1030894286507,35.0408383565333,35.5499757492382,36.8863843656331,36.4154599645518,36.1169974191131,35.6278957011947,36.8392958902588,35.2844570330981,35.7211320060053,35.6399218568771,34.8641130183868,35.2084263713844,36.124310121735,36.077681656234,36.1784852151192,36.6328744433285,35.8680979459253,35.2527416865033,35.6570940667235,35.9530535086974,35.6914092793868,35.0672728431121,35.386631860026,36.8622258667144,35.9648092222647,33.9518188348877,36.1843285492924,35.318203692154,36.3654025272322,35.462703679164,35.7263646490053,36.107660025492,35.5062856317747,35.5021958744574,36.0906456912574,36.6799298291729,35.6910517768478,34.3684088101111,35.9478086177132,35.6753481570846,35.8449893264816,35.9698578616545,35.2928801764464,35.6318367799737,36.1067284042624,35.2322234725714,35.3499825096309,35.9808447095303,35.3002952198586,35.0167499389409,34.8820602352232,36.3498319829591,35.9029354625553,35.6823189050612,35.8869763756504,36.0879597591588,35.5562677855181,35.6507685546798,35.3542784601113,36.0550072776797,36.5583380331748,36.5246454254958,36.3349287291249,35.3616017054423,35.3999383112634,35.9633414916537,36.4804801532565,36.1442663866109,34.9577313252854,35.1395606023582,35.1723078960135,36.631482481835,36.1279700432832,35.5748886708498
"Age",26.9730066071873,27.3748469201976,27.233120104832,26.1148102150491,27.2671543889867,27.2209405732801,27.535789298952,26.5011429009009,27.6139276692759,26.4470418120773,27.4334843346633,26.9864941693175,27.4197900332413,26.9355896782134,27.1361403793773,27.5520489541948,26.1684428956848,27.7559364865224,27.5315310707655,27.1285574009085,27.1387269765142,27.2060099704125,27.1472712630498,27.205067118557,26.902578565911,27.01419046838,26.5397084687354,27.2935214130643,26.9770274027813,27.2358909251181,27.8646402323921,27.874600887929,27.4692020161476,27.1129469771437,26.7912617633809,26.6221050122961,27.163310346645,27.3403205176631,27.4223530751249,27.3106147442323,27.3587584180124,26.1256470381028,26.769494592884,26.3170498872777,27.0355247880486,27.9214097022843,27.8072911785933,26.4881766791086,26.8625546253427,27.6604645029251,27.4476451674113,27.2380100749185,26.3021620105936,26.1324348625746,27.314575956217,27.1098894013779,27.1259314020874,26.920967162222,26.9219070307513,27.5514235342138,26.0539394062584,27.2954224436234,27.9134651202718,26.8418354400656,26.5328963831365,26.9286080602679,27.155964589321,26.8579626957992,27.7821985330192,27.2842778598567,26.963017247514,27.153966340544,27.5124768405205,26.0996095655763,26.9138150719132,26.8598621475784,27.3357943854023,27.5307744243051,27.4270762721546,26.8092387219381,27.3272205549544,26.9900076099156,27.1913608305035,26.7835024922306,27.3021534418801,27.2517853122574,26.5299633775658,26.3549107305832,26.6571515600928,26.6082779023489,27.3206667722615,26.2320471716363,26.3720542720681,27.2293845846182,26.9631218409965,26.9806858138341,27.5403053503731,27.0304205755314,27.0076516655,26.3030123864529
"Mean Hand Path Length",23.7532030822147,24.094237053069,23.3715356955235,23.0348107450411,24.4734770019119,23.8167824873471,23.79995436743,23.6769420104754,24.376440110047,23.546733676595,24.0393373119735,24.1771394450365,23.9874396041202,24.0024075911096,24.1093883870538,23.8270868698049,23.6367830037658,22.8440695044829,23.6249758409035,24.2271534087726,24.5294907358589,23.7703883673479,23.6278604055581,23.5107995663039,25.399675696114,23.9655581204173,24.06835947731,24.1701418275736,24.0360696993947,23.1588910357336,24.0558945242625,24.0449062987195,24.141580126492,23.7295295118193,23.9482622739201,24.3074150297605,25.4906127511568,24.6201206493715,24.8006292401246,24.3850305248257,23.2768366972199,23.603191530067,23.3027751201432,23.6444168965196,24.5494181290553,23.6132552878514,24.4092569857262,23.9736576639337,24.6478312565803,23.408969419791,24.0169695860595,24.3336864192179,23.1513100043992,23.8909673949292,23.8744235076069,23.400600559899,24.37737638245,23.1385222362499,24.4306015444922,24.0855329572777,24.2591988206961,23.4360220379046,23.8451211190169,24.2763832672133,23.8416539246272,23.5343026572131,24.4352866695687,23.5224625960824,24.1719406581067,24.4130232746683,23.8807994085564,23.9873041461191,23.4444093783985,23.9534717761658,23.4793167686246,23.9075035686379,24.2922452174953,23.3357110516281,24.2010709936365,24.2592881471749,23.7790391061293,24.5410977381802,23.8335511483639,23.6438534189727,23.2699035305371,24.163423019741,24.2341217820164,24.1246428153038,23.8119728549794,24.2782898810271,23.6942875194984,24.3782414312248,23.8872750845494,23.6871088679287,23.712358269442,24.0168186494257,23.89744600846,24.2578334997905,23.8306164341108,24.3935514763508
"Mean Path Length Ratio",24.1998909194737,23.6196562310183,24.6219299857157,23.6442853650906,24.6290295131865,23.6359618547166,23.7521251750417,24.2799977223419,24.5678448921249,24.3090365588121,23.8370966934563,24.5655077687665,23.803633232947,24.3923559053349,24.0995872241029,24.1348454183955,24.4372846956006,23.9458124682981,24.5720872449764,23.4377523036008,23.9271307300249,24.4637267743389,23.6225619525131,23.7996338957908,23.3595441002341,23.9076876631749,23.1282243663584,24.14291605257,23.5233268183968,24.2188089390803,24.6790370362079,23.865671944648,23.8567192583424,24.1936813086338,23.2999172780302,24.5005621929548,23.5356254577485,23.898186192185,23.6407780624748,24.7286832325434,23.3027458857056,23.7656347472322,23.3304550577151,23.7190527293201,23.6147204076831,24.083147216125,23.8213326462306,23.9302063827496,23.1262987153801,24.1150782577396,25.5765864825844,23.0205897581124,23.6751646890455,23.5006902054011,24.1804859872695,23.6719546609909,24.0206674758083,23.5520164701536,24.338923787653,23.8459200497621,23.8861560605094,23.1412657312184,23.7613208739302,24.0481549360998,24.1094425164709,24.6532300713229,25.1196890346078,24.042183963796,22.9991398002134,23.834891810077,23.7573709562784,23.8243521573751,23.8037581831778,24.3804345244141,24.5306657934502,23.9002646018892,23.8947979866544,24.578627553744,24.0068073804945,23.444887504066,23.3332321220856,24.3502265304402,24.0284211279014,23.7492339236536,23.3663914306391,24.0451697965085,24.5054600077843,24.3964700678108,23.9512560826386,24.1058762401396,23.3991129383961,24.3009762904806,24.1592380963291,24.7302061072521,23.4327719861122,23.3633633218322,23.8980617873484,23.4991900992056,24.0140168485083,23.8203231987711
"Max Max Speed",24.9638843355088,23.3014033989876,24.0418324384006,24.3221153073122,24.1067271317385,23.9428779950898,23.4567011785538,23.6256338733147,24.6301167280359,23.9888513896208,23.662750265922,23.7093422803403,24.1499724752107,23.3277836751458,23.9479288400021,23.9851226883454,23.9218997202601,24.1673998952784,23.3550967461475,23.0742600876694,24.8150435534516,24.2196564660623,24.5879501298364,23.7903890114664,23.9612356560693,23.8332811299228,23.2500843617998,23.0420526680133,23.6703458179276,24.1014463830404,24.2351363613335,24.8796676155166,24.5819686386372,24.3131574386973,23.3071677659239,24.2335312304319,23.785501176217,23.7886826461431,23.7361768924763,23.1069084904368,24.7846408941137,23.8261325127809,24.1526591886259,23.5817578565398,23.0646406459483,23.2349617389947,24.3747589550773,23.8449019662934,23.554290699925,23.7656308246325,23.8063843427318,23.5408044054619,23.604399993147,23.0605496137737,24.0134767939889,23.8238300936346,24.4360030772442,23.5116667674494,23.3740504086801,23.668590227222,23.4747015269948,23.2561780580553,23.0945597619672,24.0371322425266,22.6387897115896,24.7893959298829,23.4273525290917,23.9020010713914,23.6319824602428,23.8352921940409,23.2872694397458,24.7363927848348,23.9623777205146,23.6439904519388,24.7111115123441,24.6183858655627,23.836672387003,24.0833718255363,23.9247323158482,24.5369874846622,23.1763084970894,23.7373214075,23.5338588231091,23.8768786796322,24.2489886109709,23.6243453616922,23.9247099565336,23.418061815689,23.8248551322339,23.4038793436067,24.1617867508412,23.9021887184961,23.4777592474942,23.425691339729,23.8837782029329,23.9713082401782,23.7824745519334,24.6455483703461,23.183624885108,23.7514860596683
"Var Speed Ratio",20.9751829657418,20.8954668804835,22.1293745443992,21.5042668328831,21.7091144184216,22.1103040756014,20.9172682708178,21.7269134108266,20.9915429368318,21.8202789671746,21.4891525181321,20.5638365867494,22.2539481385455,21.1340631909162,21.1686578461054,21.4700233270745,21.7851700163617,22.030546280211,22.272990730555,21.8920836267784,21.4697145674209,22.1023427351472,20.9298884778075,21.742647332137,22.1962080411451,21.7886504590765,21.7740697252761,21.8136341237681,21.9875996667323,22.0303536430441,21.0162205058463,21.7993590936427,21.5375290473297,21.7787707095794,22.4352763158551,22.0225764592587,21.7859737983804,21.3111792123177,21.9806060151654,21.195716570325,21.6485364130552,22.2110526070639,21.4021983352013,21.2853446500802,21.2540700774812,21.9981516849542,21.7186222863365,21.9513893088287,21.2259743589761,21.7494114154893,21.4427778511298,22.2752858240416,21.8188263325448,21.4191013448333,22.3548037890203,21.6619724622106,21.6115412141739,21.1655785922146,21.4755826484443,21.0709998235681,21.6763296958536,21.9642324997064,21.7526927063011,22.3103751058777,21.4765154321803,21.3361519111246,22.4544024495199,21.6049218305363,20.9481089069582,21.3777295309287,21.5715784297035,20.7008316802425,21.1717552845364,21.2580223272779,21.4874380144194,21.5484226679129,21.3437783442785,21.4230920309793,21.6683481110232,21.119562659839,22.0568376403407,22.5297021106375,22.1504755777197,22.3348512832815,21.6802618931368,21.6566018123998,21.5666587269893,21.3434412396784,21.7960648897606,21.5930967372457,21.9073000005908,21.7303638567137,21.7989098834822,21.4241265372609,21.7260338057884,22.3461521346151,22.0016447656257,21.8246254221628,22.2855334234622,21.1757443394075
"Var Mean Arrest Period Ratio",20.3410569939242,19.9905875214101,19.5764234058927,20.4046377670866,20.0354601482378,19.461797422762,20.2914889923085,20.0392801287136,19.440313324087,20.1026247650763,19.9963592555432,19.9382541858705,19.70843748438,20.3858031107522,19.420428613719,19.592065329919,19.723970985527,20.1607093887865,19.8079199158518,20.0653245295043,19.4947932102831,19.9552886519841,20.1344080948628,20.308427735324,19.9998344578296,19.9707190661558,20.0528318793886,19.4956837422753,20.0281924305248,20.1758619930931,20.0640480078234,19.8955637245939,19.8002592973318,20.0958496076643,20.3349280244986,19.8002145682089,19.4658316569196,19.9800267893103,20.0405026404683,19.5775925788216,20.0603575225507,20.0332782217182,20.4897984964172,20.2782120635526,19.9517738309326,19.9896912163578,19.8325507322426,20.1825221516576,19.7660350989061,19.8593883756821,20.2088864484343,19.8685035105369,19.7250213727581,19.8780921095916,19.9778936767379,19.2809248216972,19.7113790362341,19.9497043601935,20.3835572597158,20.0412824567992,20.0847486693514,19.6827329992105,20.319205916454,19.8214449246288,19.645703175419,19.7526953892346,19.9130114878486,20.2479227038024,19.7803786945232,19.9777922381266,20.005804085891,19.4697941500341,19.9382813781784,20.0353210857822,19.9153933837234,19.982723844936,20.1017003274562,20.0580536618269,19.9867829376339,19.8282206010643,19.6737349269379,19.9535907389456,19.9198413492895,19.6019482417324,19.8402527465317,20.1367454519809,20.0164407827307,20.0816494400163,19.5421131348852,20.1326783159676,20.0386500598952,19.4510259748919,20.0790103386497,19.6479499778264,20.0979534055394,19.794896930754,19.982221456012,20.2630262093656,20.24174513169,19.9089404179602
"Mean Percent of Movement in the Target Direction",17.6792703529457,18.4363310211656,18.9299795130902,17.6360518191212,18.0170858867888,18.4001870629523,17.9402494361269,17.8686806622683,18.1021543414309,17.9669880805179,17.7918487882693,18.2321143018451,17.6439396587981,18.1154233858892,18.7174335802817,18.066617111692,18.3326866258682,17.6135885745123,18.1297359984369,18.4665685004174,18.0381108914058,18.0680287060748,18.0565694851443,18.7395491643072,18.0600273645162,17.4125169268163,18.7110962980031,17.6757762196955,18.2421391012993,18.3007739762969,18.7564647835757,17.7241141588971,18.3237040296368,18.727263533643,17.3892923414071,17.8366830643209,17.8830043633852,18.2642060334191,18.3433282744147,17.8443071370386,18.4039865236679,17.8736731619984,16.8462839305533,17.9515885582107,18.1804041117335,18.9114776173395,18.2407491644091,18.4119599625137,18.0282978025398,17.7772928234387,17.9301248430088,17.9343156063471,18.0073481896097,18.091488339421,17.6586463344824,17.4143619263127,17.770103803387,17.9381867654636,17.8357957259238,17.0269438210228,18.419998497817,17.6710109465752,17.3811072450188,18.094826396997,18.1357803886511,17.9154125462774,17.9887489153992,18.2506426959051,18.6849619847344,18.2951277945108,18.9415447768517,18.5935493561977,17.645956636769,17.7115462914969,17.6151150140948,18.0135466332048,17.9633924977362,18.0468449871315,18.7884674687683,18.6719103293098,17.8520677317837,18.7080575699296,17.7493764160386,18.4827960953643,18.5406463698702,18.2977476195736,18.3134104659654,17.8518179266179,18.7381683542022,18.3277358687572,18.3199699021877,17.8004399280727,18.0827443198029,17.5170519884313,17.5944076290112,18.2983169178291,19.2691582496586,17.915900564793,18.3910345793957,18.31981980914
"Var Max Speed",17.4216362910428,18.5574149850168,18.1535778319765,18.0725687280053,17.7147857241459,18.1396042391392,18.3141999229504,17.6611013660361,18.3844938568038,18.2456428675159,18.3175056143775,17.1577396276723,18.1887650641636,18.2348651037819,17.6556143757592,18.002627953608,17.5644855140176,18.6463358892325,18.8358630062153,18.0763763454269,17.7033165714063,17.669969113265,17.6438244549684,18.4806479762303,16.8875064752468,18.0047967156637,18.2080886475287,18.0665781688172,18.5120163877218,17.816010126888,17.8318403593495,17.9836430139448,18.7922930091245,17.2743668323358,16.812137409775,16.8535402485263,18.5763727613551,17.6812605016327,18.0447754807522,18.1508662563327,18.0981813549271,18.1823557604629,17.1681023987531,18.2406487015365,17.8329182822668,18.2780097993677,17.8938183741219,18.2821828479812,18.257970100417,16.9502072840104,17.6854840752532,17.6207400057038,17.7398841847788,16.9444670705567,17.9227087050017,17.9058308415625,17.6970548291371,18.0780215734554,18.6266728733669,18.1988107856223,17.8464930756501,17.5582947738897,17.6104245412102,17.5227850300791,18.0642045629489,17.8359301636618,18.1250027779002,18.4406421095441,17.2075278181037,17.2891661708406,17.9697899825707,18.7810465992197,17.4268257067546,17.5319879842093,18.1790297165532,17.3253454506731,17.7364615552005,18.297917057381,16.7327622005439,18.1036769380873,18.7061011723396,17.935419279308,17.119584895029,18.3747905978912,17.9949791638298,17.1567484318862,17.8994597711748,17.8538957076506,18.2132173142965,18.1425470813465,17.7644148724993,17.4475370178728,17.8329603064534,18.185776994864,17.7755324796526,18.1292298560381,17.9465633128801,17.2496697813853,17.257312046135,17.5497552998547
