"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"VarSpdRto*same",27.9942969487629,24.0375653103255,22.2165439024697,26.0176828033026,22.2165439024697,22.2165439024697,20.6031448291451,28.8974956023681,22.2165439024697,26.6678166938124,28.8974956023681,27.3240190619677,21.2791228639316,29.188108141584,21.2791228639316,24.8807377801162,27.9942969487629,29.4904615659837,21.2791228639316,22.2165439024697,27.3240190619677,29.7590552291342,25.809397187444,26.6678166938124,29.7590552291342,24.8807377801162,23.2366445357481,24.8807377801162,27.9942969487629,28.8974956023681,24.0375653103255,29.188108141584,20.1954669612046,20.6031448291451,30.297413731096,22.2165439024697,24.8807377801162,24.0375653103255,20.6031448291451,27.3240190619677,28.8974956023681,30.297413731096,23.2366445357481,28.5632773828529,23.2366445357481,23.2366445357481,22.2165439024697,23.2366445357481,26.6678166938124,22.2165439024697,20.6031448291451,23.2366445357481,0.399628096937971,24.8807377801162,20.1954669612046,24.0375653103255,29.4904615659837,25.809397187444,22.2165439024697,30.3934946895664,23.2366445357481,26.6678166938124,25.809397187444,24.0375653103255,29.4994259118789,28.8974956023681,23.2366445357481,NA,29.7590552291342,24.0375653103255,23.2366445357481,20.6031448291451,20.6031448291451,28.8974956023681,24.0375653103255,27.9942969487629,24.0375653103255,23.2366445357481,28.8974956023681,22.2165439024697,25.809397187444,24.0375653103255,4.40225768994573,24.8807377801162,23.2366445357481,20.6031448291451,25.809397187444,20.6031448291451,24.0375653103255,23.2366445357481,25.809397187444,20.6031448291451,22.2165439024697,27.9942969487629,21.2791228639316,21.2791228639316,26.6678166938124,26.6678166938124,20.1954669612046,19.6109310587727
"height*height",0.000810185011076126,0.00059763332359971,0.000540670561216157,0.000873877930468392,0.000540670561216157,0.000540670561216157,0.00048253276145475,0.000874026190652824,0.000540670561216157,0.000719656261343187,0.000874026190652824,0.000759710267809669,0.000513725357475827,0.000899013093364748,0.000513725357475827,0.000623632984628141,0.000810185011076126,0.000922949052311294,0.000513725357475827,0.000540670561216157,0.000759710267809669,0.000945226785356398,0.000665290999598996,0.000719656261343187,0.000945226785356398,0.000623632984628141,0.000569474282797497,0.000623632984628141,0.000810185011076126,0.000874026190652824,0.00059763332359971,0.000899013093364748,0.000450563081674041,0.00048253276145475,0.000970488700278914,0.000540670561216157,0.000623632984628141,0.00059763332359971,0.00048253276145475,0.000759710267809669,0.000874026190652824,0.000970488700278914,0.000569474282797497,0.00084962348133467,0.000569474282797497,0.000569474282797497,0.000540670561216157,0.000569474282797497,0.000719656261343187,0.000540670561216157,0.00048253276145475,0.000569474282797497,NA,0.000623632984628141,0.000450563081674041,0.00059763332359971,0.000922949052311294,0.000665290999598996,0.000540670561216157,0.000976384450998174,0.000569474282797497,0.000719656261343187,0.000665290999598996,0.00059763332359971,0.000968454920192184,0.000874026190652824,0.000569474282797497,NA,0.000945226785356398,0.00059763332359971,0.000569474282797497,0.00048253276145475,0.00048253276145475,0.000874026190652824,0.00059763332359971,0.000810185011076126,0.00059763332359971,0.000569474282797497,0.000874026190652824,0.000540670561216157,0.000665290999598996,0.00059763332359971,NA,0.000623632984628141,0.000569474282797497,0.00048253276145475,0.000665290999598996,0.00048253276145475,0.00059763332359971,0.000569474282797497,0.000665290999598996,0.00048253276145475,0.000540670561216157,0.000810185011076126,0.000513725357475827,0.000513725357475827,0.000719656261343187,0.000719656261343187,0.000450563081674041,0.000377827865458498
"MeanHPL*EA",-2.20531870374873,-1.86660595957883,-1.55180573605655,-4.36143969438208,-1.55180573605655,-1.55180573605655,-1.24997720406112,-2.3095574382336,-1.55180573605655,-2.11579582937125,-2.3095574382336,-2.15971251953161,-1.41394817020673,-2.36308702540591,-1.41394817020673,-2.01210505653922,-2.20531870374873,-2.41243196617667,-1.41394817020673,-1.55180573605655,-2.15971251953161,-2.47574718710077,-2.09026121570657,-2.11579582937125,-2.47574718710077,-2.01210505653922,-1.70726154521877,-2.01210505653922,-2.20531870374873,-2.3095574382336,-1.86660595957883,-2.36308702540591,-1.05763050189951,-1.24997720406112,-2.87188908758594,-1.55180573605655,-2.01210505653922,-1.86660595957883,-1.24997720406112,-2.15971251953161,-2.3095574382336,-2.87188908758594,-1.70726154521877,-2.24814625842852,-1.70726154521877,-1.70726154521877,-1.55180573605655,-1.70726154521877,-2.11579582937125,-1.55180573605655,-1.24997720406112,-1.70726154521877,NA,-2.01210505653922,-1.05763050189951,-1.86660595957883,-2.41243196617667,-2.09026121570657,-1.55180573605655,-2.96009556986641,-1.70726154521877,-2.11579582937125,-2.09026121570657,-1.86660595957883,-3.28508126375166,-2.3095574382336,-1.70726154521877,NA,-2.47574718710077,-1.86660595957883,-1.70726154521877,-1.24997720406112,-1.24997720406112,-2.3095574382336,-1.86660595957883,-2.20531870374873,-1.86660595957883,-1.70726154521877,-2.3095574382336,-1.55180573605655,-2.09026121570657,-1.86660595957883,NA,-2.01210505653922,-1.70726154521877,-1.24997720406112,-2.09026121570657,-1.24997720406112,-1.86660595957883,-1.70726154521877,-2.09026121570657,-1.24997720406112,-1.55180573605655,-2.20531870374873,-1.41394817020673,-1.41394817020673,-2.11579582937125,-2.11579582937125,-1.05763050189951,-0.891510305477434
"age",-0.117847545860124,-0.109789961325209,-0.103169435131349,-0.147271343848218,-0.103169435131349,-0.103169435131349,-0.0942652142332539,-0.12395182476901,-0.103169435131349,-0.11571684615254,-0.12395182476901,-0.117123059899222,-0.0987663549604513,-0.127761637999821,-0.0987663549604513,-0.112676239360106,-0.117847545860124,-0.131229499938046,-0.0987663549604513,-0.103169435131349,-0.117123059899222,-0.134727325392506,-0.114657302647766,-0.11571684615254,-0.134727325392506,-0.112676239360106,-0.107683232716527,-0.112676239360106,-0.117847545860124,-0.12395182476901,-0.109789961325209,-0.127761637999821,-0.0897391943564827,-0.0942652142332539,-0.149473027022277,-0.103169435131349,-0.112676239360106,-0.109789961325209,-0.0942652142332539,-0.117123059899222,-0.12395182476901,-0.149473027022277,-0.107683232716527,-0.119104204078764,-0.107683232716527,-0.107683232716527,-0.103169435131349,-0.107683232716527,-0.11571684615254,-0.103169435131349,-0.0942652142332539,-0.107683232716527,NA,-0.112676239360106,-0.0897391943564827,-0.109789961325209,-0.131229499938046,-0.114657302647766,-0.103169435131349,-0.152288353385573,-0.107683232716527,-0.11571684615254,-0.114657302647766,-0.109789961325209,-0.153600161620383,-0.12395182476901,-0.107683232716527,NA,-0.134727325392506,-0.109789961325209,-0.107683232716527,-0.0942652142332539,-0.0942652142332539,-0.12395182476901,-0.109789961325209,-0.117847545860124,-0.109789961325209,-0.107683232716527,-0.12395182476901,-0.103169435131349,-0.114657302647766,-0.109789961325209,NA,-0.112676239360106,-0.107683232716527,-0.0942652142332539,-0.114657302647766,-0.0942652142332539,-0.109789961325209,-0.107683232716527,-0.114657302647766,-0.0942652142332539,-0.103169435131349,-0.117847545860124,-0.0987663549604513,-0.0987663549604513,-0.11571684615254,-0.11571684615254,-0.0897391943564827,-0.0878194690433931
"VarTrialTime*VarPMTD",-10.4329719992516,-13.4933107145678,-8.37946856814478,-21.9820289356514,-8.37946856814478,-8.37946856814478,-4.13375888597251,-10.2762759221626,-8.37946856814478,-12.1501270970834,-10.2762759221626,-11.4562417596286,-6.49817135965402,-10.7700324921326,-6.49817135965402,-14.5089701217629,-10.4329719992516,-11.1558840169433,-6.49817135965402,-8.37946856814478,-11.4562417596286,-11.3764036714543,-13.3704224830326,-12.1501270970834,-11.3764036714543,-14.5089701217629,-11.1798625465361,-14.5089701217629,-10.4329719992516,-10.2762759221626,-13.4933107145678,-10.7700324921326,-1.41284336018312,-4.13375888597251,-13.1548131809946,-8.37946856814478,-14.5089701217629,-13.4933107145678,-4.13375888597251,-11.4562417596286,-10.2762759221626,-13.1548131809946,-11.1798625465361,-9.65453109123013,-11.1798625465361,-11.1798625465361,-8.37946856814478,-11.1798625465361,-12.1501270970834,-8.37946856814478,-4.13375888597251,-11.1798625465361,NA,-14.5089701217629,-1.41284336018312,-13.4933107145678,-11.1558840169433,-13.3704224830326,-8.37946856814478,-13.496701166731,-11.1798625465361,-12.1501270970834,-13.3704224830326,-13.4933107145678,-15.9360100281308,-10.2762759221626,-11.1798625465361,NA,-11.3764036714543,-13.4933107145678,-11.1798625465361,-4.13375888597251,-4.13375888597251,-10.2762759221626,-13.4933107145678,-10.4329719992516,-13.4933107145678,-11.1798625465361,-10.2762759221626,-8.37946856814478,-13.3704224830326,-13.4933107145678,NA,-14.5089701217629,-11.1798625465361,-4.13375888597251,-13.3704224830326,-4.13375888597251,-13.4933107145678,-11.1798625465361,-13.3704224830326,-4.13375888597251,-8.37946856814478,-10.4329719992516,-6.49817135965402,-6.49817135965402,-12.1501270970834,-12.1501270970834,-1.41284336018312,NA
"MeanPathLRto*EA",-2.35669097094724e-15,-3.67366533706482e-15,-3.88160865803075e-15,-0.00329861060571961,-3.88160865803075e-15,-3.88160865803075e-15,-3.32709313545493e-15,-1.57568727202052e-06,-3.88160865803075e-15,-2.28737653062526e-15,-1.57568727202052e-06,-2.56463429191317e-15,-3.60435089674284e-15,-5.24838578083229e-05,-3.60435089674284e-15,-3.46572201609888e-15,-2.35669097094724e-15,-9.44886656257932e-05,-3.60435089674284e-15,-3.88160865803075e-15,-2.56463429191317e-15,-9.29320884252009e-05,-2.56463429191317e-15,-2.28737653062526e-15,-9.29320884252009e-05,-3.46572201609888e-15,-3.74297977738679e-15,-3.46572201609888e-15,-2.35669097094724e-15,-1.57568727202052e-06,-3.67366533706482e-15,-5.24838578083229e-05,-2.98052093384504e-15,-3.32709313545493e-15,-0.000522258462719554,-3.88160865803075e-15,-3.46572201609888e-15,-3.67366533706482e-15,-3.32709313545493e-15,-2.56463429191317e-15,-1.57568727202052e-06,-0.000522258462719554,-3.74297977738679e-15,NA,-3.74297977738679e-15,-3.74297977738679e-15,-3.88160865803075e-15,-3.74297977738679e-15,-2.28737653062526e-15,-3.88160865803075e-15,-3.32709313545493e-15,-3.74297977738679e-15,NA,-3.46572201609888e-15,-2.98052093384504e-15,-3.67366533706482e-15,-9.44886656257932e-05,-2.56463429191317e-15,-3.88160865803075e-15,-0.000630386823901093,-3.74297977738679e-15,-2.28737653062526e-15,-2.56463429191317e-15,-3.67366533706482e-15,-0.00109479429764932,-1.57568727202052e-06,-3.74297977738679e-15,NA,-9.29320884252009e-05,-3.67366533706482e-15,-3.74297977738679e-15,-3.32709313545493e-15,-3.32709313545493e-15,-1.57568727202052e-06,-3.67366533706482e-15,-2.35669097094724e-15,-3.67366533706482e-15,-3.74297977738679e-15,-1.57568727202052e-06,-3.88160865803075e-15,-2.56463429191317e-15,-3.67366533706482e-15,NA,-3.46572201609888e-15,-3.74297977738679e-15,-3.32709313545493e-15,-2.56463429191317e-15,-3.32709313545493e-15,-3.67366533706482e-15,-3.74297977738679e-15,-2.56463429191317e-15,-3.32709313545493e-15,-3.88160865803075e-15,-2.35669097094724e-15,-3.60435089674284e-15,-3.60435089674284e-15,-2.28737653062526e-15,-2.28737653062526e-15,-2.98052093384504e-15,-1.8714898886934e-15
"MeanPMTD*stem",1.11721943063134,1.2468674754996,1.53402829839854,NA,1.53402829839854,1.53402829839854,1.68006776687583,0.95089814141879,1.53402829839854,1.20584349674148,0.95089814141879,1.16529477837676,1.65320750886927,0.889268222755918,1.65320750886927,1.190227417979,1.11721943063134,0.824192247565805,1.65320750886927,1.53402829839854,1.16529477837676,0.751171296905184,1.19297228358417,1.20584349674148,0.751171296905184,1.190227417979,1.30982463815258,1.190227417979,1.11721943063134,0.95089814141879,1.2468674754996,0.889268222755918,1.66182395127675,1.68006776687583,0.261639881378397,1.53402829839854,1.190227417979,1.2468674754996,1.68006776687583,1.16529477837676,0.95089814141879,0.261639881378397,1.30982463815258,1.02498192182501,1.30982463815258,1.30982463815258,1.53402829839854,1.30982463815258,1.20584349674148,1.53402829839854,1.68006776687583,1.30982463815258,NA,1.190227417979,1.66182395127675,1.2468674754996,0.824192247565805,1.19297228358417,1.53402829839854,0.159353806851547,1.30982463815258,1.20584349674148,1.19297228358417,1.2468674754996,NA,0.95089814141879,1.30982463815258,NA,0.751171296905184,1.2468674754996,1.30982463815258,1.68006776687583,1.68006776687583,0.95089814141879,1.2468674754996,1.11721943063134,1.2468674754996,1.30982463815258,0.95089814141879,1.53402829839854,1.19297228358417,1.2468674754996,NA,1.190227417979,1.30982463815258,1.68006776687583,1.19297228358417,1.68006776687583,1.2468674754996,1.30982463815258,1.19297228358417,1.68006776687583,1.53402829839854,1.11721943063134,1.65320750886927,1.65320750886927,1.20584349674148,1.20584349674148,1.66182395127675,1.45680151836664
"MeanMAPR*stem",1.20886120195301,0.635072178557709,0.301111932267807,1.71693154301301,0.301111932267807,0.301111932267807,NA,1.06610690488744,0.301111932267807,1.18681323606161,1.06610690488744,1.19176369300762,0.0804833383900458,0.947785461739856,0.0804833383900458,0.882009373408449,1.20886120195301,0.845125623304387,0.0804833383900458,0.301111932267807,1.19176369300762,0.76453288439322,1.10179431417519,1.18681323606161,0.76453288439322,0.882009373408449,0.377117802165624,0.882009373408449,1.20886120195301,1.06610690488744,0.635072178557709,0.947785461739856,NA,NA,0.973473273733892,0.301111932267807,0.882009373408449,0.635072178557709,NA,1.19176369300762,1.06610690488744,0.973473273733892,0.377117802165624,1.19795052831236,0.377117802165624,0.377117802165624,0.301111932267807,0.377117802165624,1.18681323606161,0.301111932267807,NA,0.377117802165624,NA,0.882009373408449,NA,0.635072178557709,0.845125623304387,1.10179431417519,0.301111932267807,1.02427264118447,0.377117802165624,1.18681323606161,1.10179431417519,0.635072178557709,1.27455147830388,1.06610690488744,0.377117802165624,NA,0.76453288439322,0.635072178557709,0.377117802165624,NA,NA,1.06610690488744,0.635072178557709,1.20886120195301,0.635072178557709,0.377117802165624,1.06610690488744,0.301111932267807,1.10179431417519,0.635072178557709,NA,0.882009373408449,0.377117802165624,NA,1.10179431417519,NA,0.635072178557709,0.377117802165624,1.10179431417519,NA,0.301111932267807,1.20886120195301,0.0804833383900458,0.0804833383900458,1.18681323606161,1.18681323606161,NA,NA
"MeanTrialTime*MeanPMTD",0.412384673625265,0.107331035971535,0.0569030501243663,0.616272937077508,0.0569030501243663,0.0569030501243663,NA,0.514208609961241,0.0569030501243663,0.285779936794286,0.514208609961241,0.341718431294672,0.0197440342203588,0.545120733604159,0.0197440342203588,0.149999551119955,0.412384673625265,0.577469869874618,0.0197440342203588,0.0569030501243663,0.341718431294672,0.606701437042595,0.226452265447349,0.285779936794286,0.606701437042595,0.149999551119955,0.0887219157697521,0.149999551119955,0.412384673625265,0.514208609961241,0.107331035971535,0.545120733604159,NA,NA,0.641187621571034,0.0569030501243663,0.149999551119955,0.107331035971535,NA,0.341718431294672,0.514208609961241,0.641187621571034,0.0887219157697521,0.481362187532946,0.0887219157697521,0.0887219157697521,0.0569030501243663,0.0887219157697521,0.285779936794286,0.0569030501243663,NA,0.0887219157697521,NA,0.149999551119955,NA,0.107331035971535,0.577469869874618,0.226452265447349,0.0569030501243663,0.648770692911886,0.0887219157697521,0.285779936794286,0.226452265447349,0.107331035971535,0.643127657433988,0.514208609961241,0.0887219157697521,NA,0.606701437042595,0.107331035971535,0.0887219157697521,NA,NA,0.514208609961241,0.107331035971535,0.412384673625265,0.107331035971535,0.0887219157697521,0.514208609961241,0.0569030501243663,0.226452265447349,0.107331035971535,NA,0.149999551119955,0.0887219157697521,NA,0.226452265447349,NA,0.107331035971535,0.0887219157697521,0.226452265447349,NA,0.0569030501243663,0.412384673625265,0.0197440342203588,0.0197440342203588,0.285779936794286,0.285779936794286,NA,NA
"MaxInitMvmntRto*age",-0.000620310395273064,-0.00353751299155279,-0.00416062025887094,-0.0277809858469633,-0.00416062025887094,-0.00416062025887094,-0.00422470049590884,NA,-0.00416062025887094,-0.00293658670595676,NA,-0.00149053316679441,-0.00388393236266011,NA,-0.00388393236266011,-0.00355103171958601,-0.000620310395273064,NA,-0.00388393236266011,-0.00416062025887094,-0.00149053316679441,NA,-0.00339215685477438,-0.00293658670595676,NA,-0.00355103171958601,-0.00276150290067758,-0.00355103171958601,-0.000620310395273064,NA,-0.00353751299155279,NA,-0.00472907582867011,-0.00422470049590884,NA,-0.00416062025887094,-0.00355103171958601,-0.00353751299155279,-0.00422470049590884,-0.00149053316679441,NA,NA,-0.00276150290067758,-0.000804091822812281,-0.00276150290067758,-0.00276150290067758,-0.00416062025887094,-0.00276150290067758,-0.00293658670595676,-0.00416062025887094,-0.00422470049590884,-0.00276150290067758,NA,-0.00355103171958601,-0.00472907582867011,-0.00353751299155279,NA,-0.00339215685477438,-0.00416062025887094,-0.000430457909737338,-0.00276150290067758,-0.00293658670595676,-0.00339215685477438,-0.00353751299155279,-0.00542359694183663,NA,-0.00276150290067758,NA,NA,-0.00353751299155279,-0.00276150290067758,-0.00422470049590884,-0.00422470049590884,NA,-0.00353751299155279,-0.000620310395273064,-0.00353751299155279,-0.00276150290067758,NA,-0.00416062025887094,-0.00339215685477438,-0.00353751299155279,NA,-0.00355103171958601,-0.00276150290067758,-0.00422470049590884,-0.00339215685477438,-0.00422470049590884,-0.00353751299155279,-0.00276150290067758,-0.00339215685477438,-0.00422470049590884,-0.00416062025887094,-0.000620310395273064,-0.00388393236266011,-0.00388393236266011,-0.00293658670595676,-0.00293658670595676,-0.00472907582867011,-0.00230758579511516
