"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"VarMaxSpd:stem",-0.00525063566477732,-0.0218448444179626,-0.0290103630598138,-0.0516314108019413,-0.013901826692479,-0.0674211754608484,NA,-0.00295183583607211,-0.0219458720916371,-0.0611962437490719,-0.0251647448943663,NA,-0.0386502288372051,-0.0357129040238036,-0.0231237427315808,-0.0257891317146658,-0.0633200631494271,-0.0214871588052876,-0.0275895564019331,-0.0440951394955366,-0.0219237033319087,-0.0554891322077022,-0.0214871588052876,-0.0219404063090856,-0.0165096716152159,NA,-0.0318781942555476,-0.0438907750490513,-0.0216810363847206,NA,-0.0219123085876179,-0.00754297069906095,-0.0215917608545173,-0.0343651950712881,-0.022417976554839,-0.0307981861826196,-0.0201705166860115,-0.02577716459447,-0.0471387122261886,-0.0218918467851946,-0.0219118209256386,-0.0216623574811373,-0.021943145499362,-0.0136276016508119,-0.0271974824412264,-0.0219123085876179,-0.024350248894293,NA,-0.0222466278203901,NA,-0.0357129040238036,-0.0253014799287926,-0.000703270637414061,-0.02577716459447,-0.0343651950712881,-0.0227777687185011,-0.0383228966323337,-0.0218588667855775,-0.0217001570954282,-0.0430218256992206,-0.0218222521702868,-0.0237287890396066,-0.0215760757993832,-0.00689709678548202,-0.0689523914168613,-0.0248255063107062,-0.0262519820427839,NA,-0.0216297728115297,-0.0139575550253628,-0.0230774748844231,-0.0510677429798832,-0.0413489987611529,-0.0301692671472904,-0.0446987094726474,-0.0246587609903002,-0.0148985459215819,-0.0215694370530551,NA,-0.0810101891121828,NA,-0.0324156212092997,-0.0831859609328981,-0.0318325212595098,-0.0307981861826196,-0.0219118209256386,-0.0337200302168872,-0.0178330152298509,-0.083511604310634,-0.0714702168079303,-0.0216297728115297,-0.0215694370530551,-0.0456738201012867,-0.0219036234921055,-0.0448976224915842,-0.093354806577872,-0.0260208858701153,-0.0218858338562332,-0.0767659558179716,NA
"age",NA,-0.0419966921964364,-0.0455534213917258,-0.0561287295615115,-0.0309621042602428,-0.0673340394975356,NA,NA,-0.0388797641838962,-0.0629150640453328,-0.0397591482923343,NA,-0.0505129134894235,-0.0495012657558917,-0.0427748251899445,-0.0414491169558183,-0.064424300847219,-0.0346551532354027,-0.044424402171265,-0.0514186391594231,-0.0378377164918705,-0.113457003870505,-0.0346551532354027,-0.0386228438211394,-0.034149072458031,NA,-0.0480733122653678,-0.0513680150584523,-0.0347548690949126,NA,-0.0373021034214058,NA,-0.0346493799830197,-0.0489567648591356,-0.0359389304190267,-0.0469776264471956,-0.0389343093141479,-0.0435459847340034,-0.0531210056537246,-0.0363406893728108,-0.0391223900139721,-0.0347388951114709,-0.0387516000885803,-0.0307304413090628,-0.0442175642093528,-0.0373021034214058,-0.0428584335912191,NA,-0.0414864136649405,NA,-0.0495012657558917,-0.0433189394786458,NA,-0.0435459847340034,-0.0489567648591356,-0.0363795655391872,-0.0504110450043108,-0.0352107782771469,-0.0347774261752211,-0.0511743678282049,-0.0351526489591885,-0.0376114032285382,-0.0346242385477735,NA,-0.0683843438047702,-0.0430899234216724,-0.0437713216359323,NA,-0.0346864785135768,-0.00635986174182117,-0.0367773531419678,-0.0557678598198778,-0.0511652021683526,-0.0464695851228281,-0.0515694680376871,-0.0436187909627336,-0.0318487164592229,-0.0394784696945078,NA,-0.069366860565501,NA,-0.0482525882741139,-0.0668991838750607,-0.0480432150768898,-0.0469776264471956,-0.0391223900139721,-0.0487351641925725,-0.0358725843611161,-0.0765720272230149,-0.085097379839199,-0.0346864785135768,-0.0394784696945078,-0.0519575865883859,-0.0368938623128114,-0.0516192787079177,-0.0791079979272699,-0.0421953472760917,-0.0360602861725162,-0.0734041915249901,NA
"MaxInitMvmntRto:age",NA,-0.0139015198923973,-0.0257645928705658,-0.0519616191599856,-0.0135918296994095,-0.0564106523913187,NA,NA,-0.0198427477357905,-0.0546423798672797,-0.0231895063845933,NA,-0.0412060362097322,-0.0361407673580401,-0.0145383078906408,-0.0216134426221549,-0.0552469952768005,-0.0249562489296076,-0.0245511532161942,-0.047823803613614,-0.0209583176274232,-0.0994085277277615,-0.0249562489296076,-0.0201177952441214,-0.0143887116828546,NA,-0.027274788723189,-0.0477049499588098,-0.0245171471901889,NA,-0.02153172115082,NA,-0.0247847276840389,-0.0333393332220073,-0.0244698694811839,-0.0263952533986631,-0.0146338676907063,-0.0228827893570276,-0.0506497429029602,-0.0225609707814758,-0.0195929572955639,-0.0245440338856546,-0.0199799545133924,-0.0132940026817771,-0.0241625837272479,-0.02153172115082,-0.0216026824390075,NA,-0.0197232109163116,NA,-0.0361407673580401,-0.0224560436155699,NA,-0.0228827893570276,-0.0333393332220073,-0.024349829229751,-0.0406358267379603,-0.0237717007195147,-0.0244338582325412,-0.0472032335452888,-0.0247353245816071,-0.0239588523062686,-0.0248486472133173,NA,-0.056874942460323,-0.0220290631743079,-0.0233087927971274,NA,-0.0246992276890811,NA,-0.024220777649469,-0.0518181824232138,-0.0456921676091628,-0.0262111461168843,-0.0481755197812715,-0.0153428800288575,-0.0142356000246061,-0.0193577600894366,NA,-0.0755394064654722,NA,-0.0287865430841462,-0.0783800580169202,-0.0267513922708162,-0.0263952533986631,-0.0195929572955639,-0.0318341501732667,-0.0145117503224794,-0.0605818809504107,-0.0823859228689365,-0.0246992276890811,-0.0193577600894366,-0.049442265094796,-0.0219687659824603,-0.0482915303118105,-0.0650261927814097,-0.0197170264247841,-0.0228611688365291,-0.0589612521600526,NA
"MaxNumSpdPks:same",NA,-0.0459328960141817,-0.123580435263179,-0.133033952489766,NA,-0.131455125185872,NA,NA,-0.122315122875136,-0.132072695094696,-0.0699882452460753,NA,-0.130117447151514,-0.128200382560114,-0.0503062264168278,-0.0676843993363686,-0.131863569899517,-0.0759800325267692,-0.123922523301671,-0.132219998599719,-0.113831772402793,-0.18410265541928,-0.0759800325267692,-0.120223524285598,-0.0110237180957297,NA,-0.123642364976986,-0.132120743677813,-0.0836840518131962,NA,-0.109471325806289,NA,-0.0793681182216389,-0.126800701926655,-0.0742399422403875,-0.123304976497792,-0.0346811265539631,-0.124460351576973,-0.13348839591597,-0.101644362158839,-0.124192227231666,-0.0828948114373568,-0.121271734028417,NA,-0.124017319511048,-0.109471325806289,-0.124903076068613,NA,-0.125438294896483,NA,-0.128200382560114,-0.124608665142841,NA,-0.124460351576973,-0.126800701926655,-0.0737382089961579,-0.129906155782422,-0.092385036755675,-0.084615098167981,-0.131737481128103,-0.0751674208391517,-0.0722825033996434,-0.0784716547852985,NA,-0.131600886486581,-0.124756408135587,-0.124311813682402,NA,-0.0810515838094217,NA,-0.0732461064310108,-0.133103148110144,-0.131423387938125,-0.123387396873898,-0.132516706870603,-0.0557084129131116,-0.00223710065233248,-0.124935430487564,NA,-0.172143249802356,NA,-0.124481524744306,-0.160567109643962,-0.123313485052297,-0.123304976497792,-0.124192227231666,-0.126044427483052,-0.0196075311635402,-0.136285348000653,-0.184886338598462,-0.0810515838094217,-0.124935430487564,-0.133408167272152,-0.1061478187568,-0.132614887601551,-0.141493468826547,-0.0651750335634007,-0.0993612732725655,-0.133731625097587,NA
"monthspost:stem",NA,-0.0400882215119323,-0.090724507379816,-0.0680176601339931,-0.0238316160947499,-0.042715774862152,NA,NA,-0.0927235395063443,-0.0526864874443913,-0.0548167960609118,NA,-0.0801902949190507,-0.0829385426031947,-0.0413225439609295,-0.0517128289421164,-0.0492705173554397,-0.0684115769223047,-0.0918091525623566,-0.0776007292373001,-0.0890012080271511,NA,-0.0684115769223047,-0.0918057861615844,-0.0277198539797387,NA,-0.0886702419739071,-0.0775464516734867,-0.0742733917673294,NA,-0.0870879276929744,NA,-0.071036312865393,-0.0848113625596087,-0.0647064026910567,-0.0895236060658895,-0.0359679308691068,-0.0927737715066564,-0.0751753809427319,-0.0836536117186886,-0.0936044267075343,-0.0736642656946263,-0.0922657204923378,-0.0235831448348553,-0.0920109978368235,-0.0870879276929744,-0.0935334554521048,NA,-0.0945931021104915,NA,-0.0829385426031947,-0.0930276268734374,NA,-0.0927737715066564,-0.0848113625596087,-0.0635345096867398,-0.0805023178028324,-0.0795950154003463,-0.0749516638792445,-0.0773639710921076,-0.0668256651413738,-0.0602201375045473,-0.0703689258950133,NA,-0.0401887518477731,-0.0932811381743053,-0.0925200568107832,NA,-0.0723130690470385,-0.0035989286160428,-0.0624536081174755,-0.0689097388374604,-0.0778659203288782,-0.0899783679457315,-0.0777656954448785,-0.0429761976643875,-0.0247867870232916,-0.0943050416797749,NA,NA,NA,-0.0877908027950125,NA,-0.0887058434486631,-0.0895236060658895,-0.0936044267075343,-0.0857869875840069,-0.0307029316068162,-0.0166141823367348,NA,-0.0723130690470385,-0.0943050416797749,-0.0779756601059918,-0.0856296366447042,-0.0778205880694161,NA,-0.049271262838224,-0.0826518634927084,-0.0277623315787784,NA
"height:height",NA,2.15257052785868e-05,0.000833205772142778,0.000845740239277683,NA,0.000823127006812743,NA,NA,0.000763386705188806,0.000832007318895578,0.000344077515730786,NA,0.000863946160109572,0.00086198960591774,6.30424037325922e-05,0.000305469627781599,0.000828941496336311,0.000492032338444026,0.00083168118587439,0.000859406346813153,0.000724375651173224,0.000827571018959509,0.000492032338444026,0.00075376839862018,NA,NA,0.000825003120045025,0.000860094008247568,0.000563825414105059,NA,0.000704323949160254,NA,0.000524346889089793,0.000851042334042503,0.000450209420342701,0.000828827640366993,NA,0.000820676901843188,0.000851706788941342,0.000668331357946414,0.000772994838620119,0.000555933942384823,0.000758588636454091,NA,0.00082929723078879,0.000704323949160254,0.000811937176006668,NA,0.000797678860841052,NA,0.00086198960591774,0.000817773558549964,NA,0.000820676901843188,0.000851042334042503,0.000438407111969343,0.000863680284931882,0.000625724884856432,0.000571530901576269,0.000862783377350398,0.000473063872817429,0.000403351961256754,0.000516366734410339,NA,0.000817642913488062,0.00081485966254119,0.000823568812417341,NA,0.000540306070433415,NA,0.00042685181376489,0.000846475674792311,0.000864819447509245,0.000831178332520699,0.000857354452815245,0.000114672274892548,NA,0.000781185257713619,NA,0.000822238613501117,NA,0.00083103471999115,0.000704834160234777,0.000825425396737155,0.000828827640366993,0.000772994838620119,0.000844547363968458,NA,0.000742303591518132,0.000860650241079168,0.000540306070433415,0.000781185257713619,0.000853729160633833,0.000689040660568168,0.000856675999423523,0.000684438756973821,0.00025651314389355,0.000657832543172477,0.000777218333813082,NA
"VarSpdRto:initBB",NA,NA,0.237892679493295,0.18066026928631,NA,0.171286161916153,NA,NA,0.238224387717443,0.174906183045096,0.044503715679796,NA,0.201973350109141,0.214488268155405,NA,0.0282594165560428,0.173637159564172,0.106983695523674,0.240918144881292,0.181889585824174,0.21522790168485,0.297452207892091,0.106983695523674,0.232554526746855,NA,NA,0.232818874935652,0.182138875826782,0.131742738018338,NA,0.203407695829919,NA,0.118228259626124,0.22067773133049,0.090296968374082,0.234700463675272,NA,0.246170955015162,0.183679234711475,0.182190594458706,0.243865998691737,0.12916671044947,0.235395991423465,NA,0.241797096703555,0.203407695829919,0.250525761298297,NA,0.25610774276704,NA,0.214488268155405,0.24762824366386,NA,0.246170955015162,0.22067773133049,0.0850418250265098,0.203386098658859,0.157130739542946,0.134536815104053,0.183247767841397,0.100027125360002,0.0699428781697348,0.115451069342318,NA,0.169010661225761,0.249081055621054,0.244712199481217,NA,0.123586950583835,NA,0.0801167043837359,0.181199027512827,0.18817859401871,0.235698736509346,0.181157682490361,NA,NA,0.250149473747813,NA,0.28021995374061,NA,0.230073744636406,0.166477078204303,0.233469861752732,0.234700463675272,0.243865998691737,0.223808547056409,NA,0.134474054673715,0.338003207751544,0.123586950583835,0.250149473747813,0.183238442627755,0.194398405034922,0.180916928995601,0.107294078719158,0.0152625899478138,0.176001947826868,0.151337159465881,NA
"MeanTrialTime:MeanPMTD",NA,NA,0.207986970830346,0.597965468849037,NA,0.682490264072409,NA,NA,0.193929425666225,0.64890894446322,NA,NA,0.409175577896447,0.351710121053223,NA,NA,0.66051641978865,NA,0.210775249412248,0.489411666049707,0.145393675529918,1.47230517652739,NA,0.181962773237953,NA,NA,0.231725999190437,0.485918995483751,NA,NA,0.120446274605918,NA,NA,0.315306284673301,NA,0.214935227377635,NA,0.215053320269635,0.573056253436329,0.0756659682427697,0.20559386449736,NA,0.187959890336327,NA,0.211640567740882,0.120446274605918,0.218444685003685,NA,0.222688358810989,NA,0.351710121053223,0.21618858304904,NA,0.215053320269635,0.315306284673301,NA,0.402760603462141,0.0227056470689707,NA,0.471713659712154,NA,NA,NA,NA,0.686832359594961,0.2173192805843,0.213915634690809,NA,NA,NA,NA,0.59521382657901,0.452655507936164,0.21175164404509,0.499789040906083,NA,NA,0.214966790472488,NA,1.11042198724399,NA,0.253251516336079,0.973368153088405,0.223304884726913,0.214935227377635,0.20559386449736,0.29494106174158,NA,0.682989985837554,1.26587340353762,NA,0.214966790472488,0.547988397715638,0.101431512503791,0.503216101455538,0.72206921965669,NA,0.0626039764533274,0.680152917149376,NA
"MeanPMTD:VarSpdRto",NA,NA,7.58460289780963,NA,NA,NA,NA,NA,4.05132537807702,NA,4.88233226124085,NA,0.919512918693153,2.61472357061247,NA,3.97973045726397,NA,8.30773425121174,7.37914965629965,NA,5.04092056329635,NA,8.30773425121174,4.29531339904102,NA,NA,7.14663251699243,NA,8.08978729402948,NA,5.54957300752662,NA,8.20103579325366,3.96180862336239,7.50863916322534,7.65436775551816,NA,6.36528977886287,NA,6.46259513247856,3.80560636685622,8.10821572583633,4.17303820628342,NA,7.23482656086351,5.54957300752662,5.48322142012292,NA,4.13971679136152,NA,2.61472357061247,6.07160144374686,NA,6.36528977886287,3.96180862336239,7.18267717633653,1.11043416002803,7.53935775596719,8.06340017985237,NA,8.0717740845388,6.2912817229922,8.22513005226225,NA,NA,5.77750721777862,6.65834001253546,NA,8.15925964994181,NA,6.89549116430016,NA,NA,7.68689266598384,NA,0.164475501618863,NA,3.54808046632613,NA,NA,NA,6.3174121864587,NA,7.43118367563558,7.65436775551816,3.80560636685622,4.72854391512066,NA,NA,NA,8.15925964994181,3.54808046632613,NA,5.937264859183,NA,NA,3.09236509098663,6.72889831602964,NA,NA
"MeanMaxSpd:init_FM",NA,NA,-0.121223009903648,NA,NA,NA,NA,NA,-0.143915119190227,NA,-0.00741719172857067,NA,-0.0300652117242744,-0.0594894634589518,NA,NA,NA,-0.0450588792414379,-0.127892608333317,NA,-0.126425199471052,NA,-0.0450588792414379,-0.13960292066269,NA,NA,-0.109530435782247,NA,-0.063083931061342,NA,-0.117435371590122,NA,-0.053265015257599,-0.075244126523009,-0.0346197854542118,-0.116487504067771,NA,-0.135341406627181,NA,-0.101298732777175,-0.147921420225988,-0.0612406632656701,-0.141763989489256,NA,-0.129507028692525,-0.117435371590122,-0.141180967227582,NA,-0.150177976630687,NA,-0.0594894634589518,-0.137286128038291,NA,-0.135341406627181,-0.075244126523009,-0.0314727805397966,-0.0333541590188621,-0.0822183719439549,-0.06515628474875,NA,-0.0404026832912914,-0.0224686579029006,-0.0512430127097621,NA,NA,-0.139233355071185,-0.133400977580578,NA,-0.0571372628178356,NA,-0.0285274461299532,NA,-0.00421269837326828,-0.118021981850009,NA,NA,NA,-0.151289617457392,NA,NA,NA,-0.100928626398192,NA,-0.113006763627038,-0.116487504067771,-0.147921420225988,-0.0837249595462464,NA,NA,NA,-0.0571372628178356,-0.151289617457392,NA,-0.110583377687965,NA,NA,NA,-0.0965918418613129,NA,NA
