"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"VarMaxSpd:stem",-0.0501281544215783,-0.0510677429798832,-0.0218760728595445,-0.00525063566477732,-0.0233731736608597,-0.0217458073594584,-0.0383228966323337,-0.0120425741213962,-0.0243764933684483,-0.0225878406215305,-0.0357129040238036,-0.0186830750992056,-0.0219458720916371,-0.0313632933986012,-0.0216993454659652,-0.0219180322212081,NA,-0.0240281229555041,-0.0218172606212368,-0.037666287978659,-0.0259050552357628,-0.08619124125346,-0.0801770918649904,-0.0548596534080096,-0.0285079686642648,-0.0219065319213739,-0.0237581129684813,-0.0182549373991608,-0.0932304377569243,-0.034690143124771,-0.0477095095761908,-0.0114394512286658,-0.0108373612809421,-0.0548596534080096,-0.0261410461768994,-0.0417278668703756,-0.00491059404400086,-0.0234120449291063,-0.0219123085876179,-0.0219321125668979,-0.0285079686642648,-0.0215917608545173,-0.0219007014545282,-0.000103186006117038,-0.0219293223999674,-0.0219293223999674,-0.0219293223999674,-0.0261410461768994,-0.0432534835838402,NA,-0.0808416882219052,-0.0248255063107062,-0.0240281229555041,NA,NA,-0.0543942940620333,NA,-0.0215917608545173,-0.0203412103781922,-0.0219007014545282,-0.0215862351746972,-0.0217642113936509,-0.0450955636371772,-0.0791925691099512,NA,-0.0219036234921055,-0.0530003607244926,-0.032103582503723,-0.0383228966323337,-0.0598712550439124,-0.0874847788562515,-0.0217458073594584,-0.0379947989801401,-0.0748387226167112,-0.0219036234921055,-0.00127718367277674,-0.0230774748844231,-0.0217458073594584,-0.0227809774223426,-0.0219094269193184,-0.01268313972832,-0.0233731736608597,NA,-0.0215694370530551,-0.0219348899014508,-0.0929706416746343,-0.0330514568242621,-0.0633200631494271,-0.0360415220018536,-0.0132912349027055,-0.0217169770532246,-0.0670530069306878,-0.0238777170465365,NA,-0.0386502288372051,-0.0218452661318931,-0.0261949955238532,NA,-0.000703270637414061,-0.083511604310634
"age",-0.0550973938044875,-0.0557678598198778,-0.0356353228311772,NA,-0.03717002510284,-0.0392416869059943,-0.0504110450043108,-0.0277493553660283,-0.0435154281713078,-0.0418024611655935,-0.0495012657558917,-0.0369778693832029,-0.0388797641838962,-0.0475178246698562,-0.0407710620824963,-0.0375711444808647,NA,-0.0380063175503516,-0.0349477672660208,-0.0502061957700558,-0.0418265261429314,-0.0775376882286553,-0.068139513912168,-0.0584422994251382,-0.0451227670635225,-0.0370305704464452,-0.0431593322344297,-0.0364096248136926,-0.0789719004070835,-0.049068536301358,-0.0534329156646731,-0.0265678438277699,-0.0253408859165283,-0.0584422994251382,-0.0425286247254122,-0.0511781101933964,NA,-0.0423772678213445,-0.0373021034214058,-0.038232994561881,-0.0451227670635225,-0.0346493799830197,-0.036756522623137,NA,-0.0381018421182611,-0.0381018421182611,-0.0381018421182611,-0.0425286247254122,-0.0512189192646651,NA,-0.0754184652478722,-0.0430899234216724,-0.0380063175503516,NA,NA,-0.0581143260070288,NA,-0.0346493799830197,-0.0392718583055946,-0.036756522623137,-0.0397958420805472,-0.0348694460974748,-0.0516688503190886,-0.0749047624378203,NA,-0.0368938623128114,-0.0571266392428145,-0.0481386716895578,-0.0504110450043108,-0.0619790616003086,-0.0778569419015775,-0.0392416869059943,-0.0503088122460607,-0.0803102791744489,-0.0368938623128114,NA,-0.0367773531419678,-0.0392416869059943,-0.0425758910777295,-0.0371666498591027,-0.0294713790011399,-0.03717002510284,NA,-0.0394784696945078,-0.0383635438128803,-0.0784640480598854,-0.0484879362560948,-0.064424300847219,-0.0496553534442916,-0.00965036772568198,-0.0347970967772685,-0.0670678042625097,-0.04262291305872,NA,-0.0505129134894235,-0.0350744845636104,-0.0426994209356786,NA,NA,-0.0765720272230149
"MaxInitMvmntRto:age",-0.0515445592424169,-0.0518181824232138,-0.0233162429007371,NA,-0.0240824132262175,-0.0195418315842526,-0.0406358267379603,-0.00877483089383993,-0.015165866155063,-0.0200228733438382,-0.0361407673580401,-0.014609934297045,-0.0198427477357905,-0.0265546262399552,-0.0192511778843948,-0.0212436977610987,NA,-0.0238213361872617,-0.0240533411332159,-0.039491737259078,-0.020664319405751,-0.061387659793235,-0.0791174333930036,-0.0528811541751859,-0.0253811616176901,-0.0218224122944361,-0.0148515234143838,-0.0145792951807522,-0.0654683594424705,-0.0340966902969384,-0.0508287500027278,-0.00592550085079854,-0.00300472452707988,-0.0528811541751859,-0.0188009329744935,-0.0462738017832912,NA,-0.0207601671366334,-0.02153172115082,-0.0205351505141753,-0.0253811616176901,-0.0247847276840389,-0.0221157958512081,NA,-0.0206755564844883,-0.0206755564844883,-0.0206755564844883,-0.0188009329744935,-0.0473363079763886,NA,-0.0599326286862525,-0.0220290631743079,-0.0238213361872617,NA,NA,-0.0527500951379687,NA,-0.0247847276840389,-0.0145323316363129,-0.0221157958512081,-0.0192748938880126,-0.0241933914869748,-0.0484069920496357,-0.0748116925269821,NA,-0.0219687659824603,-0.0523531445285154,-0.0279819487328178,-0.0406358267379603,-0.0542751283102972,-0.061870698798496,-0.0195418315842526,-0.0400642002617049,-0.080157357234953,-0.0219687659824603,NA,-0.024220777649469,-0.0195418315842526,-0.0143850718486635,-0.0216767317136024,-0.0118135081730282,-0.0240824132262175,NA,-0.0193577600894366,-0.0203953902950366,-0.066409880552475,-0.0302696905413234,-0.0552469952768005,-0.036670768085728,NA,-0.0244010554018222,-0.056298762408613,-0.0211785145407301,NA,-0.0412060362097322,-0.0239180316144625,-0.018337270544192,NA,NA,-0.0605818809504107
"monthspost:stem",-0.0704265917161779,-0.0689097388374604,-0.0811320762660108,NA,-0.0613945447275505,-0.0939794610881368,-0.0805023178028324,-0.0207727177832728,-0.0425740510134546,-0.0944445218787863,-0.0829385426031947,-0.0326335896908951,-0.0927235395063443,-0.0890992358511776,-0.0947927324755218,-0.0880489777342753,NA,-0.0591489939293361,-0.0785804975691036,-0.0811256439465041,-0.0504964380552194,-0.0121502516014248,NA,-0.0628332058665436,-0.091110214651683,-0.0861179761906991,-0.0419316762533441,-0.0316590989186674,NA,-0.0843143033332248,-0.07428136124586,-0.0197261451479586,-0.0186473412566477,-0.0628332058665436,-0.0480495954541774,-0.0776029390794286,NA,-0.0940280022436655,-0.0870879276929744,-0.0904131933062492,-0.091110214651683,-0.071036312865393,-0.0851390407494961,NA,-0.0899446995192507,-0.0899446995192507,-0.0899446995192507,-0.0480495954541774,-0.0773986900645039,NA,-0.0210332320653477,-0.0932811381743053,-0.0591489939293361,NA,NA,-0.0635791906302139,NA,-0.071036312865393,-0.0364461703859293,-0.0851390407494961,-0.0943972618136549,-0.0775139462872149,-0.077875284758124,NA,NA,-0.0856296366447042,-0.0658197087064695,-0.0883187749351474,-0.0805023178028324,-0.054807959662685,-0.00998179965844105,-0.0939794610881368,-0.0808143214670144,NA,-0.0856296366447042,NA,-0.0624536081174755,-0.0939794610881368,-0.0410120192792991,-0.086604069761891,-0.0223048787063281,-0.0613945447275505,NA,-0.0943050416797749,-0.090879532410046,NA,-0.0868421446443739,-0.0492705173554397,-0.082636057389938,-0.00620695780033005,-0.0755614251733052,-0.0432809185875033,-0.0937830628419275,NA,-0.0801902949190507,-0.0790831582066883,-0.0473821306597697,NA,NA,-0.0166141823367348
"MaxNumSpdPks:same",-0.133192575367079,-0.133103148110144,-0.0958967663255466,NA,-0.0727884444613777,-0.124607323739452,-0.129906155782422,NA,-0.0546178267977326,-0.125390641361261,-0.128200382560114,-0.0251213284436676,-0.122315122875136,-0.123281159721276,-0.125423111330149,-0.11166159939584,NA,-0.0718155855997257,-0.0900345295876475,-0.129481017417324,-0.0664396871491401,-0.137327814141962,-0.167314582221822,-0.132719673737121,-0.12372612159157,-0.107260765345695,-0.052473207180873,-0.0223101337567798,-0.141911526431646,-0.127180752960666,-0.133425932162217,NA,NA,-0.132719673737121,-0.0639240123780815,-0.131501448243692,NA,-0.125188521122233,-0.109471325806289,-0.117049746419734,-0.12372612159157,-0.0793681182216389,-0.105029729559926,NA,-0.115982029315174,-0.115982029315174,-0.115982029315174,-0.0639240123780815,-0.131828202223169,NA,-0.135244995796817,-0.124756408135587,-0.0718155855997257,NA,NA,-0.132766502490566,NA,-0.0793681182216389,-0.0359269349310641,-0.105029729559926,-0.125065841828844,-0.088055000465943,-0.132712642136072,-0.175593106474196,NA,-0.1061478187568,-0.132904089354334,-0.12404316227869,-0.129906155782422,-0.132208325991407,-0.137850845635902,-0.124607323739452,-0.129693996863593,-0.180781075266101,-0.1061478187568,NA,-0.0732461064310108,-0.124607323739452,-0.049142033262127,-0.108368593154195,NA,-0.0727884444613777,NA,-0.124935430487564,-0.11811255291045,-0.142757812387628,-0.125245702054123,-0.131863569899517,-0.128408069527267,NA,-0.0854113825067221,-0.131489949969777,-0.125047780629827,NA,-0.130117447151514,-0.0912070131679641,-0.0631347787445842,NA,NA,-0.136285348000653
"height:height",0.000847840529939298,0.000846475674792311,0.0006419001744264,NA,0.000415280157614223,0.000778098904361436,0.000863680284931882,NA,0.000104019332622925,0.000800453664432925,0.00086198960591774,NA,0.000763386705188806,0.000827521844037424,0.000792267858164065,0.000714396016786166,NA,0.000391678966249425,0.000614722128975137,0.000863154192397789,0.000281072450533686,0.000728772240323877,0.000790203769385889,0.000841062958777836,0.000834390944714339,0.00069415859222949,8.35109400672324e-05,NA,0.000681775818578236,0.000854364947192198,0.000851126344960249,NA,NA,0.000841062958777836,0.000231938697553888,0.000864804888395062,NA,0.000806099471304614,0.000704323949160254,0.000739173643849173,0.000834390944714339,0.000524346889089793,0.000683899081823991,NA,0.000734263700569444,0.000734263700569444,0.000734263700569444,0.000231938697553888,0.00086213512431674,NA,0.000755914161423126,0.00081485966254119,0.000391678966249425,NA,NA,0.000841726499146962,NA,0.000524346889089793,NA,0.000683899081823991,0.000784184314535076,0.000602238860401809,0.000856000585275128,0.000859047791311231,NA,0.000689040660568168,0.000843730152247554,0.000827352584147856,0.000863680284931882,0.000833903102535517,0.000722394256731868,0.000778098904361436,0.000863415804554042,0.000853588216253201,0.000689040660568168,NA,0.00042685181376489,0.000778098904361436,5.27679516162288e-05,0.000699252985670429,NA,0.000415280157614223,NA,0.000781185257713619,0.000744061005459253,0.000677217481005771,0.000837435230941545,0.000828941496336311,0.000862071495738657,NA,0.000579335540831075,0.00082358618549162,0.000809011562678547,NA,0.000863946160109572,0.000620258137296958,0.000219270777723013,NA,NA,0.000742303591518132
"VarSpdRto:initBB",0.181740155650062,0.181199027512827,0.166614294772111,NA,0.075222649922097,0.246540054412231,0.203386098658859,NA,NA,0.255553313071577,0.214488268155405,NA,0.238224387717443,0.233986165574698,0.256256562307795,0.209345042852099,NA,0.0649996686800288,0.150851002460968,0.206216296240189,0.0217829420081576,0.12736380890545,0.224667254924694,0.178854689046276,0.238867032575547,0.197415356011642,NA,NA,0.107631477183386,0.219089569633101,0.183119966589452,NA,NA,0.178854689046276,0.00878997687956855,0.186056253497636,NA,0.253381125797965,0.203407695829919,0.223951117210296,0.238867032575547,0.118228259626124,0.191367515171877,NA,0.221056772391864,0.221056772391864,0.221056772391864,0.00878997687956855,0.182937878695061,NA,0.141253696862741,0.249081055621054,0.0649996686800288,NA,NA,0.1791413297687,NA,0.118228259626124,NA,0.191367515171877,0.251674573021912,0.145199417111018,0.180677405200871,0.315397752691012,NA,0.194398405034922,0.179980050317278,0.231648015470099,0.203386098658859,0.175733061864707,0.123806982697445,0.246540054412231,0.204801067517283,0.326581814891036,0.194398405034922,NA,0.0801167043837359,0.246540054412231,NA,0.20041843172575,NA,0.075222649922097,NA,0.250149473747813,0.226832150440904,0.108200390828722,0.227093066178614,0.173637159564172,0.213155462820595,NA,0.137106291410788,0.171375794226005,0.251959147113202,NA,0.201973350109141,0.153976416710488,0.0053681349009578,NA,NA,0.134474054673715
"MeanTrialTime:MeanPMTD",0.589915029433446,0.59521382657901,0.0427848098701768,NA,NA,0.210171303397742,0.402760603462141,NA,NA,0.222432970258232,0.351710121053223,NA,0.193929425666225,0.218367067433527,0.222130665071634,0.132977475699673,NA,NA,0.00920988614891472,0.389875070574807,NA,0.686477496572899,1.07378962227474,0.615451750247997,0.209257076058808,0.107799006950201,NA,NA,0.731126169904917,0.325508433186329,0.576486331351412,NA,NA,0.615451750247997,NA,0.456532406725665,NA,0.220717864297796,0.120446274605918,0.163804653991018,0.209257076058808,NA,0.0950345973676607,NA,0.157695929522605,0.157695929522605,0.157695929522605,NA,0.47531294733476,NA,0.681043072799017,0.2173192805843,NA,NA,NA,0.612953926686432,NA,NA,NA,0.0950345973676607,0.21696020801543,NA,0.506627409243494,1.17252213974861,NA,0.101431512503791,0.605341840860027,0.242016174812986,0.402760603462141,0.641935558305159,0.68951037183744,0.210171303397742,0.396325525009802,1.21262483437076,0.101431512503791,NA,NA,0.210171303397742,NA,0.114137216071001,NA,NA,NA,0.214966790472488,0.169885283389328,0.751142646422226,0.273777316445165,0.66051641978865,0.357851467539935,NA,NA,0.680581138581946,0.219570256657859,NA,0.409175577896447,0.0159679600491217,NA,NA,NA,0.682989985837554
"MeanPreMvmntSpd:same",NA,NA,-0.0157152436024119,-0.0190023675530501,-0.0287202441960206,NA,NA,-0.0625574814159303,-0.0372014093100692,NA,NA,-0.0546652422674617,-0.000974997996681423,NA,NA,-0.00691900181804107,-0.00794766802313095,-0.0291799234483354,-0.019002114299241,NA,-0.0311615691366094,NA,NA,NA,NA,-0.00937439369082074,-0.038480973970004,-0.0562704294037446,NA,NA,NA,-0.0583764050845161,-0.0540561042990998,NA,-0.0318795540678428,NA,-0.018810442444309,NA,-0.00814103832604135,-0.00391275073507511,NA,-0.0253107432202309,-0.0106191733331048,-0.0174639140453834,-0.00450847050441626,-0.00450847050441626,-0.00450847050441626,-0.0318795540678428,NA,-0.0120760447671156,NA,NA,-0.0291799234483354,-0.0130239270762158,-0.0155181239188291,NA,-0.0110752241127263,-0.0253107432202309,-0.0483940778641075,-0.0106191733331048,NA,-0.0201116511162698,NA,NA,-0.00598814374281854,-0.00999534880129932,NA,NA,NA,NA,NA,NA,NA,NA,-0.00999534880129932,-0.0175865192182623,-0.0285162109691625,NA,-0.0404622540282048,-0.00875629460610857,-0.0667044544700812,-0.0287202441960206,-0.0145735797140508,NA,-0.00331977078296174,NA,NA,NA,NA,-0.0342220726853697,-0.0217166747113061,NA,NA,-0.00500158601479151,NA,-0.0183397253844576,-0.0321931035011901,-0.0165064660566206,-0.0174574891829459,NA
"MeanPMTD:VarSpdRto",NA,NA,7.13273465247067,NA,6.61627066068001,3.69077134444579,1.11043416002803,NA,0.0481410869816918,4.3588299921376,2.61472357061247,NA,4.05132537807702,7.5922138486824,3.78912906445888,5.29407440507007,NA,6.00951374818453,7.80564004320661,1.49293024975715,3.53511563940724,NA,NA,NA,7.53070681067755,5.80743807861987,NA,NA,NA,3.5755202351835,NA,NA,NA,NA,2.66107176006649,NA,NA,4.89348820727194,5.54957300752662,4.66553920834508,7.53070681067755,8.20103579325366,6.06769142595232,NA,4.79008996330141,4.79008996330141,4.79008996330141,2.66107176006649,NA,NA,NA,5.77750721777862,6.00951374818453,NA,NA,NA,NA,8.20103579325366,NA,6.06769142595232,3.61674423241477,7.97188736717622,NA,NA,NA,5.937264859183,NA,6.76236038274965,1.11043416002803,NA,NA,3.69077134444579,1.30166217492383,NA,5.937264859183,NA,6.89549116430016,3.69077134444579,NA,5.67820837140611,NA,6.61627066068001,NA,3.54808046632613,4.54156128366886,NA,5.54476026871977,NA,2.43287183197925,NA,8.04449256373182,NA,5.18873826190578,NA,0.919512918693153,7.67341832679272,2.41559287344563,NA,NA,NA
