"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"same*stem",-1.37916851290161,-1.43505851648434,-1.50273802386335,-1.35885796911875,-0.963599774132656,-1.54676306977131,-1.37916851290161,-1.37660939023798,-1.43505851648434,-1.37916851290161,-1.52392148101552,-1.37916851290161,-1.50273802386335,-1.37916851290161,-1.35885796911875,-1.45699624832975,-1.59351464947302,-1.60319325143257,NA,-1.54676306977131,-1.43505851648434,-1.02917515560801,-1.41532061314072,-1.41532061314072,-1.59222628625398,-1.43505851648434,-1.54676306977131,-1.41532061314072,-1.24685703215467,-1.50273802386335,-0.861094436889422,-1.37660939023798,-1.37916851290161,NA,-1.43045901570227,-1.43045901570227,-1.43045901570227,-1.43505851648434,-1.35885796911875,NA,-1.37916851290161,-1.10168036246871,-1.43045901570227,-1.50273802386335,-1.41532061314072,-1.37916851290161,-1.44010266524183,-1.41532061314072,-1.37916851290161,-1.54676306977131,-1.35885796911875,NA,-1.52392148101552,-1.50273802386335,-1.54676306977131,-1.10168036246871,-1.43045901570227,-1.43045901570227,-1.41532061314072,-1.35885796911875,-1.59351464947302,-0.415370291600769,-1.59222628625398,-1.50273802386335,-1.35885796911875,-1.54676306977131,-1.43505851648434,-1.37916851290161,-1.59222628625398,-1.23529959292492,-1.54676306977131,-1.54676306977131,-1.41532061314072,-1.37916851290161,-1.45699624832975,-1.35885796911875,NA,-1.43045901570227,-1.52392148101552,-0.3439764431615,-1.4858316204568,-1.44010266524183,-1.50273802386335,-1.4858316204568,-1.60319325143257,-1.41532061314072,-1.43045901570227,-0.905971720445224,-1.43045901570227,-1.35885796911875,-1.54676306977131,-1.50273802386335,-1.54676306977131,-1.37916851290161,-1.32371125706196,-1.54676306977131,-0.557612171097457,NA,-1.43045901570227,-1.59351464947302
"MeanPreMvmntSpd*same",-35.945803703447,-35.3505511828803,-32.4721374515771,-36.2362633802601,-29.5874532941984,-30.530037707625,-35.945803703447,-33.6530318877105,-35.3505511828803,-35.945803703447,-20.8945515763765,-35.945803703447,-32.4721374515771,-35.945803703447,-36.2362633802601,-34.2075199717907,-28.5516214244767,-23.0074605801755,NA,-30.530037707625,-35.3505511828803,-24.0386748003328,-35.2603631908936,-35.2603631908936,-25.7409508381872,-35.3505511828803,-30.530037707625,-35.2603631908936,-32.1440660929814,-32.4721374515771,-26.1512508288924,-33.6530318877105,-35.945803703447,NA,-34.5235837346673,-34.5235837346673,-34.5235837346673,-35.3505511828803,-36.2362633802601,NA,-35.945803703447,-30.5736132249211,-34.5235837346673,-32.4721374515771,-35.2603631908936,-35.945803703447,-36.1801224799873,-35.2603631908936,-35.945803703447,-30.530037707625,-36.2362633802601,NA,-20.8945515763765,-32.4721374515771,-30.530037707625,-30.5736132249211,-34.5235837346673,-34.5235837346673,-35.2603631908936,-36.2362633802601,-28.5516214244767,-13.408611790134,-25.7409508381872,-32.4721374515771,-36.2362633802601,-30.530037707625,-35.3505511828803,-35.945803703447,-25.7409508381872,-22.6415868965261,-30.530037707625,-30.530037707625,-35.2603631908936,-35.945803703447,-34.2075199717907,-36.2362633802601,NA,-34.5235837346673,-20.8945515763765,-8.89352760390191,-34.9822137412848,-36.1801224799873,-32.4721374515771,-34.9822137412848,-23.0074605801755,-35.2603631908936,-34.5235837346673,-26.3446909586585,-34.5235837346673,-36.2362633802601,-30.530037707625,-32.4721374515771,-30.530037707625,-35.945803703447,-22.3481893999153,-30.530037707625,-22.3460907887597,NA,-34.5235837346673,-28.5516214244767
"MaxInitMvmntRto*age",-0.0385551711377896,-0.0279382004549795,-0.0516233682241915,-0.0437657253068112,NA,-0.0530785283048375,-0.0385551711377896,-0.0104174652325138,-0.0279382004549795,-0.0385551711377896,-0.0687269809397092,-0.0385551711377896,-0.0516233682241915,-0.0385551711377896,-0.0437657253068112,-0.0151050597950203,-0.0546430120344998,-0.0648167423653899,NA,-0.0530785283048375,-0.0279382004549795,-0.0825222238612499,-0.0331866587360096,-0.0331866587360096,-0.0620883819436061,-0.0279382004549795,-0.0530785283048375,-0.0331866587360096,-0.00538265625892884,-0.0516233682241915,-0.0866830894455942,-0.0104174652325138,-0.0385551711377896,NA,-0.0481203007153347,-0.0481203007153347,-0.0481203007153347,-0.0279382004549795,-0.0437657253068112,NA,-0.0385551711377896,-0.00108321320075641,-0.0481203007153347,-0.0516233682241915,-0.0331866587360096,-0.0385551711377896,-0.0238846304250053,-0.0331866587360096,-0.0385551711377896,-0.0530785283048375,-0.0437657253068112,NA,-0.0687269809397092,-0.0516233682241915,-0.0530785283048375,-0.00108321320075641,-0.0481203007153347,-0.0481203007153347,-0.0331866587360096,-0.0437657253068112,-0.0546430120344998,-0.00795235859114329,-0.0620883819436061,-0.0516233682241915,-0.0437657253068112,-0.0530785283048375,-0.0279382004549795,-0.0385551711377896,-0.0620883819436061,-0.0788532307476536,-0.0530785283048375,-0.0530785283048375,-0.0331866587360096,-0.0385551711377896,-0.0151050597950203,-0.0437657253068112,NA,-0.0481203007153347,-0.0687269809397092,-0.00302592217182297,-0.0196736939995124,-0.0238846304250053,-0.0516233682241915,-0.0196736939995124,-0.0648167423653899,-0.0331866587360096,-0.0481203007153347,-0.0843219251847601,-0.0481203007153347,-0.0437657253068112,-0.0530785283048375,-0.0516233682241915,-0.0530785283048375,-0.0385551711377896,-0.0751116568490937,-0.0530785283048375,-0.0075789708113868,NA,-0.0481203007153347,-0.0546430120344998
"age",-0.0601885540682065,-0.0619095663964868,-0.0530892335060971,-0.0583499978672576,-0.0637274807072567,-0.0529046892914363,-0.0601885540682065,-0.0629710124445639,-0.0619095663964868,-0.0601885540682065,-0.0403663061097422,-0.0601885540682065,-0.0530892335060971,-0.0601885540682065,-0.0583499978672576,-0.0615497888606689,-0.0525572162717289,-0.0434199021798965,NA,-0.0529046892914363,-0.0619095663964868,-0.0409679688412753,-0.0611429483841744,-0.0611429483841744,-0.0469515156448028,-0.0619095663964868,-0.0529046892914363,-0.0611429483841744,-0.0642266376041152,-0.0530892335060971,-0.0450673354247119,-0.0629710124445639,-0.0601885540682065,NA,-0.0553199793057016,-0.0553199793057016,-0.0553199793057016,-0.0619095663964868,-0.0583499978672576,NA,-0.0601885540682065,-0.0646415069460492,-0.0553199793057016,-0.0530892335060971,-0.0611429483841744,-0.0601885540682065,-0.0613811959792984,-0.0611429483841744,-0.0601885540682065,-0.0529046892914363,-0.0583499978672576,NA,-0.0403663061097422,-0.0530892335060971,-0.0529046892914363,-0.0646415069460492,-0.0553199793057016,-0.0553199793057016,-0.0611429483841744,-0.0583499978672576,-0.0525572162717289,-0.0044234201170849,-0.0469515156448028,-0.0530892335060971,-0.0583499978672576,-0.0529046892914363,-0.0619095663964868,-0.0601885540682065,-0.0469515156448028,-0.0382472052004805,-0.0529046892914363,-0.0529046892914363,-0.0611429483841744,-0.0601885540682065,-0.0615497888606689,-0.0583499978672576,NA,-0.0553199793057016,-0.0403663061097422,NA,-0.0608139342467338,-0.0613811959792984,-0.0530892335060971,-0.0608139342467338,-0.0434199021798965,-0.0611429483841744,-0.0553199793057016,-0.0439496190355387,-0.0553199793057016,-0.0583499978672576,-0.0529046892914363,-0.0530892335060971,-0.0529046892914363,-0.0601885540682065,-0.038902369244277,-0.0529046892914363,-0.0289278255380556,NA,-0.0553199793057016,-0.0525572162717289
"MeanPMTD*VarSpdRto",21.0835568410465,18.3355378241851,29.9061749428861,22.9812563428679,6.43587547839023,33.2553371759962,21.0835568410465,11.8055846673222,18.3355378241851,21.0835568410465,46.7832246126168,21.0835568410465,29.9061749428861,21.0835568410465,22.9812563428679,13.3794841869735,36.4610036572464,43.7418931135129,NA,33.2553371759962,18.3355378241851,52.8680373906007,19.7517088924,19.7517088924,40.4758592989778,18.3355378241851,33.2553371759962,19.7517088924,10.1511787146038,29.9061749428861,55.1793885566572,11.8055846673222,21.0835568410465,NA,26.4666727031542,26.4666727031542,26.4666727031542,18.3355378241851,22.9812563428679,NA,21.0835568410465,8.48337122508008,26.4666727031542,29.9061749428861,19.7517088924,21.0835568410465,16.6749066467745,19.7517088924,21.0835568410465,33.2553371759962,22.9812563428679,NA,46.7832246126168,29.9061749428861,33.2553371759962,8.48337122508008,26.4666727031542,26.4666727031542,19.7517088924,22.9812563428679,36.4610036572464,NA,40.4758592989778,29.9061749428861,22.9812563428679,33.2553371759962,18.3355378241851,21.0835568410465,40.4758592989778,50.4190804718592,33.2553371759962,33.2553371759962,19.7517088924,21.0835568410465,13.3794841869735,22.9812563428679,NA,26.4666727031542,46.7832246126168,NA,15.0085089045781,16.6749066467745,29.9061749428861,15.0085089045781,43.7418931135129,19.7517088924,26.4666727031542,53.982421200651,26.4666727031542,22.9812563428679,33.2553371759962,29.9061749428861,33.2553371759962,21.0835568410465,49.4104096194408,33.2553371759962,NA,NA,26.4666727031542,36.4610036572464
"height*height",0.000764222410492954,0.000635198796306897,0.000861738244064663,0.000812758445792968,NA,0.000859430140664768,0.000764222410492954,0.000244040405316488,0.000635198796306897,0.000764222410492954,0.000908438584324525,0.000764222410492954,0.000861738244064663,0.000764222410492954,0.000812758445792968,0.0003619393276,0.000858360848041432,0.000902836273953431,NA,0.000859430140664768,0.000635198796306897,0.000796404973213283,0.000703854009433545,0.000703854009433545,0.000878438180551915,0.000635198796306897,0.000859430140664768,0.000703854009433545,0.000119979188865042,0.000861738244064663,0.000699221680649335,0.000244040405316488,0.000764222410492954,NA,0.00084352709260367,0.00084352709260367,0.00084352709260367,0.000635198796306897,0.000812758445792968,NA,0.000764222410492954,NA,0.00084352709260367,0.000861738244064663,0.000703854009433545,0.000764222410492954,0.000547393045088308,0.000703854009433545,0.000764222410492954,0.000859430140664768,0.000812758445792968,NA,0.000908438584324525,0.000861738244064663,0.000859430140664768,NA,0.00084352709260367,0.00084352709260367,0.000703854009433545,0.000812758445792968,0.000858360848041432,NA,0.000878438180551915,0.000861738244064663,0.000812758445792968,0.000859430140664768,0.000635198796306897,0.000764222410492954,0.000878438180551915,0.000842945963269907,0.000859430140664768,0.000859430140664768,0.000703854009433545,0.000764222410492954,0.0003619393276,0.000812758445792968,NA,0.00084352709260367,0.000908438584324525,NA,0.000464306847144192,0.000547393045088308,0.000861738244064663,0.000464306847144192,0.000902836273953431,0.000703854009433545,0.00084352709260367,0.000733294853329988,0.00084352709260367,0.000812758445792968,0.000859430140664768,0.000861738244064663,0.000859430140664768,0.000764222410492954,0.000864754324428497,0.000859430140664768,NA,NA,0.00084352709260367,0.000858360848041432
"VarPathLRto*stem",-2.96949402806726e-05,-1.88112061211804e-14,-0.00216266954832057,-0.00200715155862852,NA,-0.0022003797184608,-2.96949402806726e-05,-3.70056513859286e-15,-1.88112061211804e-14,-2.96949402806726e-05,-0.00101615566650279,-2.96949402806726e-05,-0.00216266954832057,-2.96949402806726e-05,-0.00200715155862852,-6.78436942075358e-15,-0.00219681273080904,-0.00146649786910366,NA,-0.0022003797184608,-1.88112061211804e-14,-0.00047073154365627,-3.04653536276433e-05,-3.04653536276433e-05,-0.00150012547147455,-1.88112061211804e-14,-0.0022003797184608,-3.04653536276433e-05,NA,-0.00216266954832057,-5.56836660636876e-05,-3.70056513859286e-15,-2.96949402806726e-05,NA,-0.00205428874990906,-0.00205428874990906,-0.00205428874990906,-1.88112061211804e-14,-0.00200715155862852,NA,-2.96949402806726e-05,NA,-0.00205428874990906,-0.00216266954832057,-3.04653536276433e-05,-2.96949402806726e-05,-1.32603584132911e-14,-3.04653536276433e-05,-2.96949402806726e-05,-0.0022003797184608,-0.00200715155862852,NA,-0.00101615566650279,-0.00216266954832057,-0.0022003797184608,NA,-0.00205428874990906,-0.00205428874990906,-3.04653536276433e-05,-0.00200715155862852,-0.00219681273080904,NA,-0.00150012547147455,-0.00216266954832057,-0.00200715155862852,-0.0022003797184608,-1.88112061211804e-14,-2.96949402806726e-05,-0.00150012547147455,-0.00063606268466173,-0.0022003797184608,-0.0022003797184608,-3.04653536276433e-05,-2.96949402806726e-05,-6.78436942075358e-15,-0.00200715155862852,NA,-0.00205428874990906,-0.00101615566650279,NA,-1.07933149875625e-14,-1.32603584132911e-14,-0.00216266954832057,-1.07933149875625e-14,-0.00146649786910366,-3.04653536276433e-05,-0.00205428874990906,-0.000435313275649706,-0.00205428874990906,-0.00200715155862852,-0.0022003797184608,-0.00216266954832057,-0.0022003797184608,-2.96949402806726e-05,-0.000734064872395614,-0.0022003797184608,NA,NA,-0.00205428874990906,-0.00219681273080904
"VarHPL*stem",-25.4046787459126,-17.7864106939874,-34.5783443380786,-29.0315992792987,NA,-37.2474982184662,-25.4046787459126,-0.770809634382395,-17.7864106939874,-25.4046787459126,-55.6052774036417,-25.4046787459126,-34.5783443380786,-25.4046787459126,-29.0315992792987,-4.56284035089835,-39.7477495141226,-49.9989348502343,NA,-37.2474982184662,-17.7864106939874,-62.9119274629513,-21.750656915871,-21.750656915871,-44.889089506272,-17.7864106939874,-37.2474982184662,-21.750656915871,NA,-34.5783443380786,-61.407342595583,-0.770809634382395,-25.4046787459126,NA,-31.9342478051955,-31.9342478051955,-31.9342478051955,-17.7864106939874,-29.0315992792987,NA,-25.4046787459126,NA,-31.9342478051955,-34.5783443380786,-21.750656915871,-25.4046787459126,-13.2478431380655,-21.750656915871,-25.4046787459126,-37.2474982184662,-29.0315992792987,NA,-55.6052774036417,-34.5783443380786,-37.2474982184662,NA,-31.9342478051955,-31.9342478051955,-21.750656915871,-29.0315992792987,-39.7477495141226,NA,-44.889089506272,-34.5783443380786,-29.0315992792987,-37.2474982184662,-17.7864106939874,-25.4046787459126,-44.889089506272,-60.036995866249,-37.2474982184662,-37.2474982184662,-21.750656915871,-25.4046787459126,-4.56284035089835,-29.0315992792987,NA,-31.9342478051955,-55.6052774036417,NA,-8.6756866830374,-13.2478431380655,-34.5783443380786,-8.6756866830374,-49.9989348502343,-21.750656915871,-31.9342478051955,-62.1866214228664,-31.9342478051955,-29.0315992792987,-37.2474982184662,-34.5783443380786,-37.2474982184662,-25.4046787459126,-58.6421595059808,-37.2474982184662,NA,NA,-31.9342478051955,-39.7477495141226
"MaxNumSpdPks*same",-0.00929840088762431,-0.00386135326899477,-0.022570282695664,-0.0115506519912512,NA,-0.0269606273753477,-0.00929840088762431,NA,-0.00386135326899477,-0.00929840088762431,-0.0356951431867281,-0.00929840088762431,-0.022570282695664,-0.00929840088762431,-0.0115506519912512,NA,-0.0314002914032354,-0.0362441844633249,NA,-0.0269606273753477,-0.00386135326899477,-0.0290593804357998,-0.007158421053381,-0.007158421053381,-0.0346636162188621,-0.00386135326899477,-0.0269606273753477,-0.007158421053381,NA,-0.022570282695664,-0.0251066951430208,NA,-0.00929840088762431,NA,-0.0170822447777318,-0.0170822447777318,-0.0170822447777318,-0.00386135326899477,-0.0115506519912512,NA,-0.00929840088762431,NA,-0.0170822447777318,-0.022570282695664,-0.007158421053381,-0.00929840088762431,-0.000100859301308866,-0.007158421053381,-0.00929840088762431,-0.0269606273753477,-0.0115506519912512,NA,-0.0356951431867281,-0.022570282695664,-0.0269606273753477,NA,-0.0170822447777318,-0.0170822447777318,-0.007158421053381,-0.0115506519912512,-0.0314002914032354,NA,-0.0346636162188621,-0.022570282695664,-0.0115506519912512,-0.0269606273753477,-0.00386135326899477,-0.00929840088762431,-0.0346636162188621,-0.0310909740517441,-0.0269606273753477,-0.0269606273753477,-0.007158421053381,-0.00929840088762431,NA,-0.0115506519912512,NA,-0.0170822447777318,-0.0356951431867281,NA,NA,-0.000100859301308866,-0.022570282695664,NA,-0.0362441844633249,-0.007158421053381,-0.0170822447777318,-0.0250191166328171,-0.0170822447777318,-0.0115506519912512,-0.0269606273753477,-0.022570282695664,-0.0269606273753477,-0.00929840088762431,-0.0309461585921269,-0.0269606273753477,NA,NA,-0.0170822447777318,-0.0314002914032354
"MaxMaxSpd*MaxInitMvmntRto",-3.38859098731567,-4.3023190230407,-1.53706696880799,-2.83038902727114,-4.64322224728686,-1.19974428438219,-3.38859098731567,-4.9253824750752,-4.3023190230407,-3.38859098731567,NA,-3.38859098731567,-1.53706696880799,-3.38859098731567,-2.83038902727114,-4.9966699465238,-0.853427268577878,NA,NA,-1.19974428438219,-4.3023190230407,NA,-3.85277397389033,-3.85277397389033,NA,-4.3023190230407,-1.19974428438219,-3.85277397389033,-4.98125144930915,-1.53706696880799,NA,-4.9253824750752,-3.38859098731567,NA,-2.13056251521094,-2.13056251521094,-2.13056251521094,-4.3023190230407,-2.83038902727114,NA,-3.38859098731567,-4.96749653586299,-2.13056251521094,-1.53706696880799,-3.85277397389033,-3.38859098731567,-4.63359960560119,-3.85277397389033,-3.38859098731567,-1.19974428438219,-2.83038902727114,NA,NA,-1.53706696880799,-1.19974428438219,-4.96749653586299,-2.13056251521094,-2.13056251521094,-3.85277397389033,-2.83038902727114,-0.853427268577878,NA,NA,-1.53706696880799,-2.83038902727114,-1.19974428438219,-4.3023190230407,-3.38859098731567,NA,NA,-1.19974428438219,-1.19974428438219,-3.85277397389033,-3.38859098731567,-4.9966699465238,-2.83038902727114,NA,-2.13056251521094,NA,NA,-4.90945351036394,-4.63359960560119,-1.53706696880799,-4.90945351036394,NA,-3.85277397389033,-2.13056251521094,NA,-2.13056251521094,-2.83038902727114,-1.19974428438219,-1.53706696880799,-1.19974428438219,-3.38859098731567,NA,-1.19974428438219,-1.28562151026166,NA,-2.13056251521094,-0.853427268577878
"VarTrialTime*same",-0.11132496155012,-0.0655021805021266,-0.0887649408004374,-0.130116562104718,NA,-0.0614901736187118,-0.11132496155012,NA,-0.0655021805021266,-0.11132496155012,NA,-0.11132496155012,-0.0887649408004374,-0.11132496155012,-0.130116562104718,NA,-0.0347693581082404,-0.000256855844105976,NA,-0.0614901736187118,-0.0655021805021266,NA,-0.0874598849236201,-0.0874598849236201,-0.0180690722517361,-0.0655021805021266,-0.0614901736187118,-0.0874598849236201,NA,-0.0887649408004374,NA,NA,-0.11132496155012,NA,-0.112359412522422,-0.112359412522422,-0.112359412522422,-0.0655021805021266,-0.130116562104718,NA,-0.11132496155012,NA,-0.112359412522422,-0.0887649408004374,-0.0874598849236201,-0.11132496155012,-0.0435773115764544,-0.0874598849236201,-0.11132496155012,-0.0614901736187118,-0.130116562104718,NA,NA,-0.0887649408004374,-0.0614901736187118,NA,-0.112359412522422,-0.112359412522422,-0.0874598849236201,-0.130116562104718,-0.0347693581082404,NA,-0.0180690722517361,-0.0887649408004374,-0.130116562104718,-0.0614901736187118,-0.0655021805021266,-0.11132496155012,-0.0180690722517361,NA,-0.0614901736187118,-0.0614901736187118,-0.0874598849236201,-0.11132496155012,NA,-0.130116562104718,NA,-0.112359412522422,NA,NA,-0.013117071257451,-0.0435773115764544,-0.0887649408004374,-0.013117071257451,-0.000256855844105976,-0.0874598849236201,-0.112359412522422,NA,-0.112359412522422,-0.130116562104718,-0.0614901736187118,-0.0887649408004374,-0.0614901736187118,-0.11132496155012,NA,-0.0614901736187118,NA,NA,-0.112359412522422,-0.0347693581082404
