"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"height*same",24.206829991108,23.5180950127398,23.9880423334705,24.0677585160221,23.2142971000738,24.2088892421301,23.8750198238233,23.8355734106697,23.6906724679535,23.6681206856151,23.903896549083,23.2305688331587,24.4206647003439,24.2304778607413,23.7239657737668,24.2250076998531,24.0845037570922,23.7566714540246,23.3234024710117,23.3617097657545,24.4979108878485,24.0081371274447,23.6605186854023,24.4238854533436,23.8087002731302,24.5795448331882,24.2058562680739,24.7299100942236,25.053227115859,24.053210218197,23.5962390434352,23.1675057190599,23.9923076176449,23.5932102848408,24.3552157184503,23.6813881200388,24.1474758452819,23.2187851718287,24.1590291607535,23.7377932379043,24.0976208744093,23.0971176848024,23.5253358759894,24.4589824810414,24.6918017502915,23.449847516001,23.6467012107152,24.4824917965074,24.1484688197264,23.2422202597099,24.7341330511195,23.0710493796839,24.1222152790493,23.5043682559324,23.7324705725025,23.5521709819445,23.6035731057985,23.7033684635129,22.9003174044084,23.714062270855,23.62393423821,24.1297819121533,23.4630176845176,23.9883360091057,24.3161618231778,23.8204040784606,24.3371302654882,23.846321527087,23.9432222912029,24.9072129646379,23.8241360876008,23.7743460011348,24.6628066608958,24.4341158022097,23.7873117690944,24.1966510394478,23.6491675696201,23.699486899973,24.5589735065521,25.1574155383728,24.4339517382275,23.9055184886999,23.7860259667367,23.853585199042,23.5998798195334,23.6317607441738,25.1449135522266,24.103342774302,24.2782852688087,24.2896984986883,24.1486651272372,23.5120536326257,24.2799504621144,24.2842574865493,24.3181838557151,24.5724650789353,23.4366809394188,24.0544959817181,23.7266768282539,23.9098016916081
"height*dominant",10.4075567391576,10.7007337351852,10.5501693212461,10.2879879785703,10.360574268768,10.6720614063482,10.682343523638,9.54571453211987,9.96642926468358,10.5071894293038,10.9942077333975,10.3001017589129,10.7966864059069,10.5958298929252,10.27393105874,10.4789320673695,10.9418400595281,10.9428287667823,10.9547406332326,10.390434314142,10.528216529965,10.3725525511401,10.6364934747851,10.1921899189685,10.6473406213917,10.8680578584774,10.3350399000615,10.1109359908364,10.0810143695184,11.3118172285435,10.5974865347862,11.2229206411018,10.9264670186733,10.3679217178188,11.6060387684606,10.7250100864892,10.708038881607,10.5418598491669,11.2461622990587,11.1660544849834,9.83367800290329,10.239544153162,11.083985052107,10.4801932956476,10.9849423163536,10.4249848897656,10.2313343933299,10.5911514343522,9.97661958408064,10.3447185454289,10.6126452071295,10.1760240012963,10.8405964523368,10.5457018572163,10.7525157652973,10.6605392164339,10.8979702673463,10.7407097239481,10.0749803870347,10.4278335354042,10.5215714328821,10.6378655154948,10.2982923553484,10.8745735562017,10.5557130025443,10.4776981745519,9.81817218797695,11.1158411089788,10.5583801863766,9.89026917941372,10.5929519837312,10.9999515338172,9.90608679078951,10.4928112011032,10.709714760518,10.1129482703619,11.0032946944326,10.5505696243796,10.3194195393194,10.5339739349582,10.3528375820303,10.3655667693883,10.800693564596,10.4506629599219,10.9398640585437,10.650985468195,10.9758095121517,10.1458263856597,10.4592827725041,10.076220104168,10.6102713146904,10.2288003439381,10.5381420002163,10.7950522141102,10.2800631470406,10.5400239824165,10.4635843995323,10.4426344760702,11.3791766493352,10.4661786439749
"height*stem",8.78845195544828,8.39528921890327,8.48356486693962,7.8613164445652,8.47054480985683,8.47042805391686,8.21184799964039,7.89386608848318,8.16872175125113,8.76731638589854,8.3179506179802,8.55998698843463,8.69837420483532,7.70139454711048,8.24830966463323,8.40284651995342,7.89801991464296,8.17130248286266,8.07620661588954,7.74630943425963,7.99602890107741,8.22387381661969,7.88478499787169,8.60240170763212,8.26816729574916,8.42166872661198,7.99100844095199,8.14073652451944,8.57124413825843,8.04251516246096,8.36167119900165,8.1512667476552,8.08042872064267,8.45190773010723,8.21542423236697,8.22148039831262,8.87728172333014,8.37627271946527,8.02066698138609,7.68306012518758,8.43888641922394,8.51224443360307,7.9961700307221,8.11718449835389,7.88622895654769,8.1638788577652,8.20313007376087,8.40747891262488,7.88452873884116,8.63635015293355,8.22245248138761,7.98338988478755,7.83737701824428,8.01793885328746,8.57645861377554,8.4366668954261,8.29361819740924,8.08156120366301,8.03950776619191,8.08827571969874,8.51409018616414,8.34894771752268,8.53301667868002,7.98055278541853,7.99279433356529,7.98033472984369,8.14342610815131,8.10103077564756,8.13343777658014,8.46284364450063,8.21940499998722,8.14958773538495,8.54267401033418,8.78086692906832,8.68813248999361,8.43233231298817,8.14114960796538,8.26557685734553,8.31604512555223,8.84920583740484,8.0725105583459,7.98154557240815,8.84551391500199,8.18505649090608,8.37504945838226,8.59397827859684,8.00251412291795,8.61508523008468,7.90245693146638,8.22600160567581,8.36304183544333,7.90460493609818,8.91951738037001,8.53505942032942,7.85387704846405,7.85253276082743,8.48288967989369,8.7876076845444,8.0190061362618,8.35489827529261
"MeanMaxSpd*sex",6.79336989571295,6.40993459403769,6.64812629794031,6.67086141981922,6.48142400112708,6.65884518220056,6.96317918278583,6.53279835800109,6.63642474795963,6.59283550938736,6.58899913268447,6.71840109165295,6.75059447344058,6.78844523486076,6.62960524851454,6.59572699590884,6.7516830189552,6.64790377457967,6.41418724793529,6.67437340196368,6.52653296584939,6.83027612829073,6.4996619297799,6.66004508978535,6.66992037661334,6.62509844820937,6.50959505403906,6.33182842685734,6.9792452538864,6.51776327828972,6.48837542908172,6.71977033959498,6.53634115149536,6.70013857657713,6.55653998092906,6.4894501490786,6.54630973794457,6.54699319007414,6.68686011959265,6.75330393818476,6.45395450102977,6.86760961587796,6.46604319476011,6.40620723254395,6.69850462021181,6.51975662164381,6.80207983293151,6.63135671020441,6.61364980978706,6.68480087252936,6.45490101000075,6.37576465815288,6.74800477442705,6.64373370109032,6.56803183087319,6.72045992561893,6.85552086848932,6.7465337990894,6.6465861508235,6.62452702889769,6.56604900670225,6.92248791897588,6.52037961908412,6.53245806495202,6.31393367022911,6.63501691170269,6.7100766927221,6.54054019432409,6.68665564990639,6.77885157435603,6.84992609735137,6.76356777576561,6.55701734695432,6.77490246562094,7.08837485985905,6.80507399846863,6.64214506199329,6.66200040711204,6.57804834418668,6.71438197972396,6.85850147282484,6.58320841534003,6.60919170919776,6.77946345128058,6.67350759944612,6.55494709121332,6.48607561745338,6.72018151516113,6.64592926236206,6.84980767100064,6.81693419410513,6.55419897565049,6.76276098755435,6.74664646368558,6.78062293396344,6.34728510913519,6.56254647165142,6.6602768701263,6.70743345200853,6.66730972805245
"MeanMaxSpd*height",6.34077479291075,6.23866982886858,6.48930634737905,6.51251946786946,6.37737116771862,6.89748321571587,6.25247206237142,6.28688921216387,6.32858233466268,6.51021291463248,6.46257261796977,6.27396044726715,6.66473976665661,6.66966134074362,6.40831111713579,6.48303565096679,6.33522812044686,6.52440012392105,6.40896230998799,6.30365071264028,6.23710338298948,6.42526189597891,6.4376510925834,6.41145755215548,6.48873005553985,6.41068566645889,6.57129655270507,6.32254846746128,6.50614600354727,6.42172429970034,6.30847184470209,6.36113036300873,6.62241915746076,6.14760346511306,6.84960620520881,6.47299626964341,6.55548884233355,6.09155795747948,6.4083727950303,6.43070563033179,6.26695741850414,6.37851478501641,6.41498305970389,6.49119554378834,6.1361732603527,6.38770145358542,6.51166933359061,6.26814652650959,6.32384414835283,6.33736798744366,6.59835579132678,6.47341440764281,6.4125950906681,6.38110994212192,6.56143945510938,6.38551113568524,6.71327757683409,6.52771198961557,6.31250804196455,6.44421717008963,6.51171136084885,6.36309586900529,6.36499985768851,6.15665471385451,6.53391399728191,6.52180687251159,6.49130903401388,6.39295963799288,6.52483652523785,6.50079562368001,6.47177893406856,6.54448383299725,6.55113771109989,6.39838210769646,6.15775233717414,6.53621037330407,6.45859536973078,6.2054449509515,6.41325609299393,6.60772485910671,6.45936460116025,6.19422477031315,6.28120045993908,6.37655152292601,6.32483340399034,6.18001799869346,6.25428671414679,6.5464586832114,6.3185508066653,6.21927550275493,6.532790211281,6.60997703384646,6.43512580463415,6.33840811368766,6.29591963783745,6.44928540512396,6.57916106065377,6.32336210460673,6.52272761228908,6.10896027809287
"MeanPMTD*EA",5.2409034995299,4.32255085437374,4.64287055770474,4.57342996289907,5.19002651708307,4.11059849443512,3.91626217130714,4.47037633683267,4.60221662607569,4.26813280794549,4.52633805899563,4.73480603027014,4.78546408001794,4.32440406062415,4.36917722881618,4.22742623898754,4.32519567153361,4.43554976532288,4.39005483384769,4.49640396457079,4.73026393032432,4.84355845508151,4.08518593461563,4.573731508444,4.39255641613564,4.19896410706839,4.4223030278555,4.99582657682653,4.28200511990118,4.42662621352822,4.91533811158355,4.81120255912504,4.88166108366635,4.75512988697769,4.31818096874559,4.04477501172607,4.38771807545039,4.31839061043745,4.72496575032167,4.66924483345073,4.37347410458739,4.75848718378038,4.51088469001349,4.58045961814213,4.80468308658303,4.9697926753622,4.41741516812805,4.53240336951909,4.81941557852849,4.66420634921202,4.84761282787593,4.7018651245764,4.36181027409496,4.7568637079463,4.78197244033934,4.30325791266429,4.82553455069891,4.48605444562777,4.61993248744451,4.21907792408263,4.58635524901738,4.46274252961828,4.8940276224435,4.80431099086637,4.62057654379356,4.97845487846496,4.72130833386123,4.50904538922209,4.47299007060873,4.87958693231041,4.44564475074554,4.40327544184219,4.51040692410435,4.89618119459177,4.36372185914603,4.37334278831076,4.35704576324812,4.47120650248253,4.0104677098902,4.47975962974504,4.60880553026708,4.41995724372333,4.63670745881837,4.84936859166353,4.57796110639856,4.88445591938102,4.55073986035294,4.61386081679444,4.57627807477474,4.20875108651195,4.1682369449841,4.58632429682028,4.76869947108363,4.58218873058148,4.46503760785424,4.20442887491582,4.29447461584098,4.05324141300216,4.64400716244262,4.45931482555781
"MeanMaxSpd*cort",4.51178114809894,4.30891567072303,4.23910546859013,4.21425434864061,4.38631635207979,4.28593834376966,4.44458386693149,4.56321031013038,4.29912614543059,4.28528473198223,4.63967376380573,4.34881370377619,4.57185887532263,4.44576808921097,4.39141089881496,4.65133340654594,4.27325414707409,4.18579128051518,4.49397242178155,4.65580336072949,4.63180179771346,4.45587806227027,4.47976483516463,4.70510062248503,4.16017740937699,4.49111253551579,4.48129622380929,4.11593319229121,4.68602637798824,4.19549011033881,4.40608758252274,4.5991083424785,4.29858084209373,4.34630788439339,4.3630495373759,4.30375711717161,4.38191486458072,4.35315757539905,4.61337647576135,4.37684840323789,4.45317751072481,4.42480665445223,4.25332146971577,4.46115651503696,4.21902921866811,4.47002094200651,4.36541561607688,4.60644602525954,4.61019861570023,4.42549147155901,4.22276065099847,4.13154742770619,4.51713365906497,4.27167230386216,4.56505712716834,4.15439818019467,4.1945769091416,4.36350922285615,4.53653347405398,4.35457939727174,4.13737604857384,4.49511247669469,4.328451831888,4.35101497283768,4.30652171262451,4.4036349040312,4.38361022244428,4.66046108670635,4.56946189315978,4.54834450991271,4.5066074580059,4.3476739954651,4.48505286452704,4.22856797272995,4.36169487006612,4.54151091046448,4.18735531880544,4.42699334616247,4.18173021546017,4.49089850847456,4.60752991916034,4.24188062003974,4.44955128050949,4.53715313208357,4.47124378948739,4.45129712206348,4.49308661060233,4.39294824296796,4.38499599834916,4.22745491009729,4.27367303567028,4.27063017149802,4.42316093669995,4.47665573864899,4.51495003362702,4.79549612067356,4.31767702216077,4.19957165290842,4.69675172754752,4.42929243352835
"MeanTrialTime*MeanPMTD",4.3349867049575,3.95544782385705,4.40955519496294,4.14194496752067,4.05793845936979,4.30778728920241,4.36341602651148,4.07374388371096,4.25806563887533,4.24867150905392,4.44657441459133,4.24093935688509,4.19569862757448,4.24607230949666,4.14788613556246,4.24303738851865,4.43728133330968,3.96581601630769,4.18323223025,4.40246419310008,4.32370695558314,3.94360231788924,4.16644742919558,4.05240140583494,4.02629956852945,3.90788615953742,4.33887216514732,3.98437325177405,4.44896624133938,4.2150306499005,4.48507680453075,3.74635614999609,3.93631148884611,4.28831315452689,4.42502557469669,4.14812682366422,4.38954633870481,4.19156654371927,3.91461794870429,4.14561692935519,4.49751934634517,4.21507091577556,4.18531142928903,4.28469702251158,4.12408323714893,4.20182069196168,3.91603490527494,4.21958086000747,4.26804949971893,4.29393094498581,4.05574604052712,4.14906121339776,4.22087489525178,4.46210562546172,4.09106591863699,3.99134067731653,4.33534115621504,3.85220552185365,4.37088545805611,4.5499156097628,3.94468671323979,4.20013845742338,4.12505657605912,3.94897439647549,4.14035412635332,3.98509371607893,3.87492222679863,4.45078311864847,3.79856906238758,4.02606632463383,4.13606161971175,4.5674577449744,4.31394943697594,4.07153813334608,4.49133010607404,4.6814889278333,4.28608790363965,4.21519928335706,4.76071631730972,4.15211039637257,4.29828945580805,4.13728304956588,4.14460219652123,4.13926357823103,3.68851728991749,3.80699403748044,4.20804420773574,4.12874085284607,3.92289270033263,4.05449907350907,4.14605735925153,4.22980364849529,4.50468403420317,4.0920656718057,4.23028916872668,4.28796572799769,4.33795473901771,4.56493473829546,4.1640394143575,4.18074674134354
"height*EA",4.02243339525702,4.16959597578754,3.32889201911792,3.92755606857821,4.26434254642821,3.57543073142141,3.82477442165657,3.6998205215597,3.90028350401823,4.09059584108041,3.47259924944031,3.60326906111919,3.90391000957142,4.19289889791522,4.04123918876163,3.81494770107753,3.62029657425283,3.79406768032456,3.83667641138469,3.57608260789356,3.59667904818901,3.50048544508735,4.02994582122713,3.66138504472455,3.77893890054728,3.96275678375226,3.73456724389008,3.87668177203249,3.70284152347923,3.903881423647,3.81733976079833,3.58033700038038,3.50675313144438,4.18167303172363,3.55308716695843,4.15443915672246,4.0774978081697,3.82868368073273,4.0078026274411,4.04022041258861,3.78709270176417,4.02140163247046,3.86270780797101,3.85364202784654,3.84321569386138,3.6085082101675,4.04677423866183,3.5140291645407,3.84149693617567,3.88752112577153,3.36544147831049,3.64498322849629,4.00846680570584,3.87804688634466,3.63337272780239,3.8897129386091,3.67774408594351,3.37742034778172,3.67507714565734,3.92979357458049,3.96716893304396,3.76618855840872,3.74760562739576,3.57869100589715,3.95831574365124,3.94893002292856,3.97505554000246,3.68581264493717,3.80073945108985,3.78846937420192,3.64827940418895,3.97115125339368,3.79155903422643,4.21121268254153,3.56221091570181,3.88136978083759,3.7028982290215,3.69758575188576,4.21424919144083,3.65500115338978,4.02751758049193,3.67641306030788,3.84495173985761,3.63760390083985,3.93209639228073,3.95066314079751,3.78556479932478,4.02518578285645,3.79346065891228,3.97749641140287,3.40328390247443,3.91668126021824,3.84055444494194,4.02164494606949,3.88336113766811,3.53514180401057,3.83555068955113,3.64967744760092,4.16807129453414,3.68383165626738
"VarPMTD*same",3.94564196088847,4.13550416568656,3.81686060282763,4.07997065736982,3.97246481249308,4.01740659043019,3.90081486164239,4.01124831042303,4.27064670580816,3.88273811747644,4.04816591328198,3.93718535822719,3.81096221919005,3.82980653087139,3.90963187449161,4.23808774738935,3.77150441585353,4.05827141239596,3.99320503919057,3.95919350715618,4.26369267209043,4.18594154346879,4.05397202492108,3.93365653642202,3.94866122528778,4.19435474966517,4.15789181522532,4.2015525297064,4.01653484923442,4.05646105308148,3.84919123150531,3.86568021515364,4.11115453602125,4.13607710109189,4.09035573568861,3.84966720824751,4.01136346138379,3.90490169697315,4.13844200996886,3.93372478159586,4.02388485292661,4.14288491029354,4.01051795248579,4.07453816856386,4.04073046918874,4.12136170502572,4.0042053523408,3.93063109435374,3.97669532910418,3.92798429409789,4.07455179903854,3.94988648435885,3.9919364918256,3.93085659485018,3.92540916043618,4.35667444930516,4.05475319954217,3.82865790306333,3.94866365558014,4.02760765601885,4.13997149585671,4.11074618769904,3.93312620140043,4.05703960922251,4.08151264708434,4.063666626264,4.01800574954923,3.87570128104377,3.99542343233694,3.97020328102708,3.94923135829168,3.90014812072671,3.89212618576251,4.03017089775009,3.93843581928316,3.94577295083638,4.20748808716761,3.92819409713304,4.09583021783543,3.95121651184477,4.1227989373182,4.20443577623817,3.8606246254617,4.18334166099496,3.91586411398065,4.03614661518075,4.03096463294608,4.00604283733432,4.04484764936378,3.88991605698365,4.28421506927826,4.06750695733218,4.05974036472276,3.89489790958424,4.29038846883044,4.15584273045783,4.15645530812694,3.99632064942209,3.93297141827689,3.94289272656096
