"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"MaxNumSpdPks:dominant",7.02639347012675,6.73901373010465,6.50974130508006,6.82793373764423,6.8767546797252,6.43446059488423,6.40218388912105,6.58784984068749,6.42055241352768,6.31597995055219,6.66742296185351,6.46121573097564,6.65418826226113,6.74252940866852,6.68819733622454,6.51676339940793,6.63999028493962,6.60587925512116,6.84409515799116,6.57874821859013,6.83126487763937,6.33632752285284,6.90706174129529,6.48858535104612,6.98513852659219,6.73714082543751,6.57797018820569,6.70061519782821,6.76619921420493,6.92397629122874,6.52440767170569,6.5090932458871,6.61313823935379,6.51008231976674,6.81410636751516,6.41427571620227,6.77393190961139,6.61482735542753,6.48549699061563,6.8483131196538,6.33468875929079,6.73288541387624,6.4883233018361,6.68288454444805,6.69008288223889,6.42255656295988,6.74367768820294,6.48183451214591,6.8184389738969,6.66745307318834,6.5345444888574,6.56545252082056,6.57835656123096,6.3139661120101,6.23965532243976,6.44905866898712,6.70151151392734,6.74029559716076,6.7380437037527,6.41441049089977,6.1950662789883,6.39252012342095,6.38446335076389,6.70295533159465,6.73610828284673,6.72165379734038,6.81911629718339,6.21914436647123,6.53220779594189,6.5587812404113,6.46065399567482,6.37956844618375,6.55951444714362,6.66681640185347,6.74817429641101,6.58243811066925,6.58648621645364,6.66597928737273,6.56901891905404,6.33442395817162,6.50382030394178,6.36193488955925,6.3257775551777,6.68794501812622,6.54999768832552,6.37335733747052,6.40417682939725,6.33433457237588,6.63311936459307,6.62957264792788,6.91109618664049,6.58228910600499,6.55977756197206,6.52321853293112,6.61522819878052,6.42174588002661,6.67532039607791,6.65941758780263,6.6040515403244,6.36932144660451
"MaxNumSpdPks:unknown",4.56911515841667,4.42717125760157,4.80300184157096,4.72860778546721,4.25080722325641,4.83450406273658,4.64149941718977,4.51026827063573,4.7592251805209,4.66533103669108,4.57155807740868,4.28922522939563,4.82725484443759,4.48465125654774,4.49071071430787,4.60994187916211,4.39312654164916,4.46039233365518,4.70417057617104,4.69157783568697,4.56978822978845,4.60146873033727,4.61276819501078,4.59045797076117,4.75852990205928,4.32740315945223,4.72786904323883,4.65420528231066,4.65064190530807,5.00401471767379,4.45964932906133,4.56499837028042,4.63701316846151,4.68028548137991,4.61635902943248,4.68552537348971,4.43831231598107,4.68279323576697,4.97319575848934,4.58379458112907,4.55356908743937,4.55200765765556,4.53997197901784,4.59329597456418,4.55643738093667,4.51951877741738,4.75265393320156,4.59909202409912,4.6186647298803,4.74955809375416,4.69407538418432,4.62345545660069,4.7055213343041,4.37861090455387,4.5686136030163,4.55070269132216,4.52780996199522,4.81449623988521,4.69141347108375,4.65089804633499,4.67848059243657,4.43900560009432,5.09564766897681,4.5016217948434,4.49596152677113,4.44711792363494,4.65701735290192,4.65234188343727,4.61033232626624,4.77696891273508,4.6610375564827,4.58263587804713,4.64569406015406,4.36407003672212,4.62453893812188,4.70959422212539,4.61241511234467,4.72736749181879,4.70217977956144,4.48786916884737,4.7678154274063,4.54090087650377,4.62266760002225,4.53386585303481,4.64783784433894,4.68108228764324,4.43848236375512,4.69561418010019,4.5050325927133,4.56313510715864,4.5262367634235,4.25273091402322,4.55159719459104,4.71712826228516,4.69292057025764,4.5976777791852,4.71272530955984,4.61090859144292,4.60227256634209,4.67409407254066
"mass:subcort",4.36726450964605,4.49140447221412,4.67064430158165,4.35190105929648,4.57890602196105,4.72479227919118,4.37449370060795,4.52109605325273,4.75988234422416,4.70532880477687,4.6908233708535,4.62798377313889,4.5095777094407,4.49289596824012,4.76413438491011,4.18739679520209,4.57724846769146,4.52877344528867,4.31937185408623,4.59444253952965,4.50377247574928,4.65879171599776,4.54335469579751,4.84010260593731,4.4638174115271,4.697428512652,4.41006362267604,4.4857009437511,4.72260009946341,4.81210736043823,4.67656824230755,4.31637415467749,4.62100690657463,4.47721832071772,4.52001920080295,4.37497855668509,4.59467290367146,4.55670140122846,4.51496987464891,4.58009356568224,4.47451737540745,4.35380960376537,4.4368753733528,4.3350419377731,4.59886453337575,4.37476791164896,4.71387843170749,4.74044254970482,4.75589020273212,4.64976539340263,4.67058836597621,4.38578591488615,4.18720368804518,4.48093509546962,4.76681437969994,4.31853357122076,4.64723487175634,4.43394774600407,4.53452886572074,4.31291741446384,4.63791243479597,4.30768351313285,4.42272744261874,4.07433329561942,4.43864105368951,4.35916712795063,4.47919065757039,4.56921842131213,4.82610343808765,4.41463850435718,4.36884461812744,4.46725360598971,4.50297676146595,4.62323665422473,4.79056318356356,4.42088066921439,4.5846004866768,4.52345236904685,4.74269305454157,4.71377128295457,4.45493753090495,4.56073029958078,4.68410607700048,4.81012408027682,4.50793644369736,4.44917764242385,4.56323856637649,4.63777662071691,4.64709772912281,4.73679240968947,4.62998174022003,4.58106919813306,4.83607235002913,4.51383980964017,4.67099833953215,4.33904802346097,4.65654372472483,4.399735639892,4.42712955139925,4.46050012007016
"mass:sttype",4.51085663937969,4.25638745672903,4.4242755322972,4.34627958038076,4.58278966348692,4.37902851706223,4.54808796995745,4.82482952935255,4.33175554584866,4.04106328067041,4.3465916777619,4.13087749468667,4.54754355535345,4.46479089792558,4.37629886775272,4.35814218727526,4.31241483004883,4.29317737356434,4.57521154058462,4.32476735986688,4.25356542825537,4.59794512697818,4.16091578781182,4.27091609512338,4.28569350358849,4.30500198394103,4.39091477559287,4.48233460795239,4.43776818002675,4.27449624622223,4.69272880964841,4.43184514822267,4.18505991025422,4.30624086400611,4.41817675310324,4.5957114932051,4.29882033167097,4.11307244078472,4.24069775149101,4.2901990101916,4.36731280407525,4.51353431362383,4.33065358328981,4.15934471138618,4.07080330217432,4.27915511959127,4.65623845342504,4.59724115146326,4.56881004298174,4.52966710964574,4.29257969013308,4.31464487360576,4.15597012975233,4.2077731377176,4.47097138825793,4.51314931094854,4.42089147730868,4.49682552157239,4.35530837725864,4.24116060078154,4.49917597470876,4.08906963909152,4.28705635332874,3.91606526901426,4.36613559994696,4.10245534970052,4.34664538953067,4.54544927369648,4.30893407835109,4.3546864964359,4.56191539813314,4.58257166054525,4.44552675220567,4.2282392064154,4.35130986506293,4.34531469876802,4.47782805574609,4.09306084736733,4.33552265223898,4.11873388029767,4.3669867041828,4.42293391157846,4.47135357455957,4.20448671084842,4.42738934450433,4.30059433727024,4.31561429996424,4.44442874429049,4.40443219664701,4.48955752856817,4.52112439345061,4.21243948338826,4.28579915856358,4.37090385568303,4.25075244260776,4.45140933542362,4.32340325992685,4.40896332458967,4.27976949814171,4.43872817279414
"MaxNumSpdPks:cort",4.34435055638181,4.13432080509607,4.1860312837798,4.28411356114658,4.08941820233943,4.04269195942403,4.01065618539203,4.10551763727677,4.18529967603828,4.09524340635568,4.30829674607542,4.10366701861298,4.14868026663909,4.27440741910352,4.08356745668453,3.99168424776807,4.02991365092366,4.28574393396178,4.38162157165349,4.30345127416875,3.94463596616615,3.99911190204119,4.03713226750006,4.35784296759225,4.2111929494881,3.9988002919756,4.03209580833717,4.17443304000465,4.16484154396158,4.06325274351263,4.06921004904578,4.22142998778077,4.23149462321099,4.37749206103901,4.26907164905197,4.11467118560084,3.90830946261999,3.99365263738549,4.26886993425189,4.26345629117928,4.20865678579434,4.3693603903708,4.1934228656867,4.12365415407309,4.10656081873257,4.28706910765543,4.0716965432376,3.99427324385196,4.22828921372356,4.14182142012159,4.29512387712832,4.22151603714831,4.10082872431451,4.42480155831497,4.27541830632474,4.07770253605161,4.14941129364174,4.11920287939689,4.03110965246252,4.23090493947887,4.13180494686538,4.12012366575875,4.3893583624864,4.35486601794266,4.152495836006,3.92273922222887,4.1421979947706,3.93916814405014,4.22637685814176,4.37090006946062,4.25384083208054,4.25261529729797,4.20226565744209,4.30514824019382,4.10573254113747,4.29113681731148,4.0729853103858,4.03721934631427,4.10530764683624,4.10420502473506,4.05274095650025,4.07748486155477,4.09210411004072,4.18634600965408,4.11905554333398,4.02276799081534,4.32173390134688,4.39637617188045,4.2552370450084,3.93655492914983,4.11258671868302,4.18297638382135,4.11700064119611,4.05338025603325,4.28872096232402,4.14039643259716,4.17697338739209,4.2762245624221,3.98412965597131,4.17483103594482
"MaxReactTime:affected",4.08643075966765,3.90756089906576,3.99170647576241,4.06155164298107,3.86134368185611,3.87156329501995,3.99964288654105,4.01122925226655,3.72697913529922,3.94582630608631,3.97701219554403,4.18620685849377,3.82539841949261,3.89860682125466,4.00191346212699,4.11899421694978,3.97526715920903,3.99076973451046,3.9981112969253,3.79640618178382,4.14979013122133,3.92256751942479,3.89022606827441,3.97724978633334,4.23479654314474,4.14709183670032,4.01068525343287,4.24652368954104,4.17587059938543,3.75825349770726,3.73529419526659,3.84707097747326,3.99085371158048,3.90354015389967,4.09224852540888,3.95753394717805,3.98705225981144,4.07621478903207,4.09471836475151,3.85581816936091,4.13151934438876,3.98915265433549,4.01726635785979,3.80699091361963,4.09586014366562,4.08886042889852,3.99151892235265,4.11596913379419,4.13353245712329,3.99888183630702,4.0691578360143,3.67546354043062,4.00504182289874,3.91491402432515,4.1086828404471,3.790456223982,3.9440960871226,3.7926069887177,3.73237360731183,4.02992843812813,4.1452521400148,4.05636659123467,4.05910491520169,4.0634085570003,3.89022628010587,3.95231437299187,4.01910505266945,3.92624885645527,3.72372611144884,4.22207960379932,4.01599618781135,3.84393351474504,3.86439166471548,4.41825443116794,3.82690276826173,4.16590095776618,3.87189610098432,3.6964790877046,3.83106270782417,3.92254511065657,3.80111439866981,4.1003018601116,4.09138184577831,4.32471045116675,4.25801525126702,3.90154932485516,4.19060579131762,3.78065267242676,3.94649017961015,4.01417235939445,3.88797852512003,3.92512029298823,4.11003054892705,3.83768478699906,4.04893555330723,4.13288514605133,4.06189319378775,3.83104833830605,4.02985268848526,3.94939213248592
"MaxReactTime:sttype",3.88338052244926,3.99194944441908,3.92911659044487,4.03499874008003,4.07982101894695,4.12895786129194,3.9485745401552,3.95833510302262,4.08912883938599,3.90915868900847,4.07860622683885,3.7995492751391,3.59444042516165,4.0574056399543,4.32435878056565,3.98283061685651,3.95986089034334,3.94650606770111,3.9678691480245,3.95084689417486,3.90615200235867,4.02435524978711,3.99353026739819,3.67607806873535,3.98171192682297,4.15050776272854,3.86512422962636,4.13845482668963,4.30384286270766,4.01363893855064,3.96864230593457,3.97923211083615,4.0361128993807,4.11913532297419,3.95545828892301,3.93501172365845,3.99253490465793,3.96693013491553,4.23185496898348,3.87814223787661,3.93718058710602,3.79894256129826,3.94038682071812,4.13467103086824,4.00910302253927,4.22294191706641,3.94413826290532,3.69310258567016,3.84544517203203,3.67483289897864,4.06739782193315,4.0636208401778,3.92833648500918,4.03388213792663,3.97318054467266,3.929135060682,3.54219493407372,3.89361640742379,3.74646082299505,4.06571112692352,4.05402149972718,3.90080633220426,4.20919038617148,4.11167158650716,3.97600824905343,4.01965945839313,4.0045153527696,4.02747671941465,3.90950887686409,4.04285807997427,3.87382854726597,4.04431915926696,4.05743496945306,4.14156755153732,3.88476168463577,4.16464099605688,4.09564046914494,3.73323821432906,3.72499334006884,3.73651366558758,3.74579915000472,4.062896935246,3.68374190184421,4.06248614423149,4.13482954558696,4.12581456826617,4.25828758330646,3.77876227842959,3.83023006725755,3.97052196892554,3.90251223502754,4.08323786132649,4.040456196413,4.06508208933945,3.93852595623452,4.20924628899317,3.95727570459479,4.00294531143647,3.970341037232,3.91561313881475
"MaxNumSpdPks:affected",3.72475706659337,3.88803047373739,3.88908558678209,3.77301651625385,3.62457227845957,3.90082193856638,3.8030971591661,3.91123511474341,3.64779037092052,3.66615442244294,3.63194908905253,3.92164663966091,3.54791912964699,3.76784134173092,3.72640500152878,3.76774781354937,3.68747347814339,3.66870126802789,3.73760410325998,3.80669078088651,3.86704166216388,3.75673476733027,3.50903316921354,3.72475964909574,3.29915899737131,3.88959724313733,3.79170112782451,3.52815077643236,3.71457315828152,3.58954957827597,3.46195417583494,3.63997113215233,3.9198807664734,3.79904252694331,3.55381692482964,3.69003675514318,3.66162768824789,3.61480839666169,3.86157366586293,3.44537423299962,3.62762999268332,3.63104862057047,3.74133556973627,3.67784294319386,3.76867020303282,3.69732989098896,3.68960627258119,3.86748087800573,3.69514104528519,3.54705719602062,3.56190590951138,3.64212073708145,3.60737114528292,3.70274504384824,3.83841221027643,3.80501122460529,3.98089749598611,3.80859519291038,3.76830336538775,3.84986650103407,3.92280219594139,3.57987651109214,3.70861069841956,3.56437766187501,3.8499288038191,3.60889751870784,3.82377442529521,3.87583752622988,3.60717718951547,3.82826677277323,3.84073359726227,3.88316182537975,3.59555232266127,3.83568550493596,3.81153787056943,3.79098075314163,3.79628164312726,3.85324701305269,3.53892176971468,3.77121594111994,3.72125352984423,3.6257217681503,3.93817063938007,3.81027657211486,3.51684618437075,3.7119541669832,3.73933895250094,3.73776334657132,3.4809027883542,3.77409954822946,3.58135432540406,3.7599503810671,3.55914302056286,3.588236463913,3.68101014909558,3.93136741844933,3.94132225638562,3.69471475124314,3.62830851901951,3.87152599418193
"MeanMaxSpd:height",3.60820718612701,3.63485746002591,3.50038739815085,3.7324881251628,3.56071030886123,3.56215921263128,3.60430169823635,3.7936050331146,3.64250707357461,3.72752204569225,3.79044682189062,3.66433965110376,3.71582028065383,3.61398391617296,3.71740381231186,3.72375571953598,3.6609937441032,3.69632704587009,3.55676525724095,3.66370344179799,3.72398661641755,3.76129024921919,3.57430155525918,3.67816321271582,3.62970286202406,3.69445111533615,3.68678812878218,3.80671616307119,3.69226247341557,3.61321840583395,3.59361125108299,3.65429175809229,3.5297812917268,3.62064361699257,3.58080983242901,3.66419452186228,3.58479079113622,3.70985151692213,3.77219455475811,3.74800378314354,3.66712042580713,3.78299625729867,3.64374855559254,3.71832072605141,3.6662654790625,3.47779337441697,3.67440052688166,3.72130704064801,3.53847977461891,3.76738839424001,3.68172892923972,3.7208740198369,3.67073048389782,3.68678741496184,3.51585623458729,3.62538833508408,3.59071816407977,3.63592912155394,3.61897777746347,3.67350581518008,3.69518317441032,3.58714119806939,3.70195536167279,3.63917390647983,3.59038752520958,3.63831887684009,3.72114441876061,3.61894720177159,3.65023796923224,3.53555435570715,3.62958404398748,3.68624535739899,3.58130499615597,3.71028151411025,3.53393178016892,3.59737613046703,3.7036180614989,3.54506169798501,3.75190214745028,3.64459358057458,3.46721923549106,3.5347726715334,3.699499430383,3.56702315496134,3.59982047872262,3.74474687170667,3.5253201745534,3.685059211096,3.65780469589744,3.6110996627002,3.748341574286,3.64677358146413,3.62852257884667,3.66143210024025,3.60102102477578,3.68096041385354,3.56926062829066,3.70738760367391,3.7168374952241,3.63998120792408
"mass:dominant",3.65245072522168,3.6207506620031,3.54329033898434,3.54166648716669,3.50203386922544,3.61447778840522,3.64235980274487,3.52251129823619,3.42784801957032,3.50276529542112,3.46164745860941,3.53724545751315,3.6090800819302,3.70096145959461,3.83016548857156,3.53630849402909,3.63897056558508,3.51678392518627,3.6354533962642,3.57967966487605,3.59323912605341,3.55727404483111,3.50528624839474,3.65171054797553,3.48393814628209,3.6915738941918,3.79455565343132,3.46218248560156,3.62575460061372,3.2852060521745,3.43965870830011,3.47960712063018,3.47693829161925,3.54685459411182,3.33680116128506,3.8896488315279,3.54838367375494,3.8076191564333,3.68270101968955,3.63280390301534,3.49353421913695,3.60601017829166,3.46709295497741,3.53202366820018,3.93749467339754,3.5833622208029,3.61960276582642,3.53965643362644,3.65033505822038,3.80325249689974,3.58610632683395,3.39014892432659,3.40612264808845,3.53387958744844,3.94177376244006,3.50588806327572,3.63580915227822,3.67111729895101,3.81507996238185,3.75428392617843,3.61878371099346,3.47737409894736,3.42396224971879,3.6704437097607,3.27665482288138,3.67846714392102,3.83826483697462,3.59022461605525,3.63477719755923,3.84917335188707,3.64659196066084,3.40870301424252,3.4829382693531,3.58716568002389,3.45544224342685,3.65928931563844,3.52338547804933,3.65355949208398,3.55451921366524,3.54537344373528,3.51638453408192,3.46867593689668,3.55386567311263,3.47933026884051,3.53335659839003,3.44529211163244,3.40161600706289,3.74091284780361,3.70294197326306,3.57953014534202,3.42727711271116,3.61356740233116,3.6301902105154,3.70909962641481,3.40242590593368,3.44056794288519,3.50414332306043,3.53456746404723,3.6793198259548,3.58743986466133
