"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"height*affected",13.4569854737081,13.3352965258383,13.3817462476222,13.5763189088485,12.7633452684655,12.4853949067942,12.4638445373628,13.2785710062432,12.925269411271,13.3324703680947,12.7379724976565,12.6982367897637,12.8837676552707,13.2664192477019,12.7940234598577,13.2753147737956,13.5639224246124,13.0827004874757,12.4959348819779,12.8012166915384,12.8033011195463,13.3146447048927,12.555105818716,13.7448216704584,13.0320762333671,13.4225243164811,12.9217494718337,13.3897001434143,12.6363686516206,12.4446094514908,12.7968211709177,13.1302707416854,12.807830978871,13.2904485226727,12.8520941912477,13.194262243819,12.7179884081653,12.6279334111376,13.1323200405042,13.03845800706,13.2601447050501,13.2465824353989,12.7973169918845,13.1051305105176,13.2752658472994,13.3245733372529,13.0190814139692,13.3014235366501,13.5573304429933,12.8052685539103,12.9477229540535,13.0649868485849,13.2032903248033,13.4351567211541,12.7914198629161,12.4978001788616,13.3558291236989,13.3294578161307,11.9649909285709,13.1363303367628,13.2811659548766,12.7531284815424,12.8185052317269,12.8962397816906,13.3369658835133,13.2800408024203,13.0526908332367,13.6388547918668,13.196590497249,12.170265850381,12.3273338956714,13.246147929579,12.694195348515,13.5665087451877,12.4025539423624,13.079514948655,12.9338309772481,12.2542790974486,12.6067238858519,12.5999150213904,12.8606590737364,13.4929442454399,13.0182490232457,12.7737060510185,12.6661104122423,13.3284539411332,12.8880165838074,13.1430175652045,13.0614184544188,13.2543623306517,13.6029784024439,12.8859614204465,12.4857056540454,13.2985866784427,12.3552279090977,14.0216102583525,13.0186597704321,13.306503099248,13.1828968509208,12.5323133887233
"height*cort",9.72788281029819,9.22470871901432,9.47649816425489,9.47657729992855,9.06438248820868,9.32888697777343,9.71950632103477,9.61246451321394,9.24502876363157,10.4882695316092,9.66289422488077,9.84166683162361,9.83393516750894,9.50871404654036,9.18687105187527,9.12684741740401,9.40253867936659,9.12368030769876,8.84555115912242,9.01225065575431,8.91264664888931,9.61926688271797,9.7838272468052,9.77968611810966,9.57517836469143,10.0595042106934,9.16938509784613,9.76591064635363,9.69255914227562,9.18565414006208,9.73695438411004,9.62987435966412,9.56464332951986,9.00686888600532,9.28647224111204,9.37238717110605,9.33325785873092,9.69104348405496,9.50130013295848,9.58472911015677,9.30619158518945,9.25452306430304,9.5902176311252,9.50184869584116,9.6787403590131,9.49381605716198,9.72281795361509,9.02096236613554,9.09632120052168,9.47832418350242,9.86195297492718,9.59846769641912,9.54547258196548,9.17588416370684,9.31465176495965,9.69481173445119,9.84385378594217,9.35502366849718,9.89317627259889,9.85309979451418,10.0603617904934,9.67128987045775,9.61948478071894,9.06584510730032,9.28333496414753,9.22173382567147,9.20956246341602,9.47061332713096,9.18814717809713,9.50818671544939,9.14717647635699,9.99756606565964,8.99661904803754,9.71911677715682,9.65879895155052,9.7876160967627,9.84478088768553,9.55358762979314,9.21182467749032,9.43063486165781,9.10226044542945,9.45032292974573,9.31432202644944,9.41930818278837,9.28874055295577,9.62154157474611,10.7889188830491,9.36852322810554,9.5011610765278,9.61262172498528,9.1011582031422,9.40558098570398,9.78727622013767,9.30743135667641,10.0877967147257,9.93445651634606,9.19794036055321,9.74168620401516,9.4995550080946,9.37960208879321
"height*subcort",9.08233642455951,9.04584645341242,9.21244016699363,8.29210212995651,9.08932488593211,8.98467399664234,8.66629284610637,9.25017442955374,9.52776842867869,8.6949635063833,9.23366452891011,9.19512454014141,8.47436719606032,8.78707743394762,8.77783413522562,8.52193836054828,9.73052793543844,8.8095135956675,8.43332467262531,8.59120923432447,9.08680688222726,8.60968223626241,9.05679845878645,9.5836643657689,9.07708457784849,8.95188967873823,8.88559615672551,8.91507735252371,9.30255350358857,9.33402626497113,8.90507651020134,9.48628101035296,8.22218450692918,8.76858093005135,9.05147266766506,8.48083791533154,8.67053217907472,9.02429927893167,9.22765777439019,8.64166488012842,9.37058781767492,9.14555570666896,8.85768167025953,8.8421815695551,8.80149177531865,9.50787437023353,9.32896053864378,9.73059006236987,8.65641559867517,8.90394757289982,8.59575658762913,8.7627767773775,9.45828890199358,9.00030530552382,9.27761354847219,9.01979673456766,9.19678450097302,8.64498178492479,8.60969968661205,9.03779905575998,9.48413514905855,8.81385063816219,9.33035682888335,9.0644288530139,8.97456234270658,9.10716456325486,8.56972030800915,9.49185876400956,9.74713125568761,9.21474393005523,9.43427541965896,9.35824805984386,9.72514078712483,8.74605589034052,9.01502005019094,9.26137160534415,8.89078362416223,8.42932440139128,8.96948811135516,9.049806542946,8.99951161432973,9.47445000626871,8.97892838661181,8.82209373771822,9.07597679838791,8.95603687442166,9.28432557027727,9.03398878774247,8.80602946024473,8.55200882491711,9.2908021475354,8.80587471234321,8.23089948159194,8.50824901636414,9.12124598268419,9.13961087041917,9.30415894075361,9.39015449551896,9.46591267575134,9.25577610985477
"age*same",7.5225427037218,7.42925932051283,7.58642906402714,7.34694543787567,7.58548084327923,7.53480618883671,7.67865360625339,7.52463553033348,7.49417846077848,7.20217907244422,7.20005309390243,7.25586509024413,7.46313392794594,7.44769286848055,8.04308335026133,7.31458002131199,7.83621602650206,7.65949745929525,7.66667076075102,7.52912943022644,8.07882366996415,7.52616321577266,7.79760838316803,7.33822694548344,7.32774842454835,7.85093061279953,7.5235331694279,7.94217291631824,7.85305314561756,7.74014229731148,7.4983529627321,7.39042088469428,7.54160884317266,7.66787901433568,7.56118155130333,7.27677762574952,7.54758635855758,7.6493978951073,7.53297279979277,7.57659583849526,7.47572432810983,7.40129894501084,8.08940785333343,7.75997142909743,7.28930905994131,7.58417462786037,7.40357437113989,7.43896489104252,7.51193078631052,7.7643877232375,7.55368709697181,7.33123464729148,7.49529183069577,7.69876980060856,7.44302245343086,7.65778001766225,7.85692072058527,7.40569535598959,7.5066540392723,7.52929359551117,7.29777660964788,7.26849154941352,7.49085283609592,7.3429061252828,7.693494501062,7.34279647715948,7.43178573610388,7.39316164119554,7.84070018896322,7.58616316066805,7.81705560239045,7.54910639319299,7.28521371558339,7.74096804050427,7.80413947491864,7.98212807216446,7.41786942504905,7.99180354478815,7.87726619727074,7.65535183403306,7.60608072930398,7.56512833496881,7.57883236262325,7.51578963815178,7.46046744141543,7.6032502736765,7.38214344755329,7.9109729469054,7.27743074660665,7.34691077418583,7.55004364701979,7.50323088598069,7.75192864355594,7.84210528208047,7.55387196464845,8.04513868920431,7.21976496521008,7.06328673556626,7.41039238290218,7.60506411616077
"MeanMaxSpd*same",7.2019925718972,6.99650146030365,7.18043121140829,7.28315977011255,7.40493982783528,7.20026398439467,7.36615587349279,6.96975449701178,6.99269481196812,7.06004913608585,7.14020624302751,7.05268247892101,7.17107612767466,7.18787888222126,7.32964353622337,6.99279171453978,6.80354406584461,7.06099373522433,6.91140737902574,7.50086153112761,7.46872367893624,6.96895252151961,6.81067500201497,6.96031999101492,7.19741522831834,7.02997191213842,7.12443506449388,7.4314195820807,7.30587610536308,7.17241391832998,7.12224247134357,7.25750368238217,6.9700839529854,7.21971837851579,6.85273273126595,7.18681579746519,7.14680329031107,7.12980166542853,7.29583706069464,7.13626957268168,7.25273317188916,7.07222162486662,7.22535839130887,7.42115968064664,6.94603807425842,6.89880769848584,7.39531156574797,7.08753816250201,7.05683626528127,7.33171108707862,7.35595350876272,6.94129285651304,7.32432307566539,7.37664758000072,6.98926067906859,7.28655433838676,7.10346404960873,7.04357331821226,7.36180172687171,6.80735048427747,7.4845909242738,7.18198926657931,7.35187798171204,7.49629771478998,7.15723137828811,7.36245144001548,7.2610942848104,7.36260101334516,7.20775219178901,6.96948575563938,6.917782878264,7.05453713868473,6.88310778573303,7.04600610009606,7.31150629021384,7.21865595171366,6.88360053969035,6.99120976522352,7.16881621515548,7.108532301378,7.06208970545112,7.15318180601995,7.33383638571115,6.80657389217135,7.01153164937382,7.36227035223757,7.22928404663722,7.42660867034367,7.18839317246196,7.1236734206982,6.64090183597386,6.95311592521635,7.52930644545522,7.32630734533243,6.96800196205047,7.13699312767528,7.01861747031189,7.38471945927211,7.2661417160252,7.31178429011904
"MeanMaxSpd*height",5.37772223544374,5.46675809529046,5.92597373708738,5.49029947336793,5.75144603808321,5.35490633177483,5.54639821136505,5.44328568459381,5.52182966957422,5.4643162754957,5.53632711385499,5.76538092503358,5.49141682291439,5.48306677281828,5.54221825673684,5.6381367021508,5.4922594661023,5.53140714926884,5.30743861485579,5.69503239199505,5.6279878834042,5.76521798903953,5.57399007809946,5.77930442805001,5.55414703948061,5.90917927030471,5.67707494203635,5.72195928711287,5.44671054024004,5.75158382949515,5.61089973512052,5.56803814350788,5.49288365392067,5.82902148413444,5.72192655288153,5.52443043998274,5.50103001055901,5.60043891180829,5.54576635999549,5.71132465274118,5.24906279549077,5.79611461013553,5.73214983601954,5.607647320065,5.51989405477278,5.47169881381819,5.50474843591005,5.48465767059198,5.63613860438065,5.50874694163573,5.45262857069871,5.68104429440786,5.6788978614623,5.53467958478755,5.829044703116,5.53647882011515,5.32777525712757,5.54496966887643,5.5415847312848,5.77192167053549,5.88810504553619,5.64056191607787,5.49697091657929,5.51084591258783,5.59543648121394,5.42813085714165,5.57905235640571,5.59559183402252,5.49245325359586,5.58433384202435,5.65444490739355,5.56013402941918,5.83802711927427,5.89018691440427,5.54122154604647,5.83159448733932,5.4930726320024,5.74586741068657,6.03269947934367,5.50161962025264,5.61944046524673,5.75782812862909,5.63812271093488,5.75358026936714,5.65049094978658,5.76794637104446,5.49010897148001,5.7810552588266,5.66354888744563,5.48776642608832,5.55204927506086,5.42774057262538,5.82654974662506,5.60257066378676,5.50292008931944,5.78275685489708,5.66175619981444,5.54446103093546,5.53463410646694,5.51407881394601
"VarSpdRto*sttype",4.69248512394107,4.85538698242026,5.22567781808444,4.86590314926343,4.85502504956041,5.27336925409005,4.90292721428518,4.96921633776312,4.92133487202333,4.85788858418114,4.94782149588704,5.06688687084689,5.10513748830468,5.1845912412775,4.84870585687813,4.96756790395008,4.78845959949473,4.79706718973825,5.0276163919016,5.07539515497545,5.32282007246547,4.6786122353549,4.75623666746563,5.1502485734793,4.67684198416859,4.72157533869415,4.8306302336381,4.85472424885318,4.66930042028947,4.83587812733901,4.79110717347859,5.01032750128078,5.44115165256375,4.91766132909408,4.81031549510647,4.90211989999011,4.91297287199686,4.86712646744751,4.984762419814,5.23472185583586,4.8090456228187,5.17584286412406,5.09554457274199,4.89267902583677,5.12639925598183,5.22930587736809,5.05294350747453,4.95672516774071,5.42772357011037,4.77499917619666,5.12561487951758,5.13260158482329,4.53046041287809,5.04444225408529,5.04438097685655,5.4818728644285,4.98477215361211,5.03522792037645,4.91686699606111,5.0417932270186,4.72615110312408,5.48389480330794,5.16136937941876,5.14054014932487,5.069467077129,4.97986231190971,4.96195177705124,5.06414129707855,4.92444828171959,5.10076331051692,5.03231507782988,4.6903984669943,4.71648715593239,5.21450222639417,5.07694974240022,4.8745867679463,4.64638652038135,4.7076400961704,4.74589376748605,5.10570812960571,4.98646437304352,5.16644877545146,4.66554128608088,4.80568799896586,4.90492795285195,5.02489409494799,5.06686085803562,4.79333496981984,5.35260419717843,5.3209168439898,5.27569140466579,4.8439689967967,4.94099662481059,5.13413196140936,5.14521077399578,4.72751790134713,4.6080022881607,4.93691137230604,4.98507204775783,4.51766054591211
"VarInitDirErr*cort",4.37982195030046,4.20033478818683,4.44554263206075,4.30760571161079,4.22195830890347,4.26360441904688,4.64273391209072,4.1898298681277,3.93744198055302,4.41560156762904,4.41859665013958,4.27181216435087,4.42896024640151,4.53576566823153,4.70105597254233,4.7306342278279,4.04145431496711,4.24124849657736,4.15061503580194,4.47163115437599,4.47550340177995,4.55562824662202,4.27167150796866,4.1535058143723,4.23992065028384,4.39055678695657,4.1563195721346,4.35569302393482,4.39778366331149,4.09734167343876,4.20964705867842,4.48704597494677,4.21953816011638,4.42648780793433,4.40385109551276,4.04501565974106,4.60106403905325,4.14120293170341,4.37116035336154,4.3073981206111,4.21300904527137,4.47396784083514,4.34623511666626,4.57538775257118,4.45640904547702,4.25817905884336,4.26462374974508,4.2460837178003,4.22222921732802,4.29447682603103,4.38420194770562,4.61897890678019,4.38926886268962,4.35212975660357,4.36496994609935,4.78187723104431,4.7196096110123,4.53050587339833,4.55186086194986,4.33738717310612,4.18067585219679,4.53102543568385,4.1027665292123,4.07879615189448,3.96341307907431,4.34631422974983,4.59247077406528,4.80100585630295,4.15025881664214,4.59592580446298,3.94606091239998,4.26571703990144,4.37294918079772,4.94317945583234,4.38653934521517,4.27094224175071,4.22211360644402,4.2253343549305,4.3618153385058,4.50849037190232,4.39313968675199,4.15586217650542,4.39770938732147,4.32157328609342,3.94464176055568,4.23782698995473,4.61947947022779,4.03443786583116,4.44148720329723,4.62467400326922,4.71160810285592,4.1158727371266,4.76104266633974,4.48765233371345,4.34865277763096,4.23227419612898,4.17391565891805,4.25611542435275,4.34261558812022,4.70569118501698
"MeanTrialTime*MeanPMTD",4.25604074369835,4.18375447662077,4.21769366451831,4.00833485873986,4.4116632442571,4.44557813524365,3.8862647512899,4.01780537973887,4.07514589277256,3.94341260866702,4.12114774441289,3.93563338115421,4.14141099139449,4.36329972704216,4.3378708069045,3.86067073712592,4.02447433546452,4.44172424174579,4.31327884080692,3.99081162859902,3.68379008031987,3.73166313871846,4.19038600074024,3.96264534747529,4.05728916770091,4.09121372419417,3.72778400198385,4.3985649653184,3.92604540406371,3.73823243114499,4.11705646324674,3.7353479031287,4.50477355436825,3.57069265475507,4.06544141703241,4.53777955771111,3.84635499534928,4.1151388037027,4.27732663652445,4.30755534979837,3.64881610100072,4.28526840677774,4.22196584956442,3.97235822608617,4.31372435023001,4.25749293986459,4.15569099944368,3.98791499818,4.57803030783115,3.88702870585822,3.80577736174316,4.14941293123278,3.9392080688959,4.05405930735204,3.96252922805838,4.32553447279453,4.25379867520854,4.8014041870722,4.38069387033292,4.32694692424018,4.03247271434014,4.21481503727927,4.13671821591048,3.99523740116646,3.91987476648858,3.61460663574424,3.9225748063693,3.73894870182841,3.86354599375146,4.36274611970351,4.05062517124891,4.15232894650556,4.22160240693375,4.42969298536709,4.14496054518284,3.95264207229683,3.92444293069794,4.4058628198019,4.21779083402298,3.8067311068191,3.83885707077154,4.3361066217566,3.9475054232131,4.08625711302438,4.44167923023058,4.29349286909194,4.18621596426991,4.00090063262415,4.2317320840367,4.06716836302698,4.17716750517251,3.96170733688046,4.04529209025217,4.02423745221847,4.06356190958617,4.21162032702095,4.21901830419055,4.33342621477053,4.10211008389427,4.0247113821263
"MeanSpdRto*MaxMaxPD",3.74632435404818,3.8166512291143,3.96159276239699,3.84786976071965,3.64793842434853,3.84113755093678,3.42086665191855,3.67258941351436,3.65962648242244,3.76816638195518,3.56123869948106,3.59138747521642,3.84889276573972,3.64426587964,3.58417891724863,3.58236974335378,3.88444716366139,3.69356210405434,3.97629945567918,3.81042585530796,3.65261816117527,3.60497607936413,3.832767178566,3.61397002092003,3.93183696402799,3.72651668306119,3.69271545785319,3.66598489980754,3.57256678148118,3.53914201084766,3.38777470282055,3.64560712855377,3.55058113446644,3.786235032326,3.8097455057365,3.93053189754037,3.57543129740608,3.6222336061024,3.89223679562576,3.86070727390131,3.65165219662916,4.03718254872962,3.77684606078355,3.61865188264247,3.65669937040565,3.67101686107915,3.95159623658269,3.83420184989863,3.69174882840535,3.77756105079955,3.67045405142911,3.87631992316317,3.68620758400268,3.72255479033782,3.90864571608371,3.57903348658137,3.94230352257327,3.84125830865779,3.49475534762086,3.61719356363696,3.40369645521013,3.87966131192104,3.75941112466182,3.93961452061507,3.63743352921484,3.69003947248241,3.75345042687417,3.93984082936367,3.58440454921651,3.75362771886947,3.85735319959652,3.79734960805898,3.74458315989399,3.69844676187375,3.77699158506794,3.64508831760094,3.77685833244194,3.91414517845449,4.02915350148283,3.75859560943725,3.9404470324121,3.74399099437795,3.68037679496789,3.79757515354059,3.67322862396053,3.75301230006728,3.68438811166999,3.84713939630056,3.75578599917088,3.64392949160199,3.913065205375,3.86579447065984,3.70586062799721,3.81228374943216,3.77224169231691,3.67983908174363,3.76622923130635,3.6746395659969,3.61266876458764,3.77674421266039
