"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"MeanReactTime",43,44,47,46,48,45,47,47,39,45,46,47,44,47,47,46,46,45,47,48,45,47,48,48,44,45
"MeanTrialTime",46,39,46,48,47,42,43,46,41,44,44,46,45,44,46,41,47,47,44,45,47,45,45,43,47,43
"MeanInitDirErr",27,30,29,32,32,34,27,29,17,31,32,34,33,29,30,36,29,29,28,32,28,29,37,29,33,29
"MeanPreMvmntSpd",21,17,17,23,20,17,18,18,13,17,14,19,21,20,23,16,24,18,29,17,22,21,17,19,20,19
"MeanMaxSpd",4,1,3,3,1,1,2,3,1,1,1,3,3,1,3,1,3,3,1,1,3,2,1,1,1,1
"MeanHPL",8,3,7,9,7,4,7,8,12,4,6,6,8,5,9,3,10,9,7,5,10,7,3,5,4,5
"MeanInitMvmntRto",48,45,39,39,36,40,42,40,29,41,37,41,43,43,37,42,39,42,39,40,43,40,31,45,36,41
"MeanSpdRto",38,25,24,21,21,26,22,22,7,25,16,24,22,27,21,28,21,12,22,26,21,19,26,33,24,27
"MeanPathLRto",7,5,5,10,8,5,6,9,14,3,4,8,7,6,10,4,9,10,12,4,9,8,4,3,6,4
"MeanNumSpdPks",35,31,35,38,39,31,35,33,31,28,33,33,37,38,44,32,43,40,40,31,33,34,28,30,35,34
"MeanMaxPD",39,43,42,42,41,41,45,44,35,40,41,39,42,42,43,48,41,41,32,43,44,42,44,39,42,40
"MeanPMTD",5,18,2,2,4,9,3,2,38,16,12,2,2,9,2,15,2,2,3,9,2,3,18,4,8,8
"MeanMAPR",32,29,33,31,28,29,33,32,19,29,31,27,35,31,33,29,31,31,26,30,31,32,29,34,31,31
"MaxReactTime",29,26,28,20,30,32,31,30,16,33,29,31,25,30,26,26,30,26,38,33,27,30,36,35,30,30
"MaxTrialTime",30,34,30,40,38,33,34,37,36,38,35,38,30,34,38,34,38,38,34,34,39,39,32,31,38,36
"MaxInitDirErr",23,28,25,27,22,28,24,27,6,22,25,28,23,24,13,30,17,16,37,27,14,22,27,26,27,25
"MaxPreMvmntSpd",20,21,23,24,24,22,26,24,28,21,8,23,27,23,25,22,25,24,21,24,24,25,23,23,23,24
"MaxMaxSpd",6,4,9,8,5,6,9,10,10,6,5,9,9,3,7,6,7,8,6,6,7,9,7,2,5,6
"MaxHPL",14,10,18,13,13,11,13,12,44,11,19,14,15,11,17,12,19,17,9,13,15,14,12,12,12,14
"MaxInitMvmntRto",40,38,34,36,33,27,32,35,27,34,39,36,34,35,35,31,34,33,27,38,36,33,38,37,37,32
"MaxPathLRto",11,11,14,17,11,12,16,13,43,10,17,13,16,12,16,9,14,15,15,12,16,15,11,15,15,16
"MaxNumSpdPks",28,33,36,35,35,37,37,36,40,27,27,37,31,33,39,38,36,39,33,35,38,36,35,38,34,35
"MaxMaxPD",25,23,10,28,27,23,28,28,24,23,28,25,24,22,27,27,26,27,24,25,25,27,25,17,26,22
"MaxPMTD",44,42,38,41,43,44,44,42,37,43,42,42,41,45,40,43,42,44,41,46,41,43,46,42,46,44
"MaxMAPR",33,37,43,34,34,39,36,34,26,36,38,32,39,36,36,35,35,35,31,37,34,38,39,32,39,37
"VarReactTime",34,40,41,29,40,43,40,38,25,35,40,40,40,39,34,40,33,34,48,41,35,35,42,40,41,38
"VarTrialTime",41,35,37,45,42,36,41,41,32,47,43,43,46,41,41,37,40,43,35,42,42,41,40,41,40,39
"VarInitDirErr",13,19,11,12,18,24,12,19,3,19,18,18,11,17,8,25,8,6,18,18,8,11,22,21,17,17
"VarPreMvmntSpd",19,22,21,25,25,18,23,23,20,20,7,21,28,21,24,23,22,23,20,22,23,23,19,20,21,21
"VarMaxSpd",10,8,13,14,10,8,10,11,33,9,15,10,12,8,14,7,12,14,10,8,13,13,10,10,11,11
"VarHPL",15,12,20,15,14,15,15,15,47,13,22,16,17,13,19,8,15,21,14,14,18,17,13,14,14,12
"VarInitMvmntRto",42,48,48,47,46,46,48,48,45,48,45,48,48,48,48,45,48,48,46,47,48,48,47,46,48,47
"VarSpdRto",2,16,1,1,3,7,1,1,22,15,10,1,1,7,1,14,1,1,2,7,1,1,15,6,7,7
"VarPathLRto",12,14,19,16,12,13,17,16,46,12,20,17,18,14,18,13,18,19,11,16,19,18,16,11,13,13
