"","counts_v8","counts_v9","counts_v10","counts_v11","counts_v12","counts_v13"
"MeanReactTime",0.235,0.384615384615385,0.377692307692308,0,0,0
"MeanTrialTime",0.045,0,0.01,0,0,0
"MeanInitDirErr",0.3525,0.961538461538462,0.816923076923077,0.54,1,0.68
"MeanPreMvmntSpd",0.1975,0.115384615384615,0.190769230769231,0.55,1,0.68
"MeanMaxSpd",0.405,0.153846153846154,0.246153846153846,0,0,0
"MeanHPL",0.085,0.115384615384615,0.147692307692308,0,0,0
"MeanInitMvmntRto",0.13,0.0384615384615385,0.121538461538462,0,0,0
"MeanSpdRto",0.54,0.192307692307692,0.305384615384615,0.09,0,0.01
"MeanPathLRto",0.065,0.0769230769230769,0.123076923076923,0,0,0
"MeanNumSpdPks",0.015,0,0,0,0,0
"MeanMaxPD",0.2,0.576923076923077,0.397692307692308,0,0,0
"MeanPMTD",0.1775,0.884615384615385,0.653846153846154,0.16,0,0.02
"MeanMAPR",0.17,0.0384615384615385,0.0838461538461538,0,0,0
"MaxReactTime",0.12,0.0769230769230769,0.133846153846154,0,0,0
"MaxTrialTime",0.28,0.230769230769231,0.230769230769231,0,0,0
"MaxInitDirErr",0.2525,0.230769230769231,0.224615384615385,0,0,0
"MaxPreMvmntSpd",0.07,0.115384615384615,0.0430769230769231,0,0,0
"MaxMaxSpd",0.1875,0.153846153846154,0.192307692307692,0.62,1,0.7
"MaxHPL",0.025,0,0,0,0,0
"MaxInitMvmntRto",0.3075,0.269230769230769,0.293076923076923,0,0,0
"MaxPathLRto",0.015,0,0,0,0,0
"MaxNumSpdPks",0.415,0.807692307692308,0.683846153846154,0.72,1,0.9
"MaxMaxPD",0.135,0,0.0630769230769231,0,0,0
"MaxPMTD",0.01,0,0.00384615384615385,0,0,0
"MaxMAPR",0.26,0.807692307692308,0.608461538461538,0.48,1,0.56
"VarReactTime",0.1925,0.0384615384615385,0.0746153846153846,0,0,0
"VarTrialTime",0.775,1,0.993846153846154,0.78,1,0.87
"VarInitDirErr",0.1175,0.0384615384615385,0.0584615384615385,0,0,0
"VarPreMvmntSpd",0.47,0.961538461538462,0.892307692307692,0.08,0,0
"VarMaxSpd",0.4,0.884615384615385,0.727692307692308,0.02,0,0
"VarHPL",0.0675,0.0384615384615385,0.0523076923076923,0,0,0
"VarInitMvmntRto",0.1225,0.615384615384615,0.473846153846154,0,0,0
"VarSpdRto",0.705,1,0.926923076923077,0.89,1,0.91
"VarPathLRto",0.045,0.0384615384615385,0.0284615384615385,0,0,0
"VarNumSpdPks",0.2175,0,0.0715384615384615,0,0,0
"VarMaxPD",0.145,0.269230769230769,0.266923076923077,0,0,0
"VarPMTD",0.6325,0.730769230769231,0.77,0.02,0,0
"VarMAPR",0.675,0.961538461538462,0.914615384615385,0.45,1,0.43
"age",0.805,0.961538461538462,0.942307692307692,1,1,1
"height",0.6325,0.961538461538462,0.841538461538462,0.9,1,0.91
"mass",0.2675,0.153846153846154,0.193076923076923,0,0,0
"monthspost",0.645,0.923076923076923,0.844615384615385,0.77,1,0.87
"sex",0.1675,0.730769230769231,0.522307692307692,0,0,0
"dominant",0.385,0.653846153846154,0.541538461538462,0.02,0,0
"affected",0.13,0.0384615384615385,0.0523076923076923,0,0,0
"same",0.815,1,0.994615384615385,0.9,1,0.91
"sttype",0.25,0.269230769230769,0.29,0,0,0
"cort",0.1825,0.0384615384615385,0.0523076923076923,0,0,0
"subcort",0.2675,0.384615384615385,0.303076923076923,0,0,0
"stem",0.615,0.192307692307692,0.395384615384615,0.81,1,0.9
"EA",0.675,0.923076923076923,0.863076923076923,0.34,0,0.17
"init_FM",0.38,0.923076923076923,0.823076923076923,0.06,0,0
"initWO",0.15,0,0.0361538461538462,0,0,0
"initBB",0.395,0.961538461538462,0.864615384615385,0.81,1,0.87
