"","Means"
"MeanReactTime",0
"MeanTrialTime",0
"MeanInitDirErr",0.74
"MeanPreMvmntSpd",0.743333333333333
"MeanMaxSpd",0
"MeanHPL",0
"MeanInitMvmntRto",0
"MeanSpdRto",0.0333333333333333
"MeanPathLRto",0
"MeanNumSpdPks",0
"MeanMaxPD",0
"MeanPMTD",0.06
"MeanMAPR",0
"MaxReactTime",0
"MaxTrialTime",0
"MaxInitDirErr",0
"MaxPreMvmntSpd",0
"MaxMaxSpd",0.773333333333333
"MaxHPL",0
"MaxInitMvmntRto",0
"MaxPathLRto",0
"MaxNumSpdPks",0.873333333333333
"MaxMaxPD",0
"MaxPMTD",0
"MaxMAPR",0.68
"VarReactTime",0
"VarTrialTime",0.883333333333333
"VarInitDirErr",0
"VarPreMvmntSpd",0.0266666666666667
"VarMaxSpd",0.00666666666666667
"VarHPL",0
"VarInitMvmntRto",0
"VarSpdRto",0.933333333333333
"VarPathLRto",0
"VarNumSpdPks",0
"VarMaxPD",0
"VarPMTD",0.00666666666666667
"VarMAPR",0.626666666666667
"age",1
"height",0.936666666666667
"mass",0
"monthspost",0.88
"sex",0
"dominant",0.00666666666666667
"affected",0
"same",0.936666666666667
"sttype",0
"cort",0
"subcort",0
"stem",0.903333333333333
"EA",0.17
"init_FM",0.02
"initWO",0
"initBB",0.893333333333333
