"","Means"
"MeanReactTime",0.91
"MeanTrialTime",0
"MeanInitDirErr",0
"MeanPreMvmntSpd",0.0533333333333333
"MeanMaxSpd",0.99
"MeanHPL",0
"MeanInitMvmntRto",0
"MeanSpdRto",0
"MeanPathLRto",0
"MeanNumSpdPks",0
"MeanMaxPD",0
"MeanPMTD",0.0133333333333333
"MeanMAPR",0.97
"MaxReactTime",0.05
"MaxTrialTime",0
"MaxInitDirErr",0
"MaxPreMvmntSpd",0
"MaxMaxSpd",0
"MaxHPL",1
"MaxInitMvmntRto",0
"MaxPathLRto",0.343333333333333
"MaxNumSpdPks",0.04
"MaxMaxPD",0
"MaxPMTD",0
"MaxMAPR",0.616666666666667
"VarReactTime",0
"VarTrialTime",0
"VarInitDirErr",0
"VarPreMvmntSpd",0
"VarMaxSpd",0
"VarHPL",0
"VarInitMvmntRto",0.0133333333333333
"VarSpdRto",0
"VarPathLRto",0
"VarNumSpdPks",0.996666666666667
"VarMaxPD",0
"VarPMTD",0
"VarMAPR",0.963333333333333
"age",0.966666666666667
"height",0.986666666666667
"mass",0
"monthspost",0
"sex",0.763333333333333
"dominant",0.0233333333333333
"affected",1
"same",0.966666666666667
"sttype",0.98
"cort",0
"subcort",0.0333333333333333
"stem",0.89
"EA",0.786666666666667
"init_FM",0.03
"initWO",1
"initBB",0.0433333333333333
