"","V1"
"MeanReactTime",45.9789931153501
"MeanTrialTime",44.7119281950173
"MeanInitDirErr",30.3701308247471
"MeanPreMvmntSpd",18.9286244790225
"MeanMaxSpd",1.59958124529051
"MeanHPL",6.13649703603823
"MeanInitMvmntRto",39.9170341450078
"MeanSpdRto",22.7175488896677
"MeanPathLRto",6.34609629792753
"MeanNumSpdPks",34.3577190369998
"MeanMaxPD",41.4030370601135
"MeanPMTD",4.81464325450778
"MeanMAPR",30.4788639546717
"MaxReactTime",29.0828908519573
"MaxTrialTime",35.2223192657083
"MaxInitDirErr",23.2407292567177
"MaxPreMvmntSpd",23.3178768150384
"MaxMaxSpd",6.54443681232625
"MaxHPL",13.5756170744181
"MaxInitMvmntRto",34.1906518781139
"MaxPathLRto",13.7051503551896
"MaxNumSpdPks",34.9024422992157
"MaxMaxPD",24.7814738567461
"MaxPMTD",42.5857374707723
"MaxMAPR",35.5902201569835
"VarReactTime",37.8360314573857
"VarTrialTime",40.4021103004736
"VarInitDirErr",14.3063995827766
"VarPreMvmntSpd",21.5479075405652
"VarMaxSpd",10.8033973845371
"VarHPL",15.3286535163241
"VarInitMvmntRto",47.1121780611135
"VarSpdRto",3.09779174439848
"VarPathLRto",15.3442919834744
"VarNumSpdPks",25.0335143817512
"VarMaxPD",16.2752772911609
"VarPMTD",12.3209480175424
"VarMAPR",7.50013071898326
"age",4.98793789004835
"height",13.5549689336795
"mass",22.6521984406876
"monthspost",3.01135656226996
"sex",51.0404623243811
"dominant",52.9579519245624
"affected",51.9571437202974
"same",27.5601869817772
"sttype",49.3310911244542
"cort",49.6644194189634
"subcort",54
"stem",19.4075817320017
"EA",42.1475003846634
"init_FM",44.7247221589001
"initWO",31.1135645534266
"initBB",37.219897570242
