"","V1"
"MeanReactTime",30.9389902974254
"MeanTrialTime",38.6049212989592
"MeanInitDirErr",35.8056156901832
"MeanPreMvmntSpd",41.4335613224941
"MeanMaxSpd",15.5832683678903
"MeanHPL",12.3244848653276
"MeanInitMvmntRto",17.4531078254258
"MeanSpdRto",14.3509573215939
"MeanPathLRto",11.9393619375109
"MeanNumSpdPks",23.5611892870742
"MeanMaxPD",7.83666239157705
"MeanPMTD",3.38204250652815
"MeanMAPR",30.7996586081954
"MaxReactTime",26.9208716049367
"MaxTrialTime",44.6856955219481
"MaxInitDirErr",34.7604798032066
"MaxPreMvmntSpd",45.4899232634058
"MaxMaxSpd",36.3198179260259
"MaxHPL",18.605667565511
"MaxInitMvmntRto",32.5442939965051
"MaxPathLRto",18.3552959767025
"MaxNumSpdPks",20.6006402134671
"MaxMaxPD",7.73928007988548
"MaxPMTD",3.59093848205208
"MaxMAPR",36.9103627620346
"VarReactTime",19.7642778137759
"VarTrialTime",37.3771889384278
"VarInitDirErr",12.3873694688129
"VarPreMvmntSpd",47.1176286518894
"VarMaxSpd",36.0192721479531
"VarHPL",23.9130003503828
"VarInitMvmntRto",40.0240598391805
"VarSpdRto",18.0707078568876
"VarPathLRto",23.8557017270459
"VarNumSpdPks",14.8286968392991
"VarMaxPD",9.18693214502423
"VarPMTD",34.6642837317455
"VarMAPR",29.7782410452206
"age",10.8592741767507
"height",6.1114812071939
"mass",27.6305604044416
"monthspost",25.9191959497319
"sex",53.4143962488242
"dominant",38.3151514772504
"affected",45.5214529991053
"same",51.9975957648203
"sttype",46.9769341114527
"cort",50.3220374253478
"subcort",49.817221858844
"stem",52.7773809447671
"EA",50.115725147138
"init_FM",5
"initWO",1
"initBB",2
