"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Initial Wolf Motor Function Score",-0.381496613816354,-0.368074478089814,-0.37195523380213,-0.366621831922424,-0.37195523380213,-0.379572306534419,-0.382719323380295,-0.382719323380295,-0.377219784827537,-0.368074478089814,-0.384646195337029,-0.374913489146913,-0.383757027419199,-0.384646195337029,-0.382719323380295,-0.379572306534419,-0.377219784827537,-0.382719323380295,-0.384646195337029,-0.379572306534419,-0.377219784827537,-0.381496613816354,-0.379572306534419,-0.382719323380295,-0.384646195337029,-0.383757027419199,-0.377219784827537,-0.379572306534419,-0.379572306534419,-0.377219784827537,-0.383757027419199,-0.379572306534419,-0.382719323380295,-0.381496613816354,-0.382719323380295,-0.383757027419199,-0.374913489146913,-0.386409144501772,-0.384646195337029,-0.37195523380213,-0.377219784827537,-0.379572306534419,-0.385293238372749,-0.368074478089814,-0.384646195337029,-0.365685972139542,-0.377219784827537,-0.381496613816354,-0.381496613816354,-0.377219784827537,-0.379572306534419,-0.382719323380295,-0.374913489146913,-0.377219784827537,-0.379572306534419,-0.382719323380295,-0.385967593985397,-0.383757027419199,-0.383757027419199,-0.384646195337029,-0.381496613816354,-0.377219784827537,-0.379572306534419,-0.369356834958618,-0.381496613816354,-0.374913489146913,-0.38662890652592,-0.377219784827537,-0.381496613816354,-0.369356834958618,-0.37195523380213,-0.369356834958618,-0.385967593985397,-0.382719323380295,-0.374913489146913,-0.383757027419199,-0.383757027419199,-0.382719323380295,-0.384646195337029,-0.383757027419199,-0.383757027419199,-0.382719323380295,-0.374913489146913,-0.366621831922424,-0.37195523380213,-0.384646195337029,-0.37195523380213,-0.381496613816354,-0.37195523380213,-0.379572306534419,-0.37195523380213,-0.379572306534419,-0.383757027419199,-0.382719323380295,-0.384646195337029,-0.377219784827537,-0.382719323380295,-0.384646195337029,-0.377219784827537,-0.384646195337029
"Unknown Stroke Location?",-1.17851313619881,-2.03296435747562,-1.75325295325019,-2.16129721806544,-1.75325295325019,-1.27396289141092,-1.09926236055513,-1.09926236055513,-1.4113401997564,-2.03296435747562,-0.923593301186818,-1.58300796873793,-1.01953794157151,-0.923593301186818,-1.09926236055513,-1.27396289141092,-1.4113401997564,-1.09926236055513,-0.923593301186818,-1.27396289141092,-1.4113401997564,-1.17851313619881,-1.27396289141092,-1.09926236055513,-0.923593301186818,-1.01953794157151,-1.4113401997564,-1.27396289141092,-1.27396289141092,-1.4113401997564,-1.01953794157151,-1.27396289141092,-1.09926236055513,-1.17851313619881,-1.09926236055513,-1.01953794157151,-1.58300796873793,-0.480811612748822,-0.923593301186818,-1.75325295325019,-1.4113401997564,-1.27396289141092,-0.813712050534081,-2.03296435747562,-0.923593301186818,-2.24875900550022,-1.4113401997564,-1.17851313619881,-1.17851313619881,-1.4113401997564,-1.27396289141092,-1.09926236055513,-1.58300796873793,-1.4113401997564,-1.27396289141092,-1.09926236055513,-0.698643915238155,-1.01953794157151,-1.01953794157151,-0.923593301186818,-1.17851313619881,-1.4113401997564,-1.27396289141092,-1.90511187135654,-1.17851313619881,-1.58300796873793,-0.578176686523541,-1.4113401997564,-1.17851313619881,-1.90511187135654,-1.75325295325019,-1.90511187135654,-0.698643915238155,-1.09926236055513,-1.58300796873793,-1.01953794157151,-1.01953794157151,-1.09926236055513,-0.923593301186818,-1.01953794157151,-1.01953794157151,-1.09926236055513,-1.58300796873793,-2.16129721806544,-1.75325295325019,-0.923593301186818,-1.75325295325019,-1.17851313619881,-1.75325295325019,-1.27396289141092,-1.75325295325019,-1.27396289141092,-1.01953794157151,-1.09926236055513,-0.923593301186818,-1.4113401997564,-1.09926236055513,-0.923593301186818,-1.4113401997564,-0.923593301186818
"Dominant Side Affected?",-1.00107679128088,-1.54992781003201,-1.46679038610947,-1.56967700072191,-1.46679038610947,-1.14292003130464,-0.857940318514767,-0.857940318514767,-1.27908896875169,-1.54992781003201,-0.58080360376506,-1.38862138751432,-0.713964884910323,-0.58080360376506,-0.857940318514767,-1.14292003130464,-1.27908896875169,-0.857940318514767,-0.58080360376506,-1.14292003130464,-1.27908896875169,-1.00107679128088,-1.14292003130464,-0.857940318514767,-0.58080360376506,-0.713964884910323,-1.27908896875169,-1.14292003130464,-1.14292003130464,-1.27908896875169,-0.713964884910323,-1.14292003130464,-0.857940318514767,-1.00107679128088,-0.857940318514767,-0.713964884910323,-1.38862138751432,-0.0976978072027241,-0.58080360376506,-1.46679038610947,-1.27908896875169,-1.14292003130464,-0.462309278572663,-1.54992781003201,-0.58080360376506,-1.52562127305534,-1.27908896875169,-1.00107679128088,-1.00107679128088,-1.27908896875169,-1.14292003130464,-0.857940318514767,-1.38862138751432,-1.27908896875169,-1.14292003130464,-0.857940318514767,-0.338333322141883,-0.713964884910323,-0.713964884910323,-0.58080360376506,-1.00107679128088,-1.27908896875169,-1.14292003130464,-1.54149300446415,-1.00107679128088,-1.38862138751432,-0.210640214168989,-1.27908896875169,-1.00107679128088,-1.54149300446415,-1.46679038610947,-1.54149300446415,-0.338333322141883,-0.857940318514767,-1.38862138751432,-0.713964884910323,-0.713964884910323,-0.857940318514767,-0.58080360376506,-0.713964884910323,-0.713964884910323,-0.857940318514767,-1.38862138751432,-1.56967700072191,-1.46679038610947,-0.58080360376506,-1.46679038610947,-1.00107679128088,-1.46679038610947,-1.14292003130464,-1.46679038610947,-1.14292003130464,-0.713964884910323,-0.857940318514767,-0.58080360376506,-1.27908896875169,-0.857940318514767,-0.58080360376506,-1.27908896875169,-0.58080360376506
"Left Side Affected?",3.45977096568199,3.86982298802895,3.70929413145234,3.94538071878142,3.70929413145234,3.50848494254065,3.4165671580009,3.4165671580009,3.57138140076209,3.86982298802895,3.32288905368658,3.64418572113628,3.36069253418836,3.32288905368658,3.4165671580009,3.50848494254065,3.57138140076209,3.4165671580009,3.32288905368658,3.50848494254065,3.57138140076209,3.45977096568199,3.50848494254065,3.4165671580009,3.32288905368658,3.36069253418836,3.57138140076209,3.50848494254065,3.50848494254065,3.57138140076209,3.36069253418836,3.50848494254065,3.4165671580009,3.45977096568199,3.4165671580009,3.36069253418836,3.64418572113628,3.25051868566547,3.32288905368658,3.70929413145234,3.57138140076209,3.50848494254065,3.30820212334024,3.86982298802895,3.32288905368658,3.99478034565049,3.57138140076209,3.45977096568199,3.45977096568199,3.57138140076209,3.50848494254065,3.4165671580009,3.64418572113628,3.57138140076209,3.50848494254065,3.4165671580009,3.2926879266977,3.36069253418836,3.36069253418836,3.32288905368658,3.45977096568199,3.57138140076209,3.50848494254065,3.77705138546683,3.45977096568199,3.64418572113628,3.27457949473396,3.57138140076209,3.45977096568199,3.77705138546683,3.70929413145234,3.77705138546683,3.2926879266977,3.4165671580009,3.64418572113628,3.36069253418836,3.36069253418836,3.4165671580009,3.32288905368658,3.36069253418836,3.36069253418836,3.4165671580009,3.64418572113628,3.94538071878142,3.70929413145234,3.32288905368658,3.70929413145234,3.45977096568199,3.70929413145234,3.50848494254065,3.70929413145234,3.50848494254065,3.36069253418836,3.4165671580009,3.32288905368658,3.57138140076209,3.4165671580009,3.32288905368658,3.57138140076209,3.32288905368658
"Height",0.201997200108524,0.29553548282162,0.265831531885542,0.308895670087155,0.265831531885542,0.217489059174758,0.188090430425335,0.188090430425335,0.23401840785233,0.29553548282162,0.15895914069026,0.250273323760721,0.173697901928835,0.15895914069026,0.188090430425335,0.217489059174758,0.23401840785233,0.188090430425335,0.15895914069026,0.217489059174758,0.23401840785233,0.201997200108524,0.217489059174758,0.188090430425335,0.15895914069026,0.173697901928835,0.23401840785233,0.217489059174758,0.217489059174758,0.23401840785233,0.173697901928835,0.217489059174758,0.188090430425335,0.201997200108524,0.188090430425335,0.173697901928835,0.250273323760721,0.100107558137431,0.15895914069026,0.265831531885542,0.23401840785233,0.217489059174758,0.144523272209726,0.29553548282162,0.15895914069026,0.326411617152329,0.23401840785233,0.201997200108524,0.201997200108524,0.23401840785233,0.217489059174758,0.188090430425335,0.250273323760721,0.23401840785233,0.217489059174758,0.188090430425335,0.129408547455568,0.173697901928835,0.173697901928835,0.15895914069026,0.201997200108524,0.23401840785233,0.217489059174758,0.281302375061144,0.201997200108524,0.250273323760721,0.113627850684833,0.23401840785233,0.201997200108524,0.281302375061144,0.265831531885542,0.281302375061144,0.129408547455568,0.188090430425335,0.250273323760721,0.173697901928835,0.173697901928835,0.188090430425335,0.15895914069026,0.173697901928835,0.173697901928835,0.188090430425335,0.250273323760721,0.308895670087155,0.265831531885542,0.15895914069026,0.265831531885542,0.201997200108524,0.265831531885542,0.217489059174758,0.265831531885542,0.217489059174758,0.173697901928835,0.188090430425335,0.15895914069026,0.23401840785233,0.188090430425335,0.15895914069026,0.23401840785233,0.15895914069026
"Age",0.0319778352777069,0.0586449649536115,0.0511252891539616,0.0623831634453463,0.0511252891539616,0.0366515212479973,0.0269936006260531,0.0269936006260531,0.0413567346095373,0.0586449649536115,0.0174474129633019,0.0460759217552906,0.0216086844055805,0.0174474129633019,0.0269936006260531,0.0366515212479973,0.0413567346095373,0.0269936006260531,0.0174474129633019,0.0366515212479973,0.0413567346095373,0.0319778352777069,0.0366515212479973,0.0269936006260531,0.0174474129633019,0.0216086844055805,0.0413567346095373,0.0366515212479973,0.0366515212479973,0.0413567346095373,0.0216086844055805,0.0366515212479973,0.0269936006260531,0.0319778352777069,0.0269936006260531,0.0216086844055805,0.0460759217552906,0.00600369320846815,0.0174474129633019,0.0511252891539616,0.0413567346095373,0.0366515212479973,0.0148439961993402,0.0586449649536115,0.0174474129633019,0.0649754893554232,0.0413567346095373,0.0319778352777069,0.0319778352777069,0.0413567346095373,0.0366515212479973,0.0269936006260531,0.0460759217552906,0.0413567346095373,0.0366515212479973,0.0269936006260531,0.0121167884168989,0.0216086844055805,0.0216086844055805,0.0174474129633019,0.0319778352777069,0.0413567346095373,0.0366515212479973,0.0556637187372055,0.0319778352777069,0.0460759217552906,0.00927012427080741,0.0413567346095373,0.0319778352777069,0.0556637187372055,0.0511252891539616,0.0556637187372055,0.0121167884168989,0.0269936006260531,0.0460759217552906,0.0216086844055805,0.0216086844055805,0.0269936006260531,0.0174474129633019,0.0216086844055805,0.0216086844055805,0.0269936006260531,0.0460759217552906,0.0623831634453463,0.0511252891539616,0.0174474129633019,0.0511252891539616,0.0319778352777069,0.0511252891539616,0.0366515212479973,0.0511252891539616,0.0366515212479973,0.0216086844055805,0.0269936006260531,0.0174474129633019,0.0413567346095373,0.0269936006260531,0.0174474129633019,0.0413567346095373,0.0174474129633019
"Var Number of Speed Peaks",0.0624038251762757,0.071231917972066,0.0673644946200365,0.0735872280613117,0.0673644946200365,0.0637515035846984,0.0610274475688423,0.0610274475688423,0.0644151109798201,0.071231917972066,0.0572945790519606,0.0655164895103951,0.0593968857015762,0.0572945790519606,0.0610274475688423,0.0637515035846984,0.0644151109798201,0.0610274475688423,0.0572945790519606,0.0637515035846984,0.0644151109798201,0.0624038251762757,0.0637515035846984,0.0610274475688423,0.0572945790519606,0.0593968857015762,0.0644151109798201,0.0637515035846984,0.0637515035846984,0.0644151109798201,0.0593968857015762,0.0637515035846984,0.0610274475688423,0.0624038251762757,0.0610274475688423,0.0593968857015762,0.0655164895103951,0.0447870956491571,0.0572945790519606,0.0673644946200365,0.0644151109798201,0.0637515035846984,0.054520598541433,0.071231917972066,0.0572945790519606,0.0763565519474149,0.0644151109798201,0.0624038251762757,0.0624038251762757,0.0644151109798201,0.0637515035846984,0.0610274475688423,0.0655164895103951,0.0644151109798201,0.0637515035846984,0.0610274475688423,0.0516135084214184,0.0593968857015762,0.0593968857015762,0.0572945790519606,0.0624038251762757,0.0644151109798201,0.0637515035846984,0.0691000241856181,0.0624038251762757,0.0655164895103951,0.0485591194767874,0.0644151109798201,0.0624038251762757,0.0691000241856181,0.0673644946200365,0.0691000241856181,0.0516135084214184,0.0610274475688423,0.0655164895103951,0.0593968857015762,0.0593968857015762,0.0610274475688423,0.0572945790519606,0.0593968857015762,0.0593968857015762,0.0610274475688423,0.0655164895103951,0.0735872280613117,0.0673644946200365,0.0572945790519606,0.0673644946200365,0.0624038251762757,0.0673644946200365,0.0637515035846984,0.0673644946200365,0.0637515035846984,0.0593968857015762,0.0610274475688423,0.0572945790519606,0.0644151109798201,0.0610274475688423,0.0572945790519606,0.0644151109798201,0.0572945790519606
"Max Path Length Ratio",2.88899280654965e-14,4.82329995076231e-14,4.21237237206531e-14,5.12965430509433e-14,4.21237237206531e-14,3.29509043903629e-14,2.6236044414597e-14,2.6236044414597e-14,3.61925609303878e-14,4.82329995076231e-14,2.10885788098322e-14,3.91670479753557e-14,2.41877449524934e-14,2.10885788098322e-14,2.6236044414597e-14,3.29509043903629e-14,3.61925609303878e-14,2.6236044414597e-14,2.10885788098322e-14,3.29509043903629e-14,3.61925609303878e-14,2.88899280654965e-14,3.29509043903629e-14,2.6236044414597e-14,2.10885788098322e-14,2.41877449524934e-14,3.61925609303878e-14,3.29509043903629e-14,3.29509043903629e-14,3.61925609303878e-14,2.41877449524934e-14,3.29509043903629e-14,2.6236044414597e-14,2.88899280654965e-14,2.6236044414597e-14,2.41877449524934e-14,3.91670479753557e-14,1.4854623925169e-14,2.10885788098322e-14,4.21237237206531e-14,3.61925609303878e-14,3.29509043903629e-14,1.909371324674e-14,4.82329995076231e-14,2.10885788098322e-14,5.59631035646055e-14,3.61925609303878e-14,2.88899280654965e-14,2.88899280654965e-14,3.61925609303878e-14,3.29509043903629e-14,2.6236044414597e-14,3.91670479753557e-14,3.61925609303878e-14,3.29509043903629e-14,2.6236044414597e-14,1.73125832796934e-14,2.41877449524934e-14,2.41877449524934e-14,2.10885788098322e-14,2.88899280654965e-14,3.61925609303878e-14,3.29509043903629e-14,4.54188141596894e-14,2.88899280654965e-14,3.91670479753557e-14,1.57451889086923e-14,3.61925609303878e-14,2.88899280654965e-14,4.54188141596894e-14,4.21237237206531e-14,4.54188141596894e-14,1.73125832796934e-14,2.6236044414597e-14,3.91670479753557e-14,2.41877449524934e-14,2.41877449524934e-14,2.6236044414597e-14,2.10885788098322e-14,2.41877449524934e-14,2.41877449524934e-14,2.6236044414597e-14,3.91670479753557e-14,5.12965430509433e-14,4.21237237206531e-14,2.10885788098322e-14,4.21237237206531e-14,2.88899280654965e-14,4.21237237206531e-14,3.29509043903629e-14,4.21237237206531e-14,3.29509043903629e-14,2.41877449524934e-14,2.6236044414597e-14,2.10885788098322e-14,3.61925609303878e-14,2.6236044414597e-14,2.10885788098322e-14,3.61925609303878e-14,2.10885788098322e-14
"Max Hand Path Length",2.42303657913765,1.75690024253182,1.83183154645574,1.76257621245913,1.83183154645574,2.28412413284058,2.51790130079136,2.51790130079136,2.07433719718182,1.75690024253182,2.67013026281491,1.92229030869793,2.60396942494486,2.67013026281491,2.51790130079136,2.28412413284058,2.07433719718182,2.51790130079136,2.67013026281491,2.28412413284058,2.07433719718182,2.42303657913765,2.28412413284058,2.51790130079136,2.67013026281491,2.60396942494486,2.07433719718182,2.28412413284058,2.28412413284058,2.07433719718182,2.60396942494486,2.28412413284058,2.51790130079136,2.42303657913765,2.51790130079136,2.60396942494486,1.92229030869793,2.75543877655461,2.67013026281491,1.83183154645574,2.07433719718182,2.28412413284058,2.7040136627077,1.75690024253182,2.67013026281491,1.87510783753266,2.07433719718182,2.42303657913765,2.42303657913765,2.07433719718182,2.28412413284058,2.51790130079136,1.92229030869793,2.07433719718182,2.28412413284058,2.51790130079136,2.73925746610469,2.60396942494486,2.60396942494486,2.67013026281491,2.42303657913765,2.07433719718182,2.28412413284058,1.74472134864943,2.42303657913765,1.92229030869793,2.77347947917531,2.07433719718182,2.42303657913765,1.74472134864943,1.83183154645574,1.74472134864943,2.73925746610469,2.51790130079136,1.92229030869793,2.60396942494486,2.60396942494486,2.51790130079136,2.67013026281491,2.60396942494486,2.60396942494486,2.51790130079136,1.92229030869793,1.76257621245913,1.83183154645574,2.67013026281491,1.83183154645574,2.42303657913765,1.83183154645574,2.28412413284058,1.83183154645574,2.28412413284058,2.60396942494486,2.51790130079136,2.67013026281491,2.07433719718182,2.51790130079136,2.67013026281491,2.07433719718182,2.67013026281491
"Mean Mean Arrest Period Ratio",-6.05985457946953,-10.458166341894,-9.38532774411309,-10.8858196919325,-9.38532774411309,-6.97629499297233,-5.25807354222733,-5.25807354222733,-7.95112117215823,-10.458166341894,-3.69030852189113,-8.74180097760084,-4.44139743674055,-3.69030852189113,-5.25807354222733,-6.97629499297233,-7.95112117215823,-5.25807354222733,-3.69030852189113,-6.97629499297233,-7.95112117215823,-6.05985457946953,-6.97629499297233,-5.25807354222733,-3.69030852189113,-4.44139743674055,-7.95112117215823,-6.97629499297233,-6.97629499297233,-7.95112117215823,-4.44139743674055,-6.97629499297233,-5.25807354222733,-6.05985457946953,-5.25807354222733,-4.44139743674055,-8.74180097760084,-1.29345888639139,-3.69030852189113,-9.38532774411309,-7.95112117215823,-6.97629499297233,-3.06095784878556,-10.458166341894,-3.69030852189113,-11.0450478646724,-7.95112117215823,-6.05985457946953,-6.05985457946953,-7.95112117215823,-6.97629499297233,-5.25807354222733,-8.74180097760084,-7.95112117215823,-6.97629499297233,-5.25807354222733,-2.4026035182798,-4.44139743674055,-4.44139743674055,-3.69030852189113,-6.05985457946953,-7.95112117215823,-6.97629499297233,-10.0437415967371,-6.05985457946953,-8.74180097760084,-1.7213009075301,-7.95112117215823,-6.05985457946953,-10.0437415967371,-9.38532774411309,-10.0437415967371,-2.4026035182798,-5.25807354222733,-8.74180097760084,-4.44139743674055,-4.44139743674055,-5.25807354222733,-3.69030852189113,-4.44139743674055,-4.44139743674055,-5.25807354222733,-8.74180097760084,-10.8858196919325,-9.38532774411309,-3.69030852189113,-9.38532774411309,-6.05985457946953,-9.38532774411309,-6.97629499297233,-9.38532774411309,-6.97629499297233,-4.44139743674055,-5.25807354222733,-3.69030852189113,-7.95112117215823,-5.25807354222733,-3.69030852189113,-7.95112117215823,-3.69030852189113
