"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Initial Wolf Motor Function Score",-0.367053017156509,-0.386769594314958,-0.372742059543515,-0.390504442399924,-0.384051112012788,-0.369730722426564,-0.369419301096473,-0.386361613968565,-0.38392968745215,-0.336863300665793,-0.373881706736804,-0.372521369083796,-0.365525467101375,-0.38197232996634,-0.374596661301073,-0.374168603384433,-0.369419301096473,-0.380414404661984,-0.34546612018359,-0.385604800359227,-0.383403199241035,-0.369538239169903,-0.383210416777251,-0.384249885885869,-0.38413793554705,-0.381288734237444,-0.385604800359227,-0.383445682373268,-0.391171287442718,-0.378983900529405,-0.385273141178052,-0.385537855584481,-0.383729562896486,-0.382297035955255,-0.366986318676378,-0.385191819278239,-0.371068848343953,-0.386571783181934,-0.385944190184996,-0.375300136488996,-0.386557385623918,-0.388495942949392,-0.385077784089364,-0.371899713874348,-0.385273141178052,-0.387981503697392,-0.382297035955255,-0.37871071843429,-0.381048752344822,-0.371344527977818,-0.380593624811342,-0.382401534122471,-0.386082142430562,-0.385338862886149,-0.383523318448217,-0.366772375375375,-0.384885110064259,-0.385077784089364,-0.381350929299579,-0.38392968745215,-0.385273141178052,-0.37217922487307,-0.381048752344822,-0.375757055571017,-0.386013009253511,-0.372438496110414,-0.38325487041669,-0.368196004610778,-0.385868786636519,-0.3849490389062,-0.370805868754021,-0.384885110064259,-0.370455527662704,-0.376209083321944,-0.364698990639802,-0.39166589889641,-0.372485948478342,-0.3777857004093,-0.385716080178844,-0.37445538003992,-0.379973987174198,-0.381349864974301,-0.369419301096473,-0.384249885885869,-0.383729562896486,-0.370062610325716,-0.366471100702094,-0.379973987174198,-0.382297035955255,-0.38278652995251,-0.368325417926981,-0.375495212963762,-0.37445538003992,-0.393583856104976,-0.385471218685703,-0.394620458271955,-0.394251677783782,-0.369952129422684,-0.386703835746119,-0.394640504619987
"Left Side Affected?",-3.93156181666653,-3.26659258575478,-3.69029022825912,-4.87351277191499,-3.34201130829487,-4.06722330951324,-3.80214096264134,-3.27815134634293,-3.34783158656388,-1.74874576289477,-3.66461643651556,-4.12336869628199,-3.99074010346947,-3.445838668403,-4.22981294798159,-3.65811543969638,-3.80214096264134,-3.48972077769784,-1.91072033836995,-3.29560959160431,-3.37557974421713,-4.06260975663636,-3.09304885717182,-3.33030632028412,-3.33639046167338,-3.01748107099876,-3.29560959160431,-3.10230038539534,-4.84158292249782,-3.52564417772141,-3.30325222695853,-3.29715224402267,-3.35876312890857,-3.43288056372494,-3.9379314769742,-3.18759102905016,-3.7279211781278,-3.27312639738787,-3.28778866476044,-3.63209502160553,-3.25621578186787,-4.97059938886916,-3.30775396410682,-3.70923464473092,-3.30325222695853,-4.99438186085592,-3.43288056372494,-3.53167401617147,-3.47228816377861,-3.72172082924539,-3.48548191606151,-3.42835124513756,-3.28460913524594,-3.30173775995694,-3.36993388764595,-4.00982290416989,-3.31219387367781,-3.30775396410682,-5.24059702169669,-3.34783158656388,-3.30325222695853,-3.70294863570342,-3.47228816377861,-3.61816152431957,-3.28620263434223,-4.11789578879127,-5.18922672654373,-3.86880120075766,-3.22495605456957,-3.31072072089107,-3.73409315015209,-3.31219387367781,-4.08464796016568,-3.60397948200802,-2.41581660064836,-4.55499537467302,-4.11974713919752,-3.55559409834941,-5.08882979497218,-3.65157391506546,-3.50136199152366,-3.46321237976045,-3.80214096264134,-3.33030632028412,-3.35876312890857,-3.76800947027115,-3.96194138946591,-3.50136199152366,-3.43288056372494,-3.40802472415913,-4.03850667262206,-3.62546726035375,-3.65157391506546,-4.73486160692807,-3.29868780099057,-4.65106894558133,-4.63006678354079,-3.77568673908045,-3.2693349702852,-4.66460244985197
"Max Hand Path Length",1.77470319748677,2.77843318718502,1.85724598121229,1.99898086336844,2.63006863866207,2.03059955283146,1.7739571271407,2.75882557785077,2.61953898969021,0.656702601261784,1.89504660751395,2.06612814257083,1.89667072575028,2.45679737201512,1.89245573958607,1.90483879279672,1.7739571271407,2.3525587028712,0.91246589773228,2.71924769841851,2.57569512120106,2.02550759171947,2.58589621357599,2.64682127189112,2.63693994147159,2.49025564182691,2.71924769841851,2.59760519029292,1.98952465144222,2.22994080168668,2.70190065477109,2.71574623100849,2.60329076268777,2.48356340533028,1.77895971405449,2.68534232639505,1.80285573920289,2.76975379356229,2.73699903303148,1.94613463348472,2.76466922543505,2.02879354558289,2.6916827313094,1.82979849102533,2.70190065477109,2.03404361380793,2.48356340533028,2.20594564526784,2.39420087333699,1.81178756444435,2.36479037108482,2.49224257756288,2.74421425430991,2.7053381516356,2.5860929205445,1.92308832741937,2.68160514232748,2.6916827313094,2.12328703253587,2.61953898969021,2.70190065477109,1.8388845764741,2.39420087333699,1.97705888358304,2.74059846874326,2.07137343308292,2.03924403820586,1.77003415907898,2.72015938011168,2.68494886545197,1.79396984635509,2.68160514232748,2.0546796620058,2.00861243702903,1.65506604966201,1.90252822324402,2.07093479810215,2.12480190607242,2.04248855269739,1.91483182923136,2.3162362341861,2.41396723558774,1.7739571271407,2.64682127189112,2.60329076268777,1.77856883664463,1.80211029014832,2.3162362341861,2.48356340533028,2.52434636692038,1.97879003687417,1.95842582228608,1.91483182923136,1.96097660064304,2.71226086639119,1.95372977220554,1.95233121102551,1.77861940855219,2.77630256960087,1.95386572606428
"Height",0.305854172375266,0.109268009830596,0.261615441088442,0.471205589299212,0.168982170684247,0.345031856198489,0.283964709321346,0.118853042413192,0.170568722473173,NA,0.255475679478829,0.357350425361682,0.325125801807442,0.197273476731347,0.381557061118783,0.253922150491887,0.283964709321346,0.211843047599591,NA,0.135826278550262,0.177914794790036,0.344134899563866,0.0723226653170479,0.166000268521419,0.167593895218544,0.0627823183642249,0.135826278550262,0.0734906602202475,0.466585870586247,0.221810259683916,0.143261754526762,0.137327115570053,0.17343839174428,0.193264583053281,0.306935460618741,0.084172089497632,0.270606360599542,0.114080251627578,0.128217438931329,0.247696967392515,0.104278568145042,0.485229139213958,0.147641469735041,0.266142771327969,0.143261754526762,0.488700637505178,0.193264583053281,0.223582605096743,0.206048343853689,0.269125454468925,0.21032443661655,0.19192920699952,0.125124479974553,0.141788337976549,0.17636127101038,0.329583301397933,0.15196103326256,0.147641469735041,0.525247916233057,0.170568722473173,0.143261754526762,0.264640854581616,0.206048343853689,0.244523234417007,0.126674519142707,0.355639075922758,0.517747274734072,0.295099506877397,0.0888619705875712,0.150527811042837,0.272080388074705,0.15196103326256,0.348486179465711,0.241322503044174,0.00139551520128932,0.428919063486303,0.356187512793136,0.230075792288855,0.50274974298506,0.252361936453813,0.215033855780969,0.203166725977954,0.283964709321346,0.166000268521419,0.17343839174428,0.278211703599565,0.312762974168807,0.215033855780969,0.193264583053281,0.186511118561421,0.337763669189225,0.246254936664164,0.252361936453813,0.450902932418351,0.138821050019291,0.437899482535923,0.43476867533506,0.279468109466205,0.110892356612251,0.440031966930336
"Var Number of Speed Peaks",0.073211218283558,0.047607895512918,0.0668881305917973,0.088026948751903,0.0588446929328476,0.0808964325302046,0.0696817944471826,0.0495131539027752,0.0590218907113054,NA,0.0661856300513837,0.0806819869095372,0.076731728096432,0.0619365696694329,0.083387128742804,0.0660112490568171,0.0696817944471826,0.0634115327039172,NA,0.0527783182022549,0.059848515451609,0.0807156288863312,0.0361868676755318,0.0585003704593451,0.0586836935159266,0.0333444970101853,0.0527783182022549,0.0365348502454054,0.0879556497459436,0.0639144131296894,0.0542085837849696,0.053067014667777,0.05934425891962,0.0615369219971822,0.0734894176023909,0.0397687509402589,0.0679302484448262,0.0485926347384787,0.0513147029473047,0.0653438414847912,0.046051969361265,0.0882526453101266,0.055051052483111,0.067412092663302,0.0542085837849696,0.0882517203510033,0.0615369219971822,0.063972966393041,0.0628185487857628,0.0677582447757681,0.0632647869861378,0.0614027456418657,0.050719742744805,0.0539251618575907,0.0596759345369313,0.0774726727879627,0.0558819505862974,0.055051052483111,0.0874859742610113,0.0590218907113054,0.0542085837849696,0.067238010278591,0.0628185487857628,0.0651371162607878,0.0510179090966236,0.0804092260323916,0.0869314292208328,0.0713118886121314,0.0411915576553775,0.0556062603189421,0.0681015107378175,0.0558819505862974,0.0810195860167888,0.0649336913207054,0.011693436027529,0.087672457857102,0.0804828688337337,0.0642646505188047,0.0878853587174288,0.065838621533494,0.0636240350797986,0.0625174993008088,0.0696817944471826,0.0585003704593451,0.05934425891962,0.0688673986039725,0.0746256427766425,0.0636240350797986,0.0615369219971822,0.0608153664702414,0.0792430905631605,0.0652315536621483,0.065838621533494,0.0879481032100534,0.0533543833643552,0.0888525677125057,0.0890364073335361,0.0690554085471726,0.0479668980529087,0.0886384022816248
"Mean Max Speed",-12.0266361634248,-11.9836917982128,-12.249568040622,-7.01911625311627,-12.8992830261211,-13.048398193129,-12.108983509896,-12.1626690124091,-12.8958570308267,NA,-12.2816892339102,-13.709437955042,-12.1329858564194,-13.0236260085563,-13.1873610635995,-12.2902690924972,-12.108983509896,-12.9385382738766,NA,-12.4271495854406,-12.9239072501617,-13.0047947612248,-9.35628748689195,-12.8867964563371,-12.8831443526708,-8.73365217846062,-12.4271495854406,-9.43251478453596,-7.48709772483021,-12.7182019039393,-12.5429599760849,-12.4505257040892,-12.9153172009327,-13.0015696131198,-12.039960348511,-10.1846692426252,-12.2050532591843,-12.08715228765,-12.3086380555596,-12.3246763255281,-11.6369365200806,-5.60594349319441,-12.6111757104333,-12.2269716379255,-12.5429599760849,-5.24909054148428,-13.0015696131198,-12.6663347057603,-12.978967355479,-12.2123025336324,-12.9568947341884,-12.9928019980957,-12.2604602331202,-12.5200109511976,-12.9276417081463,-12.3224998307666,-12.6784545591459,-12.6111757104333,-0.360129581070876,-12.8958570308267,-12.5429599760849,-12.2344103130268,-12.978967355479,-12.3559717751478,-12.2846053088808,-13.6894765382212,-2.16907762204854,-12.0551351059239,-10.5282309048397,-12.6561315766841,-12.1978521855998,-12.6784545591459,-13.2054919285534,-12.3867042892794,-3.14458023403196,-10.6289079563759,-13.7051975078111,-12.5184758116188,-3.78151148347035,-12.2990973866516,-12.8846697654165,-12.992971311321,-12.108983509896,-12.8867964563371,-12.9153172009327,-12.1376358903656,-12.0657030832176,-12.8846697654165,-13.0015696131198,-12.9565142616095,-12.6871168680944,-12.330185697067,-12.2990973866516,-9.10026563573544,-12.4737943071297,-10.2499187473245,-10.432548549811,-12.1399863239755,-12.0307894577019,-10.0876126471698
"Unknown Stroke Location?",2.1328357628402,0.54515058092651,1.70547216545706,5.13792701640145,0.992336415594465,2.44410333100386,1.92603288231738,0.618036443749647,1.00089566176119,NA,1.63915177909442,2.90949267502096,2.25447629132394,1.15149753600174,3.64476702912263,1.62236460012282,1.92603288231738,1.23185274428255,NA,0.747244595435855,1.04212320596695,2.4351664684492,0.276002658815135,0.975347913188753,0.984154625320027,0.209840578562571,0.747244595435855,0.284102675816845,5.04836928218808,1.31001550932383,0.803846164224959,0.75866951708975,1.01731909733464,1.1287894546734,2.14480717375896,0.366297820064856,1.80263796039731,0.581688314559016,0.689323305678878,1.55489977784203,0.510096074168894,5.40980495228042,0.837186161737534,1.75439345868158,0.803846164224959,5.47783657566412,1.1287894546734,1.32409511381319,1.20018681788003,1.78663080237094,1.22375039580577,1.12120079223016,0.665778513898661,0.792629977372127,1.03375065175639,2.29074670656901,0.870068262604189,0.837186161737534,6.27766051886914,1.00089566176119,0.803846164224959,1.73816232123821,1.20018681788003,1.52194068977134,0.677578017773334,2.83273026685972,6.06061316199666,2.02805235453369,0.404221090982954,0.859158049733679,1.81857133896256,0.870068262604189,2.52846639466788,1.48855212266608,NA,4.2363262324577,2.85456761410228,1.37616368530696,5.7547326345024,1.60548763443697,1.25615174131114,1.18428080086937,1.92603288231738,0.975347913188753,1.01731909733464,1.87304131560662,2.19308527259267,1.25615174131114,1.1287894546734,1.0903635223401,2.36919102500403,1.53973319591503,1.60548763443697,4.74366493218662,0.77004189376864,4.46596431662159,4.38979992035783,1.8844889327903,0.557382057116998,4.51574777425286
"Mean Mean Arrest Period Ratio",-10.7676172005197,-1.54764988982511,-9.22420876982961,-16.6002759926903,-4.18210022686706,-11.1309529186902,-10.0788655866646,-1.95588166057056,-4.27493850452904,NA,-8.96227030284124,-11.1382452900066,-10.9967353570448,-5.78761187170554,-11.7296149473639,-8.89560875819515,-10.0788655866646,-6.63709804285988,NA,-2.69517709083533,-4.69030308018842,-11.1211657356942,-0.772525009868886,-4.01672078595883,-4.10770359413108,-0.6474312341182,-2.69517709083533,-0.78783985043195,-16.3766230323981,-7.22827865885631,-3.01906373714258,-2.7605530061287,-4.43456681934006,-5.55690323780479,-10.7981897938766,-0.924016262586119,-9.6058972100938,-1.7484978831821,-2.36373921123269,-8.62384540897528,-1.41043841512937,-17.2789891212783,-3.20984255335333,-9.41653351267712,-3.01906373714258,-17.4459295525735,-5.55690323780479,-7.33698111616455,-6.29843477139651,-9.54308678805895,-6.54564215518499,-5.48063902841782,-2.22901276328212,-2.95488224331058,-4.59916613546507,-11.015286162953,-3.39800118414994,-3.20984255335333,-19.3199864465417,-4.27493850452904,-3.01906373714258,-9.35277180806981,-6.29843477139651,-8.46447746566403,-2.29653071851695,-11.1318006453618,-18.8464482318883,-10.4309403835165,-0.982312602794644,-3.33557054068703,-9.66840593596493,-3.39800118414994,-11.1325832367075,-8.30439770172623,NA,-14.6359316644251,-11.1344585807687,-7.72100318067186,-18.1243906041688,-8.8284366591533,-6.8226715820055,-6.13254373587399,-10.0788655866646,-4.01672078595883,-4.43456681934006,-9.89219114135414,-10.9130444893554,-6.8226715820055,-5.55690323780479,-5.1764715157351,-11.0719605196615,-8.55271062296614,-8.8284366591533,-15.6080004022369,-2.82562825040743,-15.0289777563894,-14.9115225229535,-9.93357511224879,-1.61185735204791,-15.1137484515588
"Age",0.0615431029791412,0.00840428666637731,0.0497457696119929,0.143756341338461,0.0199531213462492,0.0722145673724306,0.0559520715838975,0.0101857577578921,0.0205390930848414,NA,0.0477824935813974,0.0855951356379898,0.0651374122953011,0.0302986594415969,0.102472999639465,0.0472859288867089,0.0559520715838975,0.0350786899324251,NA,0.0132481516772248,0.0232274346928084,0.0718624861712499,NA,0.0188725361887016,0.0194497400238229,NA,0.0132481516772248,NA,0.141598122792415,0.0378741579066477,0.0145896408035356,0.0135189287734563,0.0215837578900848,0.0288416302384279,0.061919062414608,0.00186219882234074,0.0526230361975993,0.00932336984315636,0.0118753837123284,0.0452837720366297,0.00709943362291824,0.150309944111427,0.0153798175540726,0.0511943996458349,0.0145896408035356,0.151928188865776,0.0288416302384279,0.0383701143240068,0.0332185920899716,0.0521490239423072,0.0345893109356616,0.0283539517160736,0.0113173559826194,0.0143238108470348,0.022654062569149,0.0665172882118406,0.0161591418955629,0.0153798175540726,0.170455812735969,0.0205390930848414,0.0145896408035356,0.0507137624954636,0.0332185920899716,0.0443649849244055,0.0115970128676389,0.083868351421342,0.165628403855562,0.0585854904363186,0.00299363046697716,0.0159005636953693,0.0530948642346388,0.0161591418955629,0.0748210981332299,0.0434431980952316,NA,0.122151292811518,0.0843835734837996,0.0402006417480154,0.158464740347088,0.0467871184664612,0.0359753255242321,0.0322837401170846,0.0559520715838975,0.0188725361887016,0.0215837578900848,0.0545673342306233,0.063433922445331,0.0359753255242321,0.0288416302384279,0.0263730729491732,0.0694137830466352,0.0448573269207719,0.0467871184664612,0.134257354401337,0.0137884605200193,0.127547807442427,0.125671498678802,0.0548743932178124,0.00873998196336061,0.128753607620487
"Dominant Side Affected?",1.56290963673913,0.176754567799342,1.44777619294429,2.29683459433587,0.670511168654177,1.5486450374285,1.52991785008532,0.254749500470267,0.686313562200905,NA,1.41542644531956,1.68461999610161,1.51986180305722,0.953253862706814,1.92031309492463,1.40716303754165,1.52991785008532,1.09416560083404,NA,0.393918753434533,0.758884386492633,1.54674592510947,NA,0.641793929583594,0.657107597971566,NA,0.393918753434533,NA,2.28984409922039,1.1778045409366,0.454888153664863,0.406225313234216,0.71460315928949,0.911616943085622,1.5635606508735,NA,1.49480605424744,0.215688699919398,0.331527869783212,1.37279355984055,0.135024015205271,2.31807925429942,0.490800933879418,1.47147946669196,0.454888153664863,2.32382818999384,0.911616943085622,1.19283366848728,1.03871714084679,1.48706948082147,1.0794145827381,0.897857841635919,0.306166489436665,0.442806435533676,0.743369527868437,1.52530100362203,0.526220482477995,0.490800933879418,2.45150909310395,0.686313562200905,0.454888153664863,1.46362307545918,1.03871714084679,1.35079069927885,0.318876319401268,1.66377139589983,2.39075317065363,1.54851820412564,0.00318404717068668,0.514468349712181,1.5025050587276,0.526220482477995,1.56614654216264,1.32852559738651,NA,2.17517387723955,1.67015690021371,1.24688590081432,2.35145979825882,1.39881140110786,1.12101201508305,1.01134590121444,1.52991785008532,0.641793929583594,0.71460315928949,1.51897100407311,1.55863239177746,1.12101201508305,0.911616943085622,0.843824324866221,1.53631747769436,1.36283137920219,1.39881140110786,2.26425024101066,0.418475273718654,2.21913608428123,2.2008965729305,1.52190993557626,0.189779756762354,2.22929137816413
