"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Initial Wolf Motor Function Score",-0.392268618552577,-0.386361613968565,-0.373899262671214,-0.384307180727491,-0.385273141178052,-0.375495212963762,-0.381145102945976,-0.385142603166392,-0.37309864137116,-0.385077784089364,-0.384821475242004,-0.375395173822058,-0.382498077718827,-0.372003188504483,-0.39199220176394,-0.377279962450302,-0.368134557184651,-0.384384151228836,-0.365833367363603,-0.367847391073636,-0.386769594314958,-0.369303659215495,-0.382297035955255,-0.379690577501838,-0.373141717858752,-0.366522257115843,-0.386291358197174,-0.342314183559118,-0.385604800359227,-0.372367081094212,-0.383210416777251,-0.380714022373556,-0.38392968745215,-0.382700982958331,-0.386013009253511,-0.386431986762066,-0.388837010922564,-0.3777857004093,-0.375035931852628,-0.3849490389062,-0.38621825793343,-0.384445765429889,-0.367120519837816,-0.373025341114071,-0.386361613968565,-0.37330979752587,-0.367553885384825,-0.382990317441315,-0.382990317441315,-0.386502225749429,-0.386571783181934,-0.385672054414684,-0.381679855764457,-0.375946140723251,-0.381229098848413,-0.376398155208569,-0.385207721734746,-0.385604800359227,-0.374168603384433,-0.383729562896486,-0.365879018199651,-0.37445538003992,-0.377279962450302,-0.380549634966455,-0.3849490389062,-0.384445765429889,-0.38290398428854,-0.372762201993778,-0.381854903520509,-0.385875685893723,-0.381636722383231,-0.382189613562312,-0.370121042318275,-0.390786305658377,-0.386041992295134,-0.385142603166392,-0.371621481929302,-0.378983900529405,-0.38413793554705,-0.372557390477638,-0.370771087811335,-0.368980689536566,-0.386160505177556,-0.383445682373268,-0.386612961944416,-0.374168603384433,-0.384317757857446,-0.385364329077488,-0.374740942571085,-0.381679855764457,-0.368661798949423,-0.393958692127089,-0.369730722426564,-0.369538239169903,-0.386291358197174,-0.386502225749429,-0.381854903520509,-0.370062610325716,-0.375023428529243,-0.386389098476838
"Left Side Affected?",-4.57230954004165,-3.27815134634293,-4.21287598571815,-5.14739377087102,-3.30325222695853,-3.62546726035375,-5.24707691443382,-3.30626029706381,-2.70659199828018,-3.30775396410682,-3.31366025118244,-2.78544672445683,-3.06503700582038,-4.11034790755037,-4.5643329144179,-3.56765474213223,-2.53504928467304,-3.32373778534266,-3.98236360219166,-3.88608406962542,-3.26659258575478,-3.80989862173038,-3.43288056372494,-3.5074075090179,-4.18850370394189,-3.95804065948582,-3.27978046303462,-1.85137542294806,-3.29560959160431,-4.11642011752431,-3.09304885717182,-3.48082168443511,-3.34783158656388,-3.41321327034743,-3.28620263434223,-3.27650716262649,-4.95433535844711,-3.55559409834941,-4.23866132721353,-3.31072072089107,-3.24044703223514,-3.32231797029213,-2.49985745657459,-3.68391741160764,-3.27815134634293,-3.67751493821142,-4.0244420627254,-3.39731265379204,-3.39731265379204,-3.27483875774494,-3.27312639738787,-3.29405981030504,-3.45450722098793,-3.61136678195218,-3.46797324615406,-3.59710279184001,-3.30475972864527,-3.29560959160431,-3.65811543969638,-3.35876312890857,-3.99587426511526,-3.65157391506546,-3.56765474213223,-2.98841690742654,-3.31072072089107,-3.32231797029213,-3.40254942697501,-2.69511817514341,-3.45031762871523,-3.28936733770982,-5.23224331387456,-3.437249175295,-2.60398958905216,-4.8600058820641,-3.23221966502588,-3.30626029706381,-3.71549201334583,-3.52564417772141,-3.33639046167338,-4.12834434070227,-2.62654920119992,-3.82687058539216,-3.23775833637168,-3.10230038539534,-3.25879957652888,-3.65811543969638,-3.1399095285961,-3.19699697302721,-3.64498971647176,-3.45450722098793,-4.04674169397206,-4.62084481220269,-4.06722330951324,-4.06260975663636,-3.27978046303462,-3.27483875774494,-3.45031762871523,-3.76800947027115,-3.63840236848931,-3.24839183008175
"Max Hand Path Length",1.9158418790807,2.75882557785077,1.90865096208289,2.03937874390652,2.70190065477109,1.95842582228608,2.15281894332426,2.69507301713453,2.09209290595133,2.6916827313094,2.67827679755786,2.19680532264059,2.55044367996774,2.07083210992002,1.90991753396224,2.08101767503132,1.83872145689094,2.65540307778746,1.86222541133377,1.768271683203,2.77843318718502,1.77427974209143,2.48356340533028,2.29168071503102,1.93741337189413,1.7955802405894,2.75515443290891,0.818758282493662,2.71924769841851,2.07306862156973,2.58589621357599,2.3722684453672,2.61953898969021,2.51760133508642,2.74059846874326,2.76249856092311,2.02434963088668,2.12480190607242,1.88369582068182,2.68494886545197,2.74359672324365,2.65862573633427,1.78451445522088,1.86653890793152,2.75882557785077,1.87592364788388,1.94941178994552,2.54131451506055,2.54131451506055,2.76615495847647,2.76975379356229,2.72276534173021,2.43585603575622,1.98992720275419,2.4064474227698,2.02144076178277,2.69847896749977,2.71924769841851,1.90483879279672,2.60329076268777,1.90405041072133,1.91483182923136,2.08101767503132,2.4534712742779,2.68494886545197,2.65862573633427,2.53450748465311,2.07685669484385,2.44823970033939,2.7334160256751,2.0963455417485,2.47468854498514,1.94491222322908,1.99490966194755,2.73261470399597,2.69507301713453,1.82076749660607,2.22994080168668,2.63693994147159,2.06108009216151,1.97966145336139,1.77267297111104,2.74000662870925,2.59760519029292,2.76812246184076,1.90483879279672,2.640985402584,2.69410686458901,1.92506598203867,2.43585603575622,1.99029730680585,1.95094776518332,2.03059955283146,2.02550759171947,2.75515443290891,2.76615495847647,2.44823970033939,1.77856883664463,1.93556372076921,2.75421266232388
"Height",0.430193748720049,0.118853042413192,0.377522389469205,0.511513369833891,0.143261754526762,0.246254936664164,0.526016542241223,0.146188289312011,0.0260625636976036,0.147641469735041,0.153387663847886,0.0332248853908268,0.0687862009819466,0.353758898631147,0.429611329640123,0.233418594577971,0.011363790867625,0.16319204124292,0.321130239809091,0.298004766629612,0.109268009830596,0.285234839182097,0.193264583053281,0.216849018138194,0.371699540977511,0.311759758382016,0.120431521817569,NA,0.135826278550262,0.355049211176962,0.0723226653170479,0.209005723268207,0.170568722473173,0.187825704074446,0.126674519142707,0.117267786705314,0.482878166395057,0.230075792288855,0.383844164761164,0.150527811042837,0.0966605714520739,0.161810711012192,0.00842144276834488,0.260091743464094,0.118853042413192,0.258560583869649,0.333489334637521,0.183671756487364,0.183671756487364,0.115676365623407,0.114080251627578,0.134318507111104,0.200178020936067,0.243066467347384,0.204505382698579,0.23985728236644,0.144728394583435,0.135826278550262,0.253922150491887,0.17343839174428,0.326081888365779,0.252361936453813,0.233418594577971,0.059113000809553,0.150527811042837,0.161810711012192,0.184998502954783,0.025020381499116,0.198626954711545,0.129753266855665,0.524138056029336,0.194603310223915,0.0171278100878359,0.469242672278887,0.0927798920934455,0.146188289312011,0.267637613013277,0.221810259683916,0.167593895218544,0.358495630521303,0.019013993202217,0.2880915809989,0.0953709223971523,0.0734906602202475,0.105527947695977,0.253922150491887,0.0781819616814381,0.0853526794654278,0.250796774522765,0.200178020936067,0.339358679420631,0.433699527736539,0.345031856198489,0.344134899563866,0.120431521817569,0.115676365623407,0.198626954711545,0.278211703599565,0.249232442214378,0.100495710208097
"Var Number of Speed Peaks",0.0880271889194272,0.0495131539027752,0.083049441035858,0.0873883188943412,0.0542085837849696,0.0652315536621483,0.0877811344660177,0.0547715231163947,0.0218530858614845,0.055051052483111,0.056156372906903,0.0246225939097795,0.0351332432596858,0.0804679221622458,0.087865624158194,0.064391689035301,0.0158569783081282,0.0580423131247036,0.0760323457193333,0.071729269812784,0.047607895512918,0.0698752387759144,0.0615369219971822,0.0636868598910347,0.0826809976539187,0.0744573081745746,0.0498169196069223,NA,0.0527783182022549,0.0803839379525413,0.0361868676755318,0.063114634898037,0.0590218907113054,0.0609656169901953,0.0510179090966236,0.0492079209103561,0.0882278516362287,0.0642646505188047,0.0836070301884668,0.0556062603189421,0.0436681714292814,0.0577766046425404,0.0146281003770976,0.066712540434258,0.0495131539027752,0.0665367355265639,0.0782637242206547,0.0604960989649589,0.0604960989649589,0.0489011374003863,0.0485926347384787,0.0524882878274702,0.0622189146836068,0.0650295574863416,0.0626702376885641,0.0648244358243365,0.0544907022061878,0.0527783182022549,0.0660112490568171,0.05934425891962,0.0768701044686514,0.065838621533494,0.064391689035301,0.0322512914243911,0.0556062603189421,0.0577766046425404,0.0606477435976907,0.021450103806692,0.0620763522158069,0.0516101312591473,0.0872486335969972,0.0616709354720093,0.0182643331739529,0.0879998969748633,0.0424528120296374,0.0547715231163947,0.0675855173188989,0.0639144131296894,0.0586836935159266,0.0809147194486456,0.0190521015565287,0.0702878331359773,0.0432645126802498,0.0365348502454054,0.0464429082093201,0.0660112490568171,0.0379522568963702,0.0401269158744275,0.0656688600808186,0.0622189146836068,0.0795796483873341,0.0890360297770827,0.0808964325302046,0.0807156288863312,0.0498169196069223,0.0489011374003863,0.0620763522158069,0.0688673986039725,0.065503263095858,0.0448682847557523
"Mean Max Speed",-10.5880537726752,-12.1626690124091,-13.3424390986518,-2.86516361575038,-12.5429599760849,-12.330185697067,NA,-12.5885418713124,-6.15686746282031,-12.6111757104333,-12.700674874387,-6.80680969466539,-9.12548586375071,-13.5886161218527,-10.6024705244295,-12.4300201632459,-4.43281992028385,-12.8533817900307,-12.1222933347147,-12.0346917532683,-11.9836917982128,-12.1085132798906,-13.0015696131198,-12.8305358904047,-13.5219531473609,-12.0343920874295,-12.1873181693335,NA,-12.4271495854406,-13.6819729268525,-9.35628748689195,-12.9533696889469,-12.8958570308267,-12.9709311480683,-12.2846053088808,-12.1378362656331,-5.84605522696421,-12.5184758116188,-13.0743096729659,-12.6561315766841,-11.0967924988616,-12.8318670450837,-4.05255982495762,-12.257329087355,-12.1626690124091,-12.265247932675,-12.5079651216232,-12.9457835392084,-12.9457835392084,-12.1127323547198,-12.08715228765,-12.4036654484939,-13.0154041204322,-12.3612643096143,-12.9971791618739,-12.3912718299919,-12.5658034542775,-12.4271495854406,-12.2902690924972,-12.9153172009327,-12.1840778753386,-12.2990973866516,-12.4300201632459,-8.49418010488895,-12.6561315766841,-12.8318670450837,-12.9603358767248,-6.06229559762056,-13.02981158576,-12.332559693956,-0.776435811751602,-13.0093624790363,-5.17774418627263,-7.21740495968081,-10.8207659708105,-12.5885418713124,-12.2196059743639,-12.7182019039393,-12.8831443526708,-13.7141384905936,-5.42150873984561,-12.0921678885871,-11.0052899865599,-9.43251478453596,-11.7255154013358,-12.2902690924972,-9.74653376275865,-10.2711544911283,-12.3081232310811,-13.0154041204322,-12.7807293461697,-10.4781721391238,-13.048398193129,-13.0047947612248,-12.1873181693335,-12.1127323547198,-13.02981158576,-12.1376358903656,-12.3171470744047,-11.3687362285584
"Mean Mean Arrest Period Ratio",-14.6983760969719,-1.95588166057056,-11.5722058922122,-18.5438599155364,-3.01906373714258,-8.55271062296614,-19.3820599297974,-3.14654253776127,-0.10480908284529,-3.20984255335333,-3.46014469839445,-0.266371836458149,-0.726154612788662,-11.1315030132739,-14.6699442346993,-7.92281772798157,NA,-3.88721984495301,-10.9853955042047,-10.5218161636637,-1.54764988982511,-10.1193260338053,-5.55690323780479,-6.93478149801114,-11.3964028391996,-10.8938126359194,-2.0246107454366,NA,-2.69517709083533,-11.1334927026943,-0.772525009868886,-6.47335509053439,-4.27493850452904,-5.24758221663581,-2.29653071851695,-1.88689259432589,-17.1653064920756,-7.72100318067186,-11.8356463625378,-3.33557054068703,-1.20207350352639,-3.82704959783121,NA,-9.15936761705393,-1.95588166057056,-9.09411882495805,-11.0455670371889,-5.01587035934692,-5.01587035934692,-1.81771268628712,-1.7484978831821,-2.6294991202177,-5.95715636435361,-8.39299985540645,-6.2056672328596,-8.23285466765535,-3.08295004945968,-2.69517709083533,-8.89560875819515,-4.43456681934006,-10.9977053598076,-8.8284366591533,-7.92281772798157,-0.59931885522758,-3.33557054068703,-3.82704959783121,-5.08763785390146,-0.0813004103846329,-5.86449866018583,-2.43063908009115,-19.2364451916661,-5.63377353702672,NA,-16.5056460484821,-1.09625349285214,-3.14654253776127,-9.47996829421186,-7.22827865885631,-4.10770359413108,-11.1486798461662,NA,-10.2103749820148,-1.16682833504288,-0.78783985043195,-1.44461446515053,-8.89560875819515,-0.849435778838631,-0.93869126567824,-8.76078515696603,-5.95715636435361,-11.089588218248,-14.8701052002335,-11.1309529186902,-11.1211657356942,-2.0246107454366,-1.81771268628712,-5.86449866018583,-9.89219114135414,-8.69271139744477,-1.30696165502637
"Unknown Stroke Location?",4.2697633483792,0.618036443749647,3.57938268642024,5.93122822950718,0.803846164224959,1.53973319591503,6.31927066542566,0.826124019707482,NA,0.837186161737534,0.880928297537533,0.003979183622679,0.251477362376094,2.74457131925268,4.25482058710695,1.40417424068938,NA,0.955562811969489,2.23621433533538,2.05478247836656,0.54515058092651,1.9375926698591,1.1287894546734,1.27035879098899,3.46711315156852,2.18652480769685,0.630053317419033,NA,0.747244595435855,2.80557062311392,0.276002658815135,1.21616739310034,1.00089566176119,1.09807634756813,0.677578017773334,0.60596688357176,5.36402693334127,1.37616368530696,3.67584895955605,0.859158049733679,0.457094481273719,0.94504761993978,NA,1.68901156084679,0.618036443749647,1.67247247734729,2.32724270588495,1.0744304694938,1.0744304694938,0.593847982776366,0.581688314559016,0.735766886267166,1.16792391002687,1.50650156234541,1.19200593092833,1.47297978276655,0.815010765921902,0.747244595435855,1.62236460012282,1.01731909733464,2.26241019979149,1.60548763443697,1.40417424068938,0.184393948191072,0.859158049733679,0.94504761993978,1.08221468361582,NA,1.15941585509995,0.701014598411903,6.23275882043076,1.13637639339922,NA,5.09975355149015,0.430087691673338,0.826124019707482,1.77054945157156,1.31001550932383,0.984154625320027,2.96043030456422,NA,1.96379327967195,0.448121391042089,0.284102675816845,0.518788482003374,1.62236460012282,0.318277436344112,0.375761388634025,1.58852129528967,1.16792391002687,2.38583328493978,4.36170064285924,2.44410333100386,2.4351664684492,0.630053317419033,0.593847982776366,1.15941585509995,1.87304131560662,1.5715180422999,0.483777280349842
"Age",0.122901741279007,0.0101857577578921,0.100666985597541,0.162599245534942,0.0145896408035356,0.0448573269207719,0.17138382547442,0.015117638547059,NA,0.0153798175540726,0.0164165308503356,NA,NA,0.0814820507895915,0.122567115678991,0.0411400717107003,NA,0.0181854109485526,0.0647003815860027,0.0592732807339722,0.00840428666637731,0.0562526775028137,0.0288416302384279,0.0364790464048793,0.0978604688783779,0.0631593801302677,0.0104706127494091,NA,0.0132481516772248,0.08324088175427,NA,0.0341628779097109,0.0205390930848414,0.0268495515033901,0.0115970128676389,0.00989959461363444,0.149215250504635,0.0402006417480154,0.10342430390431,0.0159005636953693,0.00508021515115857,0.0179361949651455,NA,0.0492583840219167,0.0101857577578921,0.0487687183652345,0.0678952719402197,0.0253341108851048,0.0253341108851048,0.00961212697203967,0.00932336984315636,0.0129761234779758,0.0313156990394027,0.0439395336927109,0.0327182870008821,0.0430145733346071,0.0148542481625695,0.0132481516772248,0.0472859288867089,0.0215837578900848,0.0654325620031603,0.0467871184664612,0.0411400717107003,NA,0.0159005636953693,0.0179361949651455,0.025814999243627,NA,0.030786928884705,0.0121524743492395,0.169484249191593,0.0293287058238893,NA,0.142836317924694,0.00405152024348887,0.015117638547059,0.0516728158278435,0.0378741579066477,0.0194497400238229,0.0867198760291483,NA,0.0569293723708302,0.00473838046882616,NA,0.00743059329810127,0.0472859288867089,0.000417061755760713,0.00214701560556528,0.0462863127442476,0.0313156990394027,0.0700710366819706,0.124972571138918,0.0722145673724306,0.0718624861712499,0.0104706127494091,0.00961212697203967,0.030786928884705,0.0545673342306233,0.0457844866288499,0.00609675214287421
"Dominant Side Affected?",2.18003108831237,0.254749500470267,1.8954478446224,2.37271055523948,0.454888153664863,1.36283137920219,2.4697302156571,0.478885147879307,NA,0.490800933879418,0.537918565173035,NA,NA,1.63599325686077,2.17765301187272,1.27479452433545,NA,0.618312479842409,1.53640746931856,1.55280873900194,0.176754567799342,1.53238619827947,0.911616943085622,1.13648636247528,1.85718960204839,1.55810533353956,0.267688399232488,NA,0.393918753434533,1.65624837952755,NA,1.06723079425205,0.686313562200905,0.856642737799601,0.318876319401268,0.241760260772144,2.31447044694008,1.24688590081432,1.93345728669699,0.514468349712181,0.0708161643570617,0.606985850906673,NA,1.43977886540169,0.254749500470267,1.43172595548385,1.53184565833667,0.815765537820458,0.815765537820458,0.228731846549805,0.215688699919398,0.381555333616057,0.982470340748811,1.34062454409423,1.02370697934924,1.31833661440817,0.466914305932752,0.393918753434533,1.40716303754165,0.71460315928949,1.52105551377131,1.39881140110786,1.27479452433545,NA,0.514468349712181,0.606985850906673,0.828702370299691,NA,0.966937572764003,0.344121312423147,2.43465170834913,0.925498927024199,NA,2.29383406307088,0.038216685347602,0.478885147879307,1.47929437465826,1.1778045409366,0.657107597971566,1.69827729738551,NA,1.53723194610246,0.0599579599766591,NA,0.14555577201139,1.40716303754165,NA,NA,1.39036123378735,0.982470340748811,1.54021078186701,2.19347207460351,1.5486450374285,1.54674592510947,0.267688399232488,0.228731846549805,0.966937572764003,1.51897100407311,1.3817799285946,0.103136548370778
