"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Initial Wolf Motor Function Score",182.407761244351,177.895721360255,182.731094835477,180.501761720752,180.082729321317,180.407157333744,184.194417271865,177.710443520186,180.999037518065,179.044622303433,182.170473591137,183.149749064495,181.177435574574,181.016201586503,181.060445461984,181.734883556878,178.495859080612,179.220198678431,182.141387390215,181.318343058864,180.773321168788,181.657405007643,179.567318159459,180.769356992037,181.842901506991,181.881304827747,182.922909012101,184.891207954825,180.299396198277,179.84655253475,181.766536425386,181.195294608425,183.561725647915,179.44972329581,182.503536363948,181.755909591037,180.148054099578,180.293286093583,180.980445923997,179.990876263634,182.766564598808,181.509049186234,178.143985653908,184.561678135782,178.096143637477,178.627438940486,177.874987923879,180.007658569447,181.414692176445,180.091187039455,181.911182178237,181.70309916707,181.590295256279,182.487592008815,182.169899868761,182.35615901377,180.176761142548,179.844147653943,181.89275301393,180.140313680961,176.187882848561,185.388151745729,178.643510301264,182.372916229298,179.84160922133,183.449995800989,183.173382369811,182.116654672441,180.383682601239,180.189852907671,181.0488913518,180.911508192043,179.943419878137,180.805724049678,179.494786907356,181.848511088373,184.85308135476,180.046588512218,180.893163709297,185.183691015818,178.811451912628,181.042699631358,182.010244877747,179.407144322306,181.66892346009,182.694796315458,182.566698260282,180.888653218095,182.00568226216,176.448637540072,177.000447083337,181.746514370395,181.509774565553,183.108450988351,182.282366772569,181.647984862136,183.966783108094,180.88357840744,183.03823001392,179.890549777845
"Initial Box-and-Blocks Score",137.806326847107,134.451536592092,132.873929607016,131.649316003725,133.435160449246,133.556701044798,133.87442660733,132.001156828008,132.483709083663,132.411843435435,130.724030996227,134.027318011234,137.681071078485,133.675473185467,134.39251943749,132.911525081303,136.138582348705,132.961929286328,132.825284979141,132.651245802997,132.605887723267,133.095196467583,133.857777972189,132.457496235593,134.668580215923,135.52035398174,135.666152477657,133.139287439911,136.543673301753,131.647549076544,132.227852301935,132.774006963228,134.674991750861,134.9197381748,133.937154411072,134.391304171721,134.099278038795,133.386767656012,137.159522383325,132.189097259032,132.506660382172,134.023393083973,133.497618014355,134.063469387966,137.338020311307,136.765168529698,132.691465065866,130.52008133117,137.278567149753,138.062585260468,134.777127248329,135.052314084946,136.14923610517,134.268507669072,134.549741356056,130.095582517357,132.64143494773,133.699942012782,130.732629080877,130.851116778473,136.723329472606,134.913353841092,133.656281221611,136.342205726711,135.413409032278,133.430515311446,132.954895352875,131.60144044185,134.278481289165,135.877045099639,131.410332037699,134.084193845499,136.321814410501,134.979502780178,132.857528980448,134.669380948295,134.129042800563,132.628403577691,131.959457862501,132.313577172294,133.515166888276,135.047613767868,134.21148148555,134.537448106465,135.409066855364,133.856413040358,133.021570655585,134.403229937853,133.192128603803,135.756784995795,137.290800191785,134.383801667738,134.983962192563,132.829311424593,133.175023120605,135.416230619748,132.722702907797,134.258169705158,132.304046604684,134.662263450963
"Max Percent of Movement in the Target Direction",106.933872648884,105.348546551873,101.973535537535,105.450241917435,103.492866783479,105.676147333382,102.7994401651,102.820468623505,104.534582806675,107.162836400594,104.214082171235,102.275185561611,105.571983852116,107.266484027761,103.665817746687,104.931847589546,105.595709975662,106.357454253147,106.270636134744,106.103554303357,104.855654676985,103.538276639649,106.497129851222,107.822045329051,106.042083737622,105.366943597209,105.306058604094,104.838880145371,106.571839185771,105.433583995692,102.236048547744,102.509971936966,106.067862679731,104.978971747625,104.746630870575,104.32204611297,104.932527130446,108.278783577622,103.742081326612,104.096809861727,105.516730680317,103.574696613404,104.970388313398,105.138748670853,104.143605972457,103.152984315722,106.14584557672,105.868144969143,106.280903534251,104.081483713924,106.223879819057,104.732057885018,103.820805385718,103.376871470011,104.569951037535,102.868106526849,103.906577534622,103.678035485151,106.027238277776,106.318741608413,103.481400485187,104.099358029334,104.707612240212,104.179892443281,104.443170383027,104.133706688593,106.601312315154,105.277858909638,105.271061382102,104.732973558696,105.201672941151,104.940518456356,103.173644041751,104.000119405289,105.045493655121,106.09327716148,104.551000143061,103.109742365716,105.552504473814,104.884456546635,105.070701737803,105.459954735742,105.210989409339,105.735474489063,105.448184959994,108.892055277282,102.874834483934,104.297882935661,104.778082900464,103.896934836957,105.876429924221,103.119302125219,106.211221473305,103.247272173814,105.707347007044,105.660965328157,106.603130072643,106.62337762965,102.290537347964,104.922681979588
"Mean Percent of Movement in the Target Direction",102.752765286192,104.312082918868,105.973839452263,103.537766354323,104.887487396356,106.14882413736,104.292246049593,105.554738140726,107.708108390393,105.153087508754,107.369124789156,104.475962551245,105.617159182469,105.848486415198,103.29959938994,105.986868741455,107.20662673472,104.660756591293,104.989422507054,107.040505805511,105.689940196889,106.739396452908,104.414560473432,105.935462854347,106.283263993836,104.236653982213,103.272767099773,103.846003129451,106.264952245998,103.374115596944,103.110345264122,105.921221616624,102.400877800001,105.779622936856,102.994299471197,104.320631743418,105.951741087222,105.299625709784,103.637560863078,103.552109073292,104.445448872031,104.25276241494,105.234565082124,104.677013135102,105.424924942848,104.662388119373,107.551450891848,106.380314844252,105.980075741166,101.43109582705,103.075772411957,107.118690924346,104.77464517817,107.698828614063,107.627241541325,105.974547066966,105.033306525564,106.132274241313,104.719204882278,105.938896438217,107.828354882555,103.883218456679,104.850095343246,101.99325469425,105.478223455867,107.617033230656,105.953241456075,105.045182794209,105.130347264837,102.214150441252,106.651029729322,103.74970679269,106.864787583841,103.159853467112,107.904139424279,106.46185087942,104.839085023386,101.496178413301,105.66716791556,105.755554718246,105.254955803504,100.842839939769,104.386165464639,105.917594145868,105.032888800321,106.389319682463,109.554609124255,104.846727476901,105.744303174763,106.142986517643,103.91359850444,104.78270797936,103.903846512473,104.956890279346,104.999937969262,103.499881400567,104.089824366191,106.479264752487,108.500878658927,106.244012841223
"Initial Fugl-Meyer Score",59.7965664605424,60.7941323412931,62.469317791519,59.7025526031681,60.7748573889017,61.1753210773787,62.0180100525695,63.066127234137,60.0763380946681,62.1239262040669,58.6573904920712,59.1462384580195,61.482630205613,59.0707789607465,60.7253566482305,61.6118296402331,59.6775297159698,60.85132382274,62.2043002978748,60.1495046194749,62.0182368417584,61.8280920773215,62.135834590144,59.5886815676601,60.6543419428232,59.6327240896871,61.0183936987419,58.794146633663,61.796843338848,61.6777621396138,61.9972308249232,60.4130629389372,61.3827810807745,59.4559978619575,60.2140512491974,61.71378383078,60.5890788456751,59.4290155878847,60.5593198359639,62.5422900800469,60.8991249827266,60.1172423810084,60.7257381725706,60.1899028333238,61.2463669373676,62.7721347003826,61.7291407533029,59.9083131969725,60.1788782947579,61.1603325316394,61.5416946775786,59.935559715735,62.0551832386823,61.021162086556,61.1639061012977,58.9539460054227,60.9302611761858,61.7974677131666,61.2131165627775,61.2741003594681,61.2793905808584,59.4590075359318,60.362912971352,60.5086345738821,59.429043691703,58.3330150276728,59.3365949769232,61.5163935666099,59.2893806273523,60.0310147684422,61.3547325957957,61.1206443891691,61.9176171637388,59.4067345479287,62.2429433320037,60.4183982943149,60.3931624955809,60.0563945057308,62.1283436577477,58.6334796503114,61.475874097191,61.1061030864862,61.4435425946951,60.4953946941043,60.7814755488608,58.994786431639,62.4764424528991,61.7783004879837,60.9841960807366,63.150346529637,62.7329007741988,61.635031185044,62.4527936775658,58.266636135083,61.3454128983996,61.149341034974,61.9172348302275,60.5419955181622,61.3144110825339,60.3682005695233
"Height",47.7201818873213,48.5202733054157,48.5452900406028,48.9834462853247,49.5113504182702,48.9770470024558,49.3544192127371,48.9734535601391,48.8909562639204,48.8935459792863,49.024047563734,48.5563430759094,48.9468953807784,48.1383428955394,49.4449708392942,48.6186651785052,48.6621802856378,48.2466131592172,48.7626493559734,47.9780840832295,48.3879639186166,48.7965078628671,48.8181983503857,49.3107630438809,48.8571333573272,49.3838524651237,48.7933211263644,48.7906731125944,48.2064557385587,48.9890895364861,49.5366451428076,49.4700062922328,48.3156953136518,48.8852178304444,48.4923572981159,47.6447718166656,48.6558952799666,48.7522548944759,47.8517693020225,48.1401152456315,48.4898032553999,48.7993546658537,48.1984562627205,49.5603671636953,49.0209502572208,49.0283733524121,48.3824259135784,49.7595850289273,48.2534112484672,49.5736424667564,48.67287161482,48.8448205604141,48.2021550541101,49.7556669218248,47.725322405341,46.7635132919317,48.5784481804553,48.2485914699304,46.9948796550305,49.0662957865004,48.980819612646,48.6421204947887,48.683580424135,48.6497602850488,48.7314564907087,48.5841137955377,48.8425478352044,49.364425763784,49.2705133177897,48.5895215565328,48.1102616987793,49.5768846984358,48.1540544724418,49.8896388223773,48.3640433276392,48.4279346723961,48.9560432566512,48.5436464099783,48.5466316171885,48.1805886876571,48.9628161758142,48.7046801544659,49.660329550337,48.75086426878,48.1626688205948,49.2787478342338,48.5792151135617,48.3908123791582,49.0596197643157,49.0349469278848,48.9565307305744,49.9988958843174,48.8901596885574,47.7127650972912,48.9182723988138,49.3661276036058,49.7646286610354,48.7238860372427,48.8005471831009,48.5769626196827
"Mean Max Perpendicular Distance",25.6769538317452,24.5342183549929,25.767057439743,25.6012765886578,26.2408071180331,26.7593862567065,27.7974519954681,27.1382865765632,25.7858938898304,25.8130264249317,24.2513952761783,25.4926640915626,25.5902147827089,25.7680924083423,27.5019116849509,25.0683048036405,24.9390620499306,26.5177580092284,25.7377267635473,25.8561928983401,24.2807256530703,25.6786850745854,24.6058539143367,25.4732581785094,25.4195858614984,26.7259900171791,25.8215450347811,24.8549837648218,26.1281517578721,25.7546674679752,25.240007574595,25.735053902029,25.0857249780908,26.5320866789358,27.4330022533115,26.2963858531413,25.8675584593027,26.656781819398,25.6796662964602,24.8347478153028,24.9974183257504,25.7350635597134,25.7045422527125,25.8922061656855,26.7245290692386,24.4592035080876,25.7010121451147,27.0971636975308,27.3592663310792,24.6734628449052,25.65391338186,25.1428821722397,25.5460714094533,25.0063134247277,24.6528099689466,26.0000627761711,26.0033527123293,26.1883378364458,26.1627001041186,27.2340165265084,24.4017931455945,25.3903811565564,25.7962524984708,25.5976266236813,27.0371544528088,25.414280367507,26.1948673805525,25.4203843917798,25.1779093303006,26.6088143225433,26.2942852067477,24.5996450027133,25.1697728936848,26.3214336834632,26.0510108491354,25.8341003729736,25.9190461629252,25.7462228300865,26.1209412102531,25.5765045456527,27.2276966848463,26.8512293703926,24.8877148206521,24.4642643446888,25.5971248880072,24.9399482774265,25.4893954510962,25.5355081938935,25.4638996159496,24.5835304490201,26.1023417391935,24.5433346440636,27.1008268956599,25.9745675632562,25.4710363452353,26.7107973883787,24.5211636410342,25.1069903766641,25.8100614416237,26.4249005380935
"Max Max Perpendicular Distance",25.5233620396927,26.0560395662191,27.6689970196105,27.5867079142782,28.043333144623,26.3826268478253,25.3834801093312,27.0345959003387,27.0331010755932,26.4827865430258,26.8673743182459,27.112488304811,27.4028225641386,26.7304374841819,25.4379974357518,26.1873314915772,26.665953840854,26.8062965132483,27.7373838790561,26.7411574644796,27.6295329005733,27.0806882103721,27.7706021582146,27.1416404152125,25.789164754522,27.2025383947413,25.8735448322403,28.0460079046456,28.5874531242701,27.3085482145493,25.8600306231381,26.1777947506213,27.6299731454516,26.5290468832339,27.5631116312744,27.957582155646,26.7362175009785,26.9225844657033,26.6141677035794,27.4639391709959,26.4580645867036,27.6228551326476,27.4240863021408,26.9103688718493,28.5987735858645,27.4310414754888,27.2071135667417,26.0060657087428,26.7304217285254,26.5296318994104,27.3088881294913,27.3772623424613,27.5560346732683,27.3404573821356,27.4374063322809,27.8835005482307,26.9498946758337,27.7401011421032,26.5359902891823,27.1059875589574,26.1510830569218,27.5226115098345,27.5972515795362,26.8736800765732,26.1802034101484,26.5445624172462,27.0272524441017,29.0730781983661,26.9138888843123,26.5451915343024,26.9912659369001,25.2891441914195,26.4253161239123,25.8980433491985,26.7496257280795,26.0652686595122,27.095742407524,27.342552175096,26.8087718142155,27.9695543998688,25.6715350835651,26.433233965976,26.3451411501101,27.3293734152638,26.2688302953518,26.689291014991,25.3742536311274,27.3945055757265,26.5624949771535,25.4194749872938,27.1066082528485,26.844897094277,26.630025039931,27.3953495388943,27.5664068879802,26.8733112496669,25.6927921499508,26.9368175336858,26.0835108571417,27.1666192444606
"Var Max Perpendicular Distance",23.2839146249104,23.77920511724,23.0675519340618,22.850997451065,23.3720262363341,22.9437400427121,22.7105330881792,23.2624005509618,23.1802800289688,23.7020035138294,23.3679549891807,23.4512651877537,22.9169828258163,22.7422381558052,23.4202010898981,23.8248672895911,23.9194297771674,22.6242920364642,22.9697974572963,23.4230810925618,23.5147044899176,23.3475622974029,24.0547201841966,24.0685038845372,23.5800690451887,23.7789412849528,23.072814237759,23.3344939019572,23.7672002521887,23.1257689232684,22.5600105925975,23.1233963552291,23.296865014334,23.0405887065844,23.0525754768334,22.8207808651095,23.8667693691531,23.6645558008488,23.1641002939263,22.8589847656367,24.2538713403105,23.3500756155293,23.9286750329237,23.1728677435809,23.3569943846434,23.328132227473,23.3192134187659,23.5491170043888,22.7471923279463,23.3438383648242,23.0336960047766,23.6653148038206,24.0073073632609,23.4981009310394,23.1785034091915,23.3420419456619,23.2621800007817,23.5105957883545,24.4199255263209,22.7581387602715,23.0974846838579,22.975549034493,22.8402215152897,23.6122026796161,23.6700541512148,23.3275594604567,23.1453507463498,22.4572373617823,22.5012731853881,23.8773158565761,23.2439424599536,23.8141274342827,23.3765417409109,23.5085616092027,23.466408080685,23.7406712959486,22.7642754237319,23.4467787174472,23.5789003817103,23.302904618696,23.515060257916,23.2755741531932,23.3670941143996,22.9382610369865,23.3004295114868,23.3134209342847,23.8718034814148,23.6306191788668,23.0177046117355,23.2569163506093,23.8698990361907,22.8005235550057,23.3101693475325,23.574555701188,24.4667841330749,23.4621907245732,23.304196190869,23.2056247722207,22.9640436120477,23.9503469985581
"Age",16.4341091739711,16.0377964961621,17.3057116283389,16.2478117837902,17.4923071805393,17.2706872063269,16.2779962354181,18.5052687960486,16.7374204504424,17.8284602996594,16.1271138827982,16.4425688924494,16.9789366306916,16.8913619309132,16.4493709245562,17.3421191193909,16.2725773384444,16.5534198652031,16.8097922733875,16.4061457733446,16.2044718617416,17.4285738357253,16.4950497205155,15.7978326360456,16.5094654688729,16.5852081446027,16.2715096953816,16.5709139022427,16.9070240588077,17.2090484966583,16.6147734090232,16.8261692298074,17.3298731858366,17.6581382170443,15.748933423865,16.9883445849614,15.8551401004537,16.023967865624,16.3703364751548,17.0800687784515,17.9899680860201,17.2911426624425,18.0449968863245,16.2326187525088,16.0109763446971,17.9186737845838,16.1441492668603,17.5359414712092,16.1345465097629,17.5441175580449,17.145509428335,16.7273980161167,16.8246546394296,17.3989922644564,16.2358304171484,16.8227321030033,17.5499833411826,16.7640017657659,17.5483204365353,17.9265705910515,15.7163569886239,16.2870767909817,17.0901764485119,18.2157166086444,15.9534223255566,16.435556670036,16.5315108850055,16.5585410722015,16.7269265410861,15.7436266980101,16.1864699221175,18.3987736300219,17.0523552286476,18.4189200760786,17.3032577360373,17.5488605155715,16.3445332608064,16.2664224751825,16.8298867160748,16.0537447913315,16.4547743996054,17.7663859835467,16.148734171413,15.9648311289467,16.8590813858761,16.7573292001765,16.6117295714532,16.3156429837825,16.6102753492701,16.9030594734183,17.5506042500335,17.2469523120263,16.4394791981776,16.3339570587008,17.2803077911642,16.5222995271838,16.9506748483758,17.1159019433015,16.5948618777888,17.279142218033
