"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Initial Wolf Motor Function Score",179.531895145382,181.88309679394,180.638290656102,179.964801894525,178.529977774856,180.772168006605,180.398674966874,180.350535084963,179.643543489545,182.251710193382,179.163082686546,180.568144984047,181.101545363567,181.573685137945,179.931111788112,181.160100584428,181.988089983251,180.225714313788,181.504486445519,183.204664187043,182.023526811938,180.686964737911,179.425480266761,180.422769041887,182.688223737425,181.480635763469,181.610911889004,180.512674118999,181.690127636256,179.269655338566,180.996032922813,181.38745605604,180.011345356224,179.580252357875,181.06980156939,179.635333518984,180.315558048537,180.562751256564,181.1487675439,180.089762527666,180.559584712619,180.419776496206,180.910644358829,179.552624368552,180.369686244259,180.420681183016,180.698603020943,180.301986493961,181.697888194713,183.660529454418,179.489773633012,179.856641166017,182.145333037674,181.767994641086,180.065631866659,181.35009998767,182.594922994984,182.080000423053,181.966142624357,178.170210810227,181.433756984211,179.648237690512,180.468237385661,181.469219384301,180.488408474582,179.325104464706,182.342942142592,182.398755872246,182.327159656407,180.136586677948,180.427003066192,182.751191184426,181.950459101045,180.781281841098,180.570242962506,183.049291993436,179.235701506069,181.536399167218,180.444344330337,180.638042795957,182.815036293906,179.268481912076,180.778398851698,180.330725187812,181.094345215785,181.079268124301,179.604831886658,179.023995898868,182.526799860338,180.346698704301,180.158887008074,180.743476135038,180.504177336556,180.297077426852,179.720520901203,181.145085570504,181.020679589062,180.361406848714,180.367825694299,180.210535025564
"Initial Box-and-Blocks Score",135.349005671693,134.735648094088,134.867623018737,133.51678471577,134.296850098264,135.079520478852,133.999548534047,135.44821470259,134.043157711104,133.196198880946,132.239961496048,135.657128555533,135.232455155905,133.748682206028,135.249326059279,134.201721115952,133.867481199947,133.886349890017,135.031451413026,135.461679797384,131.83089557642,133.959824558365,134.055078318915,132.935102036763,134.404233368593,135.464386269087,133.684588466795,133.900942024399,133.003734372715,135.772924467228,130.936757645717,133.852498396726,132.773684612299,135.48978547694,132.639830621282,135.27632449126,133.137095749332,135.436680994826,135.032354397533,134.722499450909,133.934757272115,133.527432574735,133.716841888829,135.283852420944,134.946938649026,135.161284302814,135.307734106544,136.314900493234,133.769280422298,134.76580949753,134.034152710629,134.334521164362,133.230484136749,134.873404097346,133.695448034513,137.072643547966,133.680199598833,134.557024917122,133.712530743695,133.183470664225,134.658216544985,135.674076123407,133.402643981484,133.309432882451,132.673470591599,134.021107184322,133.737729126808,135.062576659468,134.670088445185,133.601549921783,134.52874151297,133.450504276728,132.407672377724,132.732495392211,133.461540360744,134.275944561266,134.675629300198,134.812190106581,134.532041630627,133.513125604319,134.860209397615,135.076471181856,135.186954788145,136.920349496519,132.761210105052,134.907905110776,135.150933984252,135.690196901532,133.477216848586,133.473598827454,133.7260505026,133.819127447479,133.918622505169,133.245177651235,134.341866574974,135.580002856818,133.526786932429,134.234880095139,133.544661052972,134.300984081229
"Mean Percent of Movement in the Target Direction",104.800072744974,107.107681812325,104.053891255162,105.695400075739,106.581790905312,105.034570275321,103.823103701739,103.545476619689,105.780189760095,104.427231775905,105.696385621039,103.52628974509,103.348343753578,105.078050530795,106.628870217771,106.33387628884,105.775511548084,105.556827750339,105.125221516338,104.706202186598,104.083906456855,104.780821004043,107.144219129921,105.601966416125,104.264534430484,103.465924746458,105.050388891458,105.984697953694,105.04202980275,105.375370878444,105.111943423932,106.662142516257,106.479695241112,104.932826481093,105.695746535634,103.880806417406,104.530225575193,105.589881311171,105.66464950964,106.559282161992,105.044633866326,106.103905112105,106.995705187138,105.845507345631,105.774156411434,105.265138474163,104.883997144981,104.3505878385,105.877693148812,103.554100823281,102.970796457233,103.071051674218,106.930102097684,106.229898653032,103.761578320563,104.80007806711,103.953297061871,104.465317379998,105.113621933166,105.986071240094,106.0712569045,103.919151245296,105.352953424916,103.888540478068,105.772007825031,105.692543865842,105.121322574823,103.858458405166,106.093518655528,105.428279250307,106.160989753963,104.068045040699,104.579250670298,104.58281628021,104.679599548698,105.8805588165,104.623900528431,104.8163964017,104.622720515645,106.492145099424,104.240355605227,107.117100091333,103.09961066785,104.811519265238,106.861713189138,105.437717777698,105.826534801185,106.427796705465,106.048500461616,106.584402161159,104.981617637863,103.679733599254,104.645307546788,104.405359147056,105.241628811772,105.045384337664,107.289100441214,104.688573283194,107.433876889168,104.937135010496
"Max Percent of Movement in the Target Direction",104.958852675329,103.783172308212,104.911863701985,104.43541167511,106.191017987224,103.722608264057,106.425948320965,104.775842071442,104.077154555272,104.906494679142,104.731112443536,103.355516246337,103.849134548706,105.53177393294,104.13362408574,105.679131366735,103.976147548946,105.060059884523,105.107839417506,103.139835459706,104.630952230039,103.979920866584,104.807755730415,106.143551606431,104.823777183517,103.875566777146,103.621638572453,103.964176560911,105.952427723339,104.310104513721,104.537875280862,104.582381626343,104.535929086095,103.235565772141,105.463712399239,106.415914297177,106.510947350204,105.497532635275,106.223691493187,104.503652531275,104.909167181185,103.425929336088,102.951601986762,104.81643685909,105.834750048081,103.964119663946,105.232788223485,105.140385738075,103.371030358754,105.021503265818,105.746381144158,105.056394794812,102.291623757456,104.541833374761,107.331342788833,105.036135494644,106.033033767839,105.492476732782,105.774827603555,105.355054860422,102.98891819075,103.846443970827,104.341748362193,107.449538198607,104.345275039256,105.2016721489,104.437514712879,104.858643511431,104.601717618932,106.250125534614,105.186165375158,104.59204978536,105.2317713231,105.18425170543,106.193511280084,104.714157591963,105.646067492364,105.182015577262,106.402808302725,103.609521870266,104.375545532326,106.567879188774,104.193006870851,102.882088772015,104.522330251795,105.976651054561,105.350706836262,104.749251995228,103.701760052416,102.962010643126,106.050284710353,105.246853573401,107.066284399698,106.337619034867,104.681864861523,102.006079783216,104.742510402455,103.785976128244,104.661410010607,106.552217170372
"Initial Fugl-Meyer Score",61.718948496982,61.193700685182,61.5956081328922,61.4781038053661,60.5878690314051,60.9685288219629,60.7492199390773,61.7001989777278,61.1888345608875,61.520825348275,60.3156166697484,61.330866177853,60.4241238908233,61.078602225517,59.8991302912937,60.4310374275728,60.2125228185551,60.9613819585187,60.2110831157713,61.1548573093217,60.9503063865532,60.2918085142445,60.8977118025536,61.9023311364687,62.0771213621442,60.9669756589512,60.6397393014792,59.3300469495745,61.1452599860315,60.7912165894015,61.5689833280669,59.2181512529314,60.9071031868862,61.4821294508685,60.2141315418556,61.6889004657459,61.3203704112744,60.254048107888,60.7394100743646,60.061526227955,60.5854240894625,60.247064811568,60.8685950889992,60.3543931703273,60.3576608127671,60.9760258681439,61.4219439263457,60.6810860192763,59.9460971836824,60.9732118388811,61.3721281901969,60.384490080024,60.0520081222656,60.5168223061703,61.6244353053669,61.2568966668449,61.0243642367233,59.5208315276394,60.5126500195298,61.0352600116455,59.9416786159985,60.3721227193945,61.5436956650472,59.7346044431211,61.0852440726813,60.8078493028697,60.9791362046426,60.2387526290767,60.8545660591848,61.1521435595002,59.8092601444468,61.1695494208055,61.7703583230603,61.2278479921067,61.554054806225,59.5177810557772,60.7606443821697,60.4441220084731,60.3393480291282,60.6353211299734,60.8312315886212,60.4381112711817,60.631341461283,59.7023719376125,62.1116109768376,60.4751999475919,60.5311326333814,60.7164283398537,61.0072220054735,60.0799326409263,59.9611675657145,61.8952880212724,59.2521982016898,60.4777347634869,60.2629887476986,60.7920778018312,60.1379287603846,61.4892652339681,60.6202030243597,59.748569901148
"Height",48.5507750888395,48.4959444658301,48.2752235008037,48.1623746888106,49.2322430456671,48.220039444214,48.4210492076683,48.5911991065151,49.0921386557881,48.6128615618911,48.0061950189145,48.4103205880099,49.0466692806655,48.1722146373182,48.6585812545137,48.6970992990928,47.405024963389,48.3519978212393,48.8918519336955,48.8280037482906,48.3332852844652,48.9150851760782,48.6177284136798,48.3156629569323,48.123144978921,48.8124897855277,48.2170636164556,48.0546682040268,48.9816060850119,48.4893203347816,48.7162295927179,48.7179752423198,48.8531645773374,49.6055669208072,48.7636814593548,48.6090046216422,48.0852911029892,48.5306880357317,48.7749453048621,48.5474090609424,48.706260443863,48.624218041091,48.8414112583736,48.5575285160151,48.4986237773433,48.695598002074,48.5015038131693,48.4279908967375,48.4693662730713,48.7306720450837,48.5930455409225,48.1619177381124,48.5151094748096,48.2354739045462,49.1754943486124,48.2551088815069,48.4536663944146,48.6245914714939,48.5265795582212,48.2683501446429,48.3912201451319,48.6620639541207,48.6406674199364,48.2111215636497,48.7665193425646,49.2791624761519,48.4939285243015,48.89448164641,48.558872624748,48.3742376222594,48.9453809144211,49.2531929263716,48.8383563376792,48.3824907154281,48.6931712581826,48.287635461641,48.5378212382256,48.8903730363646,48.9440961238383,49.0625721587242,48.1953805869049,47.5209435717631,49.0579983600694,48.5988398874717,48.2953710598558,48.9435102398761,49.2093715221394,49.0553207954626,48.3212339619558,48.5052834155013,49.2339367353216,49.2732612105736,48.2797735754562,48.8188027745413,49.1384134579669,48.814095479181,48.8525585322606,48.6616985027356,48.3950506556004,49.4324324456611
"Max Max Perpendicular Distance",26.7092291258802,26.6986115427983,27.132354260961,26.7587765127174,26.6024583774949,26.6458961032676,26.7376458700166,27.1573258827909,27.024305598506,26.0050578209894,25.9433235512413,27.6228792015627,27.0538200808107,26.2006205945619,27.5410908359847,27.9054833862579,26.7678011669351,26.4775796207719,26.8518378782461,26.9447086148075,27.01837797152,27.0620150808264,26.6786179398691,27.0672981012338,26.3379823068534,27.9565036007796,26.6081643252725,27.1212338981765,26.2380844102366,26.9747743647129,26.1372868578192,26.4237257881375,26.6547506756301,26.7572339366697,26.7982619102287,26.6954214324009,26.1839160699206,26.3199399691342,27.310677806743,26.6187439556946,26.5130505801753,26.7483753452562,26.3368738795908,26.3631563176533,27.0312016390228,26.6146891006865,26.3658107821274,27.1197856612095,26.8929220666239,27.1757172761331,26.661645755031,26.8483136726144,26.5673064731017,25.9984669589993,27.3025437434619,26.5980899138034,28.0177179498862,26.5013258448689,25.9758795574504,27.4142982736965,27.101792187431,27.4918646337297,27.0404403054305,26.8005969096869,26.2878145688147,27.0755298057837,26.5849459618388,25.8923847025371,25.7873265047869,26.2827970607536,27.091210875475,26.8223969232644,27.0547774016504,26.5550599659981,26.9892057055058,27.9413937699065,25.5308877982677,27.0035382063698,26.6090115676015,26.4907068644024,25.932818592294,26.4204843482879,26.9505326685339,27.0810676881262,25.9199290752413,26.8514884442614,26.8263491326383,26.3862698070283,26.4860565556714,26.9194506261505,27.035082734194,26.4974006625457,26.8848431882073,25.9922255324078,27.9032553666089,26.9262842988208,26.096933617484,26.6938545895911,26.976280827061,26.6730989717825
"Mean Max Perpendicular Distance",25.8322493329618,26.1246600127174,26.176998873601,26.5098177475889,25.5168044550095,26.6538466148047,25.4197609242076,26.9971525325194,26.4865732787697,25.5545411901339,26.3932939158029,25.9325697780698,25.8956835572472,25.737011820242,26.4931495380986,25.5161049194963,26.066457450688,25.998893363703,26.1431026870422,26.3299697473002,26.8399650478141,26.403390495993,26.2362271327734,26.6847607720923,25.7222877347613,26.2161382425079,26.4234784705651,26.1676278885394,25.5328490814041,26.240970105712,26.0988476473195,26.0092169801727,26.0309002986034,25.9899403689933,26.1484417010291,27.0252854369835,25.8355387820677,26.0606412068481,26.1215075753566,25.8229358511815,25.3317138689393,26.1517551934192,25.5934775269182,26.2318653338662,25.8538348450569,25.86228615017,25.9700051926818,25.6822269513043,25.8206440063534,25.2839839029294,25.6590151841567,25.8761148540533,25.5316685875481,25.6891383958627,26.3133881543262,24.5154847141883,26.3510843326737,25.8847898129488,25.4855178259622,26.6530549566701,25.4365643310831,25.7470974730802,26.0113415361416,26.2427365782658,26.0346718787273,25.7377585930235,25.9569393362885,26.0513960747654,27.0765516538919,25.3166299743246,25.5743193188443,25.6062803060366,26.046245813974,25.4921767670548,25.7790949556202,26.6015293424859,26.0408006721114,26.4689480420723,26.0813636139557,26.0530119030846,24.5233139737685,25.7842144653335,25.6309235801058,25.5063348690611,27.0336017498469,26.3642724565356,25.9517722106975,26.8062467121345,25.890092661844,25.3071046154375,26.0380652371384,25.892575071009,27.0215526994791,26.3279632283,26.2075915811603,25.7341741804454,25.9134004384553,26.2059172870682,26.4462468850969,25.6721307987936
"Var Max Perpendicular Distance",23.6934265495138,23.4634012138618,23.2572738206404,23.0929784334973,23.4582361211223,23.6147341115212,23.4121953161914,23.424819127394,23.3539858627405,23.4874100717266,23.5003577738619,23.2486191553675,23.7361355055584,23.336094467477,23.1640916460615,23.8272518743985,23.6306267058387,23.6606117799443,23.2028086284332,23.3625693731115,23.4593441895617,23.0623996000581,23.4351588035859,23.5645263981833,22.7298945357018,23.4167657275516,23.2868423300623,23.719734279608,23.6746410969054,23.4247425331415,23.13983621497,23.3601154916938,23.5158924954975,23.533042325423,23.4831347111771,23.3869008782211,23.421149103886,23.169512280615,23.4805196957445,23.4846820797232,23.7084764832555,23.4440636222388,23.5495408412651,23.0857123747225,23.08607643585,23.4215614815,23.6816060337151,23.6239040149283,23.3238575782475,23.4732684051072,23.7588089897,23.2468268670073,22.8378004802121,23.8727581663932,23.2174947737797,23.8696191478532,22.9679114791198,23.4631993894671,23.1526032329514,23.7412489379173,23.6260331576581,23.1875640420701,23.3128341866987,23.7286180696414,23.0334908529655,23.2859902326842,23.5322263193346,23.5977525921426,23.6266252542029,23.6027401531311,23.2038568355107,23.3129501182335,23.4822932564688,23.6151998653708,23.0954777550652,22.7539746032279,22.9422451878962,23.107679026586,22.9643120712243,23.4609196006656,23.4175342571127,23.2556608488622,23.5019813460165,23.5745384868356,23.6497173803149,23.1593724790038,23.4341163827344,23.5383567576521,23.2805596137307,23.6255829261021,23.264363579337,23.4010350377938,23.5209337420962,23.0746863610253,23.4386687632103,22.8635782515291,23.6092813153831,23.1284811653394,23.3641465165802,23.4117479013093
"Age",16.9123439257608,16.8442322460831,17.6335285316657,15.7982155493034,17.5281867037914,16.1537964997013,16.5227502425231,16.8878006250677,16.804689232396,16.4588930872125,16.5883500907543,16.3966828118562,16.9101476042715,17.4460363937895,16.6610841751714,17.4221380935405,17.0439779130517,17.5313169691667,16.4796404382522,16.2232048269833,17.4265786580699,16.4283582561308,16.5707380127111,16.6471756284871,16.9299845965346,16.825426842007,16.721712919062,16.2440934450229,16.7699920288469,16.7970228982861,16.4397621463836,16.4429766474727,17.4530084382357,17.0987750782373,16.8142207255851,17.704991886405,16.4619366195954,16.7411776752676,17.2643860196635,16.3745077180188,16.9381455311997,16.6786164242029,16.9837075770867,16.2762055297745,16.6368352512335,16.882333081633,16.4304583798655,16.7386719437343,16.4360253378997,16.4166588588769,16.6586152964935,16.5592071062052,17.568561771653,17.0774886584199,16.1095901428597,16.6337037050009,17.2164695591145,16.9620096534962,17.4774243760688,16.9283164428097,17.4668835063208,17.1104989827685,16.8497903228237,17.5033769941529,16.7978386029871,16.7945117938445,17.8408950929955,17.2302369266278,16.4914327457939,17.2595884984326,16.7363273458998,17.4576612088751,16.784764015438,16.8830839906013,16.1074223892057,16.7553788899021,17.4288193990426,16.4831366456941,16.2712903067674,16.763346823833,16.7976199394659,16.0142442469315,17.1376376100817,16.8833743264622,16.9182281925682,17.3139769962593,17.2027712291201,16.9272528462397,16.6319026956815,17.3426496921052,16.4377799484956,16.7682994923053,16.6355267331845,17.0073057532993,16.6442539858475,16.9325509667461,16.6834661513608,17.2536069361657,16.3191307909409,16.3316854943261
