"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Initial Wolf Motor Function Score",181.144529775739,180.354997021413,182.270776784662,180.96067545483,181.452256359684,180.212157364571,181.364764859775,180.755804844635,179.272098458618,180.614559093976,181.458825593269,181.873704678927,180.609832626022,179.903156038133,183.057700246198,181.99707211631,181.583820014992,181.888404632906,180.442056684688,182.104245425305,180.579948284513,182.383044759125,178.879119616453,179.654675951336,180.768260429713,181.396192790877,181.86101931579,181.98153124861,182.589792279793,182.527157040435,183.104806091968,181.361130184041,181.533987186133,181.453653570013,182.007388334238,181.386529110859,182.784044413589,181.268719711993,180.754814257223,181.887291564704,180.296777646219,181.444600837603,181.584199040548,182.858792613264,179.940812097541,180.736443789951,182.139234887337,182.341527977469,180.165965385448,181.065956410325,179.582494993743,181.620410742354,182.614163732787,180.364964706963,181.057274001881,180.405665256172,181.462970498656,181.867175187289,182.02915084251,182.524557761097,182.508238391011,182.802705354043,180.230498548839,181.887229443015,179.83208785847,181.037844106959,182.960699278073,183.298082463086,180.472038897692,180.68458757036,182.62513453338,181.658200806306,180.999132261044,180.259150252292,182.729559694414,178.919195457003,182.698713441772,179.863621388369,179.435706702882,180.459955081902,181.450822321272,180.280683475424,180.161865120059,178.898820833228,183.329153492952,180.883465965852,180.065771675333,178.634307754168,180.028556182881,180.250584570625,182.059475371841,181.554749975592,180.931692694675,181.42512691024,181.569785396395,180.142080162666,179.975214072123,179.457864639556,181.291740702425,181.31909979016
"Initial Box-and-Blocks Score",134.665864392144,134.199072581524,134.661695046711,135.573462775687,133.650339114472,134.855106910476,135.999028795163,134.33572404221,135.26368764398,135.871243014624,132.707556228159,136.103649782422,132.413514051733,134.680601257048,134.504967728616,133.476863417123,134.344885038889,132.526299414005,134.206940529736,134.377640736451,135.087885445782,135.255099120468,133.36143489392,133.75156322957,134.074653033947,134.057514496739,134.78564392054,133.800465192521,132.839282326221,133.242691844035,132.310798469754,134.158411407429,134.443322523062,133.753510150571,133.972631762997,134.279585424037,131.178881279099,133.631115649184,132.991689796969,134.255070175491,133.912515773216,134.251137226016,134.764848258978,133.009478094221,134.265771565718,133.603142858671,133.528733066033,133.317612668313,133.388581604515,136.156497608476,134.385173575272,134.699799559915,135.283447703216,135.215221837221,133.551785908967,133.903975275838,133.24502684763,133.52684672993,133.594060757411,134.604522309742,132.548495985203,133.53105971704,135.701750840531,133.065316817976,134.789324858063,132.779867077281,133.708689222299,133.991895651357,135.607585245897,131.878372350842,134.281458023355,133.708725477063,133.966645971269,134.780239953332,134.658056491669,134.444620373899,134.424389712548,136.098495139115,133.1228793752,135.188307195581,134.935718110201,134.606009879744,133.796643978638,134.207832947493,134.788749012961,135.067060313127,134.028258124879,134.530135683892,133.736114172903,133.355662712151,135.320781828989,132.596928842478,132.188056263025,133.88451196251,135.838357581843,133.317155155507,132.925384927463,136.836673096525,133.544723321424,133.874400665374
"Mean Percent of Movement in the Target Direction",107.81395428696,105.08188354252,105.671816964228,105.363837929227,104.55331822073,105.660402862817,104.495333644851,104.766620692737,104.048584525036,103.717891115229,106.076744783885,104.32089643328,105.130785140073,103.852760612172,105.508339206155,106.261977561094,104.922267760544,107.92009490453,105.885252121397,105.355163869857,107.603340882263,103.78326966205,104.275957451322,106.838439156864,106.313130996903,105.278202605582,104.667869992748,103.679631458999,104.908583354379,105.803741158996,105.277151304424,105.704986638455,105.133753486374,106.212406591827,105.280785533741,104.698295225791,104.526067129827,106.992503526899,103.909577448115,104.297457597136,106.186531093832,103.774915202615,108.262618616413,104.531003744334,104.778728738811,103.514436987044,104.747634736329,105.958072513043,104.517562603434,105.475181148176,106.03291540718,105.534516889147,105.238212885006,106.781128616156,105.657455976342,103.769007042962,105.096236363622,104.248815808155,104.301421764566,104.847869536346,104.596974479755,105.344874350584,105.387789278287,105.093021302978,104.551256733173,104.22967908884,104.766204286388,104.34777112468,104.353031682681,105.311045836508,105.471625232483,105.462258413585,104.684193966697,105.00729284038,106.766525191258,104.557952057813,105.342489572145,104.846314075617,105.285348548748,103.358092518667,105.596629486972,104.663687726088,105.384361156687,105.056362935983,105.789853702867,104.713258925063,103.165399601959,104.768059465744,105.954395325285,104.976860754787,106.550213079172,106.475559074703,106.713527020879,105.961488616162,104.860281670913,105.672116140845,104.320804975602,106.442997209445,103.850205128385,105.222509342588
"Max Percent of Movement in the Target Direction",103.703479279592,102.403770313255,106.064204017607,106.872974803601,105.068281347013,103.523268237153,103.331590177022,106.33784679419,106.522393213734,104.820962928466,104.960457828356,103.627169676673,104.961080228356,105.639809929024,102.523970486734,103.916939300706,104.856031671635,105.857658892116,105.294326477734,104.773655089997,105.529077703767,105.359329603674,104.494288706282,105.191540532336,104.868995542487,105.813413785579,104.23843288163,104.649408194164,104.393751775678,104.147076097897,105.159955482144,105.324898905296,105.465170633989,103.700142450292,105.267559805845,104.122065834366,103.540632685934,105.918171825122,104.673569055154,104.661568356693,104.894651897529,105.657943535647,105.291159029252,103.794429923961,105.506858062231,105.975202292194,105.555625321616,105.745046682102,107.456901322479,103.170045922949,106.20418031898,105.040853152106,105.951721282954,104.289641329661,105.11302048413,105.371835632385,104.381554633537,105.084901933595,106.147696148538,102.896204940523,106.100297845959,104.561285129203,104.258427642345,106.657969405291,103.913966093845,105.402797380494,105.899108649257,101.506075969209,106.16603749258,104.71010622034,102.716147150854,103.75870483549,104.71021475507,105.44480631038,104.251682220177,103.197320516195,106.006597154307,104.971593779497,105.38457091254,104.886324988384,105.147585479559,106.096903964455,103.394767333277,103.654771904328,104.446431856508,103.616497242646,103.871745092059,106.915927533547,105.939211017521,105.582958961542,103.435175936706,105.742287908789,104.225660403004,104.638671071548,103.846742104878,105.098992598903,106.102645460226,105.213800432899,103.441207557738,106.097907927585
"Initial Fugl-Meyer Score",58.8561932675368,60.8091867412495,61.1192702939525,60.9235931766904,60.595686585367,61.1352915498932,61.0524404056639,59.7436639894186,61.5357893937453,60.2433517963575,61.8173764934493,61.265519916338,61.0523730918531,60.1132360542269,60.7161872685406,61.1163721144691,61.1842780705893,59.845383074067,61.1855225754596,60.489965673686,59.8761069165222,60.8004417392788,61.1257520337608,60.5128850833631,62.5248382373627,60.919642531403,60.5175576609133,60.9312549793334,60.4263293931518,61.1364825458895,61.5122556320409,61.1375093443376,60.5691455891202,60.7926997527834,61.2405629789533,60.8207265988382,61.6490770089445,60.9611303035944,59.752099418934,60.5479976121235,59.9652034174511,60.1195056192657,59.365794420345,60.7587959497623,61.5069293095147,61.0706489388617,60.553848266198,60.5419376225385,60.7875866252759,59.8525988041186,59.9441245635089,61.1617841844264,59.837698704154,60.45770628893,59.707580228124,61.0980515468783,61.1075411703381,60.5586637406276,60.1793132769026,60.5727753754078,59.3152011841441,60.3260878554746,60.99222934129,59.4345833420237,59.7721954883044,61.434188613728,60.8053662840937,61.6793284592014,62.057829558059,60.6084225239046,60.9793163006746,61.1114231692951,61.235251783519,60.324339513139,60.4399974993865,61.080167708464,60.5397970200028,60.6677136313467,60.2568028951303,60.8164804377949,59.5713269601775,60.6425229754648,60.5451200483165,60.0721779064374,59.8800727218388,60.1965675040407,59.8283609857179,61.2104241275957,61.2562179827581,60.8427657435952,59.2074973960203,61.1958830810662,61.7235416721103,60.1295286251116,59.6738587977641,60.6322262680302,61.7124507601263,60.9641465363034,60.4987604748366,62.0022661463544
"Height",48.5489130567256,48.7860857715744,48.7730033864726,48.5441089384074,48.6074193699507,48.4284402437079,48.4248689877904,48.9432749439235,48.5208809890826,48.6380901339098,48.769095155888,48.8671488443242,48.4081092087537,48.7225999894779,48.9771494144287,48.6415258124754,48.7008467277353,48.9106182537565,48.8557324948252,48.6998444474444,47.9523392523267,48.6730921372577,48.6247923132263,49.1268563163771,48.2130470261531,48.3845171340847,48.7510744338091,48.6157790025003,48.7541503345382,47.7282865879568,49.3160474265958,48.9730562372124,48.635173906784,49.0460473478282,48.700907115558,48.812523100627,48.2638538557517,48.6734680989689,49.0339746692023,48.6264765996685,48.2893141323676,49.2040299839438,48.3993356179821,48.4174423880859,48.5668613804054,48.506796126713,48.5272621109482,49.0919338811418,48.7119063182172,49.0179556985528,48.9256424870027,49.5255077941821,48.8974587275007,48.9771432203697,47.783851171638,49.1161923272642,48.7991544372032,48.4282598288793,48.553220873686,48.6491206762787,48.9617702590201,48.6071831099716,48.6819864102114,48.6820065940547,48.615931139372,48.3576276715691,48.3397409213435,48.5061236895673,48.3249452377962,49.0417300205579,49.0010486010745,48.0488474208981,48.4857703173856,48.2732444316787,48.1695238516545,48.7898757934927,49.2277368484943,48.956547414214,48.1039241604945,48.7569266788967,48.2136913552691,49.0464440840795,49.1919071851818,49.0370544972647,48.5627086479842,48.3797643995041,48.746772479143,48.7633770626499,48.7473088746094,48.5303742494381,49.0400655860642,48.5483262746968,48.3969454325332,48.4086410220224,49.2067101646965,48.4286628519929,48.073396298716,48.7504428429823,48.7256815953531,48.9872601561684
"Max Max Perpendicular Distance",25.7601300346349,27.1911713337344,26.8326710465717,26.5360968670029,26.4600005020604,26.5893066408709,26.6363443809745,27.0729302771714,27.306856254114,26.9004205115125,26.7101649978963,27.8165375407917,26.7943356179141,26.7674346591481,27.3101720865857,26.2731136154455,26.3876398761856,26.3570314758761,26.5821843075085,26.7322343001375,26.9470714205381,26.745129278056,27.1336130588665,26.3160828014339,27.0806501201023,26.6144372296976,27.4741654822501,26.7655785291231,26.9322036946254,27.0121325553542,27.291969782837,26.3536852453373,27.4014985204556,26.3917997708346,26.1878983534705,26.673185939965,27.3937084824349,27.1091698530683,26.9111901224644,25.8511343075996,26.2500192354661,26.4586160828327,26.1995280425236,27.0313807792265,26.2219613967761,27.5871882093293,26.8058828385661,27.4708053705124,26.6142493439195,27.1513697266673,27.0928797323273,26.9179088515758,26.5723494105023,26.8856484910297,26.7149690010454,26.401827225401,26.6913228773915,27.0821594927618,26.3573789411287,27.0500633871295,26.3789775705083,26.955408938624,26.5311650914434,26.566486772069,26.7277467626902,26.5694642220223,25.8283210686753,26.3385578613999,26.0968466279474,26.944070205779,26.4417109395474,26.788916326561,26.8265138793682,26.6533908707725,26.5633758228918,27.9469322978158,27.1304345763087,27.3220719247746,26.1648372296714,27.0118847206912,26.918959539064,26.3198465998559,27.2853860475893,26.4753483342189,26.2749481802904,26.1411695974948,26.3185583670864,26.4310082205004,26.1470701542235,26.4049877753916,26.9041092063058,26.4305069591669,26.6493973599683,26.4902756970874,27.3641168832441,26.015558884496,27.0200937911559,26.6246554638897,26.5295820107026,26.3601835903509
"Mean Max Perpendicular Distance",26.6381818688534,26.3804141436318,25.9135810626399,25.8471441210824,25.4816226272648,26.0933904293274,26.0481982294747,25.1786619132261,25.692299104657,26.0165024850451,25.4059366647598,26.6474373455921,25.5685162907261,25.2651968117565,25.056559354105,26.0913426903547,26.7138004411175,26.4745789712148,25.4940972809818,25.8663508351655,25.7174758691711,25.4551576745513,25.6135936969124,26.4522346111075,26.4077717480799,24.9424484331831,25.5702755787728,26.8246256737184,25.5628021905254,25.4623731721747,25.4876402515942,26.9665314214945,26.811718924732,26.0122329865423,26.4012501857052,25.7464973954791,26.196191297474,25.8957599573881,25.9177578793678,25.2636265066559,25.376909124412,25.7869362212769,25.8584063701649,25.9076087433917,26.1266985989837,26.3621679301354,25.7786871591385,25.6541802451299,25.8381455726631,25.2841478953178,25.8626214710571,25.839953380328,25.836743147513,25.4707073385875,25.8632311372554,25.4374640048137,25.6672608191389,25.826364973256,25.6131756533491,26.2444390699639,25.5731556802411,25.3722311898474,26.4276712425258,26.4706025738424,26.2477204611243,25.9334907093273,26.1785522561646,25.457745326199,25.7137268273606,25.8171289676565,26.2717854338755,25.7516476367463,26.6454743828914,25.8754011596971,25.6781171382907,25.7933075996157,25.3988306022395,25.7376187398937,26.541715907451,26.4129187443095,25.2906960617014,24.5410876185999,25.7886639490679,27.1983993562381,26.0048255554439,26.1355841759333,26.4033120188936,25.5228542569117,25.8133633137327,25.6584680590532,26.9341612975064,26.3142075855594,25.6910053520663,26.2654090348016,26.4500210214403,26.3960786609087,26.4229324353164,25.8427647592055,25.757469963342,26.1605675713057
"Var Max Perpendicular Distance",24.0295836987794,23.8336622486911,23.6658774204636,23.3669806155456,23.8978275351935,23.8259018517343,23.4555328003862,23.8607694261065,24.0249620552292,22.8418541958494,23.2018972541225,23.7810497765179,23.4266501201906,23.2400509871317,23.4306481716429,23.6678898029963,23.5062273696471,23.7868557010187,23.1219048750449,23.4521575922073,23.6818602221471,23.4452139470524,23.5479239438114,23.3243469028038,23.7148570593306,23.5522934429985,23.7231620214484,23.3622933750245,23.6077100402337,23.8635314525968,23.4017099843182,23.7852698372506,23.6227587695564,23.4635545957117,23.5762304255985,23.6097423642796,23.5230613420097,23.1592022882498,23.2794384325519,22.996403810242,23.3178604776669,23.487764194602,23.0899067585712,23.3340297538881,23.0856864396798,23.272494129455,23.4763765623387,23.2296386982281,23.5132047196472,23.4162386929294,23.5637586661725,23.4440324697815,23.1850013829815,23.3079589216143,23.7812135641896,23.3574023210029,23.940116925197,23.89614754897,23.5290583964909,23.6295071989908,23.5283737926136,23.2390351486831,23.3962015750248,23.7660939714138,23.9659581557746,22.9856579940871,23.148659872832,23.6135985434542,23.530170296184,23.835852284872,23.5621220138997,23.4962002999395,23.3314307748306,23.1427798331898,23.6016762711787,22.6331831177554,22.9786376483731,23.5916174250544,23.4823306284461,22.9339284340696,23.7936877821367,23.5664977682552,23.5198110693837,23.6375631970034,23.2762370712656,23.3615368099827,23.3925543706108,23.7106953952112,23.528206865428,23.3009769202402,23.0469733510336,23.1434615035016,24.2412466683345,23.5030263054211,23.5072439935219,23.7038776913608,23.3812553937848,23.1810893187136,23.5297505073881,23.2095301976177
"Age",17.2969717724653,17.5439367237973,17.2703474930839,17.6710906333699,17.0565672788473,16.5756903600424,16.7207453423992,16.75061449711,16.6505340937702,16.0263685157747,17.4338056788242,16.3979462189094,16.7653712565174,17.0946595368377,16.7927469116138,15.9378059393041,17.1203746686629,16.1921485850338,16.2979586880833,17.1926360775496,16.5799956824203,16.3997210712464,16.2943477796835,17.5810343947347,16.7787833618726,16.775810866905,16.3979884645632,17.2913724872822,17.0158326678123,16.2397072220561,16.2809108202995,15.5428665949288,16.3991745724746,17.4899100612157,17.3657686917578,16.908798001017,16.8703739702097,16.6600126523803,16.356465126807,16.1890259428117,17.1542711750425,16.6758416922176,17.7608052056747,17.3710001166575,17.2558417189319,16.5912266812776,16.8624695319173,16.7286924800445,16.5666445996639,16.1442240509799,16.4059528620609,17.446802886073,16.5311167180595,16.7461008254092,16.116735452585,15.9573549776336,16.3799478578982,17.136562967088,16.4637416228583,16.328331916032,17.5297722352605,16.9190211950735,16.8490525941561,16.8270815152788,16.9047547004633,16.6659578065733,16.930019279081,18.1518885880874,16.9679600466543,16.889785567255,16.5867772219856,17.0647875391349,16.7003216897604,16.46438258794,16.3789967515655,16.9486013269903,17.2304430572671,17.0402361362975,17.6347505524418,16.5158891996747,16.844968057,16.5891988986122,17.4107559946645,16.7640626841589,16.5689533637836,16.2455673876812,17.5950171968419,16.2782151078297,16.9924262645781,16.2626261094428,17.5500883027511,16.4268970808653,17.4872148967529,15.8064706582488,16.4111225120047,16.7888198656308,16.881599367214,16.9473893577855,16.3797035317165,16.750166676344
