"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Initial Wolf Motor Function Score",178.687174438304,180.375166021369,182.401729923498,180.134539540112,180.720830386206,183.303737919085,180.65196093993,180.435107779332,179.852947705287,179.598374733779,181.952224018211,181.456701330008,179.769281235056,179.730261325586,179.234931393985,182.559169755735,180.972301951701,180.259328731283,175.239990397415,183.453917051765,182.866144630264,180.559373392992,180.109712239669,180.607159871594,181.618611555098,182.517600847728,180.464034286532,179.633034372812,181.892534617245,179.632353883838,180.512986869735,181.974119307272,182.495295169782,182.366630520797,177.350617336685,180.395069525334,185.3771117254,183.677886926185,181.247649385882,181.636384614616,179.997225232173,180.821371423343,183.539734181018,182.298816375146,179.305283972246,181.532852615046,182.970752469205,180.522125990848,177.855438022046,179.568903695955,179.409020811297,181.706890614841,179.987482199988,180.716279128334,180.402307055634,179.361186757856,179.425283978646,179.58109898216,186.189776426365,178.425439974329,183.816746273428,180.730357508103,179.998560761063,180.328746877654,181.003821426998,181.998756711891,181.894027873239,182.436014101948,181.996181604572,182.578386694414,181.526630727057,178.080202906099,179.507615485952,180.786911145777,182.986443195384,178.321021616131,182.621985066116,180.292103240371,182.272641203504,182.950072110401,182.761200293915,180.769223726093,180.974154340853,179.774121206837,181.183449056505,180.610699671041,182.033344579135,179.836212183913,184.055353759195,180.35556585296,181.369635773962,181.535617854155,181.463899336438,179.883963216094,179.619591193246,182.18606132946,178.902637806562,181.029128430805,180.65540656852,176.623746692742
"Initial Box-and-Blocks Score",135.88843692424,131.444398395267,134.631567597622,133.267740469142,135.931038652446,132.219209626186,138.609988205434,132.840866139048,136.205081379241,134.167730406741,135.102624456228,134.903757162074,131.224768503182,136.339794847605,136.24393961639,136.312732913937,133.841212084622,130.334428040536,136.250710284659,136.39338606717,132.772552413005,134.686786530425,132.184138147677,134.559400925255,134.741028026097,135.477731830432,137.13507564993,133.786556922196,133.963269891454,131.290863407858,135.304836987354,132.865648764646,134.816488645278,139.647184763341,134.403655438855,133.369874312069,134.721789847735,134.519940219368,131.576183429434,133.408038814264,137.842951712924,131.702849294474,131.777843600159,132.52723270913,135.933202197298,132.827377186441,136.653790426818,135.733352241829,135.564395929522,135.667305379706,132.552280693806,135.779798675159,133.403064274723,134.892633354108,135.927258812859,134.840220973095,134.97357672382,136.064552837514,135.300629028601,132.23382035966,131.426445619592,133.663780041103,136.310930555285,134.70651093118,134.547712530265,134.173965384569,133.145064376845,135.244443269848,133.21879688123,133.858522820628,133.8717393151,135.727661288507,132.279223995924,137.072819402763,134.607907616079,135.196188697949,132.243628974279,136.415554514761,136.193222924454,134.570215947805,132.699895086615,137.681918301111,135.643965571387,134.065953483023,134.727410777837,133.217863508295,135.873365822564,135.206481118842,132.958626979902,133.289433068954,133.068345815287,132.051107350381,131.88428027706,136.389520020488,132.675578239087,133.703428758373,135.316744911587,133.762697163663,136.209806190116,134.63065583867
"Mean Percent of Movement in the Target Direction",103.672664825979,108.373169654798,107.296128224045,107.164821898505,106.458210049175,105.024525624848,108.231776172047,106.564466803205,103.497416429647,102.671226893538,106.283252268177,102.797644880609,104.485837244788,103.919659159696,106.735841561161,104.097125777989,104.752703926215,107.222752109448,106.934717604575,105.211691441654,103.850576060548,104.067290074645,105.136323602295,106.548526205505,102.533905468904,104.161899745637,105.452310172388,104.380687555458,105.471202798214,105.181661763512,106.052604851449,106.299872932884,103.837624150486,101.713234063502,104.119383230257,103.765486496077,105.345780536769,107.18872226069,106.065754642141,103.465004475324,105.670204936823,105.937249897606,105.616695831038,105.528219889819,106.855041709417,106.002375440441,104.541935020717,106.056829403199,106.199671638176,107.168661473993,105.635871613506,104.66038093474,104.671068121158,108.724205301225,104.015859706904,103.552851016691,104.209829750799,105.36233740663,102.975734157397,103.511551232302,105.715810499904,104.237124589095,103.627704595303,103.277054040659,106.01060833735,104.528859887858,107.149359260543,106.959862721628,107.247541773162,104.877914731251,107.529780660532,104.538271572156,107.033816701533,105.588837658051,103.775189291346,102.503478890825,106.575486138421,106.761426193078,106.227592239676,102.184352285175,105.201128209835,105.158096484433,102.047769301991,107.231436726614,104.732911788275,105.201584300926,104.973745170568,105.671408597749,103.752874801433,104.507444233541,106.551545148164,103.833743018489,107.310877072159,104.177704829136,107.140699774332,105.677323400327,106.128005101527,105.246413623515,105.142725444575,104.328344041858
"Max Percent of Movement in the Target Direction",105.316453355511,104.385532685054,104.831625481199,102.401503389752,104.725886515497,102.919189626307,105.229740463336,105.902408206539,103.706944446383,108.870943806519,103.651871598085,106.645789768443,105.362774240955,102.763552734882,106.509935534261,102.27420417588,103.687044094447,105.889067131751,105.092558147553,102.794705276766,104.969571248366,105.170211401529,108.318710385737,101.92978898349,106.425061584387,108.217897116255,104.770443341883,106.655063697531,107.221156922547,102.087743389108,106.774498462779,103.873928155155,104.938672144062,102.694023867735,104.833166489568,106.910107492415,102.738805817565,106.073169525432,103.912599081083,105.178074716219,106.548784994625,106.325036497627,106.178145034931,103.209745228035,106.104487006544,104.648292318657,103.915252417154,106.530339940708,104.218828577497,106.164089856449,105.813634326273,103.282626781327,102.547090831677,104.23587956523,105.03733412058,104.636392338416,104.399614367974,106.005748762202,100.412954778828,106.179613911028,104.458946953097,104.812340135505,106.222221561235,103.364092410669,104.326081245303,109.147357416798,106.63224392202,106.834682708172,104.458566154519,100.558460933218,104.194821243768,106.087438956484,105.987266632232,105.133943337342,104.120809858214,99.0655907355885,103.298756004889,105.479752729029,102.505514968631,104.601169133785,102.337742596899,104.702256488284,105.00456607944,103.666674131372,104.338466675068,107.179713607348,108.353682041705,107.195862427707,103.572991016855,105.522671265448,105.009539830334,104.777641534544,105.657795502735,102.694089933362,102.082709520148,105.297651234997,105.945253416562,106.958324867956,107.050368634631,105.731907946878
"Initial Fugl-Meyer Score",63.9354038715024,61.6395066802874,58.7648733254847,61.5025810612487,60.1628664542528,62.8380444527951,59.8005475229472,60.4573468971882,61.2808901056743,60.4402369629368,60.7840527167404,60.5801117966662,61.5886128615282,61.6210635732265,63.5678624373161,60.5580201949455,58.8134121697444,63.3333644471837,62.1051806570513,61.7553757012507,58.8457605720311,58.1574908088817,60.0147074597619,61.7473083225729,59.3434294420727,60.3287349015328,61.7872963313649,61.0154134500446,60.8678178548182,61.1471323315777,59.3157331619504,61.3918318416503,62.4486555143483,59.4606599754697,61.2306354433021,61.3145479485084,61.9966945097978,59.668405382412,61.1857956033324,61.3587708534671,59.484773339655,62.0934944222213,61.9799697898853,62.1166637800392,61.8122063659758,60.834965779971,62.8394390396481,61.7254510735918,61.0440370774014,60.2346433497765,61.5260838021416,61.0959921622891,62.1839205546352,60.231987812238,61.1817034106818,61.6036852946587,61.2746225597699,61.368776086884,59.270192525947,60.2759017441657,62.6040699183522,62.073795506663,58.4341654437916,60.9602136859359,61.160919784281,59.9292718004405,61.2608275241132,59.5873886946739,59.9811698180078,61.0595129316782,59.3009399671874,60.1487855658242,61.2276047557116,61.7328538585348,59.7395383870156,62.435225602226,61.4150659371088,60.2363563282479,61.3101803573787,61.6979533243315,61.4115768554387,58.9726573219784,60.2716538852638,58.7473438374253,59.8990363761546,60.4297331563265,60.9772216432069,59.1558100613468,59.3477039950932,61.5867660770085,62.3945852192174,58.1994509466866,59.4893674456988,59.564505954179,60.8373155997345,60.5849013293255,60.6412690682911,59.8061777637331,62.1851738141758,58.3945973714238
"Height",49.6621486902561,47.5161098204475,49.527075772592,48.3238156717953,48.5305392671417,49.0874950030979,48.3408976180209,49.0933190201473,49.0785516591129,49.0549344075655,49.6290551234598,48.4410990034041,47.9234084098773,48.3419734136959,48.6906653074264,47.7789537291541,48.804629199327,48.350731339532,49.2643249635489,47.7982292717653,48.7351590396206,48.6012805425862,49.2929308720875,48.9399394506957,48.3994251794343,48.6416777681344,49.4147998051778,48.7066531719153,48.6157449609018,48.4372272015728,48.7729737800683,48.6249846569362,48.1628266479334,48.7705336374074,48.7302609262519,49.2929804381265,48.5143488330854,48.2601088157667,48.9599693224883,49.3606338603648,47.1866387341609,49.0589103577458,47.9629203721955,49.241355269372,48.084691211635,48.6371463163425,49.1314289874281,48.9920304525342,49.0470846422812,48.6955780126901,47.7828443326815,49.689128034589,48.353759228921,48.2087877585699,48.8922073628056,49.6727795290277,47.8363011156927,49.1706481201906,49.1736755371397,49.0821447849037,48.9636032164878,48.650827635223,47.7627407363715,48.962452827257,49.3666382419381,48.9701247789909,47.8414522514273,49.3387961645235,48.2060491007988,49.1020603877514,48.7841764628975,48.3410680885923,48.3450457361983,49.1200592839447,48.2467990397399,48.6629099447029,48.6314753461712,48.610231454668,49.0864723239401,48.3830854892569,49.5439082479941,49.0044387653951,48.565409696138,48.7883628893803,48.0357020764896,48.5492018766799,48.8335387463552,48.4496466066886,47.9414557326524,48.7042053383553,48.2615889587161,47.8334635083843,48.3883410379761,48.2595022634929,49.2499278298147,49.2198875839237,48.3670680976343,48.9961747420205,47.9291811898825,48.7386176014452
"Max Max Perpendicular Distance",27.998052256468,26.669710849347,27.1426357221024,25.9062916716946,26.629347191252,26.2762326868718,24.6660708410485,28.6555853352112,25.1037121413065,25.8462141259475,27.1698429102501,27.1414408437322,26.8531718718824,26.027412130329,26.0035366170381,26.793185153702,26.040450782482,25.6254671834548,26.1375325243906,27.186787163156,26.8418123108399,28.8051574106214,25.2289416351659,25.8196693033566,27.9870238229302,27.5133833937915,25.8219203441881,26.8233908776468,27.1896235322585,27.2554538865546,27.352480937458,26.5085647438087,25.9994232218584,26.5520569201075,26.5545234571354,25.7815230961955,26.3092938729394,27.0569302725312,27.4335248888139,25.8005982942912,27.4290486168768,26.7628911796418,25.1176862315297,26.7440473523889,27.3142999581253,26.3713959439994,26.1699800476208,26.5613269658778,26.6862996061417,25.8384821649749,26.6184711746098,26.7179019794465,26.6357562852089,25.791147913693,27.1540842245734,26.3462826928473,26.9780692064025,25.4264841321432,27.0207437529802,26.4190060360026,26.4881029343273,25.1017930861951,27.0315867700993,25.6031352006827,26.9357528849289,28.0774833545644,24.8349962951149,28.2955300468523,27.7391397961738,27.244414366558,26.4313087760167,26.9795620905788,25.9937835527942,27.007033202171,26.5944247854567,27.1979327868254,25.8545289794645,26.0620420932165,25.1501957050793,26.1996705043111,27.5765863201578,28.2601826172048,26.7535853244145,27.5135710164556,27.002525961642,26.5013216874466,26.7853394047728,26.1105976818312,27.590548475973,25.9757171493829,26.1321051377978,28.3209279327873,25.8309282138181,27.5307085927077,25.7406062673669,26.0581474722271,25.3817370418987,26.5156090479177,25.3791270752695,26.4790864174331
"Mean Max Perpendicular Distance",25.6849684329053,25.2208303510112,27.7037490309781,26.5650881910358,26.087505015291,25.508326854548,25.086406809957,26.5316229581484,25.8648696225464,26.7589660115006,25.6928220172167,26.1697544739494,24.9749552277368,25.0295609322763,26.3296286937781,25.6110022415015,25.1018746730721,25.5416694791096,24.5398664668054,27.4913501424866,26.1575412153109,25.115539924616,26.7324198156144,25.1234604609034,24.7544371409874,26.7538588795302,25.8184886068799,24.9682567943463,25.948876259461,25.5111853558459,25.6634180569535,26.4883546524875,25.9059816543265,26.2812700858241,26.0613395169899,26.1253641966464,26.1446757804173,26.1437283147808,26.2085569340651,25.0708251644521,25.5508418814607,25.2222706678797,25.290982974988,26.556293101496,24.938851286312,25.3759568867216,25.0016364812317,25.8214527972025,25.214354898944,25.8680052054974,25.2666176530413,25.8926304226238,25.9123048101536,25.4652235248373,26.2651136302286,24.6284695043521,25.7681475230641,26.6766527064486,27.1339169170007,24.9633525183232,25.0464029648282,26.0828583739413,27.0419414047968,25.7483423309389,26.3365840494493,25.784755598899,26.1166109977896,25.6302221689226,25.6953802018356,26.6083020174493,25.5845517320879,25.9241940627241,26.0211439932848,26.1467657890231,26.4744443863191,26.4759142468272,25.4110118768215,25.5997368597482,25.3166220761229,25.5920498634186,26.8369397890449,25.8004531307379,27.1405244808199,25.7887789982354,26.2632781408213,25.7844458479734,25.5005409728784,25.7843039253769,26.2554961136892,25.717830507461,26.0095501696233,26.1269922836261,26.6826439047992,24.6889002480864,25.7759566507964,25.1651583194171,26.6700759639639,25.1504552249372,26.8674506967554,27.006649539311
"Var Max Perpendicular Distance",23.252088432822,23.7342825933876,23.30619105839,23.2195139720977,23.3907152291218,23.968879504574,23.457825449504,24.2021549224768,23.3010168541137,23.0817403187321,23.0647471086243,23.3592074445867,22.7162390140372,22.5855795003938,23.1158123961131,23.9318179060778,23.1736748160997,22.7721544357809,23.2251707288617,23.3791322951932,24.0012234173369,23.0965445311436,22.6503387998045,23.0515170376075,23.9072762895857,23.036984266567,23.1313055475335,23.353495762778,24.1246455831228,23.6545018077874,23.5938223694352,23.2575255375319,22.9437189763722,24.4561868011026,23.4599648774443,23.5779087907046,23.7279313104673,23.1514109679784,23.3587912366416,22.9844585388647,23.222243650268,24.0385083814297,23.4427775085539,23.940337792744,23.3417116926667,23.1762228728649,24.0422150291891,22.5525417065266,23.564680463908,23.3597456973352,23.7375145967073,24.0513834989761,23.2903649384124,24.3235765729471,22.746648045474,24.1740907240861,23.0277507004627,23.4566588125811,23.0189002441837,23.3277154961005,23.1749609289579,23.3936068624711,24.249220480794,23.3472097210002,23.4204416785447,22.3917493833561,23.2705549525718,22.6723267375604,23.7494882247784,23.1419680492894,23.4947544286421,22.80080696493,23.9496392483217,23.4958347787757,23.6247924828863,23.10010141262,23.3016747166248,22.9208415986729,23.7077090828525,22.6190661995845,23.5252489392992,23.4892247567911,23.225685100006,23.2177711611234,22.8215132747033,24.3341984696144,23.2754704665137,23.683781092935,23.888810668656,23.7645454099965,24.7008838620646,23.1675965009614,23.9586084335975,23.4164331466785,23.1308363599012,22.9794132785174,23.212388898854,23.294498060208,22.3757690562277,23.5787360140003
"Age",16.8120416085127,18.2150439716538,17.3013508236597,16.99679909896,16.8792816160847,16.5858759581053,17.9129377036709,16.4465488819619,16.6979860124831,16.5948401936569,16.9756489625791,16.5377443086811,18.935823631289,17.1010061176311,16.3326726217102,16.7799875730265,15.6713290281211,16.7916559056831,16.0688928879848,16.8755163604913,17.8514770559075,16.6533285279813,16.4922116401833,17.0121514728011,17.6138294126103,17.3954550306779,17.0837956179919,17.4289946894267,16.7919172839753,15.8680188398279,17.1774717296387,16.4727627305614,16.9114706868867,16.314235976493,16.6850208962016,16.9311750930588,16.6221399341387,15.8761954561862,17.4773270819317,17.5944598997838,16.4149170965061,17.234952324841,17.4455795670102,16.566924568881,16.7975960136055,16.8699328378867,16.9236579072211,17.0750664973984,16.3793217614832,17.4118630940313,16.9863280320863,16.7517314669701,19.0319489485293,15.9510498675669,16.107398872097,17.9205764544506,16.9746511470801,17.2191271604354,16.4196643701045,16.3426568983426,17.699617599569,17.2214601974628,17.2655393517977,16.3615316464214,16.8587620454934,16.0548159127589,16.7381482916067,15.1900866537997,16.8943201141925,17.0676467100195,18.8153598482509,17.0399598680665,17.6125668770038,16.5906577909199,16.3919951133046,17.3388437073256,16.7605312631461,16.2630094550775,15.8215571701398,17.5176061156093,17.5027880485901,17.0722300896773,17.5716800789568,16.834072341835,15.8671778051181,16.0658198884506,16.471628285681,18.0104404894346,16.4631629194015,17.1507620106359,16.1333449571244,17.8419991565289,16.1456860069196,17.7775854357263,17.0624997133863,17.2197860509195,17.5534759358561,15.8901280626762,15.8491924224131,16.3994672169576
