"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"MeanPreMvmntSpd*initWO",22.8724872135014,23.8247133671355,23.4964529472242,23.3983356402687,23.419040035138,22.0116179904826,22.523958759006,22.9660576033853,23.0179066599459,23.1924471197112,23.5340803032652,23.2671202424064,22.715059051905,23.5906529309307,21.888013155604,23.3686369290178,23.7560967074987,22.6061307437187,22.1732978435151,22.3955752162714,23.294830621558,22.5499810185206,22.9181776859736,21.463100774853,22.8257442337738,23.1276155012582,22.0604770176673,21.3800486862904,23.3594290896025,22.2036085875709,23.2201010260342,22.9791988673402,24.1642598273867,21.2692688358072,23.2747086997945,22.4730757369355,21.5741208584514,22.9900470908181,23.5219773285014,21.8432870276699,21.8317074756084,23.776865196149,22.1618208901571,24.0770385626923,22.7059663657594,22.9080411973034,23.4268088248412,22.6081011722156,22.3956298145564,22.4732059909747,22.3949555047611,21.8748662988828,24.2574772175192,23.8631734307553,22.8347751763498,23.4988850076445,22.7274771538359,22.0209340495995,22.6240647182441,22.4763091476393,22.6912029703284,23.3894376575273,23.3451863737541,22.5334713682581,23.3824277461723,23.622096714263,22.2310096910476,22.8323817999371,21.9365121322735,24.0532976403301,22.0692924806631,23.8155956682249,24.4817522034425,22.1163496816034,23.9604413616141,22.2462008121972,23.3813316589512,24.3223341055684,23.6861627135535,25.3899528276095,22.9845268364943,22.2516900825863,23.1240055820945,22.4601354661422,23.7169064553337,22.6313081321196,22.8943481539942,23.2022937155986,21.4620936160267,22.8926038062599,23.5458612964356,22.8552686914991,22.8505139143364,22.5703245076106,23.6389577233565,23.7281677240744,22.1771526600552,22.0160895638678,22.3241187548111,23.116452060882
"VarPMTD*initWO",20.0351829002106,18.7635486228039,19.276751847267,20.2603125974905,19.2537496107226,19.4951478645289,18.5813752909885,18.8673959756713,19.4556166561909,19.3691575970775,19.4009919441099,18.7556163267665,19.1159731537851,19.4667764987294,20.0323172896274,19.300136294857,19.1033047546731,20.2757099263489,18.9905115426263,19.6998700958235,18.937775495519,19.3831730218485,19.0141368054288,18.8480881789841,18.6115950495865,19.5022503403547,19.4750139417105,20.1121639235941,19.5066729729511,18.5376404256288,19.4667162509649,19.5952026372247,18.6854425909611,19.3368635800356,18.1548551537019,19.7477176440576,19.6372484138291,19.3970609674045,19.5041129187067,20.1646472956277,19.5481202983596,20.0884727236824,19.8872930578658,19.3161287392243,18.0823411446691,19.4523989228733,19.1336104526762,20.0377516388199,19.1893487524703,18.8249157556638,20.1654463163355,19.0800152780485,20.0185492294519,19.4012209383437,19.0590804282113,17.8389650314318,19.597592294437,19.4682517541729,20.580646136165,17.7861000318397,19.1416130227556,19.8064296807611,18.4251164437896,18.5762201673996,18.6838061554054,19.0985593318823,19.9149003870324,18.9407308699645,19.620205395994,18.9428765853783,18.0595826534918,20.2707473307783,18.9291665612984,19.8824889635506,19.4103094460518,19.1342540067328,19.3965843523747,19.5726085701951,20.4320892776797,19.4237132619181,20.1594351317229,19.5416543778924,19.4922559171141,20.7403119793114,19.4201573972976,19.7864493935833,18.9357875346823,19.3689694742852,19.656714576399,19.3668428941816,17.3849878815206,18.9536458565084,18.7588750275778,18.5469902831164,18.5413578786616,18.8855141008949,19.1381487270617,18.7329789350436,19.2978193617641,19.7128065997897
"VarInitDirErr*initWO",17.0295000458728,17.2823186293687,16.8091995811905,16.6194236589595,16.5402282775656,16.6826914571692,16.3754204395594,16.6104168234715,16.1248614508231,16.8308230314564,16.293364496206,16.0331953929213,16.5292081185782,17.3522524077839,16.6712629586,16.4073512518221,17.5415973292706,16.7238712389098,16.2940514680221,16.6969951477431,16.5489680723326,16.5655591788859,16.4473469100167,17.0144961026397,17.5145596930902,16.9396188065798,17.3190964677552,16.7414288020125,17.7488713746088,16.720779068995,17.2411916653171,16.7407183817042,17.1420078003698,17.1953868254313,17.6121022019069,17.495716567694,16.7230636728489,16.8010437665947,16.4527318699369,17.2811506641052,17.0283525515545,16.7842408413193,16.6604696255778,16.9238496631524,17.1983042887426,16.6859510614131,17.1563200943551,17.3087525475608,16.7715067673251,16.6941810458401,17.0371826358806,16.5635026872365,17.0066906340726,15.4822784972956,16.3526963834588,17.1181083306203,17.5940228423521,16.9902170418501,15.7234211700551,16.3005636278949,15.9242629337896,16.4684183400559,16.9662133841835,16.3672071152805,16.747450474241,16.9609423531895,15.6623339206228,17.4189285353086,17.0732864089559,16.2127121999429,17.5855265559231,17.3527580366147,16.9742899226227,16.9831198196536,16.7184646064001,16.6938587775278,17.3624387705718,16.8143037565104,16.9523925672281,17.8313003270837,17.6590065380866,16.5276972263321,15.7134232984567,16.395718013744,17.4119256992904,18.032520963788,16.1055087481496,16.6156918810019,16.8513035693574,16.2186696753569,17.0311260802169,16.9828067044637,16.9425053627489,16.9662856603027,15.8198280833795,17.0179110573612,17.040123191306,16.4542027515924,16.7506160633364,16.9051572825766
"MaxInitDirErr*initWO",15.8254951985725,15.5861917792226,15.003639586144,16.0245261620556,15.0765329900964,15.7670702560641,15.81470213547,15.1339214492203,15.7394540377586,16.0648454164124,16.5421716639094,16.0969602538164,15.7725355863503,15.6762675079909,14.5963971566953,14.9093823947863,16.0111757528233,15.5289096884302,15.4045093757503,15.4911207674911,15.4577665589971,15.6403089329382,14.7805375382578,15.6003581312377,15.4162029598993,15.1425052532394,15.2340325556332,15.1786351244339,14.9280750917666,15.6162861355967,14.7739725403882,15.7859360381291,15.6090674067129,15.4027143953926,15.4848626478085,16.0802521639905,15.816310621047,14.8887270060343,15.9825995282157,16.4662160466742,15.5686345919789,14.5154226934563,14.934783952478,15.489681138008,15.8320755182447,15.7499970139596,14.5664900955919,15.7453331789148,15.0643651107522,15.0669831740732,14.7580353088303,15.1116576374976,14.9967218733778,15.1918591976254,14.6425577466231,14.8329960810708,14.7413784779996,15.5554331003979,16.2578254653744,15.4051670307477,15.319764085494,16.0541497723915,15.2775305752937,15.9078617824333,15.866005719081,15.6140758962394,15.5840654103528,15.6118216508425,16.0136967326418,15.7910548344312,15.6296224117413,15.1285805078994,14.9399733919823,15.1432301398418,14.6594694477668,15.942532464762,15.1421792548697,14.4958526173562,15.0426174516563,15.4329743480564,15.1560547543081,15.7448199530491,15.2144499671321,14.9043586034768,15.2886127796941,15.6451547364448,15.3437110707592,15.5279827824984,14.9253292907463,15.3128078950862,14.6824671441901,15.3227796454168,15.808963728312,15.5845837388204,15.3946044546515,15.0715565534978,14.8421603963962,14.9850485747794,14.901001350004,15.1708092023019
"same*initWO",14.576955166811,15.0520568786975,14.5838450472412,14.704681573569,14.0716199929463,15.1252028560716,15.9555097885115,14.3541027586343,15.1714885161467,14.7856571239097,14.5746198219015,15.6506039406666,14.1849310999729,15.7046033557052,14.6930658571227,15.3188375227359,15.4757877058581,15.4137708265244,15.1817621741342,13.8476265420431,14.8926919381374,15.4713908985167,15.2162937801872,14.4748199639921,15.254380091943,14.7379887324,14.9102269220655,14.7489064725275,14.9744432075644,15.6674617447685,15.1207610875283,15.2385430054752,14.0717603527631,14.2645083404508,15.5875296086527,14.2531966950998,14.6293230044048,15.2196465834903,15.9233956431304,15.2828607466906,14.5139810084934,14.5159692182937,14.9194156939468,15.1979693921924,15.1922885460459,14.8466598292411,14.933683054232,16.0708183130117,15.083109821781,14.3343954791706,15.0214092166514,14.5592051984488,15.1857482831144,14.6507615341594,15.5809323750756,15.1924685097253,15.0984998277817,14.7308840193801,14.4514658557172,13.833550293044,14.9831613492011,15.5731533425554,14.2287411035684,15.918295739183,15.7124675960133,14.926711712426,15.1374827487139,15.4985451537092,14.7423595721502,14.6212176477045,14.8059313961642,15.2289583475631,14.5854259406044,14.7031501938967,15.0984307662299,15.4281726608674,14.8695829778275,15.4772474542591,14.6237397180167,15.9043109858458,14.5247216908915,15.0697904870116,14.2385869024064,14.6982367813278,15.3358345315658,14.4083874095353,15.2116706204585,15.8229593076619,14.3391910290206,15.1273483200254,14.8127545913383,13.7725096575869,15.06693784996,15.1966649936817,15.2197002182489,14.1146321039839,15.2645023209737,15.5344230033867,14.7941797477221,15.814814045263
"VarSpdRto*initWO",13.5966405272273,13.2711937988133,13.9008092338527,13.629879699688,13.519134620931,12.4479252589214,13.253714494112,13.5379826450894,12.5810974410527,13.6785466184711,14.1728602214492,13.4070704768758,14.413384606516,13.6859478166509,13.0872184302479,12.7803012662256,12.7078442974041,12.8597979932623,13.5563340701062,13.5027180900839,13.1018425205832,13.2506484400059,13.958116045607,13.1819884979244,13.8415807866012,12.7713597880231,13.8019784271101,12.8098810614649,13.4868441483065,13.4783632024947,12.8602125132898,12.9450811914711,12.4095694219749,13.4354034767475,13.1156043925694,13.9766090735214,13.4331729924751,13.3875532807945,13.6226346578746,12.8892832660934,13.2743012041831,13.2006793918014,13.5861204820212,13.4282059345595,13.1750110066669,13.3993624973306,13.1042395987613,13.2098229701743,12.7243778835581,13.9858422225497,14.0627756333011,13.5937970421495,13.5046312392127,13.0085979141339,12.9416385228683,13.9296171625419,13.1672861472028,14.1517073642544,13.3716015500165,13.5608888274471,12.9606687810002,13.113563172597,14.204119169124,13.4080241929163,13.588699296146,13.7022561713365,13.1674060090893,13.3386875259325,13.0718473198,14.2418983459686,13.1251531991054,13.5280935877902,13.456280373609,13.6639798237546,14.6636830513593,13.8520940975391,13.9428274878646,13.1354035457382,14.2783204874052,13.7740872671756,13.2632675162691,13.0269230488788,12.996882000063,13.0360270953158,13.194356292934,13.7182129296227,13.4993279297745,12.6717735101033,14.4930166610198,13.0531315459468,13.5123351843036,13.0345358649186,14.3830682484204,13.5620565372728,14.3364690542018,14.1627435558708,13.3692183101665,13.6199085902411,13.8497924238019,14.453078776625
"MaxInitDirErr*MaxMaxPD",13.318064984357,12.596628005367,11.6195650399668,12.5434869232916,11.1262540797556,11.8051965856698,11.1268559960189,11.6652907044091,12.9994709924482,11.705117261345,11.9201865911646,10.8824422347988,11.2993929899934,11.8332628662456,11.8837180864929,11.4987920566814,11.8511358068903,12.1400072414477,11.9700341061346,13.0269343806229,11.4671467508177,10.3957794778401,12.1389954012132,12.0058935363581,11.6986321583676,11.8384014123457,12.666429331833,11.9462288044817,12.7833639205597,10.8100836602168,11.2461487475963,10.9300655900366,11.7051935473064,11.7302138008891,11.3574671866556,11.7702641363404,11.2514187918633,10.9985412860677,11.8825559585366,12.3674436897436,11.2776337312141,11.0235868253871,11.6232460452439,11.5521618600512,11.0614006204818,11.8020987828198,11.1935748793007,12.0480323184349,12.0050242261099,10.4787776299898,12.0286561615326,12.343509455528,11.2460843824753,11.8644466575757,11.8605655785068,10.7247448310507,10.3246822655825,10.9905299856601,11.9231557872069,11.8302617457726,11.3769858602353,12.3996635636348,12.3572166051292,11.1329958777124,11.9363939392438,12.0721058875148,12.991134525989,11.1179339946101,10.8029940968715,11.5512045077041,10.7305098984505,10.8229811600224,11.2211927617927,12.3861176501913,11.8265235796177,11.472708123565,11.6096408824478,12.8249970874828,11.7095609685416,10.5777193153254,11.2267949922391,10.8608066200326,10.813788104561,11.3914739971735,12.2506121412077,12.1000312789115,11.8975231793722,12.4310487633074,11.632234938606,10.6964195878598,11.9940001572319,11.9602101504618,11.3955725206453,11.6977918502853,11.969125279577,11.8414008443807,12.0553306437163,12.0994826378501,11.9461280888263,11.6051952916688
"MeanMaxPD*MaxInitMvmntRto",13.2743534422528,12.6789598471832,12.1710080360781,12.4491681443065,12.9828967186837,13.4739049306777,12.8771591947183,12.9736350718451,12.9815410661255,13.1826273263218,13.0151408948932,13.1055692861482,13.1612580181701,12.8590553945333,13.1553082846203,13.4486595162276,13.3968583612483,12.9088039171153,12.743379512841,12.9298699693091,13.0477852339112,13.0469326661349,13.499011095765,12.7779230938075,12.4523288151387,13.8158521996473,13.3765552331594,12.4905847299618,13.033458447089,13.0431356353108,12.5447994636981,13.7082935953438,13.3953678848691,12.7668211971309,12.722991562749,12.6426011875414,13.5979528587734,12.6716003654354,12.5140947203878,12.9718179165253,13.1923042333394,13.1956837406733,12.9336594738577,13.4081653189517,13.37138335609,13.5095068540763,13.3291858142594,12.4604198607809,12.8218075768903,13.1826600158926,13.0301584147286,13.1435963485066,13.3250609844285,13.4237335057454,13.9207315734659,13.7639713577346,12.8829675475568,12.9395131968997,13.0524529715484,14.1845578001195,13.052961762964,12.4769612008281,12.3625163952156,12.9428172238259,12.7887827260132,13.1421404803368,12.9999160439786,13.4337701988788,13.3824343060279,13.2911305809691,12.6996386512738,13.060118002343,13.0474476526266,13.0742525862128,12.8512074685354,13.5851073325589,12.2443957661106,12.8654057534351,13.0727679613674,12.966896902331,13.1138766082541,13.6884763635366,13.2773322947096,12.5931067772922,13.2910911925019,14.0039045271962,13.6113249846446,13.5416328234476,13.0477043153487,13.0365198209702,13.9536620690381,13.0935379515141,12.7084218842485,13.9454603876342,13.0265811349762,12.5577558249484,13.8534747127432,13.9145628712227,12.7331774109547,12.9731119528139
"EA*initWO",13.1419439598103,13.1919463677062,12.232743321862,11.7488809706844,13.2915099716049,12.3522708780068,13.3170055181318,13.2187513091361,12.1461564647984,12.7135430583106,12.8943907034976,11.4658451423629,12.7264802716,13.2893198648512,11.8698787926386,11.8568153763172,12.9087251682278,12.1044467088994,13.0560072599279,12.1216443057901,11.231748843197,13.1747267902171,12.5501024879048,13.3269003068322,11.5002503829134,12.1138563578934,12.4350347768865,12.02555344043,11.3347640406788,12.2731797907693,12.5147140440832,12.4953318663184,12.2541418551917,12.4472001986872,11.7648993641883,13.0373958765923,13.1004817361777,11.9815346685381,12.7149486550584,11.7477484583272,13.2985008822039,12.7682004304519,12.667184154985,12.4404034266906,11.843873597852,12.6329592243378,11.3739658999283,12.8788802102096,12.771535327393,12.0113417876114,13.6184662353526,11.1179505660953,12.2633798052864,12.7527152285236,12.8834487837025,12.5120756152966,12.4551895591381,12.5730570930901,11.3532735895699,12.7438895180537,11.0276333406388,10.8060621118456,11.5628635845819,13.1449833382942,12.5781656859316,12.2951511582834,12.4402194693277,10.9619618702862,11.5430347986157,11.3498166968271,12.8595073615543,12.6719892686917,12.9533617688559,12.6660219328407,14.0335962953766,12.0834275068907,13.4337394248896,12.0248109341252,12.6589399446151,12.7834725446021,12.7689172320422,11.6245031072206,12.5586212923629,11.3984097001976,11.5517155191252,13.9242224481598,12.6587034117162,12.4469175735133,12.8614314606573,11.8749141975714,12.5954214981828,12.4279051672971,12.3991283418549,11.7513994411975,14.0321621521351,11.1029893039097,12.119833186276,12.1896099441436,11.8196929149183,12.935837233574
"MeanSpdRto*initWO",12.9051889631323,10.9703293237895,12.5483766670288,11.6823279067388,12.9095356259633,11.1076518109281,12.0729119403218,12.1959083860588,11.7458136017568,11.5950462058735,11.0761826469078,11.7868546925942,11.9938791332068,11.6000136835065,11.3710775749448,11.3351955932619,11.4867232316134,11.5416605169628,12.0127183405238,11.5651398490402,11.7389094282172,11.2507400073003,11.4813719022518,11.7728024682704,11.8673621178812,11.6925781610218,12.0235215256876,11.9864412709909,12.320705053876,12.2244992757408,11.6239396725101,11.9410701203161,12.7026730812873,11.0611301833766,11.1395053241659,11.4963900331993,11.3173527188856,11.3690405273864,12.8300399618276,11.610031996869,11.2709855473331,11.851859205813,10.9704874904721,10.8942292290652,11.0496171094251,10.8251344454323,10.5082079687705,10.7563836790662,11.9675297897665,11.2945684467794,12.0501112803112,11.9424344161644,12.1213903974258,11.5405133431022,11.1357764721314,11.3574999101573,11.3812929098603,12.3511238032703,10.2970022752474,11.7920023021812,11.3803547967005,11.2258358571088,11.9020525749617,11.2178201101861,10.9455492232284,11.2494544408581,12.1246563020771,11.2754376102121,11.5035259408164,11.707460883641,11.4698178544116,11.6108554016201,11.2943986139492,12.0649290241203,11.4313173397125,11.7497434990752,12.3659280970389,11.7093683725441,11.0068201896725,10.9198186276655,11.9281062301881,11.0053715686701,11.1675643801346,11.3286480314218,11.3327821023762,10.7012701929226,11.2884748585109,11.9175047907653,11.2987986221227,12.046011257635,11.2911404145418,11.9608441715137,11.378686397769,11.4761442910945,11.7688163953995,11.3548721025713,12.4948064535983,11.6721702443786,11.6255069620179,11.1860209187703
