"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"MeanPreMvmntSpd:initWO",24.0493687324615,23.8599143697901,23.4670238713663,23.6409086470499,23.042422829389,23.8876177550477,23.5643072977301,24.015142847791,22.7685324801681,23.8179023283993,24.0405856744912,23.6632360003849,23.1785920364337,23.3115562680814,24.0690578701971,23.897700054183,23.9609513825631,23.7961991134566,23.6859345282626,23.0146524273657,23.4496280577743,23.5462654424378,22.9301168463152,23.6199744972771,23.1573845180905,23.27582897293,22.9144464412869,23.4639497531575,23.997922836922,23.6717062358099,23.3992838393403,24.8699153528456,23.2064760638561,23.758084624077,23.9301335344591,23.2494350478798,22.9577910354755,22.984809810929,22.5382747485475,23.9944107470653,22.8535594495242,23.4345943791425,23.3112557860961,24.0782912148231,23.3678222333836,24.1298635013871,24.164924862658,24.0343457610679,23.2532733673696,23.0540485540722,24.1511905997654,23.517291129697,23.3001655331972,24.2774784739946,23.410005802071,23.3105307662693,23.4439942488054,23.1147545273626,22.6027159154412,24.6291358949716,23.8293619923459,23.7860543254249,23.6166867803333,23.8616611205585,23.463987298079,23.370477771574,23.6953071164074,24.2510352407144,23.9719473567531,23.2463647813552,22.5569693201495,23.6585368617831,23.7929300130446,23.516022321846,23.4772646711535,23.0264320471571,23.653738370755,23.7173675642229,23.8323215765968,23.9601215572704,23.4064669073857,23.5703064470491,24.2031520315386,23.1329219149782,23.4786689655942,23.5053383110578,23.5192298128985,24.1633034707669,23.0397709888928,23.8705691284976,23.4572621003771,23.9469543278736,23.2669837322826,24.1018759383695,23.7504328175844,22.6656691243656,23.0300120127067,24.0622837240037,23.840522409648,24.2353839497989
"VarPMTD:initWO",14.8772239544646,14.6977302343242,14.937472910888,14.779271530029,15.479418588128,14.4903331326353,15.2977069865386,15.684191151776,14.7419457024451,14.8431028363246,15.2722234136934,15.2564203533959,14.8848144917585,15.0670773784069,14.9665477300094,15.1135958785452,15.3775091525341,15.086130862775,15.3896284323531,14.8119583781096,14.6204894828822,14.8619799100717,15.0504612303189,14.9254352571279,14.8119314267683,14.8421382093619,14.3913192339602,14.8489882359549,15.0538513460612,14.3280811996954,15.2330527657023,14.8274248182879,15.0767539510628,14.3551080473805,15.3613736149733,15.0941395040436,14.5465482482335,15.3096735465365,14.6941139564838,15.1369144659839,14.7228856500386,14.7307554890929,14.5464941529037,15.8391200435098,14.8298447819567,14.8277040101736,15.3359363490242,15.0658555551467,14.4002542660399,14.8018910894446,14.813668704424,14.7891531421735,15.1305265299515,14.9539457033838,15.855050430548,14.8027350843561,14.567767837759,14.6210404034001,14.9776389972079,14.5606304982015,14.9482907692668,15.0505012324753,15.2405339466771,14.9438874635914,15.0027955303563,14.8719472382198,14.8075103243461,15.2604785474128,14.7626383412627,15.2166397288891,14.8155147575772,14.7184286496087,15.0032765762428,15.1301904650516,14.9365432961534,15.4448561558429,14.4239929113823,14.3783519664649,15.587822343268,14.5317953915196,15.0491440515737,15.0998733086634,14.8712854765509,14.8865882267458,14.5987262477093,15.1386036715148,15.5120893722763,13.9396952925327,15.1461290794352,14.55435256117,14.9109457029643,14.781595989566,15.0546096467391,14.8413563960874,15.3911382242217,15.126496074364,14.8080455754698,14.7198605660929,15.2221643598054,14.8137720360277
"VarMaxPD:initWO",14.5874733038196,15.1227790730599,14.1350535185927,15.438987391408,14.4217608573495,14.4682954539637,14.0988151908526,14.6355042181157,14.7354211581983,13.9632681586087,14.5786693005114,14.6242315154391,14.7946905868174,14.052850782352,14.262934505369,13.8542463248191,14.1243250466788,14.44900042034,14.7100130283981,14.4695208571839,14.3016705916861,14.711161435697,14.0745717562888,14.6430710774016,14.6494140691669,14.7468340279452,15.2703821431918,14.2105318261136,14.5222150842832,14.4046308287758,14.5171447188656,15.1800766888063,14.4619978770895,14.7588289554859,14.1107799050339,13.9161296152279,13.8491841110228,13.5781699538684,14.6942756627521,14.2987293056446,14.2445571968193,14.9389195232549,14.2274692507642,13.7760710978247,14.1521172932042,14.7557527571801,14.8155993838939,15.0129748397626,14.3731577058329,14.2262034006216,14.0293625449602,14.6445189658641,15.0668638848549,15.5748694959178,14.6570637130387,14.7903569471404,14.0932187683385,15.1172336552028,14.241402617796,14.5777658603962,14.3758478407961,13.9600269236429,14.7201583599605,14.723433379646,14.4914633067042,14.553717439166,14.6534867537638,14.5310818381806,14.5175995074212,14.532004087749,14.8005636859615,13.7960359889044,15.0179048355516,14.8774875074613,15.0381198950618,14.9443576899949,13.972687127894,14.6464245721881,14.2516053253963,14.7160237226305,14.6518254753297,14.7232012333273,14.2739443949176,14.2282367507697,15.1057189144188,14.9576761513722,14.3336559797862,15.1117870023134,14.6539009654017,14.7352251528362,14.7741299174122,14.5630406863289,14.3021575324993,14.2954239812546,14.3947157859542,14.9434467087785,15.3145388461041,14.1964181755831,14.7091264437189,14.7932928446141
"MaxInitDirErr:MaxMaxPD",14.3280951760057,13.69012112541,13.3097705466933,13.6950570762102,13.134235336631,14.3271234112322,14.1443531905457,13.4789927389144,13.3216110658606,13.6088976383443,14.2434674540524,13.0749699442287,13.4768720428627,13.5307529264526,13.8746570615183,13.9903950827867,13.2009844574412,13.4939386171016,13.8928611717601,14.0086557432794,13.7996068890027,13.8597388259844,13.6051321474925,13.8373995874001,13.4774269402022,12.853349447743,14.3390946966065,13.7212421726906,13.6686107880008,13.3458915684805,13.7025307537588,14.2577911516561,13.5609142480372,13.6726868949609,13.5723591943858,13.4139750782232,14.150059226006,13.2982194076072,13.5361771621982,12.8250261343911,13.6780562718542,13.599280848277,13.4269463225399,13.6391583277607,13.546808819408,13.4432118129571,13.7449657079966,13.7791735250733,13.550805178875,13.5275827631218,12.818014338604,13.9360180473391,13.5524492472482,13.6051963867317,13.1994587466013,13.4356429884337,14.1347627440396,14.3558924354602,13.9411054891289,13.45299433985,13.4244371094888,14.7407497608038,13.5802683614526,13.683286918655,13.2580519136901,13.7753035099612,13.52401706214,13.1167585019022,13.9686510907577,14.0359220150017,12.6434862189882,13.5447220149055,13.5936514617754,13.082775569975,13.5720406466763,13.3329517393993,13.8639253359407,13.7842746489293,12.717182186249,14.1155271199976,14.200186148017,13.7460442338287,13.8107920160242,14.4758515941132,13.9027467298504,13.5719958292798,14.1572500745928,13.6510523774988,13.9988219577909,13.8297947200375,13.4527998445203,13.8425379914599,13.5462978231625,13.0661567034993,14.3057960326905,13.3353599561239,13.2172132344915,13.7141924532572,13.8240153497265,13.597193913676
"VarInitDirErr:initWO",12.3874064918846,12.3597495648279,12.5551746920677,12.7015717956761,12.2822867566153,12.2416172794149,12.4465774362017,12.3660638677609,12.7340552753869,12.4021415927429,11.9502694646176,12.2092061027093,12.0559690283577,12.3902018163867,12.2075175342131,12.135739861387,12.0405405337357,12.7034506870479,12.8167297099673,12.0476559379185,12.687918670537,12.9950827420589,12.5913189368242,12.4648617755711,12.5540493141276,12.4066144049795,12.5022240618872,12.642107181266,12.6797541435725,12.6415841876204,12.6081824860933,12.4898356524644,11.9505809880383,12.3121760034718,12.180431839115,12.3618073713016,12.6071924299884,12.7483975087434,12.0940527689873,12.6381361881346,12.4987663680277,13.0109798751771,12.2271104883214,12.2680040248404,11.9864929029966,12.2440660297269,12.1715137877687,12.0513605093254,12.0992032629466,11.6072638922565,11.9007197081338,12.3086323677788,12.4805171215681,11.7376824137757,12.4342317099862,12.1831261211929,12.2547554253799,11.8000507735449,12.0723249796852,11.8478129092445,12.5242930272191,12.4030622945558,11.6856796112645,12.210739059072,12.09140017991,11.9408428585918,12.2783128597387,12.4185951835813,12.4541136618502,11.7571788561327,12.6313871570134,12.0331286049227,12.7638637583381,11.6769441499576,12.2234981017165,12.7040574314414,11.9257954605471,11.6791258559933,11.8614652338243,12.29898387753,12.1986264197894,12.4114460199249,12.7658340734301,12.5636122026704,11.6900545616132,12.5254042987129,12.316076484468,12.3347968499994,12.5286748825698,12.0494293672363,11.8555283545924,12.3046247493781,12.0286806280557,12.0018126498922,12.6631953850684,12.1641589306018,12.4924080469375,12.7920066178217,11.9840957227486,12.3011530150321
"MeanMaxPD:MaxInitDirErr",11.8735905026511,12.2206079602959,11.6477124673774,12.2280375767014,12.2370641307641,11.8012544382267,11.6346701349962,11.7922186102102,11.5357463463457,11.9792196465791,12.3814692185204,11.850956797551,12.1210176112997,13.0508976190714,12.5064454794248,11.452732697883,12.3523177689527,11.6479371398102,11.9991275341568,11.8139039884348,11.6304566016461,11.7171796785085,11.8238370245604,11.9745646015286,11.2061422716296,11.4092666998957,11.8276992860889,11.9406957316264,12.594980696842,12.2960980799958,11.8157295572047,12.2318150250556,11.410348454984,11.991079156496,12.2400524820925,12.6740607977345,12.0531174151695,11.7486479060418,11.6839047082684,11.7538183106171,12.1534291927767,12.0140923466243,11.8949044996512,11.7454734974119,12.2014099429299,11.8482156250243,11.8132522823464,12.3551471149242,11.6006571772357,12.2110153493745,11.8967219530849,11.9561634706103,12.7137989129693,11.6693548455862,12.522891774448,11.5096969665076,12.5357484444861,12.3824385037039,12.6055966707661,12.595001224136,11.7365292456701,11.6030415427652,11.2336773594305,12.2885317707445,11.7108317278521,11.9608948885044,11.6152947060957,11.4016246021814,12.1750277288818,11.7685755863433,11.5806751632001,11.625863611744,11.6343925050847,12.1073834031438,12.8838448335119,11.9713206566872,11.6965103194946,12.1284592159495,12.4932141949189,12.2523335973446,12.3010063572929,11.6546644091155,12.6177450530365,12.2970980976317,12.3179578006777,11.5907285840027,12.6274000409515,12.0134279253148,12.5693337394123,12.7386470122651,11.4075379925421,12.3512478912333,12.1634331199342,11.8741881424349,11.9117007037565,11.3670388470955,11.850006846138,12.0832831442991,12.442274835641,12.0299226684483
"MeanMAPR:MaxMaxPD",11.4647639919229,11.5451717999965,11.3457496860215,11.6415238730715,11.6777839869379,11.660549174027,11.6722239565254,11.5291291138315,11.3499245219487,11.693195075207,11.3516160866239,11.6406177609807,11.3748334831925,11.4604495946219,11.7084441128114,11.2165173067558,11.4318213935091,11.6742296973624,10.6816957032154,11.4104184626601,11.3202578749257,11.0917501353378,11.1531585229495,11.7361372320474,10.9723568662328,11.3565237891234,11.4339283642227,11.8729964267706,10.822463998196,10.3563100360041,11.1122857330079,11.8089440559812,11.4580203562479,11.1195863137551,11.0664786470654,10.760024450795,11.9262798681415,11.2811006022382,11.4348838482508,11.2574070547407,11.6179391552117,10.9990049116174,11.4998490639206,10.5866642668607,11.4400461019202,11.5217698420096,10.8122953741865,11.6181003075496,11.6001831269858,11.149093622986,11.0795674861579,11.2681817953277,11.4814133152366,10.9010178616306,10.5806087267486,11.0677172172365,10.9899745502368,11.8582813573542,11.166800348274,10.835148661662,11.7571182355533,11.6690210780791,11.2999149492036,11.7153738038703,11.6653807431012,10.9861639491899,11.858954655021,11.0047924040447,11.551644906149,11.912194915926,11.1173578885898,11.4946096755264,11.7779116031076,11.1535946461851,10.9143997701038,11.8905468947185,11.2790893659117,12.2293490037032,11.743015341033,11.0380846783204,11.1208360758826,11.1844017214819,10.8906213572945,11.1790171054197,11.5469809527076,11.137296208951,11.8037953398296,10.9525683159639,11.3895638539685,10.9855700938776,11.4757724640567,11.1394793819825,11.0368997094236,11.3868139508035,11.3245488170088,11.5438062286209,11.0023780881985,11.3300891010451,11.9190222561315,11.1021762729821
"MeanMaxPD:MeanMAPR",11.8055511657396,11.5537509686517,11.6824158195999,10.9752410398638,12.0827565415578,11.658315774205,11.4356496310334,11.0665242185731,11.0616254207512,10.8725567663208,10.9720804973937,11.1051618679066,11.6397493642426,10.8022452030749,11.3853974930871,10.7437207138859,12.1949962128053,11.4601832306155,10.9327383739019,11.4208870912702,11.6172868042287,11.5507407493995,11.3948888553932,11.4027287834468,10.9034869353082,11.7702633721615,11.1687882006587,11.6248203725322,10.5367232912617,10.8114773517045,11.0258323603341,10.6562365044607,11.5995024605373,11.9334869639738,11.5744668816166,11.7612908999353,11.507393207604,11.1671314606097,11.0034183049073,11.4186579416663,11.3304865919059,11.9817883284577,11.5949711701325,12.1559836368652,10.6785519103683,11.3583701011707,12.1041113121613,11.1956810597983,11.4305234286344,10.6401857680719,11.4404356567351,11.229871075684,12.0060406017218,11.00753401155,11.0509857565287,11.056961377939,11.8852680650616,11.3000387552893,10.8889784851205,11.2893572079218,10.89817064177,11.8142196892378,11.3845672385953,11.5930580522865,10.940793122211,11.5107825479311,11.76880601907,10.6783978350319,11.3767353972315,11.427939806481,11.6426376850176,10.8151346249492,11.7060048507726,11.0069156675766,11.9064082719726,10.6872762039537,11.3935555448306,11.1197637060529,10.959956810204,11.8652025235616,11.2789398352228,10.4202768658461,11.2047129962457,10.9962981024573,10.7993761956751,11.6952054315465,10.760142856912,12.125907038308,11.4601045538893,10.9973593661048,10.3871670507185,11.5079930771064,11.4507155117774,11.7352529053135,10.8263403870131,11.1656349629374,11.0484447188167,11.4999789294506,10.9586091995465,11.1521471374297
"MaxInitDirErr:initWO",11.0345072477708,10.7253898546697,10.3949516708011,10.9114032165893,10.7010656234595,11.0092617203748,10.4223523280607,10.367223258961,10.6123486191113,10.4465552693246,10.2665650772084,10.1991448045679,10.74495436618,10.724595757029,10.3676370696137,10.8914764409872,10.6859970739581,10.8394653172672,10.9170619399155,10.8327563718532,10.7113977233264,10.4802957342149,11.1852287932363,10.0997944580179,11.3862520950729,10.528408253203,10.3997125116636,11.1528320318652,10.4839606633636,10.8813818494904,10.4415023074733,10.4903600614644,10.4277498245603,10.9695998498408,10.96317609109,10.3367938447993,10.4028519719619,10.9510626516628,10.6430727471873,10.6214804408146,10.8678110487517,10.8272572614461,11.0214477877394,10.7673355413829,10.3614025816107,10.9442180956714,10.7589714208043,10.6863833955856,10.8276854683735,10.7366111895844,11.0567644909467,11.2320324437189,10.4919123837523,10.7639096852003,11.1225715987632,10.6135747537557,10.3143017013141,10.6465226285959,10.7168484910318,11.1616982974364,10.9316625353144,10.4980587617812,10.350441363714,10.9826892315862,10.4045523311445,10.9683637769011,10.6924595087038,10.1164482625593,10.6384394178338,10.6029204905167,10.3851348158183,10.6266286306618,10.81974494234,10.5111524823577,10.5096048786718,11.1226758198695,10.6572571926922,10.731783433622,10.8307295154854,10.7942356842032,10.8067801925552,10.7204779955967,10.7559303422667,10.6285907901239,10.0158890839276,10.4538114449425,10.8376939967799,11.0665156183317,10.5012976420242,10.6885905727999,10.4943132859291,10.9363976346852,10.7219332853911,10.3875180372821,10.8094863206854,10.0817953971045,10.9087164864811,10.5325032909064,10.3733453258301,10.9616383960957
"VarInitMvmntRto:initWO",10.2981588371398,10.5325553548023,10.587951599906,10.5165285798198,10.2068951237898,10.2338993401957,10.1922451057108,10.3718000397743,10.658497752316,10.0165608201857,10.3031300648189,10.1417173620764,10.6107841498459,10.7627683899663,10.2041366124165,9.93565631618721,10.2825027035672,9.96309645089113,9.99318079660178,10.1336460103229,10.3956011996618,10.1250254190658,10.4335864767692,10.2921255631735,10.6617230016102,10.3962702253526,10.9540354511094,10.7150445734858,10.606883864829,10.1019173652504,10.7757154749487,10.4374509009567,10.2879599081286,10.5953271554518,10.2627485042095,10.3904464956216,10.0948211851715,10.6662616524596,10.3536727130289,10.2177026768654,10.3197974749555,10.1761801561499,10.7253212258089,10.8872757298547,10.6695590335395,10.0324182105872,10.5451289958192,10.4374710888603,10.4988157342137,10.5761736451982,10.6818980745133,10.7660293836825,10.6644099775166,10.7638686946004,10.6062391516239,10.8766537667713,10.4370330179565,10.3154325844506,10.3069973836186,10.003689120889,10.7029963584978,10.2119981327762,10.1554342298139,10.4858232725069,10.0368602578472,10.8815660531167,10.0586489098563,9.90203948931125,9.50073112665823,10.2857810374541,9.86300489058873,10.2607764377102,10.7562040797628,10.2918544513811,10.4362790458468,10.8373882591926,10.2033342828452,10.2329297072948,10.1574153112455,9.64883492119298,10.8523101222698,10.109104692549,10.5271104732843,10.2050498697466,10.1995611879476,9.87413046222995,10.899838177344,10.0224069848549,10.3844226653548,10.3792427654703,10.6897141376079,10.9538078111549,10.2822247746051,10.6696927052031,10.4411002701431,10.2872602454007,10.7769116662231,9.97877030777276,10.2786192529354,10.9302438418988
