"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"MeanPreMvmntSpd*initWO",21.7092589115801,21.4297208125693,22.4847542961171,21.1464725318135,21.234149138322,21.4882815738452,20.8903062817499,21.1853994206687,21.4494631004596,22.4588271268046,22.1207694599293,21.9996042437664,21.9148365586692,20.8173336311145,21.3972633454407,20.0930681954269,21.2833898438688,21.7517353841378,22.2842108963122,21.165775136532,22.0078226580125,22.5941797425993,22.6343067271613,20.4954767777992,21.2109517229813,21.7428204986489,22.4594016146261,21.5588404874392,21.1481625001219,21.9048436625651,21.6672945811627,21.6687157667752,21.5229798219215,21.1976678885269,22.6553555805959,21.9140764603131,21.6090339552781,23.402862185593,21.8648937277879,21.7278020154508,20.3179315756679,21.5132222897141,21.8516822118595,21.9682765952744,21.9243652937779,21.727060144507,22.0281179162218,22.246321447756,22.8325203832954,22.7930152109353,22.0134051346497,22.3026241362424,22.0170925922574,21.747087303423,22.2792309968097,22.1988705867815,22.534691292084,21.4920062236961,20.8468976184814,22.7767280393427,21.0657625755142,21.9653559168925,21.0354990335278,22.1094723904461,21.5915756369419,22.520336694267,21.4996412593052,22.0563466963289,22.0753077457899,20.9531233389537,21.8628556558325,21.6446063376415,22.2924024086715,21.5970632717626,21.9467083601656,22.2051379036075,21.4616278754918,21.7171869001127,22.5781824733038,21.630948265884,22.415468225334,22.4961701244274,21.467465731259,22.459130227897,21.0698530522094,21.9950582501842,20.5131990144373,22.2504693869721,21.56518232783,22.6328406924227,22.775807021894,22.7850459752439,22.1000448432573,21.5222011003987,22.9115274145818,22.7810169351345,23.4131545380476,22.3161716150201,21.6028273686824,22.7475957666391
"VarPMTD*initWO",19.2342841856294,18.7197662460882,19.1695723538783,18.3192978279097,18.7368717695407,18.9405111849039,18.1843388268113,19.0094309116202,19.1117706925651,18.0933483912022,18.8388786419074,19.7080090906276,19.6489759281629,18.9225618040029,18.6572971695372,18.1989880919426,18.8836521146668,18.6709073124203,18.1722629661968,19.1951881183378,19.3050492277291,18.7883117226868,19.4446424422069,19.2142474034514,19.5535965277467,19.3345734850231,18.7133688130091,19.3265796096782,19.7048320506647,18.3759345847406,18.8261893219313,19.3290654415238,18.0317154478447,18.9580217358239,19.5131392806137,18.7074635737436,18.2745659010214,19.0813969910111,19.4923046692566,18.9878236572961,18.768505019867,18.6058867811302,19.1290431165997,18.1288876316545,18.8296773312912,19.3239524264462,18.3092742941175,19.1814556185387,18.9433682320464,19.0385361390453,19.6384955277611,18.9887243926612,19.2105394293811,19.524866853018,18.2210892540356,19.8920841280475,18.9726515865585,18.7794298143606,18.6218580122937,18.4187074915243,18.7408905915639,18.3389943319304,19.9408636385715,19.11151548811,20.1289966534558,19.4392859711874,18.37186821339,19.8403740254753,19.1343980749492,17.5984034751792,18.4652064857803,18.3815830554406,18.6120493325228,18.8494646368568,18.245239022578,19.1254804049215,18.1553094948698,18.3471776831903,19.8244569758889,18.1659640429732,18.865452472801,19.2875576504807,18.6632292800549,19.5210497944412,19.1714811180107,18.9392842839753,19.3612945140158,17.7993972727981,18.3457391954047,18.6306190186293,19.0118186135796,18.5815298602185,18.7628747375061,18.6179747298471,19.3874167904652,19.1726632198804,18.8434038128916,18.3796957342205,18.1099249710516,18.7027711409036
"subcort*initWO",16.4645753475196,18.644399827631,17.2599171408146,17.9905910125729,16.9688626155563,17.2572931887557,17.4448891405488,17.8822406953371,18.7694089509077,18.0578390604054,18.1280331938294,17.8197937898535,18.3889331818096,17.1401220353438,18.3230240548618,17.7988357973286,18.5529375302613,17.6178428923066,17.7748077608676,16.6580326066867,17.7207921921874,17.7325094082404,17.4097340850408,17.0235943849503,17.2834213611652,18.5572692075311,18.4309414246462,17.2564143665136,17.6670500927944,16.7126610747503,18.8018121407804,17.9078261187739,16.3484143137849,18.0940900722994,17.9550224129753,17.6837181807697,18.4451763373607,16.8766090446307,17.6262180630219,17.2036235847676,17.9997673410755,17.7031542404941,17.3607414155665,16.2482543674508,17.7821788636493,17.0019314171509,17.8533379218119,18.2758507513163,16.9377828269975,17.7496867593233,17.2091079587616,17.5134655608516,17.9324410193062,17.505369403402,17.9509759287423,17.3817770776313,17.244235189669,17.7756566384495,17.7569515133429,16.4606083659064,19.4571581321342,16.9021313056626,17.3905686318473,18.0535674040469,17.9136954586021,17.0593055439064,18.2918710611864,17.674255666061,18.3029587615254,17.6171656483916,18.9405543030651,18.2239528335974,18.153356537133,18.8237090511665,17.9077831188066,17.4742859285114,17.6713962984265,17.7381331087546,18.6004481648527,17.2967731798687,17.6627501355367,17.072105617427,17.1905291449362,17.2573068301615,18.441739887869,18.1571479294358,17.8362701989453,17.6285876126962,17.5679279503822,17.0844036240898,17.6365367810534,17.493871106456,16.979402096992,18.2804381036342,19.5093163194596,17.4531640548806,17.953593683875,17.3044750740585,18.6169652571085,16.9652573488126
"VarInitDirErr*initWO",16.3547334186965,16.8110105021337,16.4134609232381,16.2008696201496,16.1446714708779,16.6651336934498,17.2751587473494,16.5514768223481,16.9980212066288,17.0465632767009,16.4256532919067,16.4980193869498,16.6290603925666,16.422340178492,16.2059039895704,16.8282557807351,15.7674391911789,18.2676172363357,16.9417493636847,17.1294401966392,15.9861571736327,16.8960434127649,16.6552724313121,16.7307590775701,16.7533755235941,17.1204170290516,16.866564575128,16.4295601287775,16.6429033365858,16.2628429151365,16.6075210303673,17.0795757159193,16.697805489018,15.7453677304229,16.6439231836558,17.0061264348544,16.290877717819,17.8947953564455,16.4035882842056,16.558567323272,16.8329823048,16.7894516114287,16.3691714162687,17.3144713768363,16.7982899094443,17.1388781957492,16.439384499189,16.3781981884218,16.7091181116807,17.4843480346314,16.854792483207,16.6217545897999,16.4168700065532,17.6465169417925,16.8340154218455,16.7078573487628,16.5962527138508,16.7273069204915,17.168824845496,16.4860826244951,15.7914140634152,16.8238531216871,17.0594307291045,16.9121169877865,16.591551111172,15.9859456430199,17.2720883375897,16.1274963732324,17.5530089604299,16.8477063500025,17.0089797444518,16.1677304213634,17.2411347185828,16.6693321650518,16.2056741261029,16.867616296632,16.3583162495869,16.9382624767064,17.2264689079944,16.2363820475946,16.613358736702,16.5383719691819,17.0069056362447,16.4109646798371,17.1893094209977,16.8743899122991,16.3362039442765,16.3119114393533,16.8522935389157,16.8417293564145,16.9632331163498,17.4001262116691,16.7153127533394,16.7122683827059,16.3435938739232,16.403617137475,16.8201844710027,17.4788280744667,15.7172677263099,16.8311753206067
"MaxInitDirErr*initWO",15.321643174093,15.2854465966137,15.4047063847171,15.7265082202981,14.6013843891736,15.2751431040781,15.6846283967775,15.6463710064619,15.963562616652,15.2217370220315,14.8956705661598,15.8746392990528,15.7576603205919,16.4734716724929,15.3998579816737,14.9774664957014,15.4625153254368,16.0044247946803,15.8884795503542,14.5123260534565,15.2836025991475,14.6382062711004,15.4034274127336,15.9232646686207,15.6047443156911,16.0283516801167,16.017900326846,14.7174808150647,16.2844376857,15.2344202011598,14.5971107742722,15.0624227166071,16.3537503322426,15.6435673235739,16.1763567534071,15.0581860494981,16.0547402109726,15.4355875232613,15.233100414798,16.2250446092026,15.9432167189525,14.8304831832347,15.6730696475205,15.4047050034672,15.5222049970325,15.3694275687195,15.6818528218351,14.4330123136539,15.9691277374427,14.9149958029217,15.0342121348924,15.8486291767652,15.4008202482668,15.180843867695,15.620155669824,15.4248067800113,15.5276528772227,15.8423075679056,15.6015411540448,15.4152904526116,14.9650968446532,14.4885544643948,15.3645182875855,15.9740940849248,14.9058321616175,15.0953477541331,14.8755035466608,15.8101034375871,16.3177865630745,15.2015742822828,15.9107235602478,14.7051420164867,15.1951522620928,15.7120729338864,15.6443735702733,15.837080893474,16.5278046428666,15.0782377760208,15.5804077897063,15.5317153664114,15.1973961059085,15.3977077514731,15.3621848709078,15.2008474133068,14.8857147219815,16.6643872095362,15.3886728891326,14.9888823024867,15.7412404144334,15.5117570920375,15.486119563948,14.5253461274234,15.7894272695215,16.1653026801662,15.0670678815318,15.0434691260565,15.7813790103731,15.3280933622009,15.9183721377853,15.0872378701083
"MeanMaxPD*MaxInitMvmntRto",13.1874000855569,14.0455681265946,13.3597056101341,13.9073039207081,13.8314359987584,13.647664559914,13.682959092299,14.138658977172,14.1259126841311,14.8696856029178,13.7152321716203,14.0974980319185,14.4659235370472,14.9258383549701,14.6130965108433,14.1998626048158,14.1111577400925,14.2271023077281,14.0491821774682,14.2510400569753,13.7745604674101,13.6881823640498,13.7683420804841,13.4688058906062,13.7439499726472,13.8285711793093,14.2883258142946,13.8714058080072,13.9487233315694,14.7627338104757,14.1582407456936,14.0535526334111,13.8736737655517,14.4272548981042,14.5475196836977,13.8657180783514,13.8952180584573,13.2296844461672,15.1720577509225,13.5611692262113,13.3339337376022,14.1086195919813,14.2201928485051,13.612393050551,13.3993978818389,13.9269095932162,13.6409615415047,13.6269955408858,14.2605515368941,13.6464695827599,13.9335859389341,13.7156617824843,14.4179424690836,14.6369948200123,14.2440034822843,13.760104280314,13.1831639909256,13.1233094532713,14.1248528492495,14.2333408165105,14.4388650236315,15.1042691178685,14.3634268135615,13.6166699017805,14.2499447742147,13.5597757562093,13.5719885130526,13.7426747489174,13.9209949018661,14.5363069498582,14.044727876991,14.0368494563808,14.3385941889103,14.0383874586227,13.9667226820824,15.0067535758047,13.0130033865831,13.6410657190186,14.3766597222929,14.1183686019259,14.2296155145459,12.6494798096266,13.8975823103288,13.0814617186092,13.9602420978898,14.0592277304519,13.5143217086299,14.6274716778398,14.1398411388218,13.6463018774943,14.1300430281214,14.6511423385195,14.1418481197805,13.7154634519429,14.1950080321445,14.1583281840069,14.1394506625351,13.1600478207537,14.596087215885,14.3939886621864
"VarSpdRto*initWO",12.6860457357689,13.5657092943286,13.6423357260988,14.2441390215262,13.938694493208,12.5738769951381,13.8158042530774,13.8925595147125,13.9834908622425,13.7237313220517,12.7012687618282,14.0839712407958,14.4881577530478,13.9234532329367,12.8017656043506,13.2675331132635,14.1353089916642,13.2972395533018,13.0342333568599,13.8667366914449,12.3158883774571,13.3095771392472,13.3691422719357,13.8558601333398,13.5908996113496,13.3893083518308,13.4110657782431,12.3912115122099,14.0357988818918,13.1075530631886,13.8862469166783,13.4760016172852,14.1782396604207,14.3543449712462,12.7711066794817,13.5535099412671,13.5978727999531,12.8651317114275,13.6258517066247,13.7859942230413,14.0289773356369,14.111276336138,14.0186032070483,13.7893314560785,13.3595303593891,13.6150218184896,13.7404696707243,13.1133588137647,13.3821044362974,13.0636579870092,13.4937607327024,13.3674224961718,12.8273523804377,14.0304797619105,14.2654185493336,12.6120434935859,13.8091366031252,13.4189305004293,13.4783271411134,13.3768922737334,13.1599279962472,13.4603251273536,12.1668116116366,14.2385979399148,13.4996607590316,13.9677549158191,13.3287560005338,13.9177627572443,13.6044405272374,12.6930172059432,13.2063076023932,13.616422149362,12.6955722112424,13.7338369428352,13.6620175150286,13.5344152574116,13.7661144843427,13.7189190174162,13.6323764137111,13.5321246847912,12.565441668629,13.6164864383672,13.0521761782981,13.2081430382824,13.6289762816665,13.4021260385461,14.2078799797512,13.2264292618525,14.1673987426491,13.4407603906622,14.1658225704226,13.9856464807351,13.566569797224,13.0798960682188,13.1822559876522,13.3179949306192,13.0821124508993,12.6451025453986,14.1046643531964,12.975056275374
"MeanSpdRto*initWO",11.854208674673,11.7086255899773,11.2745740817052,11.354739552672,11.6725428767982,11.6872555904407,12.0321358229204,12.0115943213342,10.8511715798834,12.351128099301,12.4245550706336,11.6730418007984,12.3216403600885,11.5466576639031,12.0077770031409,10.8002170352858,12.4557324704207,11.7568890269021,11.5169528035055,11.8058459058845,11.5805378432531,12.1055997376774,11.6520058556316,12.2614332289945,12.1989016049394,11.6465065519392,11.9173140910674,11.3284899915087,11.7370890253681,12.020693069113,10.9273787057947,11.7372854623041,11.9329723515637,12.4505412979937,11.0090722997673,12.1412469511847,11.6822671705789,12.8403056794911,11.7619979394333,11.7894222711272,12.8447560417948,11.3670391111008,12.0845056550089,11.5814491901287,11.4109925718993,11.4404075116082,11.7169700470301,11.0657909746623,12.6495594424016,12.0941782897571,11.7041491791079,11.4151660241234,11.5960612732255,11.7917722982464,12.3099456826323,12.0944622364571,11.6352329549129,12.3466415040621,12.1966250819345,11.1149447352027,11.6081027384572,11.5670642482737,12.0136973262354,11.6828970696863,12.2247022993817,10.9992833200868,10.8959740479611,11.8057131500267,11.4613219506752,11.6982901608358,11.6061702492052,11.7579317314293,11.2763200304046,12.5120698856299,12.3182723674568,13.1251758313291,11.8202717228235,11.8186254167876,11.8915772400645,11.5135470922589,11.6559952417709,11.1025321825084,12.7215348731272,11.315239884564,11.3327174330413,11.7472369752661,11.6976642112304,11.6178534894398,11.1719583964447,11.0890889714074,11.3407270005245,11.542104485658,11.6665091908201,11.338153605932,12.3026520841078,12.0780550153239,12.5307147787075,11.8366414576436,12.2938673438135,11.5199690813347
"MaxInitDirErr*MaxMaxPD",11.6060952821325,12.857909853729,12.3833606461356,12.2710097716343,11.3476980154719,11.7158927943345,11.4808971538162,11.789117887275,11.9043988228078,10.8305252970123,11.2879573900025,11.4230438974564,12.04427182546,10.5502881464078,10.7090510799775,11.7730732606887,10.6654280235329,11.5534416031526,11.3033876654867,11.0492252973128,11.7151489749144,11.2584760485794,12.0546796857906,12.1584323595988,11.8712157533725,11.4182026796137,12.9800896149328,11.6480852227856,11.6216443949675,11.1245132935245,12.1185282483674,12.7723761193695,11.8481094618005,12.0682343829747,11.269708769139,11.7056823771819,11.1165756317262,12.2808547390826,10.8530042784992,11.4051867219089,11.7416077175459,11.2224662189986,12.8288047418561,10.6424124616115,10.1926577275134,12.0310468544515,11.2279527513798,11.941114962132,11.0356798281454,12.5075764946311,11.9987858674686,11.9416111894885,12.0565611608321,12.2189675263881,12.0601531347375,11.7964371549211,12.6760010873486,11.9919920468412,12.3008679054248,11.001209925557,11.8684846062127,11.1388408361803,12.2703012227198,11.4948670937367,12.2922200097713,10.6277557983541,12.0468407451709,10.4856079153051,10.7068767596834,12.0353534088272,10.9550403948564,11.6971843211638,11.1012664089347,11.990447956103,12.939002167032,11.9624955867308,11.8629349046428,11.6856034186459,11.6029160871729,12.4861121068734,12.3955945771333,12.7957132625893,12.1802773099489,11.7533290641114,11.5162054264665,11.4796258614741,12.6755077874484,10.6545508784493,10.8400365136305,12.2909791391365,12.019100128898,12.3626872898292,12.0497812640521,12.0684692481588,11.5356078666865,11.2892496647897,11.7402505400869,12.0051208089024,11.4850917570199,11.1811715281774
"VarMaxPD*initWO",11.4119245122168,11.8386107197526,11.9339975951019,10.9658450355505,11.653327352078,11.8451879580936,12.1721652381429,11.3704509551201,11.3296072590218,11.0684482485798,10.8038645570765,10.9756521393265,11.1871275897521,10.8157571878337,11.3041268863676,11.6314905949579,12.0626966498092,11.6005552026207,11.3219823537854,11.3459341199186,11.9393188214033,11.5709586911471,10.9283806582428,11.958911351147,11.6180144491379,12.2850378697428,12.1479464177789,12.033340539696,10.7929565527581,11.4701390365269,11.6700534074345,11.9587442442727,11.6835167184757,11.900709432518,11.2399123337914,11.7223900973408,11.4607010799267,11.7849047981494,10.9252060813722,11.69759080863,11.210851646903,11.3627935122853,10.4630805345642,12.186350056733,11.1368231621383,10.8218065684022,11.6971963655759,11.1729858112696,11.1619935879594,12.0519777723328,12.9109556393988,10.5016999664027,12.0920326852426,11.1795069337536,11.2945254421598,11.1028212777212,12.7663725095853,12.1137279319748,11.570414394483,11.758477485705,11.4916620224978,10.2055593853091,11.5697784747703,12.1250940564465,11.3263336458624,11.4403906674196,11.5385661736806,11.5358856106964,11.2001035915256,12.2966306675999,11.8857416910009,10.9248847958493,11.5485871345815,11.7089264947268,11.6144967382067,12.3871787715428,11.8633826532381,11.0813770817558,11.1691194884767,11.2677741026108,11.5591648761436,11.3338937811614,12.5611025710705,12.2672887256205,10.9673546397064,11.9769155586231,12.0571511933751,11.1072039191806,11.7586299991822,11.4340296869263,10.7082474712561,11.8945072459507,12.1232301759026,11.4062515494161,10.8067725083361,10.5879037541495,10.4553852950644,11.7646498528571,11.9985193886907,11.5605424159033
