"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"MeanReactTime",31,28,33,27,31,32,32,44,33,33,27,34,31,39,27,32,28,29,30,31,30,29,30,31,30,34
"MeanTrialTime",34,41,43,36,40,34,33,38,42,41,43,36,38,33,42,35,41,42,34,43,42,38,38,43,41,35
"MeanInitDirErr",38,31,35,32,41,43,29,35,38,37,35,31,39,41,37,40,35,34,29,40,34,39,36,38,36,32
"MeanPreMvmntSpd",43,42,41,40,44,42,43,40,40,43,42,43,40,43,35,41,43,41,41,42,41,43,41,41,37,42
"MeanMaxSpd",16,17,17,11,14,22,18,41,10,15,18,15,17,20,8,15,14,18,15,15,19,11,16,16,14,17
"MeanHPL",11,13,12,17,15,11,13,10,13,13,14,13,11,15,7,8,13,14,12,11,12,13,12,11,17,12
"MeanInitMvmntRto",19,18,14,14,18,20,14,19,20,20,15,17,14,23,15,20,21,19,22,20,17,16,13,18,18,15
"MeanSpdRto",14,15,16,12,16,7,15,13,16,14,17,16,15,14,19,16,11,15,16,17,18,7,17,14,12,14
"MeanPathLRto",12,12,11,18,13,9,12,9,12,12,12,12,10,16,6,10,15,13,11,12,13,15,10,12,16,11
"MeanNumSpdPks",25,23,25,21,26,26,17,24,26,25,26,23,22,26,20,18,26,26,18,25,16,25,26,25,26,27
"MeanMaxPD",8,9,9,9,7,8,8,6,8,8,7,7,8,7,16,7,9,7,8,9,7,8,7,9,7,8
"MeanPMTD",4,4,3,3,3,3,3,3,4,4,4,3,4,3,36,3,4,3,3,3,3,4,3,4,4,3
"MeanMAPR",28,32,31,42,30,35,39,25,31,29,29,28,26,29,33,28,32,32,33,30,32,33,32,29,28,33
"MaxReactTime",27,29,27,26,27,24,31,28,27,27,28,26,32,27,28,27,25,27,23,27,25,27,28,28,25,26
"MaxTrialTime",46,45,44,43,48,48,44,42,45,45,46,44,45,45,41,44,42,44,49,45,44,44,45,45,46,44
"MaxInitDirErr",32,35,32,39,35,38,37,31,37,34,33,33,36,37,40,29,33,33,35,34,33,35,34,33,39,38
"MaxPreMvmntSpd",45,47,47,45,45,44,45,45,44,46,45,46,44,44,44,46,45,46,46,47,47,46,46,46,47,45
"MaxMaxSpd",35,38,40,29,38,39,38,33,29,35,39,38,33,36,34,38,44,40,37,35,37,37,35,35,35,40
"MaxHPL",17,21,18,16,22,14,22,22,19,18,19,19,19,11,11,19,18,20,19,19,22,20,19,19,21,20
"MaxInitMvmntRto",40,34,30,35,32,37,30,29,32,32,31,32,30,34,25,31,37,31,36,32,31,34,31,32,33,37
"MaxPathLRto",18,20,20,15,21,15,20,20,18,17,20,20,18,10,12,17,17,21,20,18,23,21,18,20,20,18
"MaxNumSpdPks",22,22,22,20,20,25,19,15,25,22,23,22,21,21,21,21,20,22,14,16,15,22,22,21,22,22
"MaxMaxPD",7,8,8,7,8,10,5,7,9,7,8,8,7,6,13,9,7,9,7,8,8,9,8,7,8,7
"MaxPMTD",3,3,4,4,4,4,4,4,3,3,3,4,3,4,38,4,3,4,4,4,4,3,4,3,3,4
"MaxMAPR",37,37,37,47,36,40,41,34,39,39,37,39,29,31,32,39,34,36,44,36,35,40,39,37,31,39
"VarReactTime",21,16,21,25,17,23,23,16,21,21,21,18,23,18,14,23,19,16,24,21,21,18,20,23,13,21
"VarTrialTime",39,40,39,34,34,36,28,37,36,36,38,42,42,35,39,42,40,35,39,41,36,32,42,39,38,31
"VarInitDirErr",10,7,13,22,10,17,9,11,14,11,13,10,12,13,9,13,16,12,9,14,14,14,14,13,19,13
"VarPreMvmntSpd",48,48,48,46,46,46,46,46,47,47,47,48,46,46,47,48,48,48,47,48,48,48,47,47,48,46
"VarMaxSpd",33,39,34,28,33,30,36,36,34,38,34,35,41,38,30,37,38,37,32,38,39,41,43,36,43,36
"VarHPL",23,24,23,23,24,19,24,26,24,23,24,25,24,24,18,24,23,23,26,24,27,26,24,26,24,25
"VarInitMvmntRto",42,43,42,37,39,41,42,39,43,40,40,41,35,40,43,36,39,43,40,37,40,36,37,42,42,41
"VarSpdRto",20,19,19,19,19,13,21,12,17,19,10,21,20,19,24,22,10,17,21,22,20,19,21,17,15,19
"VarPathLRto",24,25,24,24,23,18,25,27,23,24,25,24,25,22,17,25,24,24,25,23,26,24,23,27,23,24
