"","counts_v8","counts_v9","counts_v10","counts_v11","counts_v12","counts_v13"
"MeanReactTime",0.345,0.769230769230769,0.609230769230769,0.74,1,0.99
"MeanTrialTime",0.0025,0,0,0,0,0
"MeanInitDirErr",0.2075,0.0769230769230769,0.145384615384615,0,0,0
"MeanPreMvmntSpd",0.05,0.538461538461538,0.276923076923077,0.15,0,0.01
"MeanMaxSpd",0.5725,0.846153846153846,0.79,0.97,1,1
"MeanHPL",0.1525,0.0769230769230769,0.106923076923077,0,0,0
"MeanInitMvmntRto",0.0625,0,0.0146153846153846,0,0,0
"MeanSpdRto",0.41,0.230769230769231,0.375384615384615,0,0,0
"MeanPathLRto",0.1175,0.0769230769230769,0.0930769230769231,0,0,0
"MeanNumSpdPks",0.1475,0.115384615384615,0.184615384615385,0,0,0
"MeanMaxPD",0.16,0.153846153846154,0.177692307692308,0,0,0
"MeanPMTD",0.2725,0.5,0.505384615384615,0.04,0,0
"MeanMAPR",0.5375,0.846153846153846,0.760769230769231,0.91,1,1
"MaxReactTime",0.265,0.653846153846154,0.555384615384615,0.15,0,0
"MaxTrialTime",0.2825,0.230769230769231,0.338461538461538,0,0,0
"MaxInitDirErr",0.3375,0.153846153846154,0.254615384615385,0,0,0
"MaxPreMvmntSpd",0.1425,0,0.0553846153846154,0,0,0
"MaxMaxSpd",0.085,0.115384615384615,0.145384615384615,0,0,0
"MaxHPL",0.535,0.923076923076923,0.830769230769231,1,1,1
"MaxInitMvmntRto",0.1,0.0384615384615385,0.0453846153846154,0,0,0
"MaxPathLRto",0.4325,0.576923076923077,0.644615384615385,0.39,0,0.64
"MaxNumSpdPks",0.14,0.423076923076923,0.272307692307692,0.12,0,0
"MaxMaxPD",0.15,0.0384615384615385,0.0669230769230769,0,0,0
"MaxPMTD",0.01,0,0.0107692307692308,0,0,0
"MaxMAPR",0.165,0.807692307692308,0.582307692307692,0.39,1,0.46
"VarReactTime",0.04,0,0.0469230769230769,0,0,0
"VarTrialTime",0.08,0,0.0184615384615385,0,0,0
"VarInitDirErr",0.035,0,0,0,0,0
"VarPreMvmntSpd",0.17,0.230769230769231,0.277692307692308,0,0,0
"VarMaxSpd",0.1675,0.0384615384615385,0.08,0,0,0
"VarHPL",0.06,0,0,0,0,0
"VarInitMvmntRto",0.1525,0.192307692307692,0.177692307692308,0.04,0,0
"VarSpdRto",0.45,0.230769230769231,0.318461538461538,0,0,0
"VarPathLRto",0.0475,0,0,0,0,0
"VarNumSpdPks",0.4975,0.769230769230769,0.745384615384615,0.99,1,1
"VarMaxPD",0.2425,0.115384615384615,0.167692307692308,0,0,0
"VarPMTD",0.275,0.0769230769230769,0.177692307692308,0,0,0
"VarMAPR",0.5525,1,0.914615384615385,0.89,1,1
"age",0.54,0.923076923076923,0.796153846153846,0.9,1,1
"height",0.7225,0.961538461538462,0.923076923076923,0.96,1,1
"mass",0.0825,0.0384615384615385,0.07,0,0,0
"monthspost",0.065,0.0769230769230769,0.146153846153846,0,0,0
"sex",0.355,0.807692307692308,0.683076923076923,0.5,1,0.79
"dominant",0.4475,0.5,0.466923076923077,0.07,0,0
"affected",0.805,1,0.992307692307692,1,1,1
"same",0.5975,0.846153846153846,0.756153846153846,0.9,1,1
"sttype",0.59,0.769230769230769,0.693076923076923,0.94,1,1
"cort",0.3,0.0769230769230769,0.166923076923077,0,0,0
"subcort",0.2825,0.384615384615385,0.224615384615385,0.1,0,0
"stem",0.4,0.615384615384615,0.567692307692308,0.68,1,0.99
"EA",0.395,0.884615384615385,0.77,0.53,1,0.83
"init_FM",0.16,0.5,0.275384615384615,0.09,0,0
"initWO",0.975,1,0.998461538461539,1,1,1
"initBB",0.175,0.615384615384615,0.397692307692308,0.13,0,0
