"","V1"
"1",1.35766833333333
"2",3.95916033333334
"3",3.11872200000004
"4",1.01332033333334
"5",2.43217433333332
"6",2.49435266666663
"7",2.15567366666664
"8",2.73360366666665
"9",2.50791000000001
"10",2.38706499999997
"11",7.11318699999991
"12",1.61076199999999
"13",3.193052
"14",1.59937833333333
"15",2.7496213333333
"16",2.83894600000002
"17",2.63722466666664
"18",4.19749666666669
"19",4.24610633333334
"20",3.56521533333332
"21",1.13914133333334
"22",3.65574033333335
"23",3.86116633333336
"24",2.13588066666666
"25",2.30522433333335
"26",3.8554586666667
