"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Mean Max Speed",44.1550682969561,44.795478264719,44.3775527697936,44.2339087220299,44.6560888338307,44.5372379173712,44.1846026398508,44.3853359595239,44.3194457091773,44.2297304124103,44.0777507834809,44.6077665045326,44.3938150068284,44.2411959790578,44.2856212238792,44.3569316377828,44.215536282914,44.0719582348568,44.8933559295542,44.6015637259523,44.0766983226657,44.4918123751935,43.6484779322042,43.9020998391257,44.3222719458693,44.6866147603859,44.4758535088998,44.3800247914025,44.6908881362531,44.5430186725953,44.4052202881958,44.1594684402028,44.0293697793364,44.3268609226787,44.1669416176616,44.4235835905826,43.9916483090556,43.9527213521456,44.5045530502115,44.3073436276329,44.7570687285337,44.4423286247964,44.8542048016434,44.4751377921413,44.6777381586563,44.1462643089994,44.4156967394502,44.5333466327953,44.2230306347988,44.2776056874833,44.3305917354746,44.1185286043248,44.4497241482039,43.6075790236574,43.9297522344436,44.0595445465587,44.0407057800681,44.5676882083892,44.577232709912,43.8970719844036,43.8921852182304,44.2716539154077,44.1555759005977,44.3691992193975,44.3306429865607,44.3846007808795,44.6601179490835,44.175532608492,44.7113129338944,44.2314021217218,44.5658190001353,44.3309168663664,44.5439348688032,44.6552491008158,43.9587355197431,44.2074622364871,44.5914460977562,44.7258787155982,44.5289884035885,44.4614946975807,44.5633492868215,44.1676634793844,44.7165828374985,44.9780062132473,43.8440881941405,44.2419271475905,44.8493969864837,44.4430139709033,44.5636253828549,44.4187118723795,44.1709327705525,44.7649108148089,44.8442657866108,44.3541001141185,44.0958438490361,44.2133932775987,44.0089825719975,44.9049346836693,44.4162506584525,44.2847583386641
"Months Post-Stroke",35.2667282819546,34.9410778158625,34.8957057218547,34.870205792692,35.6042485039458,35.6530273404837,36.296743939243,35.6594261908088,35.3330898405347,35.9863059319168,36.1566349156689,35.4985154437536,35.4717124576574,35.6306460386367,36.0058756541603,35.8132853233258,35.4630760064255,35.6201113843251,36.0581066974811,35.2825171580486,35.3721702816326,35.8196014447204,35.8517272250107,35.4830710068239,35.8064218934051,35.69528142554,35.8357376829725,34.8054115131172,35.6536456823554,35.5354132263084,35.3110935030901,35.6919824146345,34.9708474603176,36.1554618338334,35.4202959958485,35.5550735596634,35.9975039585399,35.3986831452839,36.4285360948305,35.7010701426428,35.3165423514532,36.2593207894378,36.0129469728702,35.7836236263435,36.0535434741631,35.7483241700525,35.31196836246,36.0796867399585,35.8958891631199,35.1090886027613,36.0170256158687,35.9714180675907,36.0386302467362,35.9085839986907,35.7971234549638,35.3543374240472,35.6726185126595,35.5000075264547,35.8089148145967,35.6668642412966,36.0234858197188,35.9276876897554,35.3673449718232,35.4829357993076,35.6990363565106,35.1364283235224,35.4172284062853,35.1528956110387,35.42255603126,35.3245414231689,35.8818545934204,36.1890060207298,35.168739530938,35.6789825330644,35.6466207746521,35.6554377995398,34.6935134388958,35.4822012098221,35.522210514305,35.1647264737633,35.8279662228812,35.7286792523107,35.2394401886983,35.2587242290437,35.8340747218679,35.2006027022663,35.031816210936,35.4699662861515,35.4542951002184,35.9295736428302,35.5951075754884,35.4601014614461,35.6264478208047,36.2038064760713,35.743521618261,35.8728783743095,36.7380714084525,35.9843899012352,35.5631024653625,35.6885312972022
"Age",27.4793136357294,27.1580974503069,27.3319619312647,27.2273354057645,26.9164175685324,27.6346634818726,26.9496507001599,26.9879452500268,27.1203886717839,26.9329103505393,26.9769258008718,27.3280810927719,27.2195229661496,27.552378979257,27.0582592958878,27.190088982778,26.9202175129656,27.0158785403335,26.9306285880246,27.4328287740093,27.8652725421721,26.9731195121827,27.2874473379452,26.9132864303888,26.7211341549757,27.0863946787232,27.1170735937844,27.1230330248664,27.3784667379031,27.3729986008713,27.1329316967192,27.5537986647148,26.8203085330383,27.1608808500209,27.2282277368856,26.6801023215834,26.7382992736791,26.6340863233271,27.0235253380414,27.5652072423278,26.6424032475047,27.142722867573,27.2207345407715,26.9297723558977,26.9244756719375,27.2320987699897,27.067277260798,26.8220498765151,27.0262097713456,26.9225568889517,27.2853526423983,27.1709177478796,27.0916417002709,26.8758430312341,27.2261719988194,26.7719755648907,26.6882849470163,27.1255088662014,27.1071639324954,27.0659670621236,27.5204635897789,26.5420271154245,27.1553495080726,26.8163278203191,27.2820870835555,27.3503448440028,26.963327334264,26.7062367769076,27.2419293291369,27.324580349306,27.2773363648836,27.0138713289842,27.1182225225631,27.1871099511531,27.0807279249922,26.9770192316701,27.5764074679771,25.9904138346601,27.2801534465116,26.9368115134392,27.6081921336609,26.9939075371048,26.8403744471485,26.5591992890003,27.3073565173469,27.4337451128558,26.8762509976974,26.9330039352386,26.5311592091412,27.1129876818387,27.4258864802188,27.1517034597346,26.8314838718898,27.3373331641261,27.1109825188912,26.7656636131974,26.915041120984,27.4320146114389,26.4696394004842,27.2392633112446
"Mean Hand Path Length",23.9044866528803,23.9510457350454,24.4195292199858,23.6778157149241,23.9077577688215,23.827278282755,24.2715218225489,24.0514417785285,23.7566597513553,24.0637976835416,23.5161624684693,24.3395138642775,23.9204221483615,24.076695367518,23.7330475709262,23.8491695347303,23.0861351902642,23.5784054953681,24.1395822282245,24.9497110200698,23.3012680105112,23.9729353079443,23.6338414204062,24.191629768883,24.2915193677283,23.9310208911196,23.4822947948968,24.4421071071309,23.5633649966248,23.5851545899017,23.9814341776161,23.8609818928818,23.3128801944419,24.3363762362827,24.394904980302,24.140113610987,23.6034024872116,24.6690785369187,24.2853097711163,23.9327093570225,24.0452836512709,24.4576255931133,24.0543819095791,24.2107147560139,24.1252608589285,24.0485134870194,23.9468069990729,23.8185838455111,24.0963722487533,24.4394969708963,24.3779843086997,23.7508351091892,24.1822755146206,23.5012111344464,23.7004137937679,23.7353405693979,23.6016709563818,23.864091566306,23.5611549440261,24.1571549469847,24.1806597013979,23.9055145486384,24.2429682141364,24.1280232082685,23.6522437637119,24.1974430757805,24.1204217593176,24.1611234430223,24.3908574878266,23.9787992442768,23.896707283232,23.6481125507618,23.7584463865293,24.1824059370473,23.2144204932045,23.7857598194813,24.5909742899875,23.8803972745266,24.3469443430165,23.7802240993338,23.594665346177,23.6204893452047,24.4497435846663,23.8744970176649,23.8038934347829,23.9066020551646,23.6023462478444,23.9566071158759,23.6259133072691,23.9785467010219,24.180944994989,24.7036366308628,23.8674225928385,24.2331217637082,23.5440008725574,23.8310244608102,23.6810242585249,23.6592217935534,24.3615433283339,24.4077996099741
"Mean Path Length Ratio",23.6445545902286,23.5264294037019,24.031353614213,24.0098578260977,24.1420958088516,23.8023720597474,23.2893630921949,23.4097193662947,24.740685019258,23.8234445023206,24.3826614598639,24.3475480781097,24.0421868845732,24.0329632363962,23.9639091409147,23.9003791576263,23.7898864531017,24.399663014517,24.1413166389666,24.1138678253845,24.1503724942627,23.9404987799207,23.7904977348628,23.5710149653946,23.7987969743785,23.8906815484424,24.5452673860927,24.2952996730876,23.6971112379997,23.6254036185064,24.159218224223,24.2594349403477,24.0763890891802,24.0454675039905,23.5511130158522,24.3548301116811,23.7167845296617,24.6544419245819,23.859016494303,24.0375990929897,23.9067792012163,24.1150987294112,23.2355267942175,23.9320763551445,24.518964508528,23.9816148092016,24.0859327533473,23.6797798154785,24.1655966697163,23.9777769547121,24.0921628040947,23.6955389683927,23.4502669788842,23.9090496111212,23.4972912610523,24.1297017989202,24.1215788931785,23.375257255465,23.6779135186383,23.778723038895,24.5519181064967,24.1950202236354,24.4212591278632,24.084298222851,23.8717302729114,24.0342572486874,24.1993099257948,24.1570834920658,23.6618827515566,24.2392037599658,23.8542329249785,24.1092021128426,23.7139337819057,24.0087457934759,23.9655219028647,23.4478892334993,23.8923180072895,23.9865368178762,23.3651435694454,24.1620561286917,23.8745243335395,24.0582112505724,23.8665396716225,23.9134067015205,23.7858021843675,24.097171522522,23.9798049610211,23.6422543091582,24.1534353056715,23.925911505739,23.3069667981831,23.9867629473906,23.3324921044855,23.8611433567489,24.2322765811568,23.9702455711906,24.4898004371453,23.9086834793069,23.4589193910911,23.5337811656523
"Max Max Speed",23.9984234864377,23.7990904975642,23.8822441962168,23.6713884554537,24.2549403871443,23.788537722339,23.6369847726666,24.2938483484842,24.3375379435188,23.7891678694163,23.6851045006043,23.8716442723484,23.886688268196,23.9108023219764,24.2073691369135,24.1020997133938,24.1541802972041,24.2737642594436,23.8795865951806,23.9352550528513,23.2688635004746,24.1305199439803,24.1400431443891,24.2607275548255,23.5515973171165,23.4222453253733,24.0548576607181,23.8506054104368,24.0112582233417,23.2656742088887,23.6005037071227,23.3817956429907,23.9502388294124,23.8093806150667,24.3562451428279,23.7459670800738,23.5853507087707,23.3992729925853,23.1301362557035,24.1571025359923,23.958030419792,24.0922174515485,23.9150923917023,23.3772762684585,24.445331430141,24.0998742029489,23.7211641251037,23.6194148549559,23.6657756538183,23.8355837489239,24.188659737838,24.0415385587565,23.7735872721018,23.7683873223689,24.0720030998464,23.66121988502,23.749313623731,24.1891064223003,24.1155522743629,24.0040644652957,23.8689585674146,23.7967711038184,23.8367639884249,23.6373708582599,23.6874256373494,24.0565086563393,23.4674247681506,23.7383527487486,23.7346010718597,24.0171307401848,23.828000609624,24.1715329342022,23.7539414664238,24.032277567117,23.8632162776189,24.119726949424,24.1729877217763,23.9363972196718,23.8461885702361,23.964460553877,23.698662246496,23.4738271408984,23.2990701906409,23.8427816008815,23.991801132869,24.2085090461108,23.5949732854921,23.8589128635623,23.8210351914217,23.3908821900194,23.8259477086676,23.6982425499441,24.050220647611,23.7576943408334,23.7628708427462,23.9057006596099,23.5721655921954,24.1481483701416,23.7784414850654,23.9395972401468
"Var Speed Ratio",21.7637145982553,22.1969563884577,21.7030407947452,21.8898601411934,21.2254086920674,22.0152846946615,21.6783130093534,21.6886596900737,21.6088519222208,21.8471251673813,21.3996091873306,21.5085162620185,21.5355162766238,21.2852563704866,21.7273538783855,21.9359712719175,21.6325969704529,21.4291618908501,21.2468491202427,21.709406133055,22.2355835587981,21.4756173936589,21.8664622552817,21.7411896561267,21.4939420848653,21.3929397175277,21.3138112545253,22.1528707339108,21.9677720359246,21.7163401411951,21.6444286681915,21.3153496971292,21.9568651081927,21.2242690643328,21.6930811168773,21.5867805788936,21.7482780951678,21.6715683431856,21.7375082777191,21.6135269838132,21.6602546454479,21.8104491851873,21.8621557836582,21.8974449667054,21.5847853755393,21.4084317125745,21.7000406928349,21.5782254307528,21.781866272433,21.6493999370608,21.2880142458905,21.9185390311131,21.3879153391354,21.3607923679239,21.6414922429039,21.31017943145,21.5862924653548,21.595564989461,21.5603036791191,21.5505140632904,21.3499328631123,21.7692224542606,21.5013731848457,22.0644748948473,21.9486930369188,21.4118967587837,21.6149210470642,21.8940978475619,21.3949229651917,21.5242663078734,21.4029878996541,21.7935225527815,21.1677050597956,21.4031071725858,21.5304940848158,21.4898677615266,21.6462930823392,21.3597801313305,21.5051145621347,21.7008242755976,21.9360094586104,22.1679826914677,21.648604507951,21.7527018557113,21.5730381530062,21.6340118373617,21.9714011866556,21.8694153280331,21.210314471991,21.4890343171718,21.3845224027021,22.3179422441256,21.7262023450331,21.4972416161,21.6673591600797,21.5660512899478,21.7305520251464,21.5615979768321,21.8504063245714,21.9164882669838
"Var Mean Arrest Period Ratio",20.0670070459496,19.9750464313829,19.8673661786545,20.2004259615691,19.9106474246281,19.9272091347048,19.9985882631963,19.8772532926565,19.8606573630752,19.8295534101121,19.9246583617761,19.9366668721192,19.909039156721,19.9987276552789,19.8430873829066,19.9659755175356,20.0648720510251,19.751386007721,19.9486604921046,19.8338403738802,20.05111794434,19.9435092371134,19.9294118351207,20.0281063059783,19.8113174878348,19.8167764865832,20.0243244818796,20.1744975007145,20.0705352307085,19.7240877951352,19.7815889681911,19.9095309361382,20.4151742053036,19.4992023061305,19.6710339881561,19.8769717244266,20.1212631242079,19.9045786836401,20.0148099274101,19.8541950138694,19.893337035547,19.85808436679,20.0294152323021,19.6309755387823,19.7884337340941,19.6870436512872,19.9825723721742,19.9018034417757,20.134140246291,19.8267716611365,19.7469447251547,19.9334300144775,20.1988887314578,19.8413763015851,19.9851206390695,19.9317926378576,19.9063156712347,20.0729489076508,19.8887149589353,20.278571259555,20.0914294636444,19.9731816215878,20.0302044973006,19.9876148926771,20.0102056485498,19.7875782110831,19.7977465158613,19.9784209850574,19.8047583505792,20.0204697629642,19.8901359580874,19.7159939816537,20.0281084565373,19.7602710307116,20.0532225477418,19.6501581217308,20.1035463063228,19.7937457730951,19.8505384659121,20.1008775336704,19.7032564736665,19.6279587580631,20.2426764172268,19.6242114107574,20.0885479709944,19.820676567946,20.0105002612375,19.82285868984,19.8240951231124,20.1626331436223,20.1949092211259,19.9500903093086,19.9960365311986,19.7061190162966,19.9900776919265,19.8987912718499,19.9585513886541,19.9033181504621,20.0652179942475,19.9292264268748
"Mean Percent of Movement in the Target Direction",18.0603492097401,17.5954798853923,18.4718243915936,18.4949738716987,18.0015593218427,17.7414422068311,17.6439826878251,17.9143152896192,18.024990435555,17.9018561396151,17.9507824527922,18.5909472850372,18.2610837120741,18.0381627735,18.0693980719401,18.1635055542511,18.0608787501607,17.9922106271194,18.0976462109101,18.3610673170415,17.5415236625589,17.6863119964551,17.5526206582036,18.4013625626308,17.8403162928607,18.9002316745046,17.5509999795276,18.0305975159061,17.9474185275717,17.4498305400402,18.0462372304144,17.9745106473668,17.9021909268869,17.995695291675,17.8284872525817,18.3038798596271,18.0849925974775,18.6764059129817,17.8540761162974,18.2137434136964,17.8295667127073,17.7799569650803,17.8279872896173,18.0157198095452,18.4759611113807,17.6819300273604,18.4106150648245,18.218344199499,18.2677690561285,18.3955946876011,17.4953914746284,18.2709003677415,17.8744645976418,18.2106044617481,18.1287065437087,17.6998907748338,18.008647912665,18.1360875491688,18.0700320652327,18.1486888804758,17.6699606592223,17.9151177875625,17.623225695318,17.9318535370682,18.1549436186092,18.1067353658217,17.7514547685118,17.9995678427187,18.2698291061555,18.2345169580343,18.0376258276568,18.6009456959982,18.2773597859158,18.3942963780835,18.277364400265,18.136415099873,18.2307725329431,18.3457693711277,18.3016237960317,18.1358633944089,18.4507788794437,18.0266760485113,18.1741827106172,18.4847932416472,18.0234729228919,17.9141712256617,17.9562384553174,17.8084855492588,18.2162540624944,17.8503030648206,18.1089344587614,18.0218530475848,18.022852795025,17.7776668691024,18.3433559211896,17.9022508004126,18.0571053916466,18.1419930443122,18.2740195694879,18.0873413940959
"Var Max Speed",17.9279365749813,17.7149968537152,18.116692252824,17.3345037460238,17.7074060597291,18.1864708630811,17.8025818089023,17.7457499790341,17.9031505481545,17.8750663404087,18.3223899289164,17.3150024630275,17.8985949808017,17.359650307858,18.3191176509367,17.7011841383744,17.9249875826501,17.9435703770098,17.5360660162554,17.9968725271031,17.9021704038777,18.35727904698,17.9853553903378,18.2655204597928,17.9062424718031,17.6898575424495,17.8915371863274,17.6590263436078,18.1033437003598,17.517037439346,18.003315049835,17.8400068218438,17.7716176055102,18.3493880387967,18.3249020663377,17.8690033246176,17.2907654679514,17.7693179735218,17.8115568103017,18.1575743169756,17.9188725648902,17.9870289493531,18.1401825590187,17.5969335890768,17.9076546946984,17.5360186282248,17.7515655328132,18.0707528601234,18.05382942523,17.4463528001768,18.0811053098256,17.9465258168738,17.6020292075257,17.4152875599263,17.7704305939591,18.0252548051631,17.4638456324735,18.0559628509635,17.9132713282328,17.8856242535305,17.7280663884355,17.8630528426303,17.5836605782171,17.4551108893736,17.8616977540143,18.253509233661,17.8304302163188,17.7048714473388,17.5256306478911,17.6271425648314,17.7421889266967,17.7186589336309,17.6563655505109,17.680522164221,18.2574075919319,18.0315479329046,17.711518990614,17.9991084006526,17.8332864385415,18.1726715582906,18.0981443562848,18.1212449629278,17.8872826333439,18.1001092501101,17.841555976855,17.675764406369,17.9074736351956,17.8102197811551,18.1777692479018,17.7407369389823,17.9755586991243,17.8722142072545,17.6025429293155,17.7662331490932,18.0477234436126,17.8461069441102,17.9819874423601,17.8458727293702,17.3723331090932,18.1205470783424
