"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"MeanMaxSpd:height",9.21264720662313,8.99997752655856,9.18111341511803,9.03627769524586,9.3506510647026,9.0703554500151,9.14862540478345,8.90855205115656,9.15771610574595,9.10391275748743,9.10392462714312,9.11046420721496,9.05282950149661,9.38550233819991,9.05236282909981,9.22216006274072,9.09801237490105,9.01506050838339,9.17135457203448,9.14343019885141,9.21084414602663,9.21115125893145,9.20551939228642,9.12337228121693,9.24542962673096,8.87388917038847,9.07652439801003,9.11249810204281,8.99534735034893,9.07266608449326,9.20584435101477,9.16023246427664,9.04206682244563,9.00979391463671,9.18882066842737,8.98621005251553,8.9747892136976,9.13166394228148,9.04207324541452,8.87768676311153,9.08422655309658,9.10288692312159,9.08243382865026,9.10087622531516,9.15948823971112,8.94714184224823,9.21056221885791,9.1350200111211,8.86447578027218,9.18131232692816,8.97155610504543,9.15822939731141,9.08654483577912,9.08698504269764,9.01465629709737,9.04373428384531,8.9787280959955,9.07370659814658,9.13527381744453,8.88667686784561,9.25951121621093,9.08901052823432,9.15097446239252,9.31599723380974,8.91607229160506,9.13186822027153,9.10849762766316,9.10623833714527,9.02772756027533,9.27485733105295,9.1632712496198,9.15348829782117,9.08767548610359,8.96089051110737,9.27914818614564,9.07955474108377,9.4243090288876,9.14541626165588,9.19207319313949,8.84069680501187,8.87236791615583,9.12832604355038,8.92720489063043,9.1752033187219,9.03699139651904,9.10260580562809,9.10300451988754,9.09887568648158,9.0378730031731,9.08411750922757,8.89666774848194,9.21531980839396,8.87397779536807,9.00322871520592,9.13418836313209,9.02338049941269,9.01967382313742,9.19671920066768,9.27385074801269,9.44738154807617
"dominant:stem",8.94239846708256,8.80121757476022,8.61256248740592,8.79141988655383,8.71911237065019,8.88771112884245,8.52866605197006,8.76711275336845,8.81703502187689,8.89569607106807,8.85361963170204,8.78388324873981,8.56209204318439,9.03127854897131,8.81397072723173,9.01526683093767,8.93967259313387,8.78019704887175,8.87229142342953,8.72952877476872,8.60519877617694,8.67349639677652,8.74088604202749,8.55590950891695,8.61151214788548,8.62648967318844,8.88364699917799,8.91746540507734,8.59900397717696,8.60637076123833,8.83230204440935,8.96480066756351,8.84148045352287,8.86554262095686,8.84339310773994,8.720044656649,8.81490784616696,8.85390747943097,8.62056251531381,8.85412517692267,8.9034778448049,8.52217953660064,8.87461562489107,8.79520108221475,8.62029746474712,8.90216394270212,8.8254452258156,8.71030244205955,8.83644126685269,8.75953183393113,8.85495062319528,8.835416759322,9.00421499372871,8.79411874594164,8.88440402873189,8.60720574578324,8.72173719904819,8.85541218181355,8.75482577531498,8.73171938485198,8.88048678642433,8.59104348331407,8.62117114784444,8.79051660304448,8.85103812881846,8.64246898105181,8.6183619553104,8.60850949480696,8.81071201257389,8.66827869568524,8.63640585047821,8.71361089352824,8.78221301848192,8.87238134581363,8.58766035769334,8.7046243396314,8.58917730159794,8.67824670412676,8.64669550677858,8.80359829566921,8.7305126177639,8.48393626731758,8.69592252281136,8.67398290747466,8.68233888128885,8.81878169593367,8.82917841144644,8.80048597670629,8.79109076257358,8.8028715615782,8.82629199009992,8.83512043036935,8.70988635395872,8.64588016923843,8.70565197303827,8.6268551033721,8.78453763599658,8.86024428314549,8.6901051713022,8.55801456971639
"same:stem",7.08561019639884,7.24977111115508,7.38091008739272,6.92726685975811,7.40039333366574,7.08840845498003,7.13844223645635,6.97984249530001,7.37690923188941,7.23366129475841,7.11081180138135,7.10476123508435,7.22637191971836,7.22511791979997,6.94521344470844,6.96581505076756,7.25122051095449,7.18198827014061,7.19965407868769,7.10962109639352,7.37435289359529,7.25384948681529,7.23816891197545,7.16159095904155,7.06771015026341,7.1162542788492,7.27724676522954,7.30284703871374,7.02304552151288,7.21701543460765,7.15492366414904,7.09320371322976,7.17776226036389,7.13009698944393,7.10606613210618,7.05705828319368,7.28819440181693,7.28281598205828,7.37765155906943,6.9962720133642,7.25087772553916,7.32365298542574,7.01808075225319,7.24264904223757,7.13735098629269,7.20914127370971,7.25527036420423,7.15404557270732,7.14250022368093,7.21958483400202,7.00128424372075,7.18982360048108,7.0232295714996,7.27622863483226,7.15065996403348,7.14207087084828,7.36805822611476,7.07064471130586,7.14199962539943,7.27622831782541,7.14928701964432,7.27549174592649,7.29517350806651,7.08595199876982,7.34184157622029,7.09771177447028,7.17905030649385,7.16956398500507,7.22725815347878,7.3090899690363,7.17138736733307,7.38712227081961,7.34538613379147,7.18550508492012,7.06615460350423,7.13182235957073,7.31835089314513,7.3123063648586,7.19141344909822,7.15346731452736,7.00739108707605,7.38033337939928,7.07980566975626,7.23633046949301,7.02972737596658,7.01347321365306,7.03746727437416,7.42661513017232,7.03475146808286,7.44927031655987,7.23102468318777,7.32772769249864,7.31426883414417,7.25553632705969,7.46216455515411,7.23713365525701,7.07596002880186,7.12926807290649,7.09014205861233,7.29659816062474
"MeanTrialTime:MeanPMTD",5.65788880499841,6.01918706799717,6.15359008852904,5.76592595112537,5.74147740334983,5.75666702357909,5.86271536059817,6.07560305140944,6.04073217660182,6.08342016935661,5.95946101883115,5.9936681098498,5.94480117741442,6.10009453172377,5.72274700091563,5.95950272800413,6.00401304613784,5.91809819907177,6.06055582120003,5.9995787866542,6.05491057413406,6.03387407898101,6.17820004283374,5.792403981903,5.68238146368833,6.02789705808506,5.94851505445629,6.11904121262375,6.27631585002548,5.89134295741631,5.86836168545073,5.99069368761279,5.9300342857749,6.19119481604057,5.85059479448527,5.84190415684196,5.69801300192153,5.86773816657469,6.16009728415237,5.9748422683198,5.9690408076991,6.06988529919647,6.06296500417354,5.72882421055704,6.06527934617706,5.82674675387172,5.70780801649344,6.08605260932069,5.96326481482156,5.95583142611113,6.18884303576726,5.68646563924748,5.91019321076966,5.89713957662825,6.04557694902103,6.18495360607066,5.66080894958221,6.02512358840103,5.91901149592988,5.95564970186183,5.80017355501005,5.97566140062755,5.87109021104972,6.06479330264954,5.82423192923146,6.07475370396379,6.06903309446862,6.2673472570697,5.85914399512498,5.95856684871457,5.63765965505692,5.75558903250366,5.75419069855131,5.92407898036447,5.983114800367,5.68195950735705,6.02695757853583,6.20651773331729,6.10843876708012,5.93386893792133,6.11568361771625,5.99491106361748,5.75478796529952,6.10938192401574,5.84091269676829,6.11571520827569,5.99816780142527,5.79336358013554,6.37824306455097,6.0764382832191,5.78630849480405,6.05332654527735,6.16953153627685,5.88134337323456,6.09246997027219,6.02051350653543,5.84758476281787,6.20453440833993,5.99766354833642,5.89719575458948
"VarSpdRto:initBB",5.51558577919213,5.58909923079549,5.65616875813336,5.60091503668562,5.39619457704321,5.72966746561106,5.52694481737196,5.53315632011558,5.7371874011778,5.59272292923493,5.59386634333016,5.31221621794748,5.647532041194,5.49223619677939,5.90031239533701,5.6273474899165,5.51971722084454,5.47394100796907,5.40955355582551,5.50812214651307,5.70955460091901,5.4838474727266,5.57368290064887,5.78983637653722,5.4402009591407,5.74430405268819,5.7103003075602,5.61914699773203,5.56330837107727,5.82705982361705,5.44909434100064,5.42428636924483,5.56181499054668,5.54485502297793,5.31752967698707,5.65062722225578,5.84889450554748,5.65924883821208,5.35522059485335,5.4595037970384,5.58442882626525,5.4490171486381,5.66580342605992,5.74735444848654,5.67858672773242,5.42734055459396,5.92291816457072,5.33123299032179,5.41019841474007,5.66618939879248,5.43138964465984,5.54870659782951,5.62451792121405,5.63176646584163,5.53423905898039,5.74099098694129,5.75765493787728,5.36924902787171,5.76142280603308,5.77471115959573,5.31780918781927,5.53246249996472,5.56597295691489,5.84517950072757,5.76524839620308,5.4931238644112,5.51991873497744,5.53362357234589,5.89981974810626,5.46577436882399,5.46490417184039,5.49493924225569,5.58668301246405,5.84465175209783,5.71235174485687,5.47221656650539,5.56020405505028,5.48008973397903,5.43288963431688,5.46549331547386,5.35390951357795,5.44675208455179,5.67708301507938,5.75936168654192,5.38446559565949,5.70043361796259,5.75432585112365,5.44389285497175,5.44139299673953,5.79029568741497,5.69208191532511,5.55169886021458,5.42498333164581,5.75601879067763,5.6827136213876,5.35197787414713,5.4996321874321,5.59426599346021,5.44860496552253,5.43404133152156
"MeanSpdRto:MaxMaxPD",5.17374946884399,5.26542704530569,5.26985071417264,5.21738023193207,5.16642241753639,5.33864717927425,5.15968988480854,5.35636346715933,5.23075490155717,5.16318729186017,5.24224745526939,5.45218504560159,5.41767093208871,5.1468833619929,5.23365877340447,5.3069437702475,5.17551762072946,5.21159278866376,5.40706925899831,5.32798393149931,5.29399789309504,5.29010974730873,5.01710574731812,5.17971894325519,4.94698213440476,5.22543404682735,5.05507190222866,5.22348485849383,5.26322416586467,5.38801133995844,5.37452300594274,5.29312136804669,5.20058279930744,5.1020081875614,5.4652480332117,5.27158936402429,5.36507692309261,5.31363734090692,5.19495873366111,5.16226427315113,5.23035144683986,5.35768919220208,5.15106780717845,5.29449625061238,5.28646954436191,5.27476704059864,5.33175469174353,5.27681996822298,5.13692517550341,5.28130559679946,5.24868463095549,5.31550363465617,5.14712745909729,5.22382917825133,5.20496398733658,5.27191754718243,5.24295003873082,5.42141025901632,5.17502205347846,5.30803677849048,5.23846677124155,5.2929927670551,5.26279109005098,5.21656328181624,5.38960415566427,5.21084176116035,5.20064109671069,5.36395089956386,5.15504420375016,5.35046211442008,5.38157773134816,5.11586564142787,5.40378874878688,5.2870743912357,5.11157585438118,5.23275892461726,5.16227988172405,5.25249508513546,5.23923236533175,5.40867960000298,5.30204149337377,5.3627454261096,5.26598654574149,5.16428749358483,5.10335691913237,5.30123733684848,5.17810473162984,5.26843990887541,5.29206980990213,5.08688339030966,5.16518518888143,5.30571269903776,5.22946617165732,5.16321074222232,5.25176739387434,5.21447429226158,5.37929565304452,5.44415483222043,5.37897965343789,5.28185835450981
"MeanInitDirErr:VarSpdRto",5.1551371767586,5.13781433078071,5.365983536357,5.10501426838628,5.18789092467834,5.53210559412229,5.04220539165757,5.32112554546711,5.15868729527812,5.10794614803065,5.34586967261308,5.27501670128872,5.11137344024802,5.22519008029376,5.37827171603564,4.98307156710394,4.94039350450525,5.004456525972,4.97674712686416,5.32036652780816,5.04040171195223,5.23798905593666,5.07332194439434,5.19528201331226,5.35641249045121,4.97711871026727,5.00520400343779,5.20516478435847,5.28027938130265,5.14176583153944,5.07595468099469,5.30942360025681,5.32850739349753,5.33804594923875,5.44963848370842,4.9111896390923,4.86577285680375,5.3839710619413,5.24556952386008,5.23955107457059,4.95223696241475,5.13506194762375,5.12076421689663,5.07120972372153,5.1109288236787,5.2125267298954,5.01503272566375,5.31373738947886,5.17254372946026,5.28420272288258,5.26248305602875,5.33957556386014,5.18665121870753,5.24974024419727,5.00030613129321,5.10166863450862,5.21511728190387,5.22883563716602,5.44632760508268,5.24325868939424,5.00435788816531,5.01571367574931,5.28177792898276,5.11064786711854,5.18291051971807,5.48418068916344,4.9595327635966,5.56291212074552,5.33662676546401,5.03837776635132,5.06826092442254,5.21051294889863,5.23509247791984,5.18559888603584,5.29352870643351,5.22159147800446,5.18336789219775,5.10067862859861,5.31537812153114,5.32787147799818,5.26630222914226,5.33552330138686,5.10572989789541,5.0902652914614,5.32470480109339,5.0716432689756,4.93723253670505,5.20077083177533,5.0015743964207,4.94803263419569,5.10437928157224,5.28855514078244,5.19820408713649,5.12308078056223,4.93587044420704,5.40539091465736,4.96806290268493,5.230738777275,5.04537562301766,4.98158992140881
"MeanMaxSpd:MeanMaxSpd",5.06638233671808,5.20917969690522,5.24281842106172,5.169829606677,5.28642623304665,5.2186719303373,5.22637417638494,5.22326865996411,5.12074884944879,5.09752715358272,5.08438733454239,5.10654107329345,5.10691903703651,4.99909552096445,5.22479879160448,5.01717055744449,4.9331681518878,5.17967240337105,5.18865302410647,5.2548176695466,5.07998217322566,5.15982393157259,5.11596379717563,5.13480964294695,5.1200307966064,5.0672762298195,5.16464120566839,5.09881438854603,5.24366314987576,5.19914527464036,5.21960222474889,5.04843054813561,5.21824975362561,5.10558400533124,5.28641232054454,5.42733696355358,5.25500180606304,5.14774058566703,5.15825681646818,5.27330157907829,5.21569375198739,5.06904781071408,5.10925952048622,5.18663720411757,5.15375560112558,5.26009428489084,5.14574814833097,5.16127382438342,5.24964991989419,5.12197279628138,5.1928460546137,5.13775777089506,5.11778753964371,5.19265812307593,4.95748765619973,5.18617912714957,5.20085430117401,5.17777143616545,5.12836305768111,5.15288465049379,5.21486043386328,4.96812584404146,5.01187929530947,5.24700878894421,5.08612492632459,4.99554856223858,5.24426317686825,5.15600463154418,5.14356767170928,5.06414837806755,5.16788185393275,4.94822086342011,5.28605833294242,5.26466668946138,5.20583080389397,5.24642766397809,5.29666042394141,5.12217642201015,5.18580986660367,5.16519953377529,5.10419881221046,5.19450694665621,5.16131112608756,5.10844266983366,5.26027815547729,5.12564963490607,5.17549970665434,5.13466266377249,5.30408390043939,5.12863858706642,5.24640386211233,5.2435217210411,5.11804864452782,5.15854680440042,5.00362209377184,4.99257390168176,5.02287413911123,5.12467010713915,5.19347475859298,5.20769324764725
"MeanMaxSpd",5.23717758475099,5.18027793803219,5.14997402922052,5.20078693581896,5.17237449408211,5.16490004632935,5.15402688289432,5.12313447284273,5.16193489479457,5.17083105213247,5.19154788124963,5.15048395928172,5.14473189734733,5.25794531892557,5.06211937338672,5.2271927373266,5.00495057032032,5.22397580258505,5.20434188666008,5.16183508262746,4.99070109187385,5.14864975705413,5.23572856530428,5.24713031376448,5.11070681565595,5.17067923170985,5.16688771575778,5.00852160640951,5.15777426664665,5.0849827233951,5.01241609896726,4.96709718634732,5.10697883559885,5.25609237516786,5.0748894281685,5.2130632230141,5.0822299661584,5.05818755629264,5.07258454354172,5.10744444114387,5.18219980677897,5.2177980074921,5.11362727783146,5.11094494190161,5.16529920791822,5.08110373189669,5.1529070020405,5.08049727171115,5.09551196943356,5.17843182943335,5.20917468835842,5.01290535343741,5.12651053007463,5.16499050859634,5.20285550853256,5.2381323186859,5.31338943541027,5.15144606062274,5.15837176937592,5.0666651695628,5.1408679086245,5.19957013957133,5.15069422214744,4.98353038201242,5.26797182707218,5.09865897838377,5.20264766504925,5.1877338801779,5.07974326775673,4.96098124025565,5.09606615986479,5.14938926384804,5.1338316572858,5.09080821932394,5.18940854685124,5.31711190880618,5.04372082681758,5.18265886331964,5.3435488556916,5.19223398444922,5.07975187323116,5.23012645141222,5.12826519726373,5.15850025781734,5.09621267106359,5.09796648446692,5.018065341206,5.23438026150335,5.20953363190629,5.19296937894492,5.20550758308856,5.1356451157825,5.0786107753319,5.15426623078325,5.11063096129198,5.17847288416055,5.21531938650926,5.18158803249681,5.09374696357451,5.15560226679798
"MeanMaxSpd:MaxTrialTime",4.8689766829407,5.04519952428823,4.92508337510299,5.0421408483805,5.01698822565236,5.01256710258155,5.08443130298684,5.1793212398574,5.08614803945293,5.13325519900881,5.11553994269839,5.10647010369302,5.04543200022463,5.11734281618545,5.05431165722948,5.11231385682093,5.2390311190998,5.12712188407036,5.09836458594304,5.12800829632326,5.09573474418402,5.04243394312437,5.22060923778358,5.08014923602734,5.03998428623891,5.13084981270089,5.04100528965434,5.01541726647476,5.05754982321142,5.02527476869672,5.1787468393986,5.10452794772701,5.08669417018522,5.02520844027419,5.11621421784984,5.20651117484697,5.18086977673685,5.14612235695739,5.02656226324165,5.1146875933991,5.0712060362192,5.12739824319273,5.0770668407901,5.17845635456341,4.99376174372806,5.0183570724338,5.07655463600012,5.13040793760189,5.0343254891463,5.14603832466497,5.05993078747827,5.0826481884072,4.95970181998583,5.11198907993928,5.17374224372633,5.17240986467341,5.17731632843859,5.05062221770991,5.11765071055264,5.16225919737387,5.01238113512824,5.12379696891599,4.91985061114314,5.10169596356733,5.12173043683234,4.99597778247224,5.09985721361097,5.01098362718031,5.10607699348047,5.00351914701481,5.09667412544656,5.06491009251573,5.04756746673047,5.08948051167943,4.95484343904709,5.02646619358758,5.12754358465601,5.04166939362842,5.03661351176796,5.09653997470861,5.04470556814046,5.16741528208693,5.08894002304743,4.93659625146788,4.95990911600289,5.22956970918437,4.97963181801566,5.07643338449452,5.16205442156178,5.06986286476742,5.13620074873336,5.05893208700402,5.0884607094111,4.98917297868111,5.02494075408758,5.14048894796189,5.15596474677173,4.99243474607248,4.98423729487204,4.93910741443823
