"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"MaxNumSpdPks:dominant",6.39776515581841,6.94823912789289,6.47472068252779,6.39461567672694,6.39614819006674,6.56175486805204,6.3433875743999,6.41989074418626,6.59908968470231,6.6865602947508,6.51055001603422,6.44537900920053,6.72133146921683,6.6188465073914,6.60846999323788,6.5336679996815,6.31504422799845,6.58487519341348,6.22778186530598,6.19869510236795,6.43598143085884,6.30071669434868,6.49526849052932,6.72488401296858,6.4423783098358,6.27373401472457,6.43238162462406,6.57881288096588,6.28137139696093,6.58608050615753,6.35901176046228,6.57406795853076,6.33122135161598,6.64177230639934,6.6359367861483,6.63028703272813,6.74526503838249,6.66627048569234,6.5859360397923,6.70725189837296,6.73695541037836,6.77909895776528,6.53558429418555,6.49461253119068,6.53036915054963,6.27300810517413,6.49112227582086,6.59972851371824,6.22783527803271,6.50798884597124,6.61902882449069,6.55203188451431,6.52179577055082,6.62984669835311,6.60313973565131,6.59757447053116,6.54431585519894,6.35975336996336,6.63264418357683,6.62413365273756,6.55407007972868,6.46823068337214,6.54462048575894,6.41338510612971,6.61277392896697,6.62388944349422,6.98131063034693,6.34448612956593,6.66881595645663,6.56079544832862,6.55730048412274,6.76158075277644,6.7682913149036,6.61441504099057,6.92014801069981,6.76367702186563,6.85540696347987,6.66652872127955,6.42936612090825,6.23446518472528,6.42830080973677,6.7760995177248,6.56136459275944,6.56707767137461,6.55705352469077,6.74867079221307,6.4720108573794,6.25972435607317,6.56036813338341,6.34863909415424,6.8171266129825,6.83894239162566,6.58352970955414,6.62728277428729,6.57757303148478,6.57083599908359,6.62712869927428,6.52725535860842,6.15115691892403,6.66570291260757
"MaxNumSpdPks:unknown",4.68554795315486,4.5630018955532,4.71568768660483,4.62649444693369,4.57336358403595,4.49768158127891,4.6003899322769,4.70935902055357,4.62819096744328,4.70104335337167,4.83221687793039,4.62894172784772,4.69552798232373,4.50637723424964,4.61795202588128,4.43195707508659,4.76537537482931,4.51804114344997,4.65070539975029,4.44139130814633,4.36852707110583,4.32950531741385,4.73459012196408,4.5011373314752,4.88047244148518,4.48735274450967,4.62817226391073,4.4507930920061,4.54898186688124,4.50524417821274,4.62401368066344,4.48348360428635,4.51580125734823,4.77647342168665,4.7643557918989,4.61213295796701,4.4804022289423,4.57526321296186,4.56733437948794,4.59619320781576,4.56610707518649,4.50044286909643,4.4392475811593,4.61625734177939,4.43560430021533,4.62527257363014,4.67006276818893,4.45325181832114,4.7095338018957,4.63244563780434,4.38214054591586,4.65767169598453,4.5299909167579,4.84162679932955,4.58072967472523,4.571677922206,4.7405483630942,4.48047991855326,4.69021198754519,4.60575251812173,4.69876574338985,4.64416191340509,4.52794447115227,4.61167437795508,4.83928842390871,4.54854364295625,4.44291539903388,4.59604974436699,4.64795215068284,4.62345848347522,4.1850497304952,4.47251967472185,4.41465992003676,4.75301452226749,4.7348919656914,4.70666218471269,4.8019115501786,4.63989551971589,4.69419810284455,4.51549392668127,4.77314527625778,4.49556401553309,4.88615307333592,4.84911122489873,4.69847606779785,4.31361525660109,4.7024461669548,4.62519834681238,4.5802076874573,4.61860077427938,4.47693029116712,4.80101115379721,4.74925508539607,4.59219874965611,4.60117849281512,4.72816229012025,4.60560340939559,4.6901902365075,4.88405713956606,4.58814039534062
"mass:subcort",4.57976210094834,4.3514531990461,4.60454200147375,4.56237164630783,4.46768921011643,4.51902200253979,4.51197326651427,4.51878817531194,4.368743071448,4.50091503929549,4.51606671891647,4.55169707686947,4.50283512182014,4.56892224277478,4.64250091298864,4.43012105214195,4.47416640824488,4.67355826714483,4.53115156866859,4.56515729983269,4.53827505425605,4.5450708081145,4.54165972790976,4.44355932453753,4.51417223769336,4.37018653737365,4.75027179130397,4.51025789032373,4.46514735195497,4.39432835192245,4.57119089883558,4.3453266685502,4.51978020147709,4.55480837105798,4.82346685944141,4.59337932655029,4.5388809709134,4.58624870756236,4.34455620057862,4.51960524479005,4.76068171419468,4.45231662411712,4.630966596812,4.6158693220524,4.4435096236587,4.63823600163292,4.49951471872112,4.49541024444699,4.53881322946984,4.45908960673515,4.49744531829629,4.57529611410479,4.58351348724109,4.26691549657705,4.77257698580474,4.584147729005,4.50592267320583,4.38333995307594,4.62567551425183,4.52160621323389,4.62169371062565,4.69560337459411,4.54034015318242,4.30909121654311,4.45831981166865,4.69090090289623,4.6364476553148,4.66587291384679,4.56352182499985,4.61164182887826,4.54690724913497,4.40861204533038,4.61351046434541,4.78050558450004,4.4789682353461,4.16112626315403,4.43655783423907,4.59805916011905,4.46732139095547,4.49547319555284,4.51609288601413,4.59439400033858,4.72388220794505,4.31176179006381,4.60650537075461,4.56171223370946,4.75499637127053,4.84027000276347,4.44732606402907,4.75719222012813,4.38307312372239,4.41271705035058,4.78399983092965,4.47427947853471,4.52556927236361,4.40936306554241,4.39544069016633,4.43740124066478,4.55007862287303,4.58092509856176
"mass:sttype",4.34087672652653,4.22039013398651,4.26617875947485,4.43191843339434,4.12134093720083,4.46343403578577,4.42682740652611,4.50887177559973,4.41853600165923,4.29867781681105,4.12987298730192,4.56714845013731,4.54133171117091,4.24313806450192,4.22940324159171,4.42410812406568,4.22502168119013,4.25538316667893,4.26782262699269,4.32565001448725,4.19126575616763,4.37123283221249,4.51330852782943,4.36212437268093,4.30425005462961,4.48504458091593,4.36944886356327,4.64851476860481,4.18215798548864,4.30332328363025,4.29626723243941,4.32989249802049,4.46281359669845,4.35257546293949,4.57031686566188,4.32627646962233,4.31817346277727,4.54658835640034,4.34544523215579,4.36013250050309,4.58742293065072,4.40534264129792,4.533407355366,4.49872089187427,4.23033690753722,4.31540385907358,4.26872276921621,4.15460467793132,4.24956491233636,4.50415611719909,4.56683899501457,4.44987479268587,4.29730671276681,4.31040882002969,4.46498460181936,4.503778334652,4.28721168354316,4.73343248600334,4.21385727143974,4.42721012822389,4.20958590049053,4.61059966132845,4.37055466460156,4.43911114213631,4.18029435132749,4.47902266982195,4.23534822313636,4.21048558848042,4.40381995221211,4.49702192377784,4.45310346742749,4.36125770629417,4.31342066426192,4.02318953507514,4.50051178305083,4.15427152845178,4.43652332949583,4.49786350128482,4.40682145305385,4.28827326406765,4.2520966805079,4.35957110053489,4.53524105370395,4.20821379702212,4.29042970490145,4.11347487821918,4.20342495917397,4.40303632607407,4.40511781129622,4.02449866323311,4.28742603881885,4.57213752812755,4.37951998536371,4.17086260800274,4.44894274835963,4.28142374764781,4.29929620657387,4.31526260854141,4.62540137111568,4.45776298186291
"MaxNumSpdPks:cort",4.30890446445897,4.01269377288149,4.11358895082504,4.35563543644402,4.14476868955659,4.32500116472028,4.08038473078589,4.19041384101493,4.21079722894067,4.17939216828966,3.82768684393979,4.07451704046235,4.00439010399969,4.28995090226534,4.21711307725376,4.0022193941726,4.14920302520705,4.04963095330807,4.0930729381974,4.24964364197086,4.02864531569009,4.09818821328123,4.23138548374313,4.3436069949657,3.85191853103719,4.17593102328914,4.07391965838299,4.21864228235358,4.55708611622368,3.9508677130452,4.18680835451767,4.12579389528479,4.21893465426216,4.0006299016307,4.52874089370514,3.98272292485941,4.0800393192593,4.21399837542757,4.1996540809094,4.44155680085186,4.04911684320473,4.44004216837398,4.23299815760248,4.09430673593465,4.12895606624633,4.15012943854306,4.31824644635127,4.09437012378883,4.14364207493045,4.19342025716354,4.12898561520332,4.20246452871341,4.31818742990373,4.19283614906979,4.07301552013559,4.14010696622534,4.12874822238127,4.26335249505417,4.12165612245428,4.17266744862237,4.02484683312136,4.13185732244798,4.36019444187857,4.36782214033678,4.267089526171,4.15653048963699,3.95147383110765,4.35146040959877,4.25696700398282,4.22515451224931,4.14199270891509,4.28142762535367,4.11715260282412,4.06991982809833,4.22415819369294,3.91097140803984,4.16353112572376,3.9305059468884,4.40017273499942,4.39360667354791,4.30712958503715,4.01373252652902,4.11288847611198,4.24726998454274,4.24073405771939,3.90331333978419,4.12923635649981,4.12639114401641,4.28256790271367,4.13218973695569,4.11714018336507,4.29642739960019,4.20104822897421,4.14238789389351,4.16066570861898,4.44302532080241,4.15354878774421,4.23899437115473,4.07640019412753,4.24261605096573
"MaxReactTime:sttype",3.98865761009461,4.25131290558065,4.02875291549722,4.20188201302786,4.05504132599787,4.19798442368044,4.23132625714563,3.81190239561761,4.00121234569094,3.82276599148703,3.97555380022357,3.96481240527798,3.94557858839218,4.19142389903578,3.89020232927795,3.98036227768528,4.09256467619952,4.01601338201874,4.04063601188018,4.06868547484816,3.9973652419995,3.77968947364737,4.17694452798002,4.04584281738008,3.99795653595716,3.7183212309265,4.03806782403196,4.01731896399294,3.99396560491768,3.78117915265469,4.04511688617264,4.06443547828524,3.77743863295422,4.08724845077003,3.89455148573352,3.97164625262699,4.24578177836614,4.08153431789115,3.99811852532244,4.06800093205567,4.1845507886195,3.89472465908372,3.81130431663877,3.87031957286716,4.18539891668403,3.86691415661178,4.29764227162534,3.95791352931783,4.22175346428137,4.13403456942499,4.01919891663652,4.03384281581863,4.10725835978395,4.09369900666956,4.04245189763526,4.22151022239502,3.91787013327282,3.82990361713231,3.84778165021092,3.88036016965016,3.92999219256995,4.00381316834045,3.94627435172303,3.90188919188131,3.92693382366287,4.06710309912082,4.10837275542191,3.86943460523139,4.07069588902932,4.10093826423045,3.91542326355279,3.98041268493493,3.80887809347028,4.1446379077676,4.27211046457807,3.90875864224472,3.92720438608587,3.93643257891342,4.03018258018504,3.99583620542531,4.01052076455735,4.01975781614569,3.99926665041946,4.00744090686194,3.80121959697017,4.0132490887349,3.98316260746527,3.85354451613181,4.03346869465136,4.18674240442489,3.91313471188174,4.01322497408709,3.99479671936721,4.12402369211782,4.32776525753434,3.81100252668474,3.88279283473613,3.7936650342051,4.06075624877049,4.19272166779683
"MaxReactTime:affected",4.17669958048807,3.98559190696324,3.9729131538252,3.89418148091502,4.09589901990691,3.82906526379775,3.71849562141633,4.05885173307175,3.99420997066415,3.9951685356914,3.86719501011355,3.95766392275911,4.11152900834254,4.0299519942863,3.97577667664366,3.95590595722096,3.92984576919717,4.19210003504255,4.02382707972159,4.2216007137908,4.20997844679761,3.98022129588078,3.88555143914043,4.16574612349963,4.01962679402517,3.9973187234238,3.92787466659356,3.86363797855895,4.07820093251628,3.81571751639745,3.90056338422509,3.95982082565259,3.77592997380838,4.04415762610871,3.94573365212091,4.26486441717725,3.87473078048042,4.14216014096932,3.96774047244512,4.15535038669702,4.10246827462511,3.99571708145386,3.80685050151337,4.0955655128119,4.04649647616629,4.04204654421373,3.96680369664342,4.17712875356548,4.07813886067924,4.06565363302041,4.03421052783818,4.03709615479759,3.89617411796717,3.80823575562959,3.95412297776427,3.88515934977067,4.00352332014026,4.05546742749528,3.90561080232114,4.11374345400297,3.98506971003509,3.59807971172084,4.2425342945492,3.95424630155192,3.92225900676747,4.02964372358977,4.02093587759967,3.93739529313459,3.99701453199995,3.97889823873172,4.01893223577924,3.97800082592412,3.96164068867288,3.95322027387118,3.94803133109845,4.202092750099,4.07154589677604,3.92239314893706,3.86137869245728,4.14311751343391,3.9839541470462,3.99361943318181,4.23478852970584,3.86541714290324,3.98884115848283,4.29384613741422,4.19891911838034,4.08184640151798,3.85206433695727,3.87688700696236,4.19022390230059,3.83920758223907,3.98733573228841,4.01570816888947,4.28237127631038,4.15036175748846,3.78490267043506,4.0200080616632,3.93103132971897,4.09908916228579
"MaxNumSpdPks:affected",3.80343249159046,3.79453769461823,3.78763806714344,3.78469089527885,3.56155047202895,3.65761982582829,3.4272317817586,3.8065295477431,3.84237479035873,3.627044001471,3.98392238010687,3.38724279860616,3.67850627500914,3.65523699297511,3.65002994236321,3.90902907812994,3.85348232381495,3.69658820636497,3.75935282735743,3.73259757020988,3.57479722723497,3.89259328487606,3.63955157881283,3.83294580327234,3.738963377142,3.95449290866646,3.6079057550918,3.89759661265567,3.81014343024917,3.70998404688594,3.78059588058054,3.76537083485932,3.68414192523553,3.64568580506181,3.53643705627412,3.78351687950873,3.60204996512595,3.85608915343108,3.82218519279687,3.83644595239106,3.51167708070233,3.62675949970134,3.74587865484173,3.67675148029063,3.77297441233241,3.79976832825756,3.52914178001249,3.67665878659929,3.61686572114079,3.84450287409965,3.69158082746009,3.4299374443512,3.84267370568004,3.62527694014082,3.76159116286429,3.71581390504673,3.62948762640083,3.62049636010571,3.8815966067258,4.01730129624546,3.78126727868092,3.68613640505921,3.63282163692734,3.44432220213474,3.87547282842757,3.66908077027342,3.76179689946526,3.71585219267683,3.46136260370632,3.82078757156406,3.42996874841677,3.81717235642787,3.79425419815664,3.82383242077735,3.94383259274647,3.95390301518633,3.87051283198274,3.79662883459973,3.76107962851136,3.5061453110346,3.58555520048645,3.75850335287347,3.70015425139382,3.64953794645943,3.68238032764758,3.92391693863343,3.85835965837996,3.51353487572759,3.96274588496764,3.8191689241289,3.73462033156603,3.66359786577345,3.80731766276145,3.77587747766545,3.84426809733226,3.78184789852096,3.66253631361287,3.76381202782462,3.76350604339368,3.72445182108244
"MeanMaxSpd:height",3.77574377284773,3.57979395042997,3.70181252220438,3.58289521990323,3.67649239246667,3.70782174003502,3.52800413736886,3.64202229377924,3.70556607104932,3.60522039812669,3.63619775521707,3.76220648048728,3.67155700589069,3.69303162674324,3.66879496600865,3.61647356707519,3.62443722972996,3.80517586445567,3.60916456743799,3.47734407704086,3.55870200765591,3.75988735875707,3.72723763268891,3.52780212029728,3.59952704945947,3.67126123892884,3.65400791884084,3.58545877071882,3.63942052415034,3.67577049034181,3.7074829424066,3.64228511788087,3.62941327593536,3.70330253036259,3.59781274092144,3.67725300005676,3.65864519682555,3.80128019074119,3.7484646799887,3.7543397532315,3.81904401062515,3.58603726444632,3.59954674092345,3.63774443141188,3.64685192916292,3.61721997305043,3.66044464359483,3.70544884054533,3.66132410244891,3.65003034631452,3.63545013531449,3.65401910309689,3.75896102239081,3.64479246059079,3.5065738741424,3.55403955461464,3.70442938322399,3.55908685520826,3.58381765064376,3.68954586812105,3.75625605690754,3.77382599022364,3.58411526188406,3.58591851602995,3.50647812668802,3.7629863072655,3.68126357874692,3.67734962837814,3.45548460683783,3.55926418399665,3.63812627814021,3.67634248165089,3.60963773948441,3.59571153000614,3.60776942790858,3.69132703351964,3.62437044261177,3.76232921028365,3.68455065868429,3.62604969914792,3.59895251090505,3.64372901124632,3.6964192975784,3.72863353183367,3.60367834867107,3.52404329738506,3.56972472034396,3.74078776445082,3.65071484171203,3.66867556157373,3.75211492069348,3.70002945316105,3.57978020928529,3.64863184402347,3.67573605048702,3.54121780199648,3.62541640053396,3.74463329054898,3.71875182929779,3.65907472528218
"mass:dominant",3.6224443226326,3.55574622692583,3.53993019412808,3.68667856820147,3.84616700555495,3.59028004923622,3.46541319552969,3.54710413974554,3.48579335780743,3.58774078572737,3.48897779971849,3.77193364249417,3.48921816609926,3.75035309925822,3.69224456223565,3.62589724745475,3.68894088796759,3.56817736154023,3.55332695137007,3.5780151985289,3.55790575901292,3.7552101525675,3.58766440887778,3.58400414283253,3.44778088038511,3.44283157641833,3.64344989639369,3.66131577461418,3.74918829548058,3.54226651229064,3.55514238747391,3.75167661316316,3.52256860020207,3.69434668823305,3.54821319148495,3.56306479389544,3.74797707225127,3.73873765183873,3.76589371411402,3.64947104834671,3.67023903102859,3.66298517899245,3.74455874194843,3.50786953949855,3.67711226439847,3.69670293975921,3.65283491294535,3.55757607694919,3.30818319863665,3.52372113219618,3.65496950142644,3.60779445032053,3.58422562769384,3.73503795320837,3.7581283505743,3.65518933323023,3.5220247664684,3.52250934086878,3.59962339502722,3.61624621160236,3.75342715418375,3.6349270850198,3.79286418818304,3.84224340091724,3.52183443877396,3.65234776541274,3.70485132617154,3.78162615242834,3.38332147439027,3.71544749916654,3.55844778918472,3.40981345968058,3.94044218032376,3.60518564477795,3.37575926969682,3.60537072954466,3.79959919024526,3.54292488405923,3.55378741443736,3.83273092739803,3.77160963042472,3.52325737949046,3.75038329295852,3.35441136070745,3.49178084134885,3.71999154534565,3.49125863248677,3.50328021027807,3.7381272943305,3.54394571616888,3.46529121389991,3.65941075988206,3.48424164356946,3.59115540057294,3.72660465998972,3.48712254487991,3.51110630974569,3.76034215062886,3.45112248406461,3.75766421729072
