"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"MeanPreMvmntSpd:initWO",25.5256805513947,26.0091978653515,25.9623903115836,25.9869255772017,25.1873252321726,26.2298479930267,26.0646810635499,26.1676027077812,26.2988615078343,26.0469683511958,26.4928023222211,25.1212637555879,25.8189159687571,25.6251827911619,25.9375287743902,26.4051504311289,25.8811184841101,25.8686434062229,26.3496345661028,24.9337717319331,26.5884206484008,25.6283052501543,26.5057766370843,25.778311470291,25.9142157058537,25.8967748800115,25.7362858399715,25.5862137663222,26.6333944154394,26.4076237544262,25.7603891129074,26.5151353570168,26.1146894490899,26.5327360565122,25.2906939021978,24.6266848402798,24.9209018402155,26.2162712329942,25.8906408566194,25.8144301026623,26.221268978623,25.3820430905649,25.4893940028099,25.7782001005926,25.7595259395204,25.1435115835965,25.3874038922207,26.2593371385797,25.8620136759752,25.4646702514565,26.6723392137499,26.0416306796033,25.3250934124589,26.0278026197032,25.9649605377581,24.9079093363538,26.5102657257507,25.7587346091715,25.2066617964149,25.4547656344354,26.4871369643785,26.2538487942689,25.6680537294065,25.7217038076683,26.2643316596364,25.7490824387711,26.6486819870411,25.4125526975181,27.0005943443784,26.3550283756135,25.2418103407048,25.570941560777,25.6120321150289,25.7105529899784,25.6426049447876,25.3806062557964,26.0211006530196,25.9246068472581,26.5676473430879,25.8512971034329,26.6779062879046,25.3338619095404,25.1532241568027,26.38713372787,25.7169227041391,26.0828024811992,26.8059230682583,25.6672305626435,25.8714103188517,25.9778643012282,25.9021218336708,25.8359138586197,26.902688195322,26.169403719682,25.688231239134,25.3552586053188,26.3517069059247,25.8359602305012,26.7641602909016,25.6725282557544
"VarPMTD:initWO",23.0982132229118,21.8246098955994,22.102237261331,22.0030628862817,22.6715378515173,22.0102765316851,22.061047395715,22.8880889007318,22.5418019559516,21.483171490079,22.4010694549471,22.0598672127193,22.2879668087335,22.3498251657096,21.990142300318,22.6075981544882,21.9172778053859,22.7274197642116,21.7420794008792,22.1246853540927,21.9224986829323,22.1070643481906,21.5977376173661,22.1313504964265,21.9801046882091,22.1970332215439,22.5407342620554,22.1395113334846,22.2942633966565,21.5929916116215,21.24054966987,22.0192442146035,23.053008292246,22.8979734742595,21.8075418050428,21.9809217707628,22.0353253616466,22.347657247639,22.3255208315512,22.2114253424887,22.5141583187195,21.7550289722304,21.5500424821153,22.1988237069819,22.4752577517287,22.338336609407,21.874846535273,22.6675526717436,21.976401471569,22.1974712599165,22.392288266327,21.7079781260391,21.5592927717472,22.0526642859778,22.4875980778171,22.2361762430875,22.8976188977581,21.9139795739241,22.0538357496266,22.193532684159,22.5918391082977,21.6887061602857,21.8709623743442,22.4373470747597,21.9650179032358,22.3800773483501,21.9894164188835,21.5896168340661,22.2769164911731,21.9435004286749,21.8119095470787,21.7902379612676,21.629439954638,22.7183334074028,22.406071398857,21.8285671205098,21.8250723445766,22.2662694298154,22.2129777549113,22.4031914119475,21.3774103268214,22.3728651175593,22.2042103153324,21.2440739788654,21.8498207135406,21.279199481471,22.0696280267698,22.3269971896585,21.6262861064585,22.7885580541675,21.9126749790353,22.4965658318272,22.3008458953016,22.1028890640161,22.1392693317976,21.3678712629183,21.8002012446923,22.3420945900005,21.7964303147034,22.4579051000317
"VarInitDirErr:initWO",18.6919683995083,19.5728867995514,19.2038720044419,18.7894518850388,19.1481199106799,18.7044247299452,18.6996806621065,19.5573543414243,18.9415484224838,18.5395558585745,18.9688854505342,19.0959124939583,18.841046294075,18.3926694915533,19.1119345428324,18.6748029809279,19.2675556500768,18.9020789757839,18.8408706851066,18.9046358772367,18.8702692794369,19.1292950173216,19.1449547173002,19.3107630148828,19.3056389583392,19.003254184435,18.6282216088824,19.3961088217007,18.2582761926405,19.5961494525337,19.3099020100615,19.5884852476115,18.4275314505291,19.5042796448523,19.0730608914152,19.3313055621882,19.2798460831077,18.5955156042919,19.0612151656067,19.905893316981,18.6795252792176,18.7910789383353,18.8442729440098,18.9579888995649,19.3029211498719,19.5847881852434,18.8237895440029,19.2081209261082,18.9612250866445,19.1754646374179,18.4938475513371,19.6324186203106,18.63504631999,19.1313213623427,18.8355985496902,19.2475067616129,18.6997505046537,19.2381171283148,19.3367035137291,19.6960452999187,19.2664350719901,18.5798000198873,18.3126526532963,18.9717097994857,19.0013847201498,19.9540163964461,19.4904736229664,19.0177284397592,18.9326044165508,19.1878350047025,19.4363044347447,18.8360732053354,19.4683344473615,18.6278656457408,18.9620430684364,18.6271242312761,19.0263326434525,18.6070046620744,18.9063139132908,19.1750696968666,19.0228112871688,19.2931001085387,19.3721519524838,18.7777920511372,19.3075032395133,19.0932536719534,18.3284726133342,18.8048625159476,19.1379126420001,18.6052778814229,18.5688578515343,19.1986281230006,19.198564439175,19.4066419878558,18.9676771253857,19.337968940086,18.9955890517316,18.9198768322891,19.0844335626521,19.2209406480742
"MaxInitDirErr:initWO",17.7986798993001,17.6318633066383,17.8588556411529,17.6973720144905,17.7457408460678,17.132386209628,17.7072149923755,17.5863298906423,17.2565613889477,17.2031839959142,17.5240654220818,18.1418750545909,17.1644964881022,17.9113607393461,17.358082036065,17.5774482486442,17.1689916137931,17.8297480606164,17.32498320873,17.1617821033006,17.3741268601302,17.7949892500621,17.0308142093504,17.5029940324532,16.8217372114524,17.1499764305988,17.548222330612,17.4341615386334,17.2273807788361,17.8746442913385,17.277520040247,17.8280544686838,17.4673405089718,16.8911720078402,17.4241485990698,16.9954483975474,17.9109686103008,17.1196244871434,17.5187013627039,17.1863500297467,17.5230718537997,17.2629962479248,17.5665265834133,17.5647940050047,17.3697848917021,17.6969887730325,17.3886339304453,18.1463148956365,17.4966410036057,17.455469671096,17.9933532936304,17.7369043281534,17.5883972036953,17.4372340003789,17.2957952009303,18.0806844419666,17.1120660517517,17.4677340966811,17.5171713722572,17.2787517080194,17.3380493428499,17.3197452579431,17.8610110556668,17.6363415756594,17.717241300993,17.4447544258511,18.3792079620884,17.296365752487,17.6120311562916,16.8956164095366,17.8379345088931,17.7779595867443,17.557246062253,17.9810179876093,17.892110251088,17.6407293403747,17.6917122558101,17.6766230587867,17.1972850225041,17.7532675173715,17.5636883941882,17.9182696204461,17.6004451317649,17.683800642099,17.9481007309322,17.5660011688321,17.5100163166102,17.1691539784942,17.4774419906718,17.4485052847666,16.7639791211415,16.9212400722498,17.8600161107257,17.2496844348761,17.0329328803252,17.6226080102873,17.3580262818047,17.6402900251961,17.8499218468386,17.3257669506918
"MaxInitDirErr:MaxMaxPD",16.801897691503,16.0217517089355,17.3783266499241,16.7793102997019,16.4378206333121,15.9132240997609,16.280977569636,16.1938610925907,17.1401298475202,16.263439132691,16.2792070709253,17.1824877554611,16.8428857647847,15.9980613289918,16.077834520853,15.7987606426994,15.7116061511591,16.0330057340969,16.580729514723,16.5227009296649,17.0093582065448,16.3931336127044,16.8347555141841,16.5016951381581,15.9117844771273,16.5114844998012,16.7106774804387,17.4786337498565,16.4271812476518,15.8409255377223,16.8773726116089,16.0808592377664,15.9441332873379,16.63361178042,16.5810876811853,16.8291868124318,16.3563222950219,16.5815062355385,16.7406944714906,17.0563757855732,16.8255833629554,15.79072390824,16.1260636085986,16.6463523776512,16.3663005573335,16.925295003698,16.0486526370719,16.9373044535281,17.4079454650088,16.9018772456319,15.7964397046762,15.8053095459171,16.8017504746847,17.1830686195326,16.1724124791976,16.5603476442077,15.4947729388482,16.6773095608014,16.3963186999808,16.5632617640146,16.615395705513,16.093410220424,16.8532920900486,16.6969672402879,16.0515869451413,16.9620057485593,15.8098998789043,17.0187684042993,16.8491785019316,16.5759531090058,16.8675272772378,16.5457743629992,17.0308962979838,15.7794805299243,16.583205011599,16.9187000893927,15.9043565840522,16.8024301082837,17.0139809541313,17.0643794005968,16.4614967088197,16.2547590882773,16.6972734758464,16.4070307624923,16.6538223726626,16.0260245932607,16.2823232502005,17.1125108136373,16.2108938507559,16.9082438369033,16.4695956813265,16.3598088851455,15.9372214845699,16.8906549604133,16.5022123948412,16.7216428631871,16.4357227494546,16.1598982867202,16.5346893386591,16.3238538383353
"VarMaxPD:initWO",15.2221615779136,15.6090394985305,15.3780614030185,15.8322070530457,15.6321663902283,16.0410754299624,15.8938488089359,16.0231027753264,15.552064542603,15.2730292293708,15.0939535406722,15.9610219832699,15.0028377770571,15.0969590638864,15.3728284028277,15.30058315527,15.7040365985578,15.4835362419147,15.7659013432087,15.607837004818,15.4974313847868,14.8257318285913,15.7466321234701,15.13257635047,15.8428966761787,15.8353083359468,15.5353779781136,15.7471665591503,16.2113439675416,16.0102022663906,15.4638940499376,15.3478360291491,14.7464828232027,16.038743310978,15.5589090439249,15.4238509671786,16.2138695235651,15.2438817864624,15.3642249970551,15.858100584212,15.6461404176515,15.3147024308187,16.1283057958133,15.3144546687289,16.1781155699483,15.9862125628976,15.5675492678535,15.7072467552427,14.6410373256998,14.92426281868,15.4860911723963,15.0470868083711,15.8919544732977,15.2173605517495,15.1152234989792,15.851440020356,15.8646953187035,15.4776774594666,15.2266546628735,15.6648985920081,15.7865203342511,15.1301455693522,15.4962299110374,16.2653701089356,15.6173222489802,15.5563306357564,15.4023114014237,15.75843523382,15.7956980737899,15.5051875865414,15.9786809704522,15.8337544849081,16.2197951007461,15.5933193220881,15.1177299631932,15.2812982006542,14.8306370957148,14.7175207988204,15.2634077353111,15.3340820215461,15.9893834462491,14.9661137716457,15.9832549250758,16.5795597482573,15.0692531350217,15.3572299896412,15.1411102598705,14.8822043349693,14.5708435194355,15.5037682661892,15.17242817665,15.7658634686304,15.2896559088662,16.055122986331,15.3895179554118,15.4715551659652,15.0384116758282,15.7664171308602,15.5704139644357,15.909534216528
"MeanMaxPD:MaxInitMvmntRto",14.4365403847377,15.0194568187093,15.0538380912991,15.1252043245076,14.687688523038,15.0379682844469,14.986794269369,15.0699386467409,15.4433373600424,15.2365254512522,14.3124952063776,15.2940064207403,14.8745893345726,15.0261776659086,14.815806262413,15.3585150358294,15.5154129802223,15.0921678492112,14.753334773735,15.2272872341344,15.5326110226007,14.9378875282698,14.8677078227762,14.9424449860958,14.4949385037098,15.1193523268984,15.2297736627784,15.6737639767528,14.9345784888914,14.7369322224311,14.5659688642175,15.2820061666065,15.2815162486305,15.2147853716378,15.7294844736772,14.8431348432737,15.1967788327434,14.7838611338529,15.1457204665896,14.9864095697758,15.6300156024534,15.2846871658201,14.8582791255095,15.4660833357927,15.5815925607879,14.573112822453,14.9147971634351,14.8483527436733,14.6041421978295,15.0403352346564,15.2270335379139,14.8368966743629,15.2774593301612,15.1004354360358,15.246341024838,15.1232949630403,15.140356324393,15.2552987612497,14.9144892332082,14.9812256566335,15.2789220664836,15.001171706753,15.0605900851627,15.1733479713363,14.962240400515,14.6605312277647,15.8654540232211,14.7506368579458,14.2708217021208,14.6493875415945,15.2399952376618,14.3427292802724,14.9191523424196,15.0068725954804,15.0855461787516,14.2801918813547,14.9010977202341,14.7594525475988,15.2317604726559,14.9479262491183,15.2217094668166,14.8642215963106,14.9993434669357,15.1246647838438,14.5615535915441,15.0058601652687,14.9216408911764,14.6352339980952,15.1324705838277,15.1364500382343,15.1386642387212,15.4430315207238,14.565209407786,14.8709641490744,14.92105518956,15.4294840315399,15.0722479889243,14.6195800704571,14.835843198588,14.64950423825
"VarSpdRto:initWO",14.8718281536157,14.4375389863996,14.3848695530638,14.9632229780844,14.8460938708968,14.9761616518379,14.6237073296873,15.2985004550345,15.0682639265764,14.2876477486124,14.7899681951256,14.8835151744748,14.9576571370259,14.7710327507447,15.136201636963,14.8648375238348,14.7028648501834,14.5291005595665,14.4725355726564,15.0358538424045,14.1341597775411,15.1739983260842,14.3672344439854,14.5255557891696,14.4177144194182,14.9914090172484,14.9003985382883,15.015788320612,15.0438860240048,14.7180699646486,15.2409899190805,14.6839559514033,15.0685417251824,15.205819695939,14.6120854960368,15.3563112239094,15.0799373838363,15.2576413219407,15.0291651528753,14.432847575162,14.8215043928048,14.5603803353872,14.791216296159,14.7945653534424,14.8746641464638,14.6743502542584,15.1884245527396,14.6895860016175,14.7118570976403,14.4257813978468,14.447909119062,15.0333605312177,14.9338841004851,15.0541394251637,14.9301938980494,15.0487138028059,14.5076850940187,14.334768406349,14.9084304085923,14.9416186524723,14.5522334571156,14.7024745098181,14.0569901271028,14.7051585460954,15.1200664086326,15.0110959381512,14.6283428309574,14.6114396965377,14.3241793616676,15.3262514549704,15.0146623715842,15.1299313649617,14.6499921729855,14.8495042181304,15.4831734423459,14.8741312641685,14.2747211618395,14.8509195695945,14.9655306252037,14.8230298216597,14.5389292953377,14.8671337464042,14.5722726020754,14.9624510753305,14.787249166127,14.8760954456759,14.7973346884468,14.855232909162,14.8701840586755,13.9019563819874,14.764795828717,14.7327314101169,14.5811326311315,14.0667338398412,14.7568646338417,15.0192514918885,15.2284252160315,14.6289287349555,14.7663895473402,14.720470316279
"MeanMaxPD:MaxInitDirErr",14.2040249016768,14.7968101646324,14.6037984456705,15.0563092858717,14.2080893777695,14.4772754215116,14.6473132645,14.4638030781808,15.3993876366116,14.3119479382754,14.708209321685,14.2280586623415,14.5278412811465,13.8528817859327,14.0223016417512,13.9727715712194,14.520886846368,14.5614984525878,14.4106399134605,14.6879919222889,14.3820032669172,15.207136866247,14.6946704078324,15.1725374185627,14.6119022769214,14.4997706833181,14.4696270224985,14.8079384062475,14.9725718479885,14.7784320354044,14.9317011693004,14.3269809774542,15.1681194954827,13.8154756790135,14.2261621129034,14.225494676537,14.5478512844016,14.8713676842744,14.7459898507659,14.0656637860117,14.6342847395301,14.5150517797494,14.6591223052635,14.5701553471589,14.2274774914292,14.1284541600009,14.9011079481895,14.7323382352789,14.7669627061554,14.6522754433847,14.6249154606465,14.9644438021674,15.3444418035859,14.0718522651865,14.6607417849578,14.3031780306556,14.7716452363485,14.6766657333775,15.5439425320657,14.3877308951771,14.4803822767608,14.1487090470615,14.8290352275312,14.8758822953931,14.7955430140218,14.6122443302243,14.5532390754444,14.8193379311194,14.6035500186164,14.1616624995938,14.5192695987314,14.7061162185124,13.539487952035,14.9511468390655,15.163065722431,14.8237934107583,14.3911837804179,14.3011657522441,14.6062339948357,14.1979648141588,14.4749246180532,14.8987325937372,14.8240091763513,14.3160206656744,13.7835763981244,14.9658587464847,14.5195633528336,14.0758484928606,14.3676856029865,14.470092384072,14.3920920466007,14.5509506019577,15.3126105575679,15.0178264312967,14.3429071237915,14.9274731228171,14.5549775052464,14.8656469790623,15.0818721853154,15.0241371814539
"MeanSpdRto:initWO",12.3870137449389,12.958920550966,12.9970648865261,12.5977458954579,13.0090239738293,12.396940974364,12.8732788673005,12.7363982184284,12.5069957165169,12.7446331556434,13.1494661038447,13.3628138827953,13.2410454351926,13.4940920545634,12.9185613103478,14.0103178463789,11.8225685403093,13.1215825871373,12.6094744140388,13.1591088763874,12.9925692084822,13.0449800036602,12.4617024994238,12.7942281042662,13.1118648343576,13.1132463622838,13.1808063201299,13.3511034560139,13.14752324167,12.9224362673521,12.6822552739831,12.7496940480299,12.9206756450505,13.3247517409191,13.035783284286,12.8444455000663,13.3124676872574,12.7983657441652,12.9411119504512,12.6461697153673,12.7629941345109,12.9328452775766,12.9916907400625,13.7220275572918,13.293923341499,12.9002625095382,12.9200273701975,13.0085902050131,12.665941203562,12.5809942342453,12.6369168953824,12.6932526343238,12.5465547354298,13.1440979349432,13.6434719694793,13.636012938834,12.8292813257516,13.0750711805165,13.226484514799,12.66702022325,13.0814890893671,12.9198203612175,13.2038652003022,12.8680742906742,12.452863031124,12.78667948515,12.8956052941549,13.3556158620852,12.6883055341094,12.9856775391684,13.1462261560463,12.7310136906059,12.7120393077552,12.3249645534747,13.1177587742636,12.5496025979075,12.691207057185,12.7289984427906,12.8507808797626,12.6573602555102,12.5592677528036,13.1942947702507,12.8670752019902,12.7149508227112,12.6531864364125,13.0407571789655,13.5773836863045,13.8032702684023,13.429091093431,13.0535320361473,12.8568305969703,12.8141464634748,13.0120611803195,13.0821774038043,12.9458402568694,13.0446843832857,13.1924321435725,12.4706016722248,12.2191580419601,12.8716696312793
