"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"MeanPreMvmntSpd:initWO",23.9385801376529,23.3179575365426,23.8006355914962,23.6060160177788,23.493467959281,23.5317431087623,23.8695887639672,23.6340698517896,23.6111803856203,23.5265594757531,24.1744198655524,22.7663587829304,23.9116357466466,23.8019597475685,22.974838113708,24.2896789470276,24.9588952083678,23.6135927513799,23.2462727260432,24.0419221018166,23.3126880854492,24.1953028220608,23.7222557163211,23.6893565070773,22.9199405064757,23.7666472636304,23.560923771242,22.6649409962055,23.2289965191329,23.2739388163143,24.3517428871608,23.9708677665625,23.483113677643,23.9350852805152,23.5225973390139,22.7908182158182,23.3142680783208,23.8442379666077,23.9716417310538,23.412992606693,23.7899133786697,23.5696744262812,24.0914989385947,24.2307356373338,23.4859450151332,23.8868248935074,24.0048489654001,23.8894355127554,23.3686283528402,23.9419788324484,24.3987563718295,24.0573491836149,23.4194402556042,24.0630695887953,23.2324310990465,24.0105067222901,23.7001460008695,24.0341594075934,23.7864445596423,23.864886444939,23.2257079095656,23.5834152219221,23.4489931819059,23.9718767815526,23.4359622725565,23.6245491293754,23.3607931633498,23.2656151267956,23.8160735753859,24.0905721319776,23.7400729452798,22.7676768092896,22.946346348629,23.9572021333676,23.7947293187681,23.3516618040969,24.5739130333828,24.4827533005935,23.3267159997638,23.6232710838896,23.8540011599427,23.7488733488602,23.4574860783677,23.8155519023102,23.8328742146958,22.6929878264638,24.092329192241,23.3875385755992,23.0675944589225,23.6468926235587,23.4918547421446,23.7104960516962,24.1685540069197,24.0646164130792,23.7495055725743,23.2181025202468,23.4832420210052,23.2129417999509,22.9122178654353,24.2037264063115
"VarPMTD:initWO",14.8574178385596,15.5971081912794,15.0522333515673,14.9462149317154,14.6884303707584,15.0916059877214,14.3922531996894,14.6685537303446,14.1793682415447,14.5533988558802,15.1579488036598,15.276722983162,14.8769735424555,15.1388376074924,14.5935811702988,15.3084956975984,14.7622758187363,15.483813804634,14.8067065685726,15.1760016347566,14.9771104307059,14.7249270955317,14.9576877213253,14.7371963319916,15.8148336802276,14.4655261895247,14.8526965738814,14.7427320124319,14.9815771633532,15.378828412086,15.3469860947526,15.1254770608202,15.0909699802278,14.6361312305004,14.2766619756888,15.0881747247488,15.5710887105299,14.8228905106366,15.5521764059896,15.5188411635571,14.5837720345637,15.0093500811886,15.1333095075415,14.0868161499093,14.0290798061656,14.8515262702422,15.0085903919849,15.3678197984331,14.2964916896022,15.1812725992705,15.0266793342245,14.8294293417657,14.9715987730304,15.0652357439294,15.0043450058813,14.322351137914,14.9790175965216,14.2383021890281,14.917188610979,14.2476289728573,14.8343038566821,15.6513825298211,14.8880002312199,14.3265888052032,15.4003601963832,14.8966508720159,14.7399058065261,15.4068701587431,15.6873688244574,14.5965142133034,15.1721231757557,14.9134085290489,15.0862992993028,14.7794665494223,14.4706482698455,15.2095049671164,15.1850352798639,14.7593588274796,15.3802655225016,15.2639198271815,15.1970453055517,15.0798401389897,14.8860779459781,14.752534802158,14.9668724717298,15.0734152632275,14.5946420138448,15.3407501883978,15.3920467098619,14.1967512440443,14.8446796917303,14.6985336172225,14.9061857072971,15.4111954965665,15.3617043335502,14.399983819208,14.6994791270546,14.8357097559803,14.8028310855831,14.5316094729944
"VarMaxPD:initWO",14.6369015967502,14.7987474795083,14.7890989329148,14.4505781620456,14.5491367401262,14.737027131129,14.6021773430865,14.3369546822022,14.3580907072245,15.4453475084531,14.4252544788619,14.6515586782684,15.3289927001564,14.0751830475283,14.99587181229,14.7000929372807,14.5264997066154,14.0335980524476,13.9810174230948,15.1307119177978,14.2194677311101,13.9887281406783,14.5521119691919,14.1392272530106,14.8329241351866,14.5313823015032,13.6330587389898,14.3221421230147,14.4472626401205,14.1925206905374,14.9041417684601,15.0995118547344,14.6956150769318,14.6183737484982,14.601588754154,14.7646011951963,14.1366361295195,15.0152922792686,14.8374447944982,14.8972688296691,14.4254871548644,15.0444604691752,14.0302516091668,14.3000047936743,14.9722900328395,14.3945189966422,14.5820836178942,14.6193347868711,14.58503621957,15.1442583557034,15.0330022142296,14.4480586210444,14.6302508716056,14.4998698384126,13.9934301152191,14.9201232076591,13.9785194914659,14.3965511452411,14.6611116314044,14.5112513369773,14.8953207177812,14.6431082451764,14.5069212565054,14.3358809326535,13.9956485935448,14.8033014644879,13.9626174672856,14.4159285177769,14.5396328829914,14.4370566269715,14.2324637332592,14.0930980342073,14.5387222914773,14.6305685131609,13.7989673052391,14.2504527104234,14.9774190663015,13.8447627312346,14.4393491770962,14.7972572329328,14.5840856283847,14.3287725949384,14.6098860168937,14.7866845897656,14.1212294469315,14.5591312937696,13.9714464826175,14.6957263904632,14.803048523685,14.4679402721532,14.5593814823358,14.2338694905144,15.7649531254657,14.9995456320913,14.3804036688398,14.1016225544878,14.637264667591,14.008478337681,14.8210091876379,14.1843465575415
"MaxInitDirErr:MaxMaxPD",14.2607321742879,13.2744013694169,13.5239031224683,13.8114055876911,13.3501382020965,13.3145245535419,13.3807232491043,14.1017824940967,13.4876857428288,13.9147738436667,13.846635373202,12.6692546616442,13.5682840510906,13.5724343814219,12.5814558799157,13.7102993528761,13.2132229380065,13.9120995894775,13.6795983242205,13.1423617193223,13.8497799402081,13.8519181690077,13.8104619808504,13.4076755597209,13.7733848202838,13.6621901037708,13.8363469235051,14.2890390041254,13.2967269186393,14.3133045736037,13.7820383421124,14.3307500862781,13.6302769163485,13.5052426786476,13.649651122986,14.2507047515848,14.0464922258886,13.6668281407656,13.8633377151341,13.6117227829373,13.5346867535797,13.68693206958,13.1573210055048,12.9419159207937,13.4095318639412,13.5777053994951,12.6601681610929,13.6271594362033,13.931873889771,13.5544871365036,13.8715015195958,13.9550685944037,13.3224284853064,14.0396824194906,13.7826545264439,14.4054019110601,14.2415768764039,13.7928584522699,13.3691496039297,13.3046759554262,13.7800131351171,13.3958960086227,14.0808012705627,13.7808134357512,13.9511293018407,13.9308502453234,13.5096986962538,12.7427518901214,14.0718227617349,13.6944420090727,13.3862388421555,13.9619374122324,13.6779145884162,13.683097269973,13.9098695287032,13.701752917544,12.9943825403958,13.9750189575148,14.5454137609205,13.6516206717329,13.1825466467689,13.6655296994576,13.6667595028148,13.7536683990371,13.4788671990891,13.5393931713508,13.1362272861924,13.5010522288589,13.2587700313829,13.1671698866825,13.3365373769021,13.5116458934045,13.80273640527,13.1231767217935,13.3537263593477,13.351969953233,13.5012394865819,13.2515928384419,13.9819635292487,13.7996516849797
"VarInitDirErr:initWO",12.3279534982954,12.2647860853024,12.0725413294871,12.6533511293652,12.1119953501716,12.584364120243,12.3755349748434,12.4605646536226,12.1422661987935,11.9823807209282,12.3195717734998,12.6380922950414,12.392342951019,12.7036134882607,12.6148620316918,12.0422756339306,12.0228555126342,12.1658318238186,12.5899483283368,12.2400716115033,12.1324327568633,12.4974955943266,11.9640416852715,12.2268639816078,12.3332324653024,12.4857868022532,12.150516582089,12.3719418084664,11.9579781629359,12.0804437790524,12.2627891808204,12.3227193793101,12.5973316498107,12.2272162143253,12.7401367589121,11.8778404938086,12.2432227026657,12.3715700668149,12.3440475319926,12.0727474881462,12.4945413464478,12.274137686994,12.1895638052075,12.5050466556756,12.3552228470847,12.7096575075325,12.5345879073303,12.2789863477717,12.5563883233989,12.5161435346765,11.977145128638,12.5150498117996,12.5163586425273,11.9736421017786,12.4621842282628,11.9740203664923,12.138029667114,12.3361951461854,12.7671959339128,12.4930306691903,12.8114867615575,12.4191984277033,13.4040542878519,12.3121610152273,12.6433485386649,12.582686634969,12.6431101221928,12.288071282311,11.9757736442558,11.4217812022389,12.4227717190245,13.1778084638409,12.5204047807767,12.7340995162124,11.9453255814677,12.6271717679579,12.6333313074875,11.9367812303197,12.7194827396624,12.2250008917694,12.2382980838555,12.3560752580062,12.23031023808,12.1319392749702,12.1461730796602,12.2206068272599,12.2615398061546,12.200604153792,12.3791716031742,12.2525353187222,12.3368090506003,12.2497561225468,12.2586163859386,12.4338332447023,12.2613722633256,12.6133387136319,11.8831952234266,12.4889620616617,12.1994559060062,12.2965337774528
"MeanMaxPD:MaxInitDirErr",11.6843778343057,12.1989273926809,12.1859716243017,12.3728413977554,12.594492487183,11.5637725191299,12.0045972342279,11.7698185530943,12.4362684982511,11.7489756126773,11.9008560726436,11.5375997305031,12.4604836563894,11.4590622412207,11.9652099318756,12.0110401151209,11.926612495881,11.6994154809172,11.6994121630175,11.7088190421838,12.5338842314557,11.8899962016494,11.653566865139,11.6694247604173,11.3293678381183,11.5483684221925,12.3289709302908,11.4925180065137,12.2612382197216,11.8420217334397,11.7704879880918,12.288950948098,12.4215462394122,11.8896451231681,12.7528839287633,12.3677528033748,12.3136221473858,12.3235250885405,11.7438337168688,12.5426336517292,12.346655028041,12.3751044967712,12.0015837685166,12.316215152894,11.8713552629955,11.6032279525277,11.7178185704891,12.1342376361006,12.5284162189301,12.6041797482835,12.0741447154268,11.9401234159048,11.6748979233803,11.7887955029916,12.5967080637961,12.7492375777681,11.9049620179544,12.0265211365441,11.9766143824995,11.8482310109757,11.9146330106891,11.6933304984987,11.7253698223056,12.6423331519432,11.6276196216241,12.0825310759244,12.2416680048634,12.3996098861099,11.273446696142,11.7486758452293,11.5687805313915,12.1203966170541,11.7872624489293,12.3071391032319,11.7229489870911,11.8607207056611,11.8372081876955,11.7676460442746,11.2500299531874,11.142468808689,12.2363438568793,12.2862385845364,11.7165678695103,12.2107006168911,11.8593338758411,11.9098641466436,12.3742228312031,12.3432476314546,11.6276779459694,11.9412920954005,12.1791278983958,11.85770348283,11.4160619559621,12.2483524401939,11.528760285999,11.7614427489496,12.1481009440258,12.4354061726932,11.7780187842333,12.1088972240424
"MeanMAPR:MaxMaxPD",10.9240420464786,11.5025914043361,11.3140408411938,11.4498884921795,11.6366121702512,11.6877616778112,11.34130285846,12.0665809808924,12.1075335317582,11.4390841698378,11.6861292487647,11.1931136121639,10.929829095676,11.2779921770547,11.977471069932,10.9654297467207,12.1094374341781,12.2857772286597,11.1264244646838,11.6017541677103,11.5234315005113,11.078869586812,11.4238573260581,11.4997592011414,11.6579378331637,10.298941806801,11.9068380947193,11.6241886030254,11.4901180907715,12.0373694668615,11.3417198823007,11.9778197095629,11.4928632971309,12.0873310351972,12.0685216291024,11.3699677425862,10.6024900348578,11.6020175019599,10.6863777380502,11.195446707429,11.4687611346521,11.6082379930997,11.5928135072763,11.2329418857474,11.016834184721,11.9337568525056,11.854448504843,11.212123614736,11.469955677511,11.8516866766187,10.870589721289,11.1588736481407,11.8365834775988,11.5701743378076,11.939788921711,11.750245806558,11.4168392117955,11.2965190438935,11.5481108861929,11.3463275054062,11.4658414114364,11.448582683198,10.9089199498534,11.5893551931731,11.1798216037485,11.7217106744487,11.4173012685549,11.4434318142913,11.3994259944585,11.9275225806741,11.7782963622219,10.9507667191907,11.1324325932231,12.1542718260923,10.7085875368312,12.0202893809289,12.1487387578329,11.3827537099608,11.3284030377007,12.2414225307396,11.1714210377468,11.6422970233404,10.8611858183831,11.8775342236281,11.4450966906438,10.9718492191573,11.9275788090972,10.9972401016451,11.0264164119452,11.6958127417538,11.4495531231207,10.9568288707889,10.3949033033211,11.4370858320443,11.4628404853798,12.0683028677001,11.0458740316773,11.4765143068454,11.7049678183991,11.2794462255049
"MeanMaxPD:MeanMAPR",11.6599677711498,11.5195794250717,11.3124554774295,11.2946219964541,11.2176890492426,11.6967651077824,11.1250771751011,11.1178408166462,12.156855207384,11.3250578648812,11.962943559058,11.5205653098696,11.81767806823,11.7736945296407,11.3328470119858,11.7402352661814,11.5498412914923,11.6972175992399,11.3227458889084,11.6373859311914,11.2363789813027,11.2050637108002,10.9755137893251,11.1234566301167,11.5423753945883,11.0241429590857,11.4312340075327,11.7275713664869,10.8313661699381,12.1265041964785,11.8871496763644,11.7110679303886,11.0314686094058,11.06169882585,11.6435980727732,11.8870787396238,10.7938915343762,11.0175156751389,12.0259960697793,11.8362246718641,10.4754871725513,11.6729160242374,12.0006062176852,12.1094833928613,11.2476091827849,11.4674224277713,11.3580167853463,11.1743489248489,11.3034087479972,11.2865615177947,10.9113072598511,11.5312867252605,11.7787839302192,11.3305094310746,11.3374791422832,11.3025747843007,11.5983329903738,11.524709060111,11.6541117643478,11.7467559375881,11.3866216380421,10.9880041401094,11.3172052803988,11.1787359748125,11.131479312593,10.8473075101955,11.5024814825916,10.9195847684946,11.4867292269337,11.2428987867816,11.6767531977015,11.0030234485069,11.43735264198,11.7503872790729,11.0703087466078,10.9835542700986,11.2255198031559,11.4093133557205,11.2981705364502,11.3494287269634,10.8791285598151,11.5349895080791,10.9248881868537,11.9515172134251,11.777165205316,10.9579585541582,10.6467654211465,11.8754078715204,11.0650474523412,10.5321203744741,12.0757643985302,11.9534665507582,11.2223561255575,11.0573866458374,11.1809651829621,11.7651566691541,11.3414276246019,11.1147323430787,11.2580121827321,11.5808911367562
"MaxInitDirErr:initWO",10.5179044182963,10.71926891496,10.6469054193887,10.9141866073363,10.8154856511171,10.8931043410954,10.5476950682539,10.3886828844362,10.8503416978282,10.2960087243339,10.2445774122499,9.95891178119722,10.5184701491932,10.8260627470229,10.7952915660057,10.3811521203276,10.8844845897603,10.6985206275563,10.8875992046905,10.9744309378471,11.1105745730037,10.6903656356745,10.8490241199063,10.1916798764715,10.6882249325273,10.6416469301448,10.6542558380087,10.9106547790137,10.4738562069993,10.7660553541003,10.8204705336781,10.5186597209699,11.1890114852383,10.9796256494292,10.7111648467224,10.4907756796265,10.7972184239375,10.6635371130173,10.4755206717593,10.9030543544919,10.710964885676,10.2044506727058,10.6047030416309,10.8323945696485,10.7530969165574,10.5952055287466,10.5196840725811,11.0038863675063,11.0389943723934,10.9796169503598,10.6572037849868,10.8467977462427,10.518434489566,10.5889203680881,10.6436454249435,10.9333411243948,10.8205580630023,10.663205797377,10.7517100346596,10.5570583741105,11.2293360784991,10.7069835724488,10.6172674589229,10.1462898259348,10.4296636186823,10.3909984967836,10.9894793544556,10.6182785927742,10.6315508087215,10.6118904495983,11.0856619061265,10.3726006469785,10.6637542021757,10.5581582248046,10.2981445290242,10.7234912190717,11.1379750683741,10.3847085290269,10.6252912296737,11.3611966998704,10.2425585897847,11.1103872629236,10.624728627495,10.7703003510318,10.412491067091,11.3081511661079,10.4141542047972,11.0494424318574,10.5706539962193,10.4134526510574,10.2918006699517,10.8314647646095,10.7896508149355,10.7347848952008,10.9874563354573,10.6688005331657,10.5941305890766,10.2869361934496,10.3558303250625,10.758648172007
"VarInitMvmntRto:initWO",10.5310424335206,10.7847059583018,10.0915139077914,10.1366109701951,10.5120117481062,9.58555929374308,10.6535740517071,10.3884222157268,10.1976118025326,10.3510625775578,9.89052563950064,10.0712755864879,10.8063526353924,10.1203031682483,10.3407455095169,10.2721303370571,10.2172454464615,10.3554911453462,10.3464097770507,11.0053159576604,10.2115346236684,10.505629836885,10.6682387155375,10.5113323966951,10.7503431787634,10.6670054640102,10.2381372052212,10.9513127771103,10.7670955993807,10.573386843141,10.6498648357404,10.8821846426812,10.5058929244931,10.2731876714296,10.852882935832,10.5703402622974,10.1764025447377,10.4134603467954,10.8941779121239,10.0861057408869,10.64720838959,10.7040248989008,11.0632307479103,10.8288095258124,10.18374771998,9.56385358731179,10.4282531344025,10.5413843213395,10.144991559222,10.1611047619433,9.99985030898932,10.2783265465084,11.0056507779945,10.5826701342616,10.5205844716583,10.8437343571478,11.2028884346924,10.3189335941557,10.1572756672546,11.3119361362584,10.2826110195487,10.7013142043842,10.8981630779768,10.8625985151214,10.1250945254598,9.69650354459995,10.527715486088,10.620827323386,10.9919147320143,10.5317237490769,10.5851557493002,10.4282656412208,10.2163375951452,10.1541352763308,10.1198325961317,10.9686483786484,10.822716943944,10.732487041695,10.6637469920816,10.5535662767618,10.8249347609713,10.408395513473,9.99447575100284,10.007257702541,10.509397194241,10.5826194955008,10.0854749724617,10.0604543513198,10.0183294291946,10.1919456697003,10.1201969157328,10.2492499171485,10.1648547619811,10.4365210811583,10.5911777825913,10.0908712474327,11.0386743373983,10.3135255884003,10.3449761999781,10.3484194204867
